Generations,Run0,Run1,Run2,Run3,Run4,Run5,Run6,Run7,Run8,Run9,Run10,Run11,Run12,Run13,Run14,Run15,Run16,Run17,Run18,Run19,Run20,Run21,Run22,Run23,Run24,Run25,Run26,Run27,Run28,Run29,ABF,StdDev
0,15.0,13.0,11.0,11.0,15.0,12.0,11.0,10.0,14.0,13.0,15.0,14.0,13.0,14.0,13.0,12.0,12.0,13.0,13.0,12.0,13.0,12.0,14.0,12.0,12.0,14.0,13.0,11.0,13.0,14.0,12.8,1.275
1,13.0,13.0,11.0,11.0,14.0,12.0,11.0,10.0,12.0,13.0,13.0,11.0,9.0,14.0,11.0,9.0,12.0,9.0,13.0,12.0,12.0,11.0,14.0,12.0,12.0,13.0,12.0,11.0,12.0,12.0,11.8,1.352
2,13.0,12.0,11.0,11.0,12.0,12.0,11.0,10.0,12.0,12.0,12.0,11.0,9.0,10.0,10.0,9.0,12.0,9.0,12.0,12.0,12.0,11.0,11.0,10.0,8.0,13.0,10.0,11.0,12.0,12.0,11.067,1.236
3,13.0,11.0,11.0,11.0,12.0,12.0,10.0,10.0,12.0,12.0,12.0,11.0,9.0,10.0,10.0,9.0,11.0,9.0,12.0,12.0,12.0,11.0,11.0,10.0,8.0,11.0,10.0,9.0,12.0,10.0,10.767,1.202
4,12.0,11.0,7.0,9.0,12.0,12.0,9.0,10.0,11.0,12.0,12.0,11.0,9.0,10.0,10.0,9.0,10.0,9.0,12.0,12.0,11.0,11.0,11.0,10.0,8.0,11.0,10.0,9.0,11.0,10.0,10.367,1.303
5,12.0,10.0,7.0,9.0,12.0,10.0,9.0,10.0,11.0,11.0,11.0,8.0,9.0,10.0,10.0,9.0,10.0,9.0,10.0,12.0,11.0,11.0,11.0,9.0,8.0,11.0,10.0,9.0,10.0,10.0,9.967,1.197
6,12.0,10.0,7.0,9.0,12.0,10.0,9.0,10.0,11.0,10.0,10.0,8.0,9.0,10.0,9.0,9.0,10.0,9.0,9.0,11.0,10.0,10.0,10.0,9.0,8.0,9.0,10.0,9.0,10.0,8.0,9.567,1.086
7,10.0,10.0,7.0,9.0,11.0,10.0,9.0,7.0,11.0,10.0,10.0,8.0,9.0,10.0,9.0,9.0,8.0,9.0,7.0,11.0,10.0,9.0,10.0,9.0,6.0,9.0,10.0,9.0,10.0,8.0,9.133,1.231
8,10.0,10.0,7.0,9.0,11.0,10.0,9.0,7.0,11.0,10.0,10.0,8.0,9.0,10.0,9.0,9.0,8.0,9.0,7.0,11.0,10.0,9.0,9.0,8.0,6.0,9.0,9.0,9.0,9.0,8.0,9.0,1.211
9,10.0,9.0,7.0,9.0,11.0,10.0,9.0,7.0,11.0,10.0,9.0,8.0,8.0,8.0,9.0,9.0,8.0,9.0,7.0,11.0,10.0,9.0,8.0,7.0,6.0,9.0,9.0,9.0,9.0,7.0,8.733,1.263
