Generations,Run0,Run1,Run2,Run3,Run4,Run5,Run6,Run7,Run8,Run9,Run10,Run11,Run12,Run13,Run14,Run15,Run16,Run17,Run18,Run19,Run20,Run21,Run22,Run23,Run24,Run25,Run26,Run27,Run28,Run29,ABF,StdDev
0,12.0,11.0,14.0,15.0,14.0,15.0,12.0,13.0,13.0,13.0,14.0,14.0,14.0,14.0,13.0,14.0,12.0,13.0,13.0,14.0,12.0,12.0,14.0,13.0,12.0,11.0,12.0,12.0,12.0,11.0,12.933,1.123
1,10.0,11.0,11.0,13.0,14.0,11.0,12.0,13.0,12.0,13.0,12.0,14.0,11.0,14.0,13.0,11.0,12.0,13.0,13.0,13.0,12.0,12.0,13.0,12.0,12.0,11.0,12.0,12.0,12.0,10.0,12.133,1.056
2,10.0,11.0,11.0,13.0,13.0,11.0,12.0,12.0,12.0,13.0,12.0,12.0,11.0,14.0,13.0,11.0,10.0,13.0,13.0,13.0,12.0,12.0,13.0,12.0,11.0,11.0,12.0,12.0,12.0,10.0,11.9,1.012
3,10.0,11.0,10.0,13.0,13.0,11.0,12.0,12.0,12.0,13.0,12.0,12.0,11.0,12.0,13.0,11.0,10.0,13.0,13.0,13.0,10.0,11.0,12.0,12.0,11.0,11.0,12.0,12.0,10.0,10.0,11.6,1.052
4,10.0,11.0,10.0,13.0,13.0,11.0,12.0,12.0,10.0,10.0,12.0,12.0,11.0,12.0,12.0,11.0,10.0,13.0,13.0,13.0,10.0,11.0,12.0,12.0,9.0,11.0,12.0,9.0,10.0,10.0,11.233,1.202
5,10.0,10.0,10.0,12.0,13.0,11.0,12.0,12.0,10.0,10.0,11.0,12.0,11.0,9.0,11.0,11.0,10.0,11.0,13.0,13.0,10.0,11.0,12.0,12.0,9.0,11.0,12.0,9.0,10.0,10.0,10.933,1.153
6,10.0,10.0,10.0,12.0,13.0,11.0,12.0,12.0,10.0,10.0,11.0,12.0,11.0,8.0,10.0,11.0,10.0,11.0,13.0,12.0,10.0,11.0,12.0,12.0,9.0,11.0,12.0,9.0,10.0,9.0,10.8,1.222
7,9.0,10.0,10.0,12.0,12.0,11.0,12.0,12.0,9.0,10.0,10.0,12.0,11.0,8.0,10.0,11.0,10.0,11.0,12.0,12.0,9.0,11.0,12.0,12.0,9.0,11.0,12.0,9.0,10.0,9.0,10.6,1.227
8,9.0,10.0,10.0,12.0,12.0,10.0,12.0,12.0,8.0,10.0,10.0,12.0,11.0,8.0,9.0,11.0,10.0,11.0,12.0,9.0,9.0,10.0,12.0,12.0,9.0,11.0,12.0,9.0,10.0,9.0,10.367,1.303
9,9.0,10.0,10.0,12.0,12.0,10.0,12.0,10.0,8.0,10.0,10.0,12.0,10.0,8.0,9.0,11.0,10.0,11.0,12.0,9.0,9.0,10.0,12.0,12.0,9.0,11.0,12.0,9.0,10.0,9.0,10.267,1.263
10,9.0,9.0,10.0,12.0,12.0,10.0,10.0,10.0,7.0,9.0,10.0,12.0,10.0,8.0,9.0,11.0,10.0,11.0,12.0,9.0,9.0,10.0,10.0,12.0,9.0,11.0,12.0,9.0,10.0,9.0,10.033,1.278
11,9.0,8.0,10.0,11.0,12.0,10.0,10.0,9.0,7.0,9.0,10.0,12.0,10.0,8.0,9.0,11.0,9.0,9.0,12.0,9.0,9.0,10.0,10.0,12.0,9.0,11.0,12.0,9.0,10.0,9.0,9.833,1.293
12,9.0,8.0,10.0,9.0,12.0,10.0,10.0,8.0,7.0,9.0,10.0,12.0,10.0,8.0,9.0,11.0,9.0,9.0,12.0,9.0,9.0,9.0,10.0,12.0,9.0,11.0,12.0,9.0,10.0,8.0,9.667,1.35
13,9.0,8.0,10.0,9.0,12.0,10.0,10.0,8.0,7.0,9.0,10.0,11.0,10.0,8.0,9.0,11.0,9.0,9.0,10.0,9.0,8.0,9.0,10.0,12.0,9.0,9.0,12.0,9.0,10.0,8.0,9.467,1.231
14,9.0,8.0,10.0,9.0,12.0,10.0,10.0,8.0,7.0,8.0,10.0,11.0,10.0,8.0,9.0,11.0,9.0,9.0,10.0,9.0,8.0,9.0,9.0,10.0,9.0,9.0,12.0,9.0,10.0,8.0,9.333,1.164
15,9.0,7.0,10.0,9.0,9.0,10.0,10.0,8.0,5.0,8.0,10.0,11.0,10.0,8.0,9.0,10.0,9.0,9.0,10.0,9.0,8.0,9.0,9.0,10.0,9.0,9.0,12.0,8.0,10.0,8.0,9.067,1.263
16,9.0,7.0,10.0,9.0,9.0,10.0,10.0,8.0,5.0,7.0,9.0,11.0,10.0,8.0,9.0,9.0,9.0,9.0,10.0,9.0,8.0,9.0,8.0,10.0,9.0,9.0,12.0,8.0,10.0,8.0,8.933,1.289
17,9.0,6.0,10.0,9.0,9.0,8.0,10.0,8.0,5.0,7.0,9.0,10.0,9.0,8.0,8.0,9.0,7.0,9.0,10.0,9.0,8.0,9.0,8.0,10.0,9.0,9.0,12.0,8.0,10.0,6.0,8.6,1.405
