Generations,Run0,Run1,Run2,Run3,Run4,Run5,Run6,Run7,Run8,Run9,Run10,Run11,Run12,Run13,Run14,Run15,Run16,Run17,Run18,Run19,Run20,Run21,Run22,Run23,Run24,Run25,Run26,Run27,Run28,Run29,ABF,StdDev
0,15.0,14.0,12.0,14.0,13.0,13.0,13.0,12.0,11.0,12.0,9.0,11.0,15.0,13.0,13.0,14.0,16.0,14.0,12.0,12.0,12.0,13.0,14.0,13.0,12.0,12.0,11.0,14.0,15.0,10.0,12.8,1.536
1,14.0,14.0,12.0,14.0,13.0,13.0,11.0,12.0,11.0,12.0,9.0,11.0,12.0,13.0,12.0,13.0,16.0,13.0,12.0,12.0,12.0,13.0,14.0,11.0,12.0,12.0,11.0,12.0,15.0,10.0,12.367,1.426
2,14.0,14.0,11.0,14.0,13.0,12.0,11.0,12.0,11.0,12.0,9.0,11.0,12.0,10.0,12.0,13.0,15.0,12.0,12.0,12.0,12.0,13.0,14.0,11.0,12.0,12.0,11.0,12.0,12.0,10.0,12.033,1.303
3,12.0,14.0,11.0,13.0,13.0,12.0,10.0,12.0,11.0,12.0,9.0,11.0,12.0,10.0,11.0,13.0,13.0,12.0,12.0,10.0,12.0,11.0,14.0,10.0,10.0,11.0,11.0,12.0,12.0,10.0,11.533,1.231
4,12.0,14.0,11.0,13.0,13.0,12.0,10.0,12.0,11.0,12.0,9.0,11.0,12.0,10.0,11.0,13.0,13.0,12.0,11.0,10.0,12.0,11.0,14.0,10.0,10.0,11.0,11.0,10.0,12.0,10.0,11.433,1.257
5,12.0,14.0,11.0,12.0,13.0,11.0,10.0,12.0,11.0,12.0,9.0,11.0,12.0,10.0,11.0,12.0,12.0,12.0,11.0,10.0,12.0,11.0,11.0,10.0,10.0,11.0,11.0,10.0,12.0,10.0,11.2,1.046
6,12.0,12.0,11.0,12.0,13.0,11.0,10.0,12.0,10.0,12.0,9.0,8.0,12.0,10.0,11.0,12.0,12.0,12.0,10.0,10.0,12.0,11.0,11.0,10.0,10.0,11.0,11.0,10.0,11.0,10.0,10.933,1.093
7,12.0,12.0,11.0,12.0,13.0,11.0,10.0,12.0,10.0,11.0,9.0,8.0,12.0,9.0,11.0,11.0,11.0,12.0,10.0,10.0,12.0,11.0,11.0,10.0,10.0,11.0,11.0,10.0,11.0,10.0,10.8,1.077
8,12.0,11.0,11.0,12.0,13.0,11.0,10.0,11.0,10.0,11.0,9.0,8.0,12.0,9.0,11.0,10.0,11.0,12.0,10.0,10.0,12.0,11.0,11.0,10.0,10.0,11.0,11.0,10.0,11.0,10.0,10.7,1.038
9,11.0,11.0,11.0,12.0,13.0,11.0,10.0,9.0,10.0,11.0,9.0,8.0,11.0,9.0,11.0,10.0,11.0,11.0,10.0,10.0,12.0,11.0,11.0,10.0,10.0,11.0,11.0,10.0,11.0,10.0,10.533,0.991
