Generations,Run0,Run1,Run2,Run3,Run4,Run5,Run6,Run7,Run8,Run9,Run10,Run11,Run12,Run13,Run14,Run15,Run16,Run17,Run18,Run19,Run20,Run21,Run22,Run23,Run24,Run25,Run26,Run27,Run28,Run29,ABF,StdDev
0,14.0,14.0,11.0,12.0,13.0,15.0,13.0,14.0,14.0,13.0,12.0,15.0,14.0,14.0,15.0,15.0,10.0,14.0,11.0,11.0,14.0,14.0,15.0,13.0,14.0,15.0,15.0,13.0,14.0,14.0,13.5,1.36
1,14.0,14.0,11.0,12.0,12.0,15.0,13.0,14.0,13.0,13.0,12.0,14.0,14.0,12.0,15.0,14.0,10.0,14.0,11.0,11.0,14.0,14.0,12.0,12.0,14.0,13.0,13.0,13.0,14.0,13.0,13.0,1.238
2,13.0,14.0,11.0,12.0,12.0,15.0,13.0,12.0,13.0,13.0,12.0,12.0,10.0,12.0,15.0,13.0,10.0,12.0,11.0,11.0,14.0,14.0,12.0,12.0,14.0,12.0,12.0,13.0,12.0,13.0,12.467,1.231
3,12.0,12.0,11.0,12.0,12.0,12.0,13.0,12.0,13.0,13.0,12.0,12.0,10.0,12.0,15.0,12.0,10.0,12.0,10.0,11.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,13.0,12.0,12.0,11.967,0.948
4,12.0,12.0,11.0,12.0,12.0,12.0,13.0,12.0,12.0,13.0,12.0,12.0,10.0,12.0,15.0,12.0,10.0,12.0,10.0,11.0,12.0,12.0,11.0,7.0,12.0,12.0,12.0,13.0,11.0,12.0,11.7,1.295
5,12.0,12.0,11.0,11.0,12.0,12.0,13.0,12.0,12.0,12.0,12.0,12.0,10.0,10.0,15.0,12.0,10.0,12.0,10.0,11.0,12.0,11.0,11.0,7.0,10.0,12.0,12.0,13.0,11.0,12.0,11.467,1.335
6,12.0,11.0,11.0,11.0,12.0,12.0,13.0,12.0,12.0,12.0,12.0,12.0,10.0,10.0,13.0,12.0,10.0,12.0,10.0,10.0,12.0,11.0,11.0,7.0,10.0,12.0,12.0,13.0,11.0,12.0,11.333,1.22
7,12.0,11.0,11.0,11.0,12.0,12.0,12.0,12.0,10.0,12.0,12.0,12.0,10.0,10.0,13.0,12.0,10.0,11.0,10.0,10.0,12.0,11.0,11.0,7.0,10.0,12.0,12.0,11.0,11.0,12.0,11.133,1.147
8,12.0,11.0,11.0,11.0,12.0,12.0,12.0,11.0,10.0,12.0,12.0,12.0,10.0,10.0,13.0,12.0,10.0,11.0,10.0,10.0,11.0,11.0,11.0,7.0,10.0,12.0,11.0,11.0,11.0,12.0,11.033,1.11
9,12.0,11.0,8.0,11.0,12.0,12.0,9.0,11.0,10.0,12.0,12.0,12.0,10.0,10.0,13.0,12.0,10.0,11.0,10.0,10.0,11.0,11.0,11.0,7.0,10.0,11.0,11.0,10.0,11.0,12.0,10.767,1.257
10,12.0,11.0,8.0,11.0,12.0,12.0,9.0,9.0,10.0,12.0,12.0,12.0,10.0,10.0,13.0,12.0,10.0,10.0,10.0,10.0,10.0,11.0,11.0,7.0,10.0,11.0,11.0,10.0,11.0,10.0,10.567,1.283
11,12.0,11.0,8.0,11.0,12.0,11.0,9.0,9.0,10.0,12.0,10.0,12.0,10.0,10.0,13.0,12.0,10.0,10.0,10.0,10.0,10.0,11.0,11.0,7.0,10.0,11.0,11.0,10.0,11.0,10.0,10.467,1.231
12,12.0,11.0,8.0,11.0,12.0,11.0,9.0,9.0,10.0,12.0,10.0,12.0,10.0,10.0,13.0,12.0,10.0,10.0,10.0,10.0,10.0,11.0,11.0,7.0,10.0,11.0,11.0,10.0,11.0,10.0,10.467,1.231
13,12.0,11.0,8.0,11.0,12.0,11.0,9.0,9.0,10.0,12.0,10.0,12.0,10.0,10.0,13.0,12.0,10.0,10.0,10.0,10.0,10.0,11.0,11.0,7.0,10.0,11.0,11.0,10.0,11.0,10.0,10.467,1.231
14,12.0,11.0,8.0,11.0,12.0,11.0,9.0,9.0,10.0,12.0,10.0,12.0,10.0,10.0,13.0,12.0,10.0,10.0,10.0,10.0,10.0,11.0,11.0,7.0,10.0,11.0,11.0,10.0,11.0,10.0,10.467,1.231
15,12.0,11.0,8.0,11.0,8.0,11.0,9.0,9.0,10.0,11.0,10.0,12.0,10.0,10.0,13.0,12.0,10.0,10.0,10.0,10.0,10.0,9.0,11.0,7.0,10.0,11.0,11.0,10.0,11.0,10.0,10.233,1.257
16,11.0,9.0,8.0,11.0,8.0,11.0,9.0,9.0,10.0,11.0,10.0,12.0,10.0,10.0,12.0,8.0,10.0,10.0,10.0,10.0,10.0,9.0,11.0,7.0,10.0,11.0,11.0,10.0,11.0,10.0,9.967,1.169
17,11.0,9.0,8.0,11.0,8.0,11.0,9.0,9.0,10.0,11.0,10.0,12.0,9.0,10.0,12.0,7.0,10.0,10.0,10.0,10.0,10.0,9.0,11.0,7.0,9.0,11.0,11.0,10.0,11.0,10.0,9.867,1.258
