Generations,Run0,Run1,Run2,Run3,Run4,Run5,Run6,Run7,Run8,Run9,Run10,Run11,Run12,Run13,Run14,Run15,Run16,Run17,Run18,Run19,Run20,Run21,Run22,Run23,Run24,Run25,Run26,Run27,Run28,Run29,ABF,StdDev
0,13.0,12.0,12.0,12.0,14.0,10.0,11.0,14.0,11.0,13.0,13.0,14.0,10.0,13.0,13.0,13.0,13.0,10.0,12.0,12.0,14.0,13.0,13.0,12.0,12.0,13.0,14.0,12.0,10.0,10.0,12.267,1.289
1,11.0,11.0,10.0,11.0,13.0,10.0,11.0,13.0,11.0,11.0,13.0,10.0,10.0,9.0,13.0,11.0,13.0,10.0,12.0,12.0,12.0,13.0,11.0,11.0,11.0,12.0,11.0,12.0,10.0,7.0,11.167,1.344
2,10.0,11.0,9.0,11.0,10.0,10.0,11.0,12.0,11.0,11.0,13.0,10.0,10.0,9.0,11.0,11.0,11.0,10.0,12.0,11.0,10.0,13.0,11.0,11.0,10.0,12.0,11.0,12.0,10.0,7.0,10.7,1.187
3,10.0,11.0,8.0,10.0,10.0,10.0,9.0,12.0,11.0,11.0,12.0,10.0,10.0,9.0,10.0,11.0,11.0,10.0,11.0,11.0,10.0,12.0,11.0,8.0,10.0,11.0,11.0,9.0,10.0,7.0,10.2,1.166
4,10.0,10.0,8.0,10.0,9.0,9.0,9.0,11.0,11.0,10.0,11.0,10.0,10.0,9.0,10.0,9.0,10.0,9.0,9.0,11.0,10.0,11.0,10.0,8.0,10.0,11.0,10.0,9.0,10.0,7.0,9.7,0.971
5,10.0,9.0,8.0,9.0,9.0,8.0,9.0,11.0,11.0,8.0,9.0,9.0,9.0,9.0,8.0,9.0,8.0,8.0,9.0,11.0,9.0,9.0,9.0,8.0,10.0,10.0,9.0,9.0,9.0,7.0,9.0,0.931
6,10.0,8.0,8.0,9.0,8.0,8.0,8.0,10.0,11.0,8.0,9.0,8.0,9.0,7.0,8.0,9.0,8.0,8.0,7.0,9.0,9.0,8.0,7.0,8.0,9.0,10.0,9.0,8.0,9.0,6.0,8.433,1.023
7,10.0,8.0,6.0,8.0,8.0,7.0,7.0,9.0,9.0,7.0,8.0,7.0,8.0,7.0,8.0,9.0,8.0,8.0,7.0,8.0,9.0,6.0,7.0,8.0,9.0,9.0,9.0,8.0,8.0,6.0,7.867,0.991
8,9.0,7.0,6.0,7.0,7.0,7.0,7.0,9.0,9.0,7.0,7.0,7.0,8.0,6.0,8.0,9.0,8.0,8.0,7.0,8.0,9.0,6.0,7.0,7.0,9.0,9.0,8.0,7.0,8.0,5.0,7.533,1.056
9,9.0,7.0,6.0,7.0,7.0,7.0,7.0,8.0,8.0,7.0,5.0,7.0,7.0,6.0,7.0,8.0,8.0,8.0,6.0,8.0,8.0,4.0,7.0,7.0,9.0,8.0,7.0,5.0,8.0,4.0,7.0,1.238
10,8.0,7.0,5.0,7.0,7.0,6.0,7.0,8.0,8.0,6.0,5.0,6.0,7.0,6.0,6.0,8.0,8.0,6.0,5.0,8.0,8.0,3.0,7.0,7.0,7.0,8.0,7.0,5.0,6.0,4.0,6.533,1.284
11,8.0,7.0,5.0,6.0,6.0,6.0,7.0,7.0,8.0,5.0,5.0,6.0,7.0,6.0,6.0,7.0,7.0,6.0,5.0,8.0,8.0,3.0,7.0,7.0,5.0,7.0,7.0,5.0,5.0,4.0,6.2,1.222
12,7.0,6.0,5.0,6.0,5.0,6.0,6.0,7.0,8.0,5.0,5.0,5.0,6.0,5.0,6.0,7.0,7.0,6.0,4.0,8.0,7.0,3.0,6.0,7.0,5.0,7.0,6.0,5.0,5.0,4.0,5.833,1.157
