Generations,Run0,Run1,Run2,Run3,Run4,Run5,Run6,Run7,Run8,Run9,Run10,Run11,Run12,Run13,Run14,Run15,Run16,Run17,Run18,Run19,Run20,Run21,Run22,Run23,Run24,Run25,Run26,Run27,Run28,Run29,ABF,StdDev
0,12.0,15.0,12.0,11.0,13.0,14.0,13.0,12.0,12.0,12.0,10.0,12.0,14.0,14.0,12.0,11.0,14.0,13.0,12.0,13.0,13.0,10.0,9.0,12.0,12.0,13.0,11.0,12.0,12.0,15.0,12.333,1.374
1,11.0,13.0,12.0,11.0,13.0,13.0,12.0,10.0,12.0,12.0,10.0,12.0,14.0,12.0,10.0,11.0,13.0,13.0,12.0,12.0,12.0,10.0,9.0,12.0,12.0,12.0,11.0,12.0,12.0,13.0,11.767,1.116
2,8.0,13.0,12.0,10.0,11.0,13.0,12.0,10.0,10.0,11.0,10.0,12.0,13.0,12.0,10.0,11.0,11.0,13.0,12.0,11.0,12.0,10.0,9.0,11.0,11.0,12.0,11.0,12.0,12.0,8.0,11.1,1.325
3,8.0,12.0,12.0,10.0,11.0,13.0,11.0,10.0,10.0,10.0,10.0,12.0,12.0,12.0,10.0,11.0,11.0,12.0,9.0,11.0,12.0,10.0,9.0,11.0,11.0,12.0,11.0,12.0,11.0,8.0,10.8,1.222
4,8.0,11.0,12.0,10.0,10.0,9.0,11.0,10.0,10.0,9.0,10.0,11.0,12.0,10.0,10.0,10.0,11.0,8.0,9.0,11.0,12.0,10.0,9.0,11.0,11.0,12.0,11.0,12.0,11.0,8.0,10.3,1.187
5,8.0,9.0,9.0,10.0,8.0,9.0,11.0,10.0,10.0,9.0,10.0,11.0,12.0,10.0,10.0,9.0,10.0,8.0,9.0,11.0,12.0,10.0,9.0,11.0,11.0,12.0,11.0,12.0,11.0,8.0,10.0,1.238
6,8.0,9.0,9.0,10.0,7.0,9.0,11.0,9.0,10.0,9.0,10.0,11.0,12.0,10.0,10.0,9.0,10.0,8.0,9.0,11.0,12.0,10.0,9.0,11.0,11.0,12.0,8.0,12.0,9.0,8.0,9.767,1.334
7,8.0,9.0,9.0,10.0,7.0,9.0,11.0,9.0,10.0,9.0,10.0,11.0,9.0,9.0,10.0,9.0,10.0,8.0,8.0,11.0,11.0,10.0,9.0,11.0,11.0,11.0,8.0,12.0,9.0,8.0,9.533,1.204
8,8.0,9.0,9.0,10.0,7.0,9.0,11.0,9.0,10.0,9.0,8.0,11.0,9.0,8.0,10.0,9.0,10.0,8.0,8.0,11.0,11.0,9.0,9.0,11.0,11.0,10.0,8.0,12.0,8.0,8.0,9.333,1.247
9,8.0,9.0,9.0,9.0,7.0,9.0,11.0,9.0,10.0,9.0,8.0,11.0,9.0,8.0,10.0,9.0,10.0,8.0,8.0,11.0,11.0,9.0,9.0,11.0,11.0,9.0,8.0,12.0,8.0,8.0,9.267,1.236
10,8.0,9.0,9.0,9.0,7.0,9.0,11.0,9.0,10.0,9.0,8.0,11.0,9.0,8.0,10.0,9.0,10.0,8.0,8.0,11.0,10.0,9.0,9.0,11.0,11.0,9.0,8.0,11.0,8.0,8.0,9.2,1.137
11,8.0,9.0,9.0,8.0,7.0,9.0,11.0,9.0,10.0,9.0,8.0,11.0,9.0,8.0,10.0,9.0,7.0,8.0,8.0,10.0,10.0,9.0,9.0,10.0,9.0,9.0,8.0,11.0,8.0,8.0,8.933,1.062
12,7.0,9.0,9.0,8.0,7.0,9.0,11.0,9.0,10.0,9.0,8.0,11.0,9.0,8.0,10.0,9.0,7.0,8.0,8.0,10.0,10.0,8.0,9.0,8.0,9.0,9.0,8.0,11.0,6.0,8.0,8.733,1.209
13,7.0,9.0,7.0,8.0,7.0,9.0,10.0,9.0,9.0,9.0,8.0,11.0,7.0,8.0,10.0,9.0,7.0,8.0,8.0,10.0,10.0,8.0,9.0,6.0,9.0,9.0,8.0,11.0,6.0,8.0,8.467,1.284
14,7.0,9.0,7.0,8.0,7.0,9.0,10.0,9.0,9.0,9.0,8.0,11.0,7.0,8.0,10.0,9.0,7.0,6.0,8.0,10.0,10.0,8.0,9.0,6.0,9.0,8.0,8.0,11.0,6.0,5.0,8.267,1.482
15,7.0,9.0,7.0,7.0,7.0,9.0,10.0,9.0,9.0,9.0,8.0,10.0,7.0,8.0,10.0,9.0,7.0,6.0,8.0,10.0,10.0,8.0,9.0,6.0,7.0,8.0,8.0,9.0,6.0,5.0,8.067,1.365
16,7.0,9.0,7.0,7.0,7.0,9.0,9.0,8.0,9.0,9.0,7.0,8.0,7.0,8.0,10.0,9.0,7.0,6.0,8.0,10.0,10.0,8.0,9.0,6.0,7.0,8.0,8.0,7.0,6.0,5.0,7.833,1.267
17,7.0,8.0,7.0,7.0,6.0,9.0,9.0,8.0,9.0,7.0,7.0,7.0,7.0,8.0,10.0,9.0,7.0,6.0,7.0,8.0,10.0,8.0,9.0,6.0,7.0,8.0,8.0,6.0,6.0,5.0,7.533,1.231
18,7.0,8.0,7.0,7.0,6.0,9.0,8.0,8.0,9.0,6.0,7.0,7.0,7.0,8.0,10.0,9.0,7.0,6.0,7.0,8.0,10.0,8.0,9.0,6.0,7.0,8.0,8.0,6.0,6.0,5.0,7.467,1.231
19,7.0,8.0,7.0,7.0,6.0,9.0,8.0,8.0,9.0,6.0,7.0,7.0,7.0,8.0,10.0,9.0,7.0,6.0,7.0,8.0,10.0,8.0,7.0,6.0,7.0,7.0,8.0,6.0,6.0,5.0,7.367,1.197
20,7.0,8.0,7.0,7.0,6.0,9.0,8.0,8.0,9.0,6.0,7.0,7.0,7.0,7.0,10.0,9.0,7.0,6.0,7.0,8.0,10.0,6.0,7.0,6.0,7.0,6.0,8.0,4.0,6.0,5.0,7.167,1.344
21,7.0,7.0,7.0,7.0,6.0,9.0,8.0,8.0,9.0,6.0,7.0,7.0,7.0,7.0,10.0,9.0,7.0,6.0,7.0,8.0,10.0,6.0,7.0,6.0,7.0,6.0,8.0,4.0,6.0,5.0,7.133,1.335
22,7.0,7.0,7.0,7.0,6.0,9.0,8.0,8.0,9.0,6.0,7.0,7.0,7.0,4.0,9.0,9.0,7.0,6.0,7.0,8.0,8.0,6.0,7.0,6.0,7.0,6.0,8.0,4.0,6.0,5.0,6.933,1.289
23,7.0,7.0,7.0,7.0,6.0,7.0,8.0,8.0,9.0,6.0,5.0,7.0,7.0,4.0,9.0,8.0,7.0,6.0,7.0,8.0,8.0,6.0,7.0,6.0,7.0,6.0,8.0,4.0,6.0,5.0,6.767,1.23
24,7.0,7.0,7.0,7.0,6.0,7.0,8.0,8.0,9.0,6.0,5.0,7.0,7.0,4.0,9.0,7.0,7.0,6.0,7.0,8.0,8.0,6.0,7.0,6.0,7.0,6.0,7.0,4.0,6.0,5.0,6.7,1.187
25,7.0,7.0,7.0,7.0,6.0,7.0,8.0,8.0,9.0,6.0,5.0,7.0,7.0,4.0,9.0,7.0,7.0,6.0,7.0,7.0,8.0,6.0,7.0,6.0,7.0,5.0,7.0,4.0,6.0,5.0,6.633,1.197
26,6.0,7.0,7.0,7.0,6.0,7.0,8.0,8.0,9.0,6.0,5.0,7.0,7.0,4.0,9.0,7.0,7.0,6.0,7.0,7.0,8.0,5.0,7.0,6.0,7.0,5.0,7.0,4.0,6.0,5.0,6.567,1.23
27,6.0,7.0,7.0,7.0,6.0,7.0,8.0,8.0,9.0,6.0,5.0,7.0,4.0,4.0,9.0,7.0,7.0,6.0,7.0,7.0,8.0,5.0,7.0,6.0,7.0,5.0,7.0,4.0,6.0,5.0,6.467,1.31
28,6.0,7.0,7.0,7.0,6.0,7.0,8.0,8.0,9.0,5.0,5.0,7.0,4.0,4.0,9.0,7.0,7.0,6.0,7.0,7.0,8.0,5.0,7.0,6.0,7.0,5.0,7.0,4.0,6.0,5.0,6.433,1.334
29,6.0,7.0,7.0,7.0,6.0,7.0,8.0,7.0,7.0,5.0,5.0,7.0,4.0,4.0,9.0,7.0,7.0,6.0,7.0,7.0,8.0,5.0,7.0,6.0,7.0,5.0,7.0,4.0,6.0,5.0,6.333,1.22
30,6.0,7.0,7.0,7.0,6.0,7.0,8.0,7.0,7.0,5.0,5.0,7.0,4.0,4.0,9.0,7.0,7.0,6.0,7.0,7.0,8.0,5.0,7.0,6.0,7.0,5.0,7.0,4.0,6.0,5.0,6.333,1.22
31,6.0,7.0,7.0,6.0,6.0,7.0,8.0,7.0,7.0,5.0,5.0,7.0,4.0,4.0,9.0,7.0,7.0,6.0,7.0,7.0,8.0,5.0,7.0,6.0,7.0,5.0,7.0,4.0,6.0,5.0,6.3,1.215
32,6.0,7.0,7.0,6.0,6.0,7.0,8.0,7.0,7.0,5.0,5.0,7.0,3.0,4.0,7.0,7.0,7.0,6.0,7.0,7.0,8.0,5.0,7.0,6.0,7.0,5.0,7.0,4.0,6.0,5.0,6.2,1.194
33,6.0,7.0,7.0,6.0,6.0,7.0,8.0,7.0,7.0,5.0,5.0,7.0,3.0,4.0,7.0,7.0,7.0,6.0,7.0,7.0,8.0,5.0,7.0,6.0,7.0,5.0,7.0,4.0,6.0,5.0,6.2,1.194
34,5.0,7.0,7.0,6.0,6.0,7.0,8.0,7.0,7.0,5.0,5.0,7.0,3.0,4.0,7.0,7.0,7.0,6.0,7.0,7.0,8.0,5.0,7.0,6.0,7.0,5.0,7.0,4.0,6.0,5.0,6.167,1.213
35,5.0,7.0,7.0,6.0,6.0,7.0,8.0,7.0,7.0,5.0,5.0,7.0,3.0,4.0,7.0,7.0,7.0,6.0,6.0,7.0,7.0,5.0,7.0,6.0,7.0,5.0,7.0,4.0,6.0,5.0,6.1,1.165
36,5.0,7.0,7.0,6.0,6.0,7.0,8.0,7.0,7.0,5.0,5.0,5.0,3.0,4.0,7.0,7.0,7.0,6.0,6.0,7.0,7.0,5.0,7.0,6.0,7.0,5.0,7.0,4.0,6.0,5.0,6.033,1.169
37,4.0,7.0,7.0,6.0,6.0,7.0,8.0,7.0,7.0,5.0,5.0,5.0,3.0,4.0,5.0,7.0,7.0,6.0,6.0,7.0,7.0,4.0,7.0,6.0,7.0,5.0,7.0,4.0,6.0,5.0,5.9,1.248
38,4.0,6.0,7.0,6.0,6.0,7.0,8.0,6.0,7.0,5.0,5.0,5.0,3.0,4.0,5.0,7.0,7.0,6.0,6.0,6.0,7.0,4.0,7.0,6.0,7.0,5.0,7.0,4.0,6.0,5.0,5.8,1.194
39,4.0,6.0,7.0,6.0,6.0,7.0,8.0,6.0,7.0,5.0,5.0,5.0,3.0,4.0,5.0,7.0,7.0,6.0,6.0,6.0,7.0,4.0,7.0,3.0,7.0,5.0,7.0,4.0,6.0,5.0,5.7,1.295
40,4.0,6.0,7.0,6.0,6.0,7.0,8.0,6.0,7.0,5.0,5.0,5.0,3.0,4.0,5.0,7.0,7.0,6.0,6.0,6.0,7.0,4.0,7.0,3.0,7.0,5.0,7.0,4.0,6.0,5.0,5.7,1.295
41,4.0,6.0,7.0,6.0,6.0,7.0,8.0,6.0,7.0,5.0,5.0,5.0,3.0,4.0,5.0,7.0,7.0,6.0,6.0,6.0,7.0,4.0,6.0,3.0,6.0,5.0,7.0,4.0,6.0,5.0,5.633,1.251
42,4.0,6.0,7.0,6.0,6.0,7.0,8.0,6.0,7.0,5.0,5.0,5.0,3.0,4.0,5.0,7.0,6.0,6.0,6.0,6.0,7.0,4.0,6.0,3.0,6.0,5.0,7.0,4.0,6.0,5.0,5.6,1.227
43,4.0,6.0,7.0,6.0,6.0,7.0,7.0,6.0,7.0,5.0,5.0,5.0,3.0,4.0,5.0,7.0,6.0,6.0,5.0,6.0,7.0,4.0,6.0,3.0,6.0,5.0,7.0,4.0,6.0,5.0,5.533,1.176
44,4.0,6.0,7.0,6.0,6.0,7.0,7.0,6.0,7.0,5.0,5.0,5.0,3.0,4.0,5.0,7.0,6.0,6.0,5.0,6.0,7.0,4.0,6.0,3.0,6.0,5.0,7.0,4.0,6.0,5.0,5.533,1.176
45,4.0,6.0,7.0,6.0,6.0,7.0,7.0,6.0,7.0,5.0,5.0,5.0,3.0,4.0,5.0,7.0,6.0,6.0,5.0,6.0,7.0,4.0,5.0,3.0,6.0,5.0,7.0,4.0,6.0,5.0,5.5,1.176
46,4.0,5.0,7.0,6.0,6.0,7.0,6.0,6.0,7.0,5.0,5.0,5.0,3.0,4.0,5.0,7.0,6.0,6.0,5.0,6.0,7.0,4.0,5.0,3.0,6.0,4.0,7.0,4.0,6.0,5.0,5.4,1.172
47,4.0,5.0,7.0,6.0,6.0,7.0,6.0,6.0,7.0,5.0,5.0,5.0,3.0,4.0,5.0,7.0,6.0,6.0,5.0,6.0,7.0,4.0,3.0,3.0,6.0,4.0,6.0,4.0,6.0,5.0,5.3,1.215
48,4.0,5.0,7.0,6.0,6.0,7.0,6.0,5.0,7.0,5.0,5.0,5.0,3.0,4.0,5.0,7.0,6.0,6.0,4.0,6.0,7.0,4.0,3.0,3.0,5.0,4.0,6.0,4.0,6.0,3.0,5.133,1.284
49,4.0,4.0,7.0,6.0,6.0,7.0,6.0,5.0,7.0,5.0,5.0,5.0,3.0,4.0,5.0,7.0,6.0,6.0,4.0,6.0,7.0,4.0,3.0,3.0,5.0,4.0,6.0,4.0,6.0,3.0,5.1,1.3
50,4.0,4.0,7.0,6.0,6.0,7.0,6.0,5.0,7.0,5.0,5.0,5.0,3.0,4.0,5.0,7.0,6.0,6.0,4.0,6.0,7.0,4.0,3.0,3.0,5.0,4.0,6.0,4.0,6.0,3.0,5.1,1.3
51,4.0,4.0,7.0,6.0,6.0,7.0,6.0,5.0,7.0,5.0,5.0,5.0,3.0,4.0,5.0,7.0,6.0,6.0,4.0,6.0,7.0,4.0,3.0,3.0,5.0,3.0,6.0,4.0,6.0,3.0,5.067,1.34
52,4.0,4.0,7.0,6.0,6.0,7.0,6.0,5.0,7.0,5.0,5.0,4.0,3.0,4.0,5.0,7.0,6.0,4.0,4.0,5.0,7.0,4.0,3.0,3.0,5.0,3.0,6.0,4.0,6.0,3.0,4.933,1.34
53,4.0,4.0,7.0,6.0,6.0,7.0,6.0,5.0,7.0,5.0,4.0,4.0,3.0,4.0,5.0,7.0,6.0,4.0,4.0,5.0,7.0,4.0,3.0,3.0,5.0,3.0,6.0,4.0,6.0,3.0,4.9,1.35
54,4.0,4.0,7.0,6.0,6.0,7.0,6.0,5.0,7.0,5.0,4.0,4.0,3.0,4.0,5.0,7.0,6.0,4.0,4.0,5.0,7.0,4.0,3.0,3.0,5.0,2.0,6.0,4.0,6.0,3.0,4.867,1.408
55,2.0,4.0,7.0,6.0,6.0,7.0,6.0,5.0,7.0,5.0,4.0,4.0,3.0,4.0,5.0,7.0,6.0,4.0,4.0,5.0,6.0,4.0,3.0,3.0,5.0,2.0,6.0,4.0,6.0,3.0,4.767,1.453
56,2.0,4.0,7.0,6.0,6.0,7.0,6.0,5.0,7.0,5.0,4.0,4.0,3.0,4.0,5.0,7.0,6.0,4.0,4.0,5.0,6.0,4.0,3.0,3.0,5.0,2.0,6.0,4.0,6.0,3.0,4.767,1.453
57,2.0,4.0,7.0,6.0,6.0,7.0,6.0,5.0,7.0,5.0,4.0,4.0,3.0,4.0,5.0,7.0,6.0,4.0,4.0,5.0,6.0,4.0,3.0,3.0,5.0,2.0,6.0,4.0,6.0,3.0,4.767,1.453
58,2.0,4.0,7.0,6.0,6.0,7.0,6.0,5.0,7.0,5.0,4.0,4.0,3.0,4.0,5.0,7.0,6.0,4.0,4.0,5.0,6.0,4.0,3.0,3.0,5.0,2.0,5.0,4.0,6.0,3.0,4.733,1.436
59,2.0,4.0,7.0,6.0,6.0,7.0,6.0,5.0,7.0,5.0,4.0,4.0,3.0,4.0,5.0,7.0,6.0,4.0,4.0,5.0,6.0,4.0,3.0,3.0,5.0,2.0,5.0,4.0,6.0,3.0,4.733,1.436
60,2.0,4.0,7.0,6.0,6.0,7.0,6.0,5.0,7.0,5.0,4.0,4.0,3.0,4.0,5.0,7.0,6.0,4.0,4.0,5.0,6.0,4.0,3.0,3.0,5.0,2.0,5.0,4.0,6.0,2.0,4.7,1.487
61,2.0,4.0,7.0,6.0,6.0,7.0,6.0,5.0,7.0,5.0,4.0,4.0,3.0,4.0,5.0,7.0,6.0,4.0,4.0,5.0,6.0,4.0,3.0,3.0,5.0,2.0,5.0,4.0,6.0,2.0,4.7,1.487
