Generations,Run0,Run1,Run2,Run3,Run4,Run5,Run6,Run7,Run8,Run9,Run10,Run11,Run12,Run13,Run14,Run15,Run16,Run17,Run18,Run19,Run20,Run21,Run22,Run23,Run24,Run25,Run26,Run27,Run28,Run29,ABF,StdDev
0,25.0,28.0,26.0,27.0,24.0,27.0,27.0,26.0,26.0,27.0,27.0,26.0,26.0,26.0,27.0,25.0,27.0,25.0,26.0,26.0,23.0,25.0,28.0,27.0,27.0,27.0,27.0,25.0,28.0,25.0,26.2,1.166
1,25.0,28.0,26.0,26.0,24.0,27.0,24.0,26.0,26.0,27.0,24.0,26.0,26.0,24.0,26.0,25.0,27.0,25.0,26.0,26.0,23.0,25.0,26.0,25.0,27.0,27.0,27.0,25.0,28.0,25.0,25.733,1.209
2,25.0,21.0,26.0,26.0,24.0,27.0,24.0,26.0,25.0,27.0,24.0,26.0,26.0,24.0,26.0,25.0,25.0,25.0,25.0,26.0,23.0,25.0,26.0,25.0,26.0,26.0,27.0,25.0,25.0,25.0,25.2,1.222
3,23.0,21.0,26.0,24.0,24.0,26.0,24.0,25.0,25.0,27.0,22.0,26.0,26.0,24.0,26.0,25.0,25.0,25.0,24.0,26.0,23.0,25.0,26.0,25.0,26.0,26.0,26.0,25.0,25.0,25.0,24.867,1.31
4,23.0,21.0,26.0,24.0,24.0,26.0,24.0,25.0,24.0,27.0,22.0,26.0,26.0,24.0,26.0,25.0,25.0,25.0,24.0,26.0,23.0,25.0,26.0,25.0,26.0,26.0,25.0,25.0,25.0,25.0,24.8,1.301
5,23.0,21.0,26.0,24.0,24.0,26.0,24.0,25.0,24.0,26.0,22.0,26.0,26.0,24.0,24.0,25.0,25.0,25.0,24.0,24.0,23.0,25.0,26.0,25.0,25.0,26.0,25.0,24.0,25.0,25.0,24.567,1.202
6,23.0,21.0,26.0,24.0,24.0,24.0,24.0,25.0,24.0,26.0,22.0,25.0,25.0,24.0,24.0,25.0,25.0,25.0,24.0,24.0,23.0,25.0,24.0,25.0,25.0,26.0,24.0,24.0,25.0,25.0,24.333,1.075
7,23.0,21.0,25.0,24.0,24.0,24.0,24.0,24.0,24.0,26.0,22.0,25.0,25.0,24.0,24.0,24.0,25.0,25.0,24.0,24.0,23.0,25.0,24.0,25.0,25.0,26.0,24.0,24.0,25.0,25.0,24.233,1.023
8,23.0,21.0,25.0,24.0,24.0,24.0,24.0,24.0,24.0,26.0,22.0,25.0,25.0,24.0,24.0,24.0,25.0,25.0,24.0,24.0,23.0,25.0,24.0,25.0,25.0,26.0,24.0,24.0,24.0,25.0,24.2,1.013
9,23.0,21.0,25.0,24.0,24.0,24.0,24.0,24.0,24.0,26.0,22.0,25.0,25.0,24.0,24.0,24.0,25.0,25.0,24.0,24.0,23.0,25.0,24.0,25.0,25.0,25.0,24.0,24.0,24.0,25.0,24.167,0.969
10,23.0,21.0,25.0,24.0,24.0,24.0,24.0,24.0,24.0,26.0,22.0,25.0,22.0,24.0,24.0,24.0,25.0,25.0,24.0,24.0,23.0,23.0,24.0,25.0,25.0,25.0,24.0,24.0,24.0,25.0,24.0,1.033
11,23.0,21.0,25.0,24.0,24.0,24.0,24.0,24.0,22.0,22.0,22.0,24.0,22.0,24.0,24.0,24.0,25.0,25.0,24.0,24.0,23.0,23.0,24.0,25.0,25.0,25.0,24.0,24.0,24.0,25.0,23.767,1.055
12,23.0,21.0,25.0,24.0,24.0,24.0,24.0,24.0,22.0,22.0,22.0,24.0,22.0,24.0,22.0,24.0,25.0,25.0,24.0,24.0,23.0,23.0,24.0,24.0,25.0,25.0,24.0,24.0,24.0,25.0,23.667,1.075
13,23.0,21.0,24.0,24.0,24.0,24.0,24.0,21.0,21.0,22.0,22.0,24.0,22.0,24.0,22.0,24.0,25.0,25.0,24.0,24.0,23.0,23.0,22.0,24.0,25.0,25.0,24.0,24.0,24.0,25.0,23.433,1.23
14,23.0,21.0,24.0,24.0,24.0,24.0,24.0,21.0,21.0,22.0,22.0,24.0,22.0,24.0,22.0,24.0,24.0,25.0,24.0,24.0,23.0,23.0,22.0,24.0,24.0,25.0,24.0,24.0,24.0,24.0,23.333,1.135
15,23.0,21.0,24.0,24.0,24.0,24.0,24.0,21.0,21.0,22.0,22.0,24.0,22.0,24.0,22.0,24.0,24.0,25.0,24.0,24.0,23.0,23.0,22.0,24.0,24.0,25.0,23.0,24.0,24.0,24.0,23.3,1.13
16,23.0,21.0,24.0,24.0,24.0,24.0,24.0,21.0,21.0,22.0,22.0,24.0,22.0,24.0,22.0,24.0,24.0,24.0,24.0,24.0,23.0,23.0,22.0,24.0,24.0,25.0,23.0,24.0,24.0,24.0,23.267,1.093
17,23.0,21.0,24.0,24.0,24.0,23.0,24.0,21.0,21.0,22.0,22.0,24.0,22.0,24.0,22.0,24.0,24.0,24.0,24.0,24.0,23.0,23.0,22.0,24.0,24.0,25.0,23.0,24.0,24.0,24.0,23.233,1.086
18,23.0,21.0,24.0,24.0,24.0,23.0,24.0,21.0,21.0,22.0,22.0,24.0,22.0,24.0,22.0,24.0,24.0,24.0,24.0,24.0,23.0,23.0,22.0,24.0,24.0,23.0,23.0,24.0,24.0,24.0,23.167,1.035
19,23.0,21.0,24.0,24.0,22.0,23.0,24.0,21.0,21.0,22.0,22.0,24.0,22.0,24.0,22.0,24.0,24.0,24.0,23.0,22.0,22.0,23.0,22.0,24.0,24.0,23.0,23.0,24.0,24.0,24.0,22.967,1.048
20,23.0,21.0,24.0,24.0,22.0,23.0,24.0,21.0,21.0,22.0,22.0,23.0,22.0,24.0,22.0,23.0,24.0,24.0,23.0,22.0,22.0,23.0,22.0,24.0,24.0,23.0,22.0,24.0,24.0,24.0,22.867,1.024
21,23.0,21.0,24.0,24.0,22.0,23.0,24.0,21.0,21.0,22.0,22.0,23.0,22.0,24.0,22.0,23.0,24.0,24.0,23.0,22.0,22.0,23.0,22.0,24.0,24.0,23.0,22.0,24.0,23.0,24.0,22.833,1.003
22,23.0,21.0,24.0,24.0,22.0,23.0,24.0,21.0,21.0,22.0,22.0,23.0,22.0,24.0,22.0,23.0,24.0,24.0,23.0,22.0,22.0,23.0,22.0,24.0,24.0,23.0,22.0,24.0,23.0,24.0,22.833,1.003
23,23.0,21.0,24.0,24.0,22.0,23.0,24.0,21.0,21.0,22.0,22.0,23.0,22.0,23.0,22.0,23.0,24.0,24.0,23.0,22.0,22.0,23.0,22.0,22.0,24.0,23.0,22.0,23.0,23.0,24.0,22.7,0.936
24,23.0,21.0,24.0,24.0,22.0,23.0,24.0,21.0,21.0,22.0,22.0,23.0,22.0,23.0,22.0,23.0,24.0,23.0,23.0,22.0,22.0,23.0,22.0,22.0,24.0,23.0,22.0,23.0,23.0,24.0,22.667,0.907
25,23.0,21.0,24.0,24.0,22.0,23.0,24.0,21.0,21.0,22.0,22.0,23.0,22.0,23.0,22.0,23.0,24.0,23.0,23.0,22.0,22.0,23.0,22.0,22.0,24.0,23.0,22.0,23.0,23.0,24.0,22.667,0.907
26,23.0,21.0,24.0,24.0,22.0,23.0,24.0,21.0,21.0,22.0,22.0,20.0,22.0,23.0,22.0,23.0,24.0,23.0,23.0,22.0,22.0,23.0,22.0,22.0,24.0,23.0,22.0,23.0,23.0,24.0,22.567,1.023
27,23.0,21.0,20.0,24.0,22.0,23.0,24.0,21.0,21.0,22.0,22.0,20.0,22.0,23.0,22.0,23.0,24.0,23.0,23.0,22.0,22.0,23.0,22.0,22.0,23.0,23.0,22.0,23.0,23.0,24.0,22.4,1.052
28,22.0,21.0,20.0,24.0,22.0,23.0,24.0,21.0,21.0,22.0,22.0,20.0,22.0,23.0,22.0,23.0,24.0,23.0,23.0,22.0,22.0,23.0,22.0,22.0,23.0,22.0,22.0,23.0,23.0,24.0,22.333,1.043
29,22.0,21.0,20.0,24.0,22.0,23.0,24.0,21.0,21.0,22.0,22.0,20.0,22.0,23.0,22.0,23.0,24.0,23.0,23.0,22.0,22.0,23.0,22.0,22.0,23.0,22.0,22.0,23.0,22.0,24.0,22.3,1.038
30,22.0,21.0,20.0,24.0,22.0,23.0,24.0,21.0,21.0,22.0,22.0,20.0,22.0,23.0,22.0,23.0,22.0,23.0,23.0,22.0,22.0,23.0,22.0,22.0,23.0,22.0,22.0,23.0,22.0,24.0,22.233,0.989
31,22.0,21.0,20.0,23.0,22.0,23.0,24.0,21.0,21.0,22.0,22.0,20.0,22.0,23.0,22.0,23.0,22.0,23.0,23.0,22.0,22.0,23.0,22.0,22.0,23.0,22.0,22.0,23.0,22.0,24.0,22.2,0.945
32,22.0,21.0,20.0,23.0,22.0,23.0,23.0,21.0,21.0,22.0,22.0,20.0,22.0,23.0,22.0,23.0,22.0,23.0,23.0,22.0,22.0,23.0,22.0,22.0,23.0,22.0,22.0,23.0,22.0,23.0,22.133,0.846
33,22.0,21.0,20.0,23.0,20.0,23.0,23.0,20.0,21.0,22.0,22.0,20.0,22.0,23.0,22.0,23.0,22.0,23.0,23.0,22.0,22.0,23.0,22.0,22.0,23.0,22.0,22.0,22.0,22.0,23.0,22.0,0.966
