Generations,Run0,Run1,Run2,Run3,Run4,Run5,Run6,Run7,Run8,Run9,Run10,Run11,Run12,Run13,Run14,Run15,Run16,Run17,Run18,Run19,Run20,Run21,Run22,Run23,Run24,Run25,Run26,Run27,Run28,Run29,ABF,StdDev
0,25.0,24.0,26.0,26.0,26.0,25.0,27.0,25.0,25.0,27.0,27.0,24.0,25.0,24.0,23.0,23.0,27.0,20.0,24.0,23.0,25.0,23.0,26.0,24.0,24.0,26.0,23.0,23.0,26.0,27.0,24.767,1.627
1,25.0,24.0,24.0,25.0,24.0,25.0,23.0,25.0,23.0,26.0,26.0,24.0,25.0,24.0,23.0,23.0,24.0,20.0,24.0,23.0,23.0,23.0,22.0,24.0,24.0,25.0,23.0,23.0,26.0,25.0,23.933,1.263
2,25.0,24.0,23.0,24.0,23.0,24.0,23.0,24.0,23.0,25.0,25.0,24.0,25.0,24.0,21.0,23.0,24.0,20.0,24.0,23.0,23.0,23.0,22.0,23.0,23.0,22.0,23.0,23.0,21.0,24.0,23.267,1.181
3,24.0,24.0,22.0,22.0,23.0,24.0,23.0,23.0,23.0,25.0,23.0,24.0,22.0,23.0,21.0,23.0,23.0,20.0,22.0,23.0,22.0,23.0,22.0,23.0,21.0,22.0,23.0,23.0,21.0,23.0,22.667,1.043
4,24.0,24.0,20.0,22.0,21.0,23.0,21.0,23.0,23.0,24.0,21.0,22.0,20.0,22.0,21.0,23.0,23.0,20.0,22.0,23.0,20.0,22.0,20.0,21.0,21.0,21.0,23.0,23.0,21.0,23.0,21.9,1.274
5,24.0,24.0,20.0,21.0,21.0,22.0,21.0,23.0,23.0,22.0,20.0,20.0,20.0,22.0,21.0,22.0,23.0,20.0,22.0,23.0,20.0,21.0,18.0,21.0,21.0,21.0,23.0,23.0,21.0,23.0,21.533,1.384
6,24.0,22.0,18.0,21.0,21.0,19.0,21.0,23.0,22.0,22.0,20.0,20.0,20.0,19.0,20.0,22.0,23.0,18.0,22.0,23.0,20.0,21.0,18.0,19.0,21.0,21.0,21.0,22.0,20.0,23.0,20.867,1.586
7,24.0,21.0,17.0,21.0,21.0,19.0,21.0,20.0,22.0,22.0,19.0,20.0,19.0,19.0,20.0,20.0,22.0,18.0,22.0,23.0,20.0,21.0,18.0,19.0,21.0,21.0,21.0,21.0,20.0,23.0,20.5,1.565
8,23.0,21.0,16.0,21.0,21.0,19.0,21.0,19.0,22.0,22.0,19.0,20.0,18.0,19.0,20.0,19.0,22.0,17.0,22.0,23.0,20.0,21.0,18.0,18.0,21.0,21.0,21.0,19.0,19.0,22.0,20.133,1.727
9,23.0,21.0,16.0,21.0,21.0,19.0,21.0,18.0,20.0,21.0,19.0,20.0,18.0,19.0,20.0,18.0,22.0,17.0,21.0,21.0,18.0,21.0,17.0,18.0,20.0,21.0,19.0,19.0,19.0,21.0,19.633,1.622
10,23.0,21.0,16.0,20.0,21.0,18.0,21.0,18.0,20.0,20.0,19.0,19.0,17.0,18.0,20.0,18.0,20.0,17.0,19.0,21.0,18.0,21.0,17.0,17.0,20.0,20.0,19.0,19.0,19.0,20.0,19.2,1.558
11,23.0,20.0,14.0,19.0,21.0,18.0,21.0,17.0,19.0,19.0,19.0,19.0,16.0,18.0,20.0,18.0,18.0,15.0,19.0,21.0,18.0,20.0,17.0,16.0,20.0,19.0,19.0,19.0,18.0,20.0,18.667,1.85
12,23.0,20.0,14.0,19.0,19.0,18.0,20.0,17.0,17.0,19.0,19.0,18.0,16.0,18.0,17.0,18.0,18.0,15.0,19.0,21.0,17.0,19.0,17.0,16.0,20.0,18.0,19.0,19.0,18.0,20.0,18.267,1.769
13,22.0,20.0,14.0,19.0,19.0,18.0,19.0,17.0,17.0,18.0,19.0,18.0,16.0,18.0,17.0,17.0,18.0,15.0,19.0,20.0,16.0,18.0,17.0,15.0,19.0,17.0,19.0,19.0,18.0,20.0,17.933,1.672
14,21.0,20.0,14.0,19.0,18.0,18.0,19.0,17.0,17.0,18.0,19.0,16.0,16.0,17.0,16.0,16.0,18.0,15.0,19.0,20.0,16.0,18.0,17.0,15.0,18.0,14.0,19.0,19.0,18.0,19.0,17.533,1.746
15,20.0,20.0,14.0,19.0,18.0,17.0,18.0,17.0,17.0,18.0,19.0,16.0,16.0,17.0,16.0,16.0,18.0,15.0,19.0,19.0,14.0,18.0,17.0,15.0,18.0,14.0,19.0,18.0,17.0,19.0,17.267,1.692
16,19.0,20.0,14.0,19.0,17.0,15.0,18.0,17.0,16.0,18.0,19.0,16.0,16.0,17.0,16.0,15.0,17.0,15.0,17.0,19.0,14.0,17.0,16.0,15.0,18.0,14.0,19.0,18.0,16.0,18.0,16.833,1.655
17,17.0,19.0,14.0,18.0,17.0,14.0,18.0,17.0,16.0,18.0,19.0,16.0,15.0,17.0,16.0,15.0,16.0,15.0,17.0,18.0,14.0,17.0,15.0,15.0,18.0,14.0,19.0,18.0,16.0,18.0,16.533,1.565
18,17.0,18.0,14.0,18.0,16.0,14.0,18.0,15.0,16.0,17.0,19.0,16.0,15.0,16.0,15.0,15.0,16.0,15.0,16.0,18.0,14.0,17.0,15.0,15.0,18.0,14.0,18.0,18.0,16.0,17.0,16.2,1.447
19,17.0,18.0,14.0,18.0,16.0,14.0,17.0,15.0,16.0,17.0,18.0,15.0,15.0,15.0,15.0,15.0,16.0,15.0,16.0,16.0,14.0,16.0,15.0,14.0,18.0,14.0,18.0,18.0,16.0,16.0,15.9,1.35
20,17.0,18.0,14.0,18.0,16.0,14.0,16.0,14.0,15.0,17.0,18.0,15.0,13.0,15.0,13.0,15.0,16.0,15.0,15.0,16.0,14.0,14.0,15.0,14.0,18.0,14.0,18.0,18.0,16.0,15.0,15.533,1.565
21,17.0,18.0,14.0,18.0,16.0,14.0,16.0,14.0,15.0,17.0,18.0,15.0,12.0,15.0,13.0,15.0,16.0,15.0,15.0,16.0,14.0,14.0,15.0,14.0,18.0,14.0,18.0,18.0,16.0,14.0,15.467,1.648
