Generations,Run0,Run1,Run2,Run3,Run4,Run5,Run6,Run7,Run8,Run9,Run10,Run11,Run12,Run13,Run14,Run15,Run16,Run17,Run18,Run19,Run20,Run21,Run22,Run23,Run24,Run25,Run26,Run27,Run28,Run29,ABF,StdDev
0,51.0,55.0,53.0,54.0,56.0,56.0,56.0,55.0,54.0,57.0,56.0,55.0,55.0,56.0,55.0,51.0,57.0,56.0,55.0,57.0,55.0,57.0,57.0,58.0,55.0,56.0,60.0,57.0,54.0,56.0,55.5,1.803
1,51.0,53.0,53.0,54.0,54.0,53.0,56.0,55.0,54.0,56.0,55.0,55.0,55.0,56.0,55.0,51.0,56.0,56.0,55.0,56.0,55.0,57.0,57.0,53.0,55.0,56.0,56.0,57.0,54.0,56.0,54.833,1.551
2,51.0,52.0,53.0,54.0,54.0,53.0,56.0,52.0,54.0,55.0,55.0,55.0,54.0,53.0,54.0,51.0,56.0,51.0,52.0,56.0,55.0,51.0,57.0,53.0,55.0,56.0,55.0,57.0,54.0,56.0,54.0,1.789
3,50.0,52.0,53.0,54.0,53.0,52.0,56.0,52.0,54.0,55.0,54.0,55.0,52.0,53.0,54.0,50.0,53.0,51.0,52.0,55.0,52.0,51.0,55.0,53.0,55.0,55.0,55.0,53.0,54.0,56.0,53.3,1.636
4,50.0,52.0,53.0,54.0,52.0,52.0,56.0,52.0,52.0,53.0,52.0,52.0,52.0,53.0,54.0,50.0,53.0,51.0,52.0,55.0,52.0,51.0,55.0,53.0,54.0,55.0,55.0,53.0,54.0,55.0,52.9,1.513
5,50.0,52.0,53.0,54.0,52.0,52.0,56.0,52.0,52.0,53.0,52.0,52.0,52.0,53.0,54.0,50.0,51.0,51.0,52.0,55.0,50.0,51.0,55.0,53.0,54.0,54.0,55.0,53.0,54.0,55.0,52.733,1.59
6,50.0,50.0,53.0,54.0,52.0,49.0,56.0,52.0,52.0,53.0,52.0,52.0,51.0,53.0,54.0,46.0,51.0,48.0,52.0,55.0,50.0,51.0,55.0,53.0,53.0,54.0,55.0,53.0,50.0,55.0,52.133,2.232
7,50.0,50.0,53.0,54.0,52.0,49.0,56.0,52.0,52.0,53.0,52.0,52.0,51.0,53.0,54.0,46.0,51.0,48.0,50.0,55.0,50.0,51.0,51.0,53.0,53.0,54.0,53.0,49.0,50.0,51.0,51.6,2.107
8,50.0,50.0,53.0,54.0,52.0,49.0,56.0,52.0,52.0,53.0,52.0,52.0,51.0,53.0,51.0,46.0,51.0,48.0,50.0,55.0,50.0,51.0,51.0,53.0,53.0,54.0,53.0,49.0,50.0,51.0,51.5,2.062
9,50.0,50.0,53.0,54.0,52.0,49.0,56.0,52.0,51.0,53.0,52.0,52.0,51.0,53.0,50.0,46.0,51.0,48.0,50.0,55.0,50.0,51.0,51.0,53.0,53.0,54.0,53.0,49.0,48.0,51.0,51.367,2.152
10,50.0,50.0,53.0,54.0,52.0,49.0,55.0,52.0,51.0,53.0,52.0,52.0,51.0,53.0,50.0,46.0,51.0,47.0,50.0,55.0,50.0,51.0,51.0,53.0,53.0,54.0,53.0,49.0,48.0,51.0,51.3,2.147
11,50.0,50.0,52.0,54.0,51.0,49.0,51.0,52.0,51.0,51.0,52.0,52.0,51.0,53.0,50.0,46.0,51.0,47.0,50.0,55.0,50.0,51.0,51.0,53.0,49.0,54.0,53.0,49.0,48.0,51.0,50.9,1.972
12,50.0,50.0,52.0,53.0,51.0,46.0,51.0,52.0,48.0,49.0,52.0,52.0,51.0,53.0,50.0,46.0,50.0,47.0,50.0,54.0,50.0,51.0,51.0,53.0,49.0,54.0,53.0,49.0,48.0,51.0,50.533,2.109
13,50.0,50.0,52.0,53.0,51.0,46.0,51.0,51.0,48.0,49.0,52.0,52.0,50.0,49.0,48.0,46.0,50.0,47.0,50.0,54.0,50.0,51.0,51.0,53.0,49.0,52.0,53.0,49.0,48.0,51.0,50.2,2.007
14,48.0,50.0,52.0,52.0,51.0,46.0,51.0,51.0,48.0,49.0,51.0,52.0,50.0,49.0,48.0,46.0,50.0,47.0,50.0,54.0,49.0,51.0,51.0,53.0,49.0,52.0,52.0,49.0,48.0,51.0,50.0,1.949
15,47.0,50.0,48.0,52.0,50.0,46.0,51.0,51.0,48.0,49.0,51.0,52.0,49.0,49.0,48.0,46.0,50.0,47.0,50.0,54.0,49.0,51.0,51.0,53.0,48.0,51.0,52.0,49.0,48.0,51.0,49.7,1.969
16,47.0,49.0,48.0,49.0,50.0,46.0,51.0,51.0,48.0,49.0,49.0,52.0,49.0,49.0,46.0,46.0,50.0,47.0,50.0,48.0,49.0,49.0,51.0,53.0,48.0,51.0,49.0,49.0,48.0,50.0,49.033,1.683
17,47.0,49.0,48.0,49.0,47.0,46.0,51.0,51.0,46.0,49.0,49.0,52.0,49.0,49.0,46.0,46.0,50.0,47.0,50.0,48.0,49.0,49.0,50.0,53.0,47.0,51.0,49.0,49.0,48.0,50.0,48.8,1.778
18,47.0,49.0,47.0,49.0,47.0,46.0,51.0,51.0,46.0,49.0,48.0,52.0,49.0,49.0,46.0,46.0,50.0,47.0,50.0,48.0,49.0,49.0,50.0,53.0,47.0,51.0,49.0,49.0,48.0,50.0,48.733,1.806
19,47.0,49.0,47.0,49.0,47.0,45.0,50.0,51.0,46.0,49.0,48.0,52.0,49.0,49.0,46.0,46.0,49.0,47.0,50.0,48.0,48.0,49.0,50.0,53.0,47.0,51.0,49.0,49.0,48.0,50.0,48.6,1.818
20,46.0,49.0,47.0,49.0,47.0,45.0,50.0,49.0,46.0,49.0,48.0,52.0,48.0,49.0,46.0,46.0,49.0,47.0,50.0,48.0,48.0,49.0,50.0,52.0,47.0,48.0,48.0,47.0,48.0,48.0,48.167,1.635
21,46.0,49.0,47.0,49.0,47.0,45.0,49.0,49.0,45.0,49.0,46.0,52.0,48.0,49.0,46.0,46.0,49.0,47.0,50.0,48.0,47.0,49.0,50.0,52.0,47.0,48.0,48.0,47.0,48.0,48.0,48.0,1.713
22,46.0,48.0,47.0,49.0,47.0,45.0,49.0,49.0,45.0,49.0,46.0,48.0,48.0,49.0,46.0,46.0,49.0,43.0,50.0,48.0,45.0,49.0,49.0,52.0,47.0,48.0,48.0,47.0,48.0,48.0,47.6,1.781
23,46.0,48.0,47.0,47.0,47.0,45.0,49.0,49.0,45.0,47.0,46.0,48.0,48.0,49.0,46.0,46.0,49.0,43.0,50.0,48.0,45.0,49.0,49.0,52.0,47.0,48.0,47.0,47.0,48.0,48.0,47.433,1.745
24,46.0,48.0,47.0,47.0,47.0,45.0,49.0,49.0,45.0,47.0,46.0,48.0,48.0,49.0,46.0,46.0,49.0,43.0,50.0,48.0,43.0,49.0,49.0,52.0,47.0,48.0,47.0,47.0,48.0,48.0,47.367,1.871
25,46.0,48.0,47.0,47.0,47.0,45.0,48.0,49.0,44.0,47.0,46.0,48.0,47.0,49.0,46.0,46.0,48.0,43.0,48.0,48.0,43.0,49.0,49.0,52.0,46.0,48.0,47.0,47.0,47.0,48.0,47.1,1.814
26,46.0,48.0,46.0,47.0,47.0,45.0,48.0,49.0,44.0,47.0,46.0,48.0,47.0,49.0,46.0,46.0,48.0,43.0,48.0,48.0,43.0,49.0,48.0,52.0,46.0,48.0,47.0,47.0,47.0,48.0,47.033,1.798
27,46.0,48.0,46.0,47.0,47.0,45.0,48.0,48.0,44.0,47.0,46.0,48.0,47.0,49.0,46.0,46.0,48.0,43.0,48.0,48.0,43.0,48.0,48.0,49.0,46.0,44.0,45.0,47.0,47.0,48.0,46.667,1.619
28,46.0,48.0,46.0,47.0,47.0,45.0,47.0,48.0,44.0,47.0,46.0,48.0,47.0,49.0,46.0,44.0,48.0,43.0,46.0,46.0,43.0,46.0,48.0,49.0,46.0,44.0,45.0,47.0,46.0,47.0,46.3,1.574
29,46.0,48.0,46.0,47.0,47.0,45.0,47.0,46.0,44.0,47.0,45.0,48.0,47.0,49.0,46.0,44.0,48.0,43.0,46.0,46.0,43.0,46.0,45.0,49.0,46.0,44.0,45.0,47.0,46.0,45.0,46.033,1.538
30,46.0,48.0,46.0,47.0,43.0,45.0,47.0,46.0,44.0,47.0,45.0,48.0,47.0,49.0,46.0,44.0,48.0,43.0,46.0,46.0,43.0,46.0,45.0,49.0,46.0,44.0,45.0,47.0,44.0,45.0,45.833,1.655
31,46.0,45.0,46.0,47.0,42.0,45.0,47.0,46.0,43.0,47.0,43.0,48.0,47.0,48.0,46.0,40.0,48.0,42.0,46.0,46.0,43.0,46.0,45.0,48.0,45.0,44.0,45.0,46.0,44.0,45.0,45.3,1.952
32,46.0,45.0,42.0,47.0,42.0,45.0,47.0,46.0,43.0,47.0,43.0,48.0,47.0,48.0,46.0,40.0,48.0,42.0,46.0,45.0,43.0,46.0,45.0,48.0,44.0,44.0,45.0,45.0,44.0,45.0,45.067,2.032
33,46.0,45.0,42.0,47.0,42.0,45.0,47.0,46.0,43.0,47.0,43.0,48.0,47.0,48.0,46.0,40.0,48.0,42.0,45.0,45.0,43.0,46.0,45.0,43.0,44.0,44.0,44.0,45.0,42.0,45.0,44.767,2.044
34,46.0,42.0,42.0,47.0,42.0,44.0,47.0,46.0,43.0,47.0,43.0,48.0,47.0,48.0,46.0,38.0,48.0,41.0,45.0,45.0,43.0,46.0,45.0,43.0,44.0,44.0,44.0,44.0,42.0,45.0,44.5,2.32
35,46.0,42.0,42.0,46.0,42.0,44.0,47.0,46.0,43.0,47.0,43.0,48.0,47.0,48.0,42.0,38.0,46.0,41.0,45.0,45.0,43.0,46.0,45.0,43.0,44.0,44.0,44.0,44.0,42.0,45.0,44.267,2.235
36,46.0,42.0,42.0,46.0,42.0,44.0,47.0,46.0,43.0,47.0,43.0,47.0,47.0,48.0,42.0,38.0,46.0,41.0,45.0,45.0,43.0,46.0,45.0,43.0,44.0,42.0,44.0,43.0,42.0,45.0,44.133,2.232
37,46.0,42.0,42.0,46.0,42.0,44.0,47.0,46.0,43.0,47.0,43.0,45.0,47.0,48.0,42.0,38.0,46.0,40.0,45.0,45.0,43.0,46.0,45.0,43.0,44.0,42.0,44.0,43.0,42.0,42.0,43.933,2.25
38,46.0,42.0,42.0,46.0,42.0,44.0,47.0,46.0,43.0,47.0,43.0,45.0,47.0,48.0,42.0,38.0,46.0,38.0,45.0,45.0,43.0,46.0,45.0,43.0,44.0,42.0,44.0,43.0,42.0,40.0,43.8,2.468
39,46.0,42.0,42.0,46.0,42.0,44.0,44.0,45.0,43.0,47.0,43.0,45.0,47.0,48.0,42.0,37.0,46.0,38.0,45.0,45.0,43.0,45.0,45.0,43.0,39.0,42.0,44.0,43.0,42.0,40.0,43.433,2.565
40,44.0,41.0,42.0,46.0,42.0,44.0,44.0,45.0,43.0,47.0,43.0,45.0,46.0,48.0,42.0,37.0,46.0,38.0,45.0,45.0,42.0,45.0,45.0,43.0,39.0,42.0,44.0,43.0,42.0,39.0,43.233,2.565
41,43.0,41.0,42.0,46.0,42.0,44.0,44.0,44.0,43.0,47.0,43.0,45.0,46.0,48.0,42.0,37.0,46.0,38.0,45.0,45.0,42.0,45.0,45.0,43.0,39.0,42.0,44.0,43.0,42.0,39.0,43.167,2.544
42,43.0,41.0,42.0,46.0,42.0,42.0,44.0,44.0,43.0,47.0,43.0,45.0,45.0,48.0,42.0,37.0,46.0,38.0,45.0,45.0,42.0,44.0,45.0,43.0,39.0,42.0,44.0,43.0,40.0,39.0,42.967,2.549
43,43.0,41.0,42.0,46.0,42.0,41.0,44.0,44.0,43.0,46.0,43.0,45.0,44.0,44.0,40.0,37.0,46.0,38.0,45.0,45.0,40.0,43.0,45.0,43.0,39.0,42.0,42.0,43.0,40.0,39.0,42.5,2.391
44,43.0,41.0,42.0,45.0,42.0,41.0,44.0,44.0,43.0,46.0,43.0,45.0,44.0,43.0,40.0,37.0,46.0,38.0,45.0,43.0,40.0,43.0,45.0,43.0,39.0,42.0,42.0,43.0,39.0,39.0,42.333,2.329
45,43.0,41.0,42.0,44.0,42.0,41.0,44.0,44.0,43.0,46.0,43.0,45.0,44.0,43.0,40.0,37.0,46.0,38.0,45.0,43.0,40.0,43.0,45.0,43.0,39.0,42.0,42.0,43.0,39.0,39.0,42.3,2.297
46,43.0,41.0,42.0,44.0,39.0,41.0,44.0,44.0,43.0,46.0,43.0,45.0,44.0,43.0,40.0,37.0,46.0,38.0,45.0,43.0,40.0,43.0,45.0,43.0,39.0,42.0,42.0,42.0,39.0,39.0,42.167,2.368
47,43.0,41.0,42.0,44.0,39.0,41.0,44.0,44.0,41.0,46.0,42.0,45.0,44.0,43.0,40.0,37.0,46.0,38.0,45.0,43.0,40.0,43.0,45.0,43.0,39.0,42.0,42.0,42.0,39.0,39.0,42.067,2.365
48,43.0,41.0,42.0,44.0,39.0,41.0,42.0,44.0,41.0,46.0,39.0,45.0,44.0,43.0,40.0,37.0,46.0,38.0,44.0,43.0,40.0,43.0,45.0,43.0,39.0,42.0,42.0,42.0,38.0,39.0,41.833,2.409
49,43.0,41.0,40.0,44.0,39.0,41.0,42.0,42.0,39.0,46.0,39.0,45.0,44.0,43.0,40.0,36.0,46.0,38.0,44.0,43.0,39.0,43.0,45.0,43.0,39.0,42.0,42.0,42.0,38.0,39.0,41.567,2.539
