Generations,Run0,Run1,Run2,Run3,Run4,Run5,Run6,Run7,Run8,Run9,Run10,Run11,Run12,Run13,Run14,Run15,Run16,Run17,Run18,Run19,Run20,Run21,Run22,Run23,Run24,Run25,Run26,Run27,Run28,Run29,ABF,StdDev
0,57.0,56.0,57.0,58.0,54.0,53.0,57.0,57.0,53.0,55.0,56.0,57.0,55.0,55.0,56.0,53.0,57.0,57.0,55.0,56.0,54.0,57.0,56.0,55.0,56.0,57.0,55.0,56.0,57.0,58.0,55.833,1.392
1,54.0,56.0,55.0,57.0,54.0,53.0,56.0,57.0,53.0,53.0,56.0,56.0,55.0,54.0,56.0,53.0,56.0,56.0,55.0,56.0,54.0,54.0,56.0,55.0,56.0,57.0,49.0,50.0,55.0,55.0,54.733,1.843
2,54.0,56.0,55.0,53.0,54.0,53.0,56.0,56.0,53.0,53.0,56.0,54.0,55.0,54.0,56.0,53.0,56.0,55.0,55.0,54.0,54.0,54.0,56.0,55.0,56.0,56.0,49.0,50.0,55.0,52.0,54.267,1.731
3,54.0,51.0,55.0,52.0,54.0,53.0,56.0,56.0,53.0,52.0,53.0,54.0,53.0,54.0,55.0,53.0,55.0,55.0,55.0,54.0,54.0,54.0,55.0,55.0,56.0,56.0,49.0,50.0,55.0,52.0,53.767,1.726
4,51.0,51.0,55.0,52.0,52.0,52.0,56.0,56.0,53.0,52.0,53.0,54.0,53.0,54.0,55.0,53.0,55.0,55.0,55.0,54.0,54.0,54.0,55.0,55.0,56.0,54.0,49.0,50.0,55.0,52.0,53.5,1.784
5,51.0,51.0,55.0,52.0,52.0,52.0,55.0,56.0,53.0,52.0,53.0,54.0,53.0,54.0,55.0,53.0,55.0,55.0,55.0,54.0,52.0,54.0,55.0,54.0,54.0,54.0,49.0,50.0,55.0,52.0,53.3,1.676
6,51.0,51.0,54.0,52.0,52.0,52.0,55.0,55.0,53.0,52.0,53.0,54.0,53.0,54.0,55.0,53.0,54.0,55.0,50.0,54.0,52.0,54.0,55.0,54.0,54.0,54.0,49.0,50.0,55.0,52.0,53.033,1.643
7,51.0,51.0,54.0,52.0,52.0,52.0,53.0,53.0,53.0,52.0,53.0,54.0,53.0,54.0,55.0,53.0,52.0,54.0,50.0,54.0,52.0,54.0,55.0,54.0,54.0,54.0,49.0,50.0,55.0,52.0,52.8,1.514
8,51.0,51.0,54.0,52.0,52.0,52.0,53.0,53.0,53.0,52.0,53.0,54.0,53.0,54.0,54.0,53.0,52.0,54.0,50.0,52.0,52.0,54.0,55.0,54.0,53.0,53.0,49.0,50.0,55.0,52.0,52.633,1.426
9,51.0,51.0,54.0,52.0,52.0,52.0,53.0,53.0,53.0,52.0,53.0,54.0,53.0,52.0,52.0,52.0,50.0,54.0,50.0,52.0,52.0,54.0,55.0,52.0,53.0,53.0,49.0,50.0,55.0,52.0,52.333,1.422
