Generations,Run0,Run1,Run2,Run3,Run4,Run5,Run6,Run7,Run8,Run9,Run10,Run11,Run12,Run13,Run14,Run15,Run16,Run17,Run18,Run19,Run20,Run21,Run22,Run23,Run24,Run25,Run26,Run27,Run28,Run29,ABF,StdDev
0,55.0,55.0,54.0,55.0,57.0,57.0,54.0,51.0,55.0,53.0,55.0,53.0,56.0,55.0,54.0,52.0,56.0,54.0,52.0,54.0,52.0,56.0,54.0,53.0,55.0,56.0,54.0,52.0,51.0,54.0,54.133,1.607
1,53.0,55.0,53.0,53.0,51.0,54.0,54.0,51.0,55.0,53.0,53.0,51.0,53.0,55.0,47.0,52.0,52.0,51.0,52.0,54.0,52.0,51.0,53.0,53.0,53.0,56.0,53.0,48.0,51.0,51.0,52.433,1.892
2,50.0,53.0,53.0,50.0,51.0,52.0,52.0,51.0,52.0,53.0,53.0,51.0,48.0,51.0,47.0,51.0,52.0,51.0,51.0,52.0,52.0,50.0,53.0,51.0,53.0,53.0,51.0,48.0,48.0,50.0,51.1,1.64
3,50.0,50.0,52.0,50.0,51.0,50.0,52.0,51.0,50.0,51.0,52.0,46.0,48.0,51.0,47.0,50.0,47.0,50.0,47.0,51.0,47.0,47.0,51.0,50.0,53.0,51.0,50.0,48.0,47.0,49.0,49.633,1.853
4,46.0,50.0,52.0,49.0,50.0,50.0,51.0,49.0,50.0,48.0,50.0,46.0,48.0,50.0,47.0,49.0,47.0,49.0,47.0,50.0,47.0,47.0,50.0,50.0,50.0,49.0,48.0,48.0,47.0,48.0,48.733,1.504
5,45.0,50.0,48.0,48.0,47.0,50.0,51.0,47.0,50.0,47.0,49.0,46.0,47.0,47.0,43.0,49.0,46.0,47.0,46.0,49.0,47.0,47.0,50.0,48.0,50.0,49.0,46.0,48.0,44.0,48.0,47.633,1.853
6,45.0,47.0,48.0,48.0,47.0,49.0,49.0,47.0,49.0,47.0,49.0,46.0,47.0,47.0,41.0,47.0,46.0,43.0,46.0,46.0,45.0,44.0,49.0,47.0,49.0,49.0,46.0,48.0,44.0,47.0,46.733,1.931
7,45.0,47.0,48.0,44.0,47.0,47.0,46.0,46.0,49.0,45.0,43.0,46.0,47.0,44.0,41.0,45.0,46.0,43.0,44.0,46.0,45.0,44.0,48.0,45.0,49.0,48.0,46.0,48.0,44.0,47.0,45.767,1.874
8,45.0,46.0,48.0,44.0,47.0,47.0,46.0,45.0,45.0,44.0,43.0,45.0,47.0,42.0,40.0,44.0,46.0,43.0,44.0,46.0,43.0,43.0,48.0,45.0,49.0,48.0,44.0,46.0,44.0,46.0,45.1,1.972
9,45.0,45.0,46.0,44.0,46.0,47.0,46.0,45.0,45.0,42.0,43.0,45.0,47.0,42.0,40.0,44.0,46.0,43.0,43.0,46.0,43.0,42.0,48.0,45.0,48.0,47.0,44.0,46.0,44.0,46.0,44.767,1.892
10,45.0,45.0,46.0,41.0,45.0,47.0,46.0,45.0,41.0,42.0,43.0,45.0,47.0,42.0,40.0,42.0,46.0,43.0,43.0,46.0,43.0,42.0,48.0,45.0,48.0,46.0,44.0,46.0,43.0,46.0,44.367,2.121
11,45.0,45.0,46.0,40.0,43.0,47.0,46.0,45.0,41.0,42.0,41.0,42.0,46.0,42.0,40.0,42.0,46.0,43.0,43.0,46.0,43.0,42.0,48.0,45.0,46.0,43.0,44.0,46.0,43.0,45.0,43.867,2.109
12,41.0,42.0,46.0,40.0,43.0,47.0,46.0,45.0,41.0,42.0,41.0,42.0,45.0,42.0,40.0,42.0,46.0,42.0,41.0,46.0,43.0,42.0,48.0,45.0,46.0,43.0,44.0,44.0,43.0,45.0,43.433,2.155
13,41.0,42.0,46.0,40.0,43.0,47.0,46.0,45.0,41.0,42.0,41.0,42.0,44.0,41.0,39.0,42.0,46.0,40.0,41.0,45.0,42.0,41.0,48.0,45.0,45.0,43.0,44.0,44.0,43.0,43.0,43.067,2.235
14,41.0,42.0,46.0,40.0,43.0,45.0,44.0,45.0,41.0,42.0,40.0,42.0,43.0,41.0,39.0,42.0,46.0,40.0,40.0,45.0,42.0,41.0,48.0,44.0,43.0,43.0,44.0,44.0,43.0,42.0,42.7,2.084
15,41.0,42.0,46.0,40.0,43.0,45.0,44.0,45.0,40.0,42.0,38.0,42.0,43.0,41.0,39.0,42.0,45.0,40.0,40.0,45.0,42.0,41.0,48.0,44.0,43.0,43.0,40.0,44.0,43.0,42.0,42.433,2.216
16,41.0,42.0,46.0,40.0,43.0,45.0,40.0,44.0,40.0,40.0,38.0,42.0,43.0,41.0,39.0,41.0,45.0,40.0,40.0,45.0,41.0,41.0,47.0,42.0,43.0,43.0,40.0,42.0,43.0,42.0,41.967,2.121
17,41.0,42.0,46.0,39.0,43.0,45.0,40.0,43.0,40.0,40.0,38.0,42.0,43.0,41.0,39.0,41.0,43.0,40.0,40.0,45.0,40.0,41.0,46.0,42.0,43.0,42.0,40.0,42.0,43.0,42.0,41.733,1.999
18,40.0,42.0,46.0,39.0,43.0,45.0,40.0,43.0,40.0,40.0,38.0,41.0,43.0,41.0,39.0,41.0,43.0,40.0,38.0,44.0,38.0,41.0,46.0,42.0,43.0,42.0,40.0,42.0,43.0,42.0,41.5,2.141
19,40.0,42.0,43.0,39.0,43.0,45.0,40.0,43.0,40.0,40.0,38.0,41.0,43.0,41.0,39.0,41.0,43.0,40.0,38.0,44.0,38.0,41.0,45.0,39.0,43.0,42.0,39.0,41.0,43.0,42.0,41.2,1.99
20,40.0,42.0,42.0,39.0,42.0,45.0,40.0,43.0,40.0,40.0,38.0,41.0,43.0,41.0,39.0,39.0,43.0,40.0,37.0,44.0,37.0,41.0,45.0,39.0,43.0,42.0,39.0,41.0,43.0,42.0,41.0,2.098
21,40.0,39.0,42.0,39.0,42.0,45.0,40.0,43.0,39.0,40.0,38.0,41.0,43.0,41.0,39.0,38.0,41.0,36.0,37.0,44.0,37.0,41.0,45.0,39.0,43.0,40.0,39.0,41.0,43.0,41.0,40.533,2.276
22,40.0,39.0,42.0,39.0,42.0,45.0,40.0,43.0,39.0,40.0,38.0,41.0,38.0,41.0,39.0,38.0,41.0,35.0,37.0,44.0,37.0,41.0,45.0,39.0,43.0,40.0,39.0,41.0,43.0,41.0,40.333,2.343
23,40.0,39.0,42.0,39.0,42.0,45.0,40.0,43.0,39.0,40.0,38.0,41.0,38.0,41.0,39.0,38.0,41.0,35.0,30.0,44.0,37.0,41.0,45.0,39.0,43.0,39.0,39.0,41.0,41.0,41.0,40.0,2.898
24,39.0,39.0,42.0,38.0,42.0,45.0,40.0,43.0,39.0,40.0,38.0,41.0,38.0,41.0,39.0,38.0,41.0,35.0,30.0,44.0,37.0,41.0,44.0,39.0,43.0,39.0,39.0,41.0,41.0,39.0,39.833,2.865
25,39.0,39.0,42.0,36.0,42.0,45.0,40.0,43.0,39.0,40.0,38.0,41.0,38.0,41.0,39.0,38.0,41.0,35.0,30.0,44.0,37.0,41.0,44.0,39.0,40.0,39.0,39.0,41.0,41.0,39.0,39.667,2.867
26,38.0,39.0,42.0,36.0,41.0,44.0,40.0,43.0,39.0,40.0,38.0,41.0,38.0,41.0,39.0,38.0,41.0,34.0,30.0,41.0,37.0,40.0,43.0,39.0,40.0,39.0,39.0,41.0,41.0,39.0,39.367,2.689
27,38.0,39.0,42.0,36.0,41.0,44.0,40.0,43.0,36.0,40.0,38.0,41.0,38.0,41.0,39.0,38.0,40.0,33.0,30.0,41.0,37.0,40.0,43.0,38.0,40.0,39.0,39.0,41.0,40.0,39.0,39.133,2.802
28,38.0,39.0,42.0,36.0,41.0,44.0,40.0,43.0,36.0,40.0,38.0,41.0,38.0,41.0,39.0,38.0,40.0,33.0,29.0,41.0,37.0,40.0,43.0,38.0,40.0,39.0,39.0,41.0,40.0,39.0,39.1,2.914
29,37.0,39.0,42.0,36.0,39.0,44.0,40.0,43.0,36.0,40.0,38.0,41.0,38.0,41.0,39.0,38.0,40.0,33.0,29.0,41.0,37.0,40.0,43.0,38.0,40.0,38.0,39.0,41.0,40.0,39.0,38.967,2.915
30,37.0,39.0,42.0,34.0,39.0,44.0,40.0,43.0,36.0,40.0,38.0,41.0,38.0,41.0,39.0,38.0,40.0,33.0,29.0,41.0,37.0,40.0,43.0,37.0,40.0,38.0,39.0,41.0,40.0,39.0,38.867,3.019
31,37.0,36.0,42.0,34.0,39.0,44.0,40.0,43.0,35.0,40.0,38.0,41.0,38.0,41.0,39.0,38.0,40.0,31.0,29.0,41.0,37.0,40.0,43.0,37.0,40.0,38.0,39.0,41.0,40.0,39.0,38.667,3.239
32,37.0,36.0,42.0,34.0,39.0,44.0,40.0,43.0,35.0,40.0,38.0,41.0,38.0,41.0,39.0,38.0,39.0,31.0,28.0,41.0,37.0,40.0,43.0,37.0,40.0,37.0,39.0,41.0,40.0,38.0,38.533,3.344
33,37.0,36.0,41.0,34.0,39.0,44.0,40.0,43.0,34.0,40.0,38.0,41.0,38.0,40.0,39.0,38.0,39.0,31.0,28.0,40.0,37.0,40.0,43.0,37.0,40.0,37.0,38.0,41.0,40.0,38.0,38.367,3.311
34,37.0,36.0,41.0,34.0,39.0,43.0,40.0,43.0,34.0,40.0,38.0,41.0,38.0,40.0,39.0,38.0,39.0,31.0,28.0,40.0,37.0,40.0,43.0,37.0,39.0,37.0,38.0,41.0,40.0,38.0,38.3,3.247
35,37.0,35.0,41.0,34.0,39.0,43.0,40.0,43.0,34.0,40.0,38.0,41.0,38.0,40.0,39.0,38.0,39.0,30.0,28.0,40.0,37.0,40.0,43.0,37.0,39.0,37.0,38.0,41.0,40.0,38.0,38.233,3.353
36,37.0,35.0,41.0,34.0,39.0,43.0,40.0,43.0,34.0,40.0,38.0,41.0,38.0,40.0,39.0,38.0,39.0,30.0,28.0,39.0,37.0,40.0,43.0,37.0,39.0,37.0,37.0,41.0,40.0,38.0,38.167,3.347
37,37.0,35.0,41.0,34.0,39.0,43.0,40.0,43.0,34.0,40.0,38.0,41.0,38.0,40.0,39.0,38.0,39.0,30.0,28.0,39.0,37.0,40.0,43.0,37.0,38.0,37.0,37.0,41.0,40.0,38.0,38.133,3.344
38,37.0,35.0,41.0,34.0,39.0,43.0,40.0,43.0,34.0,40.0,38.0,41.0,38.0,40.0,39.0,38.0,39.0,30.0,28.0,39.0,37.0,40.0,43.0,37.0,38.0,37.0,37.0,41.0,40.0,38.0,38.133,3.344
