Generations,Run0,Run1,Run2,Run3,Run4,Run5,Run6,Run7,Run8,Run9,Run10,Run11,Run12,Run13,Run14,Run15,Run16,Run17,Run18,Run19,Run20,Run21,Run22,Run23,Run24,Run25,Run26,Run27,Run28,Run29,ABF,StdDev
0,54.0,51.0,54.0,52.0,54.0,54.0,54.0,53.0,52.0,55.0,54.0,53.0,52.0,56.0,57.0,53.0,55.0,55.0,53.0,55.0,55.0,52.0,55.0,55.0,52.0,57.0,55.0,55.0,57.0,56.0,54.167,1.593
1,50.0,51.0,54.0,50.0,53.0,52.0,52.0,52.0,52.0,53.0,54.0,51.0,52.0,54.0,51.0,50.0,54.0,52.0,51.0,49.0,55.0,51.0,51.0,53.0,52.0,54.0,55.0,51.0,49.0,50.0,51.933,1.652
2,49.0,47.0,53.0,50.0,52.0,51.0,48.0,48.0,48.0,50.0,48.0,51.0,49.0,53.0,51.0,50.0,50.0,52.0,51.0,49.0,51.0,46.0,51.0,53.0,50.0,51.0,50.0,51.0,48.0,50.0,50.033,1.741
3,49.0,47.0,47.0,49.0,52.0,49.0,48.0,48.0,48.0,49.0,48.0,51.0,49.0,49.0,49.0,43.0,50.0,49.0,50.0,48.0,51.0,46.0,50.0,50.0,50.0,50.0,50.0,47.0,48.0,50.0,48.8,1.701
4,46.0,42.0,47.0,48.0,48.0,48.0,45.0,42.0,48.0,49.0,48.0,51.0,48.0,49.0,48.0,43.0,46.0,49.0,49.0,47.0,49.0,46.0,49.0,48.0,46.0,48.0,48.0,47.0,46.0,49.0,47.233,2.06
5,42.0,42.0,47.0,46.0,48.0,46.0,45.0,42.0,48.0,49.0,48.0,47.0,48.0,48.0,44.0,43.0,46.0,49.0,43.0,47.0,49.0,46.0,42.0,48.0,44.0,44.0,46.0,44.0,46.0,47.0,45.8,2.257
6,42.0,42.0,43.0,45.0,43.0,46.0,44.0,42.0,47.0,47.0,46.0,40.0,46.0,47.0,40.0,43.0,45.0,43.0,43.0,46.0,48.0,45.0,42.0,41.0,44.0,44.0,43.0,41.0,42.0,44.0,43.8,2.135
7,42.0,42.0,42.0,39.0,42.0,42.0,40.0,40.0,43.0,46.0,46.0,40.0,42.0,47.0,40.0,42.0,42.0,43.0,34.0,44.0,45.0,44.0,42.0,39.0,42.0,43.0,42.0,35.0,42.0,43.0,41.833,2.734
8,42.0,41.0,42.0,39.0,39.0,38.0,40.0,37.0,43.0,42.0,40.0,40.0,42.0,45.0,40.0,41.0,41.0,43.0,34.0,41.0,44.0,38.0,42.0,39.0,42.0,42.0,40.0,35.0,41.0,42.0,40.5,2.377
9,39.0,40.0,31.0,39.0,39.0,38.0,36.0,34.0,42.0,40.0,40.0,40.0,41.0,42.0,39.0,39.0,39.0,38.0,32.0,41.0,38.0,38.0,40.0,39.0,39.0,41.0,40.0,35.0,41.0,40.0,38.667,2.612
10,36.0,37.0,31.0,37.0,38.0,38.0,36.0,34.0,38.0,38.0,40.0,40.0,41.0,40.0,39.0,39.0,35.0,38.0,32.0,35.0,38.0,38.0,40.0,39.0,39.0,41.0,38.0,35.0,39.0,36.0,37.5,2.405
11,34.0,36.0,31.0,37.0,37.0,36.0,36.0,33.0,37.0,38.0,40.0,38.0,39.0,37.0,37.0,39.0,35.0,38.0,30.0,35.0,38.0,37.0,32.0,39.0,38.0,38.0,38.0,35.0,36.0,36.0,36.333,2.357
12,33.0,35.0,31.0,37.0,37.0,35.0,36.0,32.0,34.0,36.0,38.0,36.0,37.0,37.0,37.0,36.0,34.0,38.0,30.0,35.0,37.0,36.0,32.0,38.0,36.0,38.0,38.0,33.0,36.0,36.0,35.467,2.156
