Generations,Run0,Run1,Run2,Run3,Run4,Run5,Run6,Run7,Run8,Run9,Run10,Run11,Run12,Run13,Run14,Run15,Run16,Run17,Run18,Run19,Run20,Run21,Run22,Run23,Run24,Run25,Run26,Run27,Run28,Run29,ABF,StdDev
0,56.0,55.0,56.0,56.0,53.0,55.0,55.0,57.0,53.0,54.0,52.0,54.0,53.0,54.0,55.0,53.0,53.0,56.0,54.0,54.0,54.0,54.0,54.0,56.0,56.0,55.0,53.0,53.0,54.0,51.0,54.267,1.365
1,51.0,54.0,53.0,53.0,53.0,51.0,54.0,54.0,53.0,54.0,48.0,52.0,52.0,53.0,53.0,51.0,49.0,55.0,49.0,53.0,54.0,53.0,53.0,51.0,54.0,51.0,51.0,53.0,52.0,49.0,52.2,1.74
2,51.0,51.0,52.0,49.0,53.0,51.0,51.0,53.0,53.0,51.0,48.0,52.0,52.0,46.0,52.0,51.0,49.0,53.0,49.0,50.0,53.0,52.0,48.0,51.0,52.0,51.0,51.0,50.0,51.0,48.0,50.8,1.74
3,48.0,49.0,48.0,49.0,49.0,51.0,51.0,49.0,51.0,51.0,48.0,50.0,51.0,45.0,50.0,49.0,48.0,48.0,47.0,49.0,50.0,52.0,48.0,51.0,48.0,49.0,50.0,48.0,51.0,48.0,49.2,1.514
4,48.0,48.0,48.0,44.0,48.0,50.0,50.0,49.0,49.0,49.0,44.0,49.0,49.0,45.0,48.0,49.0,46.0,48.0,47.0,46.0,47.0,49.0,46.0,47.0,47.0,48.0,46.0,47.0,49.0,48.0,47.6,1.562
5,43.0,47.0,48.0,44.0,48.0,47.0,49.0,49.0,47.0,47.0,44.0,46.0,47.0,43.0,48.0,45.0,46.0,46.0,46.0,46.0,47.0,44.0,44.0,47.0,46.0,43.0,45.0,45.0,46.0,46.0,45.967,1.663
6,43.0,46.0,42.0,38.0,46.0,44.0,45.0,49.0,47.0,47.0,40.0,44.0,46.0,43.0,47.0,45.0,42.0,44.0,44.0,44.0,47.0,44.0,44.0,45.0,45.0,43.0,44.0,43.0,45.0,45.0,44.367,2.152
7,42.0,46.0,42.0,38.0,41.0,44.0,44.0,48.0,41.0,43.0,40.0,42.0,39.0,40.0,43.0,45.0,39.0,43.0,40.0,44.0,42.0,41.0,43.0,44.0,43.0,43.0,39.0,40.0,44.0,39.0,42.067,2.294
8,42.0,42.0,41.0,38.0,41.0,42.0,42.0,44.0,41.0,41.0,39.0,41.0,39.0,40.0,43.0,45.0,39.0,42.0,40.0,39.0,41.0,41.0,40.0,43.0,40.0,42.0,39.0,40.0,41.0,39.0,40.9,1.599
9,38.0,42.0,36.0,35.0,39.0,35.0,41.0,44.0,40.0,39.0,37.0,39.0,38.0,39.0,36.0,41.0,39.0,41.0,36.0,39.0,41.0,41.0,36.0,40.0,37.0,37.0,39.0,34.0,40.0,38.0,38.567,2.305
10,34.0,38.0,36.0,35.0,39.0,34.0,40.0,40.0,38.0,39.0,37.0,37.0,38.0,35.0,36.0,41.0,39.0,38.0,33.0,39.0,39.0,38.0,36.0,40.0,34.0,37.0,39.0,34.0,40.0,34.0,37.233,2.246
11,34.0,37.0,31.0,31.0,37.0,34.0,36.0,40.0,38.0,38.0,35.0,37.0,35.0,34.0,36.0,40.0,37.0,37.0,33.0,34.0,36.0,38.0,33.0,36.0,31.0,35.0,36.0,34.0,38.0,34.0,35.5,2.349
12,34.0,35.0,31.0,31.0,36.0,34.0,36.0,40.0,36.0,36.0,33.0,32.0,35.0,34.0,36.0,38.0,36.0,34.0,33.0,33.0,36.0,35.0,33.0,34.0,31.0,32.0,36.0,31.0,34.0,34.0,34.3,2.1
13,33.0,35.0,27.0,30.0,33.0,31.0,29.0,40.0,34.0,31.0,33.0,32.0,32.0,29.0,35.0,35.0,35.0,33.0,33.0,32.0,36.0,35.0,33.0,34.0,31.0,31.0,32.0,31.0,34.0,29.0,32.6,2.538
14,33.0,34.0,27.0,30.0,31.0,31.0,29.0,39.0,34.0,31.0,30.0,32.0,31.0,29.0,31.0,35.0,33.0,32.0,32.0,31.0,35.0,34.0,32.0,31.0,28.0,31.0,32.0,30.0,33.0,29.0,31.667,2.357
15,29.0,32.0,27.0,28.0,28.0,30.0,24.0,33.0,33.0,31.0,29.0,30.0,26.0,28.0,31.0,34.0,32.0,31.0,28.0,30.0,33.0,34.0,30.0,31.0,28.0,28.0,32.0,29.0,31.0,29.0,29.967,2.345
16,27.0,30.0,25.0,26.0,28.0,28.0,24.0,33.0,30.0,30.0,29.0,29.0,26.0,28.0,31.0,32.0,32.0,31.0,25.0,26.0,31.0,33.0,29.0,30.0,24.0,26.0,30.0,28.0,30.0,28.0,28.633,2.523
17,26.0,29.0,24.0,25.0,28.0,25.0,24.0,32.0,28.0,29.0,28.0,26.0,26.0,26.0,30.0,32.0,30.0,27.0,25.0,26.0,29.0,30.0,27.0,30.0,24.0,26.0,26.0,27.0,29.0,28.0,27.4,2.215
18,26.0,29.0,22.0,25.0,27.0,24.0,24.0,32.0,26.0,29.0,25.0,26.0,24.0,25.0,28.0,30.0,29.0,26.0,25.0,26.0,29.0,28.0,26.0,29.0,23.0,25.0,26.0,27.0,28.0,27.0,26.533,2.202
19,25.0,25.0,21.0,24.0,23.0,24.0,23.0,31.0,26.0,26.0,25.0,23.0,23.0,23.0,28.0,27.0,29.0,26.0,24.0,26.0,27.0,28.0,25.0,27.0,21.0,24.0,26.0,26.0,28.0,25.0,25.3,2.238
20,24.0,25.0,21.0,24.0,23.0,22.0,23.0,28.0,23.0,24.0,23.0,22.0,23.0,22.0,28.0,27.0,27.0,22.0,22.0,23.0,26.0,26.0,24.0,27.0,21.0,24.0,26.0,25.0,27.0,23.0,24.167,2.051
21,20.0,24.0,21.0,24.0,22.0,22.0,22.0,26.0,23.0,24.0,22.0,20.0,23.0,22.0,28.0,25.0,26.0,22.0,20.0,21.0,25.0,25.0,23.0,26.0,18.0,22.0,25.0,24.0,25.0,22.0,23.067,2.19
