Generations,Run0,Run1,Run2,Run3,Run4,Run5,Run6,Run7,Run8,Run9,Run10,Run11,Run12,Run13,Run14,Run15,Run16,Run17,Run18,Run19,Run20,Run21,Run22,Run23,Run24,Run25,Run26,Run27,Run28,Run29,Run30,Run31,Run32,Run33,Run34,Run35,Run36,Run37,Run38,Run39,ABF,StdDev
0,15.0,15.0,11.0,10.0,13.0,13.0,12.0,14.0,13.0,14.0,14.0,13.0,13.0,13.0,14.0,12.0,13.0,13.0,13.0,11.0,12.0,12.0,14.0,12.0,15.0,13.0,12.0,14.0,15.0,12.0,14.0,13.0,11.0,12.0,13.0,14.0,14.0,11.0,10.0,14.0,12.9,1.3
1,13.0,13.0,11.0,10.0,13.0,12.0,12.0,14.0,13.0,14.0,13.0,13.0,13.0,13.0,10.0,10.0,13.0,11.0,13.0,11.0,12.0,12.0,12.0,12.0,15.0,13.0,11.0,13.0,14.0,12.0,14.0,13.0,10.0,12.0,13.0,11.0,14.0,11.0,10.0,14.0,12.325,1.311
2,13.0,13.0,11.0,10.0,13.0,12.0,12.0,12.0,13.0,12.0,13.0,11.0,12.0,11.0,10.0,10.0,13.0,11.0,13.0,11.0,9.0,12.0,12.0,12.0,13.0,13.0,11.0,10.0,14.0,12.0,14.0,12.0,9.0,12.0,12.0,11.0,13.0,10.0,10.0,14.0,11.775,1.313
3,13.0,13.0,11.0,10.0,12.0,10.0,12.0,12.0,13.0,12.0,13.0,11.0,12.0,11.0,10.0,10.0,10.0,11.0,13.0,11.0,9.0,10.0,12.0,12.0,13.0,13.0,10.0,10.0,13.0,12.0,13.0,12.0,9.0,12.0,12.0,11.0,12.0,10.0,10.0,14.0,11.475,1.284
4,12.0,11.0,10.0,10.0,12.0,10.0,12.0,12.0,11.0,12.0,13.0,11.0,12.0,9.0,10.0,10.0,10.0,11.0,13.0,11.0,9.0,10.0,12.0,12.0,10.0,12.0,10.0,10.0,13.0,12.0,13.0,12.0,9.0,12.0,12.0,11.0,11.0,10.0,10.0,12.0,11.1,1.158
5,12.0,11.0,10.0,9.0,12.0,10.0,12.0,12.0,11.0,12.0,13.0,11.0,11.0,9.0,10.0,10.0,10.0,11.0,11.0,11.0,9.0,10.0,12.0,12.0,10.0,12.0,10.0,10.0,13.0,12.0,13.0,12.0,9.0,12.0,12.0,11.0,10.0,10.0,10.0,12.0,10.975,1.151
6,12.0,11.0,10.0,9.0,12.0,10.0,12.0,12.0,9.0,12.0,13.0,11.0,10.0,9.0,10.0,10.0,9.0,11.0,11.0,11.0,8.0,10.0,12.0,12.0,10.0,12.0,10.0,9.0,12.0,12.0,13.0,12.0,8.0,12.0,10.0,11.0,10.0,10.0,10.0,11.0,10.7,1.288
7,12.0,11.0,10.0,9.0,12.0,10.0,12.0,12.0,9.0,12.0,13.0,11.0,10.0,9.0,10.0,10.0,9.0,11.0,11.0,11.0,8.0,10.0,12.0,12.0,10.0,10.0,10.0,9.0,12.0,12.0,12.0,12.0,8.0,11.0,10.0,9.0,10.0,10.0,10.0,11.0,10.55,1.244
8,11.0,11.0,7.0,9.0,11.0,10.0,12.0,12.0,9.0,12.0,13.0,11.0,10.0,9.0,10.0,10.0,9.0,11.0,11.0,11.0,8.0,10.0,11.0,12.0,10.0,10.0,10.0,9.0,12.0,12.0,11.0,12.0,8.0,11.0,10.0,9.0,10.0,10.0,10.0,11.0,10.375,1.278
9,11.0,11.0,7.0,9.0,11.0,8.0,12.0,12.0,9.0,12.0,13.0,11.0,10.0,9.0,10.0,10.0,8.0,11.0,11.0,11.0,8.0,9.0,11.0,12.0,10.0,10.0,10.0,9.0,12.0,12.0,11.0,12.0,8.0,11.0,10.0,9.0,10.0,10.0,10.0,10.0,10.25,1.374
10,11.0,10.0,7.0,9.0,10.0,8.0,12.0,12.0,9.0,12.0,13.0,10.0,8.0,9.0,10.0,10.0,8.0,8.0,11.0,11.0,8.0,9.0,11.0,10.0,10.0,10.0,10.0,9.0,12.0,11.0,11.0,12.0,8.0,11.0,10.0,9.0,8.0,8.0,10.0,10.0,9.875,1.435
11,10.0,10.0,7.0,9.0,9.0,7.0,12.0,12.0,9.0,11.0,12.0,10.0,8.0,9.0,10.0,10.0,8.0,8.0,11.0,11.0,8.0,9.0,11.0,10.0,10.0,10.0,10.0,9.0,11.0,10.0,11.0,12.0,8.0,11.0,10.0,8.0,8.0,8.0,10.0,10.0,9.675,1.367
12,9.0,10.0,7.0,9.0,9.0,7.0,11.0,12.0,7.0,11.0,12.0,10.0,8.0,9.0,10.0,10.0,7.0,8.0,11.0,11.0,8.0,9.0,11.0,10.0,9.0,8.0,10.0,9.0,11.0,10.0,11.0,12.0,8.0,11.0,10.0,8.0,8.0,8.0,8.0,10.0,9.425,1.464
13,9.0,10.0,7.0,9.0,9.0,7.0,11.0,12.0,7.0,11.0,10.0,10.0,8.0,9.0,10.0,9.0,7.0,8.0,11.0,11.0,8.0,9.0,10.0,10.0,9.0,8.0,10.0,9.0,11.0,10.0,11.0,12.0,8.0,11.0,10.0,8.0,8.0,7.0,8.0,10.0,9.3,1.418
