Generations,Run0,Run1,Run2,Run3,Run4,Run5,Run6,Run7,Run8,Run9,Run10,Run11,Run12,Run13,Run14,Run15,Run16,Run17,Run18,Run19,Run20,Run21,Run22,Run23,Run24,Run25,Run26,Run27,Run28,Run29,Run30,Run31,Run32,Run33,Run34,Run35,Run36,Run37,Run38,Run39,ABF,StdDev
0,15.0,15.0,13.0,13.0,15.0,11.0,15.0,12.0,12.0,13.0,12.0,12.0,14.0,14.0,12.0,13.0,14.0,14.0,13.0,11.0,14.0,13.0,12.0,13.0,13.0,12.0,12.0,11.0,14.0,14.0,15.0,15.0,13.0,13.0,12.0,11.0,13.0,14.0,13.0,12.0,13.05,1.203
1,13.0,14.0,13.0,13.0,14.0,11.0,14.0,12.0,12.0,13.0,12.0,12.0,14.0,14.0,12.0,12.0,14.0,14.0,13.0,10.0,12.0,13.0,12.0,13.0,12.0,12.0,12.0,11.0,12.0,14.0,14.0,15.0,13.0,13.0,12.0,11.0,13.0,11.0,13.0,12.0,12.65,1.085
2,13.0,13.0,13.0,13.0,13.0,10.0,14.0,12.0,12.0,13.0,10.0,11.0,14.0,14.0,11.0,12.0,12.0,13.0,13.0,10.0,12.0,12.0,12.0,13.0,12.0,11.0,12.0,11.0,12.0,14.0,14.0,15.0,13.0,12.0,12.0,11.0,13.0,11.0,12.0,12.0,12.3,1.166
3,12.0,12.0,13.0,12.0,13.0,9.0,10.0,12.0,12.0,12.0,10.0,11.0,14.0,14.0,11.0,12.0,12.0,12.0,13.0,10.0,12.0,12.0,12.0,13.0,11.0,11.0,12.0,11.0,12.0,14.0,14.0,14.0,10.0,12.0,12.0,11.0,13.0,11.0,12.0,12.0,11.925,1.191
4,12.0,12.0,13.0,12.0,13.0,9.0,10.0,11.0,11.0,12.0,10.0,11.0,13.0,14.0,11.0,12.0,12.0,12.0,13.0,10.0,12.0,12.0,12.0,13.0,11.0,11.0,12.0,11.0,11.0,10.0,14.0,14.0,10.0,12.0,11.0,11.0,13.0,11.0,12.0,12.0,11.7,1.166
5,12.0,12.0,13.0,12.0,13.0,9.0,10.0,11.0,11.0,12.0,10.0,11.0,13.0,14.0,11.0,11.0,12.0,12.0,13.0,10.0,12.0,12.0,10.0,13.0,11.0,11.0,12.0,11.0,11.0,10.0,11.0,14.0,10.0,12.0,11.0,11.0,13.0,11.0,12.0,12.0,11.55,1.139
6,12.0,12.0,13.0,12.0,12.0,9.0,10.0,11.0,11.0,12.0,9.0,11.0,13.0,11.0,11.0,11.0,11.0,12.0,13.0,10.0,12.0,12.0,10.0,13.0,11.0,11.0,12.0,11.0,11.0,10.0,11.0,14.0,10.0,12.0,11.0,11.0,13.0,11.0,12.0,12.0,11.4,1.091
7,12.0,10.0,13.0,12.0,11.0,9.0,10.0,11.0,11.0,12.0,9.0,11.0,12.0,11.0,11.0,11.0,11.0,10.0,13.0,10.0,12.0,12.0,10.0,13.0,11.0,11.0,11.0,11.0,11.0,9.0,11.0,12.0,10.0,12.0,11.0,9.0,12.0,11.0,12.0,12.0,11.075,1.058
8,12.0,10.0,13.0,12.0,11.0,9.0,8.0,11.0,11.0,11.0,9.0,10.0,12.0,11.0,11.0,11.0,11.0,10.0,13.0,10.0,12.0,12.0,10.0,13.0,11.0,11.0,11.0,11.0,11.0,9.0,11.0,12.0,10.0,12.0,11.0,9.0,11.0,11.0,12.0,12.0,10.95,1.139
9,12.0,10.0,13.0,12.0,11.0,9.0,8.0,11.0,10.0,10.0,9.0,10.0,12.0,11.0,9.0,11.0,11.0,10.0,13.0,10.0,12.0,12.0,10.0,13.0,11.0,11.0,11.0,11.0,11.0,9.0,11.0,12.0,10.0,12.0,11.0,9.0,11.0,11.0,11.0,12.0,10.825,1.181
10,12.0,10.0,13.0,12.0,11.0,9.0,8.0,11.0,9.0,10.0,9.0,10.0,12.0,11.0,9.0,11.0,11.0,10.0,13.0,10.0,12.0,12.0,10.0,13.0,9.0,11.0,11.0,11.0,11.0,9.0,11.0,12.0,10.0,12.0,11.0,9.0,11.0,11.0,11.0,12.0,10.75,1.24
11,12.0,10.0,10.0,12.0,11.0,9.0,8.0,11.0,9.0,10.0,8.0,10.0,12.0,11.0,9.0,11.0,11.0,10.0,12.0,10.0,12.0,12.0,10.0,13.0,9.0,11.0,11.0,11.0,11.0,9.0,11.0,10.0,10.0,12.0,11.0,9.0,11.0,11.0,11.0,12.0,10.575,1.181
12,12.0,10.0,10.0,12.0,9.0,9.0,8.0,10.0,9.0,10.0,8.0,10.0,12.0,11.0,9.0,11.0,11.0,10.0,12.0,10.0,11.0,12.0,10.0,13.0,9.0,11.0,11.0,11.0,11.0,9.0,11.0,10.0,10.0,12.0,11.0,9.0,11.0,11.0,11.0,12.0,10.475,1.183
13,12.0,10.0,10.0,12.0,9.0,9.0,8.0,10.0,9.0,10.0,8.0,10.0,12.0,11.0,9.0,11.0,11.0,10.0,12.0,10.0,11.0,12.0,10.0,13.0,9.0,10.0,11.0,11.0,11.0,9.0,11.0,10.0,10.0,12.0,11.0,9.0,11.0,11.0,11.0,12.0,10.45,1.182
14,12.0,10.0,10.0,12.0,9.0,9.0,8.0,10.0,9.0,10.0,8.0,10.0,12.0,11.0,9.0,11.0,11.0,10.0,12.0,10.0,11.0,12.0,10.0,13.0,9.0,10.0,11.0,11.0,11.0,9.0,11.0,10.0,10.0,11.0,11.0,9.0,11.0,11.0,11.0,12.0,10.425,1.159
