Generations,Run0,Run1,Run2,Run3,Run4,Run5,Run6,Run7,Run8,Run9,Run10,Run11,Run12,Run13,Run14,Run15,Run16,Run17,Run18,Run19,Run20,Run21,Run22,Run23,Run24,Run25,Run26,Run27,Run28,Run29,Run30,Run31,Run32,Run33,Run34,Run35,Run36,Run37,Run38,Run39,ABF,StdDev
0,15.0,14.0,14.0,10.0,14.0,13.0,14.0,11.0,11.0,15.0,15.0,10.0,14.0,14.0,15.0,16.0,10.0,14.0,14.0,11.0,11.0,13.0,13.0,13.0,13.0,15.0,14.0,14.0,12.0,12.0,14.0,13.0,10.0,14.0,13.0,15.0,13.0,11.0,14.0,13.0,13.1,1.609
1,12.0,14.0,13.0,10.0,13.0,13.0,14.0,11.0,11.0,15.0,15.0,9.0,14.0,14.0,14.0,15.0,10.0,14.0,13.0,11.0,11.0,11.0,13.0,13.0,13.0,13.0,14.0,13.0,12.0,12.0,14.0,13.0,10.0,13.0,13.0,14.0,13.0,10.0,14.0,13.0,12.675,1.523
2,12.0,10.0,13.0,10.0,13.0,13.0,14.0,11.0,11.0,14.0,12.0,9.0,14.0,14.0,13.0,14.0,10.0,12.0,11.0,11.0,11.0,11.0,10.0,11.0,13.0,13.0,13.0,13.0,12.0,12.0,14.0,13.0,10.0,12.0,13.0,13.0,13.0,10.0,14.0,13.0,12.125,1.418
3,12.0,8.0,13.0,9.0,12.0,12.0,14.0,11.0,11.0,14.0,12.0,9.0,11.0,14.0,13.0,14.0,10.0,12.0,11.0,11.0,11.0,11.0,10.0,11.0,13.0,13.0,11.0,13.0,12.0,12.0,14.0,13.0,10.0,12.0,13.0,12.0,11.0,10.0,14.0,13.0,11.8,1.503
4,12.0,8.0,13.0,9.0,12.0,12.0,14.0,11.0,11.0,14.0,11.0,9.0,11.0,10.0,13.0,14.0,10.0,12.0,11.0,11.0,11.0,11.0,10.0,11.0,13.0,13.0,10.0,13.0,12.0,9.0,14.0,12.0,10.0,12.0,13.0,12.0,11.0,10.0,13.0,13.0,11.525,1.516
5,12.0,8.0,12.0,9.0,12.0,12.0,13.0,11.0,11.0,14.0,11.0,9.0,11.0,10.0,12.0,13.0,10.0,12.0,11.0,11.0,11.0,11.0,10.0,11.0,13.0,13.0,10.0,13.0,12.0,9.0,11.0,12.0,10.0,12.0,12.0,12.0,11.0,10.0,13.0,13.0,11.325,1.33
6,12.0,8.0,12.0,9.0,12.0,12.0,13.0,11.0,11.0,12.0,11.0,9.0,11.0,10.0,12.0,12.0,10.0,12.0,11.0,11.0,11.0,11.0,10.0,11.0,13.0,13.0,10.0,13.0,12.0,9.0,11.0,12.0,10.0,12.0,12.0,11.0,11.0,10.0,13.0,13.0,11.225,1.235
7,12.0,8.0,12.0,9.0,12.0,12.0,12.0,11.0,11.0,12.0,11.0,9.0,11.0,10.0,12.0,12.0,10.0,12.0,11.0,11.0,11.0,11.0,10.0,11.0,13.0,12.0,10.0,12.0,12.0,9.0,11.0,12.0,10.0,12.0,12.0,11.0,11.0,10.0,13.0,13.0,11.15,1.152
8,12.0,8.0,12.0,9.0,12.0,11.0,11.0,8.0,11.0,12.0,11.0,9.0,11.0,10.0,12.0,12.0,10.0,12.0,11.0,8.0,10.0,11.0,10.0,11.0,13.0,12.0,10.0,8.0,12.0,9.0,11.0,10.0,10.0,12.0,12.0,11.0,11.0,10.0,12.0,13.0,10.75,1.356
9,12.0,8.0,12.0,9.0,12.0,11.0,11.0,8.0,11.0,12.0,11.0,9.0,11.0,10.0,12.0,12.0,10.0,12.0,11.0,8.0,10.0,11.0,10.0,11.0,13.0,12.0,10.0,8.0,12.0,9.0,11.0,10.0,10.0,12.0,12.0,11.0,11.0,10.0,12.0,12.0,10.725,1.323
10,12.0,8.0,12.0,9.0,12.0,11.0,11.0,8.0,11.0,9.0,11.0,9.0,11.0,10.0,12.0,12.0,10.0,12.0,11.0,8.0,10.0,11.0,10.0,11.0,13.0,12.0,10.0,8.0,12.0,9.0,11.0,10.0,10.0,12.0,12.0,11.0,11.0,10.0,12.0,9.0,10.575,1.34
