Generations,Run0,Run1,Run2,Run3,Run4,Run5,Run6,Run7,Run8,Run9,Run10,Run11,Run12,Run13,Run14,Run15,Run16,Run17,Run18,Run19,Run20,Run21,Run22,Run23,Run24,Run25,Run26,Run27,Run28,Run29,Run30,Run31,Run32,Run33,Run34,Run35,Run36,Run37,Run38,Run39,ABF,StdDev
0,12.0,13.0,14.0,11.0,12.0,12.0,12.0,13.0,14.0,14.0,9.0,12.0,14.0,13.0,11.0,14.0,14.0,14.0,16.0,15.0,13.0,13.0,14.0,14.0,12.0,13.0,13.0,13.0,12.0,15.0,14.0,12.0,12.0,13.0,12.0,13.0,13.0,11.0,15.0,10.0,12.9,1.393
1,12.0,12.0,14.0,11.0,12.0,12.0,12.0,13.0,13.0,14.0,9.0,12.0,14.0,13.0,11.0,13.0,12.0,9.0,14.0,15.0,13.0,13.0,14.0,14.0,12.0,13.0,13.0,13.0,12.0,13.0,14.0,12.0,12.0,11.0,12.0,13.0,13.0,10.0,12.0,10.0,12.4,1.338
2,11.0,12.0,13.0,7.0,12.0,12.0,12.0,13.0,9.0,14.0,9.0,10.0,14.0,13.0,11.0,13.0,12.0,9.0,12.0,13.0,12.0,13.0,14.0,14.0,12.0,13.0,11.0,13.0,12.0,13.0,13.0,12.0,12.0,11.0,12.0,13.0,13.0,10.0,12.0,10.0,11.9,1.546
3,10.0,11.0,13.0,7.0,12.0,12.0,12.0,11.0,9.0,13.0,9.0,10.0,14.0,12.0,11.0,13.0,12.0,9.0,12.0,13.0,12.0,12.0,13.0,13.0,12.0,13.0,11.0,13.0,12.0,13.0,13.0,12.0,12.0,11.0,12.0,13.0,13.0,10.0,12.0,10.0,11.675,1.456
4,10.0,11.0,13.0,7.0,12.0,12.0,12.0,11.0,9.0,13.0,9.0,10.0,13.0,12.0,11.0,12.0,12.0,9.0,12.0,13.0,12.0,12.0,13.0,13.0,12.0,13.0,11.0,11.0,12.0,13.0,12.0,10.0,12.0,11.0,10.0,13.0,10.0,10.0,12.0,10.0,11.375,1.409
5,10.0,11.0,13.0,6.0,12.0,12.0,12.0,11.0,9.0,13.0,9.0,10.0,13.0,12.0,11.0,12.0,12.0,9.0,12.0,13.0,12.0,12.0,13.0,13.0,11.0,11.0,11.0,11.0,12.0,10.0,12.0,10.0,11.0,11.0,10.0,13.0,10.0,10.0,12.0,9.0,11.15,1.476
6,10.0,11.0,13.0,6.0,10.0,12.0,12.0,11.0,9.0,13.0,9.0,10.0,13.0,12.0,11.0,12.0,12.0,9.0,12.0,11.0,11.0,12.0,13.0,13.0,11.0,11.0,11.0,11.0,12.0,10.0,12.0,10.0,11.0,11.0,10.0,13.0,10.0,10.0,12.0,9.0,11.025,1.44
7,10.0,11.0,11.0,6.0,10.0,11.0,11.0,11.0,9.0,11.0,9.0,10.0,13.0,12.0,11.0,12.0,12.0,9.0,12.0,11.0,11.0,12.0,12.0,13.0,11.0,11.0,11.0,11.0,12.0,10.0,12.0,10.0,11.0,11.0,10.0,13.0,10.0,10.0,12.0,8.0,10.825,1.358
8,9.0,11.0,11.0,6.0,10.0,11.0,11.0,11.0,9.0,11.0,9.0,10.0,13.0,12.0,11.0,12.0,12.0,9.0,12.0,11.0,11.0,11.0,12.0,12.0,11.0,11.0,11.0,11.0,12.0,10.0,12.0,10.0,9.0,11.0,10.0,11.0,10.0,10.0,12.0,8.0,10.65,1.314
9,9.0,11.0,11.0,6.0,10.0,11.0,11.0,11.0,9.0,11.0,9.0,10.0,12.0,11.0,11.0,12.0,12.0,9.0,12.0,11.0,11.0,11.0,12.0,12.0,11.0,11.0,11.0,11.0,12.0,10.0,9.0,10.0,9.0,11.0,10.0,11.0,10.0,10.0,12.0,8.0,10.525,1.265
10,9.0,11.0,11.0,6.0,10.0,11.0,11.0,11.0,9.0,11.0,9.0,10.0,12.0,11.0,11.0,12.0,12.0,9.0,12.0,11.0,11.0,11.0,12.0,12.0,10.0,11.0,11.0,11.0,12.0,10.0,9.0,10.0,9.0,8.0,10.0,11.0,10.0,10.0,12.0,8.0,10.425,1.321
11,9.0,11.0,11.0,6.0,10.0,11.0,11.0,11.0,9.0,11.0,9.0,10.0,12.0,11.0,11.0,12.0,12.0,9.0,12.0,10.0,11.0,11.0,12.0,12.0,10.0,11.0,11.0,11.0,12.0,10.0,9.0,10.0,9.0,8.0,9.0,11.0,10.0,10.0,12.0,8.0,10.375,1.336
12,9.0,11.0,11.0,6.0,10.0,11.0,11.0,11.0,9.0,11.0,9.0,10.0,12.0,11.0,11.0,12.0,12.0,9.0,12.0,10.0,11.0,11.0,11.0,12.0,10.0,11.0,11.0,11.0,12.0,10.0,9.0,10.0,9.0,8.0,9.0,11.0,9.0,10.0,12.0,8.0,10.325,1.33
13,9.0,11.0,11.0,6.0,10.0,11.0,11.0,11.0,8.0,11.0,9.0,10.0,12.0,11.0,11.0,10.0,12.0,9.0,12.0,10.0,11.0,11.0,10.0,12.0,10.0,11.0,11.0,10.0,10.0,10.0,9.0,10.0,9.0,8.0,9.0,11.0,9.0,10.0,12.0,8.0,10.15,1.295
