Generations,Run0,Run1,Run2,Run3,Run4,Run5,Run6,Run7,Run8,Run9,Run10,Run11,Run12,Run13,Run14,Run15,Run16,Run17,Run18,Run19,Run20,Run21,Run22,Run23,Run24,Run25,Run26,Run27,Run28,Run29,Run30,Run31,Run32,Run33,Run34,Run35,Run36,Run37,Run38,Run39,ABF,StdDev
0,15.0,14.0,10.0,11.0,11.0,13.0,12.0,14.0,11.0,14.0,12.0,14.0,11.0,13.0,13.0,11.0,11.0,12.0,13.0,12.0,13.0,14.0,15.0,14.0,12.0,11.0,13.0,13.0,14.0,13.0,13.0,14.0,12.0,14.0,14.0,10.0,13.0,14.0,12.0,14.0,12.725,1.323
1,13.0,10.0,10.0,11.0,10.0,12.0,11.0,12.0,9.0,13.0,11.0,12.0,11.0,12.0,9.0,11.0,11.0,12.0,13.0,11.0,12.0,12.0,12.0,13.0,12.0,11.0,13.0,12.0,13.0,12.0,11.0,12.0,12.0,13.0,10.0,10.0,7.0,13.0,9.0,11.0,11.35,1.352
2,12.0,10.0,10.0,11.0,10.0,12.0,11.0,12.0,9.0,11.0,11.0,12.0,11.0,10.0,9.0,11.0,11.0,10.0,11.0,11.0,11.0,10.0,11.0,13.0,12.0,11.0,7.0,12.0,13.0,9.0,11.0,11.0,11.0,10.0,10.0,10.0,7.0,11.0,9.0,11.0,10.625,1.278
3,10.0,10.0,10.0,10.0,10.0,9.0,11.0,11.0,9.0,9.0,10.0,12.0,11.0,10.0,9.0,11.0,10.0,10.0,11.0,11.0,10.0,10.0,11.0,9.0,11.0,11.0,7.0,12.0,12.0,9.0,10.0,11.0,11.0,10.0,10.0,10.0,7.0,11.0,9.0,11.0,10.15,1.108
4,10.0,10.0,10.0,9.0,10.0,9.0,9.0,11.0,9.0,9.0,10.0,11.0,11.0,10.0,8.0,10.0,10.0,9.0,11.0,11.0,4.0,10.0,10.0,9.0,9.0,11.0,7.0,11.0,10.0,9.0,9.0,9.0,11.0,9.0,10.0,10.0,7.0,10.0,9.0,11.0,9.55,1.341
5,8.0,9.0,9.0,9.0,9.0,9.0,7.0,11.0,9.0,9.0,10.0,11.0,11.0,8.0,8.0,10.0,10.0,9.0,10.0,11.0,4.0,10.0,10.0,9.0,9.0,10.0,6.0,10.0,10.0,9.0,9.0,7.0,11.0,9.0,10.0,9.0,7.0,10.0,9.0,8.0,9.075,1.421
6,8.0,8.0,8.0,9.0,9.0,9.0,7.0,10.0,9.0,9.0,10.0,9.0,11.0,8.0,8.0,9.0,10.0,9.0,10.0,11.0,4.0,9.0,10.0,9.0,9.0,10.0,6.0,9.0,10.0,9.0,8.0,7.0,11.0,9.0,10.0,9.0,7.0,10.0,9.0,8.0,8.85,1.352
7,8.0,8.0,7.0,9.0,9.0,9.0,7.0,9.0,9.0,9.0,10.0,9.0,10.0,8.0,8.0,9.0,9.0,9.0,10.0,10.0,4.0,7.0,10.0,9.0,9.0,10.0,6.0,9.0,10.0,9.0,8.0,7.0,10.0,9.0,9.0,9.0,7.0,10.0,9.0,7.0,8.6,1.281
8,8.0,8.0,7.0,9.0,9.0,9.0,7.0,9.0,9.0,9.0,10.0,9.0,9.0,8.0,8.0,9.0,8.0,8.0,10.0,10.0,4.0,6.0,10.0,9.0,7.0,9.0,6.0,8.0,10.0,9.0,8.0,7.0,10.0,9.0,9.0,8.0,7.0,10.0,9.0,7.0,8.375,1.298
9,7.0,8.0,7.0,9.0,7.0,9.0,7.0,8.0,9.0,9.0,10.0,9.0,9.0,8.0,8.0,9.0,8.0,8.0,10.0,8.0,4.0,6.0,10.0,7.0,7.0,9.0,6.0,6.0,10.0,9.0,8.0,7.0,10.0,9.0,9.0,8.0,7.0,10.0,9.0,7.0,8.125,1.345
10,7.0,8.0,7.0,9.0,7.0,9.0,6.0,7.0,9.0,8.0,9.0,9.0,8.0,8.0,8.0,9.0,8.0,8.0,10.0,8.0,4.0,6.0,10.0,6.0,7.0,9.0,6.0,6.0,10.0,9.0,8.0,7.0,7.0,9.0,9.0,8.0,7.0,8.0,8.0,7.0,7.825,1.282
11,7.0,8.0,7.0,9.0,7.0,8.0,6.0,6.0,9.0,8.0,9.0,9.0,8.0,8.0,8.0,9.0,8.0,8.0,10.0,8.0,4.0,6.0,10.0,6.0,7.0,9.0,6.0,6.0,10.0,9.0,8.0,5.0,7.0,9.0,8.0,8.0,7.0,7.0,7.0,7.0,7.65,1.352
12,7.0,8.0,7.0,9.0,7.0,7.0,6.0,6.0,9.0,8.0,9.0,9.0,8.0,8.0,8.0,9.0,8.0,8.0,10.0,8.0,4.0,6.0,10.0,6.0,7.0,9.0,6.0,6.0,10.0,9.0,8.0,5.0,7.0,9.0,8.0,8.0,7.0,7.0,7.0,5.0,7.575,1.412
13,7.0,8.0,7.0,9.0,7.0,7.0,6.0,6.0,9.0,8.0,9.0,9.0,8.0,8.0,8.0,9.0,8.0,7.0,10.0,8.0,4.0,6.0,10.0,6.0,7.0,9.0,4.0,6.0,10.0,9.0,8.0,5.0,7.0,9.0,8.0,8.0,7.0,7.0,7.0,5.0,7.5,1.5
14,7.0,7.0,7.0,8.0,7.0,6.0,6.0,6.0,7.0,8.0,8.0,9.0,8.0,8.0,8.0,9.0,8.0,7.0,10.0,8.0,4.0,6.0,10.0,6.0,7.0,9.0,4.0,5.0,10.0,9.0,6.0,5.0,7.0,9.0,8.0,8.0,7.0,7.0,7.0,5.0,7.275,1.5
15,7.0,7.0,7.0,8.0,7.0,6.0,6.0,6.0,7.0,8.0,7.0,9.0,8.0,8.0,8.0,9.0,8.0,7.0,10.0,8.0,4.0,6.0,10.0,6.0,7.0,8.0,4.0,5.0,8.0,9.0,6.0,5.0,7.0,8.0,8.0,8.0,7.0,7.0,7.0,5.0,7.15,1.388
16,7.0,7.0,7.0,8.0,7.0,6.0,6.0,6.0,7.0,8.0,7.0,9.0,8.0,8.0,8.0,9.0,8.0,7.0,9.0,8.0,4.0,6.0,10.0,6.0,7.0,8.0,4.0,5.0,8.0,8.0,6.0,5.0,7.0,8.0,8.0,8.0,7.0,6.0,7.0,5.0,7.075,1.33
17,7.0,7.0,7.0,8.0,7.0,6.0,6.0,6.0,6.0,8.0,7.0,9.0,8.0,8.0,8.0,9.0,7.0,7.0,9.0,8.0,4.0,6.0,9.0,6.0,7.0,8.0,4.0,5.0,8.0,8.0,6.0,5.0,7.0,8.0,8.0,8.0,7.0,6.0,7.0,5.0,7.0,1.285
18,7.0,7.0,7.0,8.0,7.0,6.0,5.0,6.0,6.0,8.0,7.0,9.0,8.0,8.0,8.0,9.0,7.0,7.0,8.0,8.0,4.0,6.0,9.0,6.0,7.0,8.0,4.0,5.0,8.0,8.0,6.0,5.0,7.0,8.0,8.0,8.0,6.0,6.0,7.0,5.0,6.925,1.292
19,7.0,7.0,7.0,8.0,7.0,6.0,5.0,6.0,6.0,8.0,7.0,9.0,8.0,8.0,8.0,9.0,7.0,7.0,8.0,8.0,4.0,6.0,9.0,5.0,6.0,8.0,4.0,4.0,8.0,8.0,6.0,5.0,7.0,8.0,8.0,8.0,6.0,6.0,7.0,5.0,6.85,1.37
20,7.0,7.0,7.0,8.0,7.0,6.0,5.0,6.0,6.0,8.0,7.0,9.0,8.0,8.0,8.0,9.0,7.0,7.0,6.0,8.0,4.0,6.0,9.0,5.0,6.0,8.0,4.0,4.0,8.0,8.0,6.0,5.0,7.0,8.0,8.0,8.0,6.0,6.0,7.0,5.0,6.8,1.364
21,7.0,7.0,7.0,7.0,7.0,6.0,5.0,6.0,6.0,8.0,7.0,9.0,8.0,8.0,7.0,9.0,7.0,7.0,6.0,8.0,4.0,6.0,7.0,5.0,5.0,8.0,4.0,4.0,8.0,8.0,6.0,5.0,7.0,8.0,8.0,8.0,6.0,5.0,6.0,5.0,6.625,1.336
22,7.0,7.0,7.0,7.0,7.0,6.0,5.0,6.0,6.0,8.0,7.0,9.0,7.0,8.0,7.0,9.0,7.0,7.0,6.0,8.0,4.0,6.0,7.0,5.0,5.0,8.0,4.0,4.0,8.0,7.0,6.0,5.0,7.0,8.0,8.0,8.0,4.0,5.0,6.0,5.0,6.525,1.36
23,7.0,7.0,7.0,7.0,7.0,6.0,4.0,6.0,6.0,8.0,7.0,9.0,6.0,8.0,7.0,9.0,7.0,7.0,6.0,8.0,4.0,6.0,7.0,5.0,5.0,8.0,4.0,4.0,8.0,7.0,6.0,5.0,7.0,8.0,8.0,8.0,4.0,5.0,6.0,5.0,6.475,1.396
24,7.0,7.0,7.0,7.0,7.0,6.0,4.0,6.0,6.0,8.0,7.0,9.0,6.0,8.0,7.0,9.0,6.0,7.0,6.0,8.0,4.0,6.0,7.0,5.0,5.0,8.0,4.0,4.0,8.0,7.0,6.0,5.0,7.0,8.0,8.0,8.0,4.0,5.0,6.0,5.0,6.45,1.396
25,7.0,7.0,7.0,7.0,7.0,6.0,4.0,6.0,6.0,8.0,7.0,9.0,6.0,8.0,7.0,9.0,6.0,7.0,6.0,7.0,4.0,6.0,7.0,5.0,5.0,8.0,4.0,4.0,8.0,7.0,6.0,5.0,7.0,8.0,8.0,6.0,4.0,5.0,6.0,5.0,6.375,1.354
26,7.0,7.0,7.0,7.0,7.0,6.0,4.0,6.0,6.0,8.0,7.0,9.0,6.0,8.0,7.0,7.0,6.0,7.0,6.0,7.0,4.0,6.0,7.0,5.0,5.0,8.0,4.0,4.0,8.0,7.0,6.0,5.0,7.0,8.0,8.0,6.0,4.0,5.0,6.0,5.0,6.325,1.292
27,7.0,7.0,6.0,7.0,7.0,6.0,4.0,6.0,6.0,8.0,7.0,9.0,6.0,8.0,7.0,6.0,5.0,7.0,6.0,7.0,4.0,6.0,7.0,5.0,5.0,7.0,4.0,4.0,8.0,7.0,6.0,5.0,7.0,8.0,8.0,6.0,4.0,5.0,6.0,5.0,6.225,1.275
