Generations,Run0,Run1,Run2,Run3,Run4,Run5,Run6,Run7,Run8,Run9,Run10,Run11,Run12,Run13,Run14,Run15,Run16,Run17,Run18,Run19,Run20,Run21,Run22,Run23,Run24,Run25,Run26,Run27,Run28,Run29,Run30,Run31,Run32,Run33,Run34,Run35,Run36,Run37,Run38,Run39,ABF,StdDev
0,14.0,13.0,14.0,13.0,10.0,12.0,13.0,13.0,12.0,14.0,12.0,11.0,14.0,14.0,13.0,14.0,12.0,12.0,12.0,11.0,12.0,11.0,13.0,12.0,14.0,13.0,12.0,12.0,10.0,13.0,13.0,11.0,12.0,14.0,12.0,12.0,9.0,12.0,11.0,14.0,12.375,1.239
1,12.0,7.0,13.0,11.0,10.0,12.0,12.0,12.0,12.0,13.0,11.0,11.0,13.0,13.0,13.0,13.0,12.0,11.0,12.0,9.0,11.0,11.0,11.0,11.0,11.0,13.0,12.0,11.0,10.0,13.0,12.0,11.0,12.0,9.0,12.0,12.0,9.0,11.0,11.0,13.0,11.45,1.322
2,12.0,7.0,13.0,11.0,9.0,12.0,12.0,10.0,12.0,10.0,11.0,11.0,11.0,11.0,12.0,12.0,12.0,11.0,12.0,7.0,11.0,9.0,11.0,11.0,10.0,11.0,11.0,10.0,10.0,13.0,12.0,11.0,10.0,9.0,12.0,12.0,9.0,9.0,11.0,12.0,10.8,1.382
3,11.0,7.0,11.0,11.0,8.0,10.0,12.0,10.0,11.0,10.0,8.0,11.0,9.0,10.0,11.0,11.0,11.0,7.0,11.0,7.0,11.0,9.0,10.0,11.0,10.0,10.0,11.0,10.0,10.0,12.0,10.0,10.0,9.0,9.0,10.0,12.0,9.0,9.0,10.0,12.0,10.025,1.313
4,10.0,7.0,11.0,11.0,7.0,10.0,10.0,10.0,11.0,10.0,8.0,11.0,9.0,10.0,10.0,10.0,9.0,7.0,11.0,7.0,10.0,8.0,10.0,11.0,10.0,9.0,9.0,9.0,9.0,10.0,10.0,10.0,9.0,9.0,9.0,10.0,8.0,8.0,8.0,11.0,9.4,1.2
5,9.0,7.0,10.0,11.0,7.0,9.0,10.0,9.0,11.0,10.0,7.0,9.0,9.0,10.0,10.0,10.0,7.0,7.0,11.0,6.0,9.0,8.0,9.0,11.0,9.0,9.0,9.0,9.0,9.0,10.0,10.0,9.0,9.0,7.0,9.0,9.0,8.0,8.0,8.0,10.0,8.95,1.244
6,7.0,7.0,10.0,8.0,6.0,9.0,9.0,7.0,9.0,10.0,6.0,8.0,7.0,10.0,9.0,10.0,7.0,6.0,10.0,5.0,9.0,8.0,8.0,11.0,6.0,9.0,9.0,9.0,8.0,10.0,8.0,8.0,9.0,6.0,8.0,8.0,7.0,8.0,8.0,10.0,8.175,1.412
7,6.0,7.0,10.0,7.0,6.0,9.0,9.0,7.0,9.0,10.0,6.0,8.0,6.0,7.0,8.0,9.0,7.0,6.0,10.0,5.0,8.0,7.0,8.0,9.0,5.0,9.0,7.0,8.0,8.0,9.0,8.0,8.0,6.0,6.0,8.0,8.0,6.0,7.0,8.0,10.0,7.625,1.373
8,6.0,7.0,8.0,7.0,5.0,9.0,8.0,7.0,9.0,10.0,6.0,8.0,6.0,7.0,8.0,9.0,7.0,5.0,9.0,5.0,6.0,7.0,7.0,9.0,5.0,7.0,5.0,7.0,7.0,9.0,8.0,7.0,6.0,6.0,8.0,7.0,6.0,6.0,8.0,9.0,7.15,1.333
9,6.0,7.0,8.0,6.0,5.0,8.0,7.0,7.0,9.0,9.0,5.0,6.0,6.0,7.0,7.0,9.0,5.0,5.0,9.0,4.0,6.0,7.0,6.0,9.0,5.0,7.0,5.0,6.0,7.0,9.0,8.0,6.0,5.0,6.0,6.0,7.0,5.0,6.0,7.0,9.0,6.675,1.403
10,6.0,6.0,8.0,6.0,5.0,8.0,7.0,5.0,8.0,8.0,5.0,6.0,5.0,5.0,5.0,8.0,5.0,4.0,7.0,4.0,5.0,7.0,5.0,9.0,4.0,7.0,4.0,6.0,7.0,8.0,6.0,5.0,3.0,5.0,6.0,7.0,3.0,5.0,7.0,8.0,5.95,1.499
11,5.0,6.0,8.0,6.0,4.0,8.0,5.0,5.0,8.0,8.0,5.0,6.0,4.0,5.0,5.0,8.0,5.0,4.0,7.0,4.0,4.0,6.0,5.0,8.0,4.0,7.0,4.0,6.0,6.0,7.0,6.0,4.0,3.0,4.0,6.0,7.0,3.0,5.0,7.0,7.0,5.625,1.478
