Generations,Run0,Run1,Run2,Run3,Run4,Run5,Run6,Run7,Run8,Run9,Run10,Run11,Run12,Run13,Run14,Run15,Run16,Run17,Run18,Run19,Run20,Run21,Run22,Run23,Run24,Run25,Run26,Run27,Run28,Run29,Run30,Run31,Run32,Run33,Run34,Run35,Run36,Run37,Run38,Run39,ABF,StdDev
0,12.0,12.0,12.0,12.0,12.0,13.0,12.0,13.0,13.0,11.0,15.0,14.0,14.0,14.0,10.0,11.0,12.0,13.0,13.0,13.0,12.0,11.0,13.0,15.0,13.0,13.0,13.0,13.0,14.0,11.0,13.0,12.0,14.0,13.0,14.0,13.0,14.0,11.0,14.0,13.0,12.75,1.135
1,11.0,12.0,12.0,12.0,12.0,10.0,10.0,13.0,13.0,11.0,13.0,13.0,14.0,12.0,10.0,11.0,12.0,13.0,12.0,13.0,12.0,9.0,13.0,10.0,12.0,11.0,13.0,12.0,13.0,11.0,13.0,12.0,14.0,13.0,11.0,11.0,12.0,11.0,10.0,13.0,11.875,1.187
2,11.0,12.0,10.0,11.0,12.0,10.0,10.0,12.0,13.0,11.0,12.0,10.0,13.0,12.0,10.0,11.0,12.0,9.0,11.0,12.0,12.0,9.0,12.0,10.0,11.0,11.0,13.0,12.0,9.0,11.0,12.0,12.0,13.0,11.0,11.0,11.0,11.0,11.0,9.0,11.0,11.15,1.108
3,11.0,11.0,10.0,11.0,12.0,10.0,10.0,12.0,12.0,11.0,12.0,10.0,13.0,12.0,10.0,11.0,12.0,9.0,11.0,9.0,11.0,9.0,11.0,10.0,11.0,11.0,12.0,11.0,9.0,11.0,12.0,12.0,12.0,11.0,11.0,10.0,11.0,10.0,9.0,10.0,10.825,1.022
4,10.0,11.0,10.0,11.0,11.0,7.0,8.0,12.0,12.0,10.0,11.0,10.0,11.0,12.0,10.0,11.0,11.0,9.0,11.0,9.0,7.0,9.0,11.0,10.0,9.0,11.0,9.0,9.0,9.0,10.0,10.0,12.0,11.0,10.0,11.0,10.0,11.0,10.0,9.0,10.0,10.125,1.208
5,10.0,11.0,10.0,11.0,11.0,7.0,8.0,12.0,11.0,10.0,11.0,10.0,11.0,10.0,10.0,9.0,9.0,9.0,11.0,9.0,7.0,9.0,9.0,10.0,8.0,9.0,9.0,9.0,9.0,10.0,10.0,10.0,11.0,10.0,11.0,10.0,11.0,10.0,9.0,10.0,9.775,1.107
6,10.0,11.0,10.0,11.0,11.0,7.0,8.0,10.0,11.0,10.0,11.0,10.0,9.0,10.0,10.0,9.0,9.0,9.0,9.0,9.0,7.0,8.0,9.0,10.0,8.0,9.0,9.0,9.0,9.0,10.0,10.0,9.0,11.0,8.0,11.0,10.0,11.0,10.0,9.0,10.0,9.525,1.072
7,10.0,11.0,7.0,11.0,9.0,7.0,8.0,10.0,11.0,9.0,11.0,10.0,9.0,10.0,10.0,9.0,7.0,9.0,9.0,9.0,7.0,8.0,8.0,10.0,8.0,9.0,8.0,9.0,8.0,8.0,9.0,9.0,11.0,8.0,11.0,10.0,9.0,9.0,9.0,10.0,9.1,1.179
8,9.0,11.0,7.0,8.0,9.0,7.0,8.0,10.0,11.0,9.0,9.0,10.0,9.0,10.0,10.0,9.0,7.0,9.0,9.0,8.0,7.0,8.0,8.0,10.0,8.0,7.0,6.0,6.0,8.0,8.0,9.0,9.0,11.0,8.0,9.0,10.0,9.0,9.0,9.0,7.0,8.625,1.259
9,9.0,10.0,7.0,8.0,8.0,7.0,8.0,9.0,10.0,9.0,9.0,10.0,9.0,9.0,10.0,7.0,7.0,9.0,9.0,8.0,7.0,8.0,8.0,10.0,8.0,7.0,6.0,6.0,8.0,8.0,9.0,9.0,10.0,8.0,9.0,10.0,9.0,9.0,9.0,7.0,8.425,1.116
