Generations,Run0,Run1,Run2,Run3,Run4,Run5,Run6,Run7,Run8,Run9,Run10,Run11,Run12,Run13,Run14,Run15,Run16,Run17,Run18,Run19,Run20,Run21,Run22,Run23,Run24,Run25,Run26,Run27,Run28,Run29,Run30,Run31,Run32,Run33,Run34,Run35,Run36,Run37,Run38,Run39,ABF,StdDev
0,11.0,13.0,11.0,12.0,10.0,12.0,13.0,11.0,14.0,13.0,13.0,13.0,9.0,14.0,12.0,14.0,13.0,11.0,12.0,13.0,13.0,13.0,13.0,14.0,13.0,13.0,12.0,12.0,13.0,12.0,13.0,12.0,11.0,14.0,15.0,13.0,11.0,10.0,11.0,13.0,12.375,1.259
1,11.0,13.0,10.0,12.0,10.0,12.0,13.0,11.0,13.0,10.0,13.0,13.0,9.0,13.0,10.0,13.0,13.0,11.0,12.0,11.0,12.0,12.0,13.0,14.0,12.0,13.0,12.0,12.0,12.0,11.0,11.0,12.0,11.0,11.0,14.0,13.0,11.0,10.0,11.0,13.0,11.825,1.202
2,11.0,11.0,10.0,12.0,10.0,12.0,13.0,9.0,13.0,10.0,13.0,13.0,9.0,11.0,10.0,13.0,13.0,9.0,12.0,11.0,11.0,12.0,11.0,10.0,12.0,13.0,11.0,12.0,11.0,11.0,11.0,12.0,11.0,11.0,10.0,13.0,11.0,10.0,11.0,13.0,11.3,1.208
3,11.0,11.0,10.0,11.0,10.0,12.0,10.0,9.0,7.0,10.0,10.0,13.0,9.0,11.0,10.0,12.0,13.0,9.0,12.0,11.0,10.0,12.0,11.0,10.0,10.0,12.0,11.0,12.0,11.0,11.0,8.0,12.0,11.0,11.0,10.0,12.0,11.0,9.0,11.0,12.0,10.7,1.269
4,8.0,11.0,8.0,11.0,10.0,11.0,10.0,9.0,7.0,10.0,10.0,10.0,7.0,11.0,10.0,11.0,10.0,9.0,12.0,11.0,10.0,12.0,11.0,9.0,10.0,12.0,11.0,12.0,10.0,10.0,8.0,12.0,11.0,8.0,10.0,9.0,11.0,9.0,9.0,11.0,10.025,1.332
5,8.0,10.0,8.0,11.0,10.0,11.0,10.0,9.0,7.0,10.0,10.0,10.0,7.0,10.0,10.0,11.0,10.0,9.0,8.0,10.0,10.0,11.0,11.0,9.0,10.0,12.0,10.0,11.0,10.0,8.0,8.0,12.0,10.0,8.0,10.0,9.0,11.0,8.0,9.0,10.0,9.65,1.236
6,8.0,9.0,8.0,8.0,9.0,11.0,10.0,9.0,7.0,10.0,10.0,10.0,7.0,8.0,10.0,5.0,10.0,9.0,8.0,10.0,10.0,10.0,10.0,9.0,10.0,10.0,10.0,11.0,8.0,8.0,8.0,10.0,10.0,8.0,8.0,9.0,8.0,7.0,9.0,10.0,8.975,1.255
7,8.0,9.0,8.0,8.0,9.0,11.0,10.0,7.0,7.0,10.0,10.0,10.0,5.0,8.0,8.0,5.0,10.0,8.0,8.0,9.0,10.0,9.0,10.0,9.0,9.0,10.0,10.0,8.0,8.0,8.0,8.0,10.0,10.0,8.0,8.0,9.0,8.0,6.0,9.0,10.0,8.625,1.354
8,6.0,9.0,8.0,5.0,9.0,10.0,10.0,7.0,7.0,7.0,10.0,10.0,5.0,8.0,8.0,5.0,10.0,8.0,8.0,8.0,9.0,9.0,10.0,9.0,8.0,9.0,10.0,8.0,8.0,8.0,8.0,10.0,10.0,8.0,8.0,9.0,8.0,5.0,9.0,10.0,8.275,1.483
9,6.0,9.0,4.0,5.0,9.0,10.0,10.0,7.0,7.0,7.0,9.0,10.0,3.0,8.0,7.0,5.0,10.0,8.0,6.0,8.0,8.0,8.0,10.0,9.0,7.0,9.0,8.0,8.0,8.0,8.0,8.0,10.0,9.0,8.0,8.0,8.0,6.0,5.0,9.0,10.0,7.8,1.72
10,5.0,8.0,4.0,5.0,7.0,9.0,10.0,7.0,5.0,7.0,9.0,8.0,3.0,8.0,5.0,5.0,10.0,6.0,6.0,7.0,7.0,7.0,9.0,8.0,7.0,9.0,8.0,8.0,7.0,7.0,5.0,9.0,9.0,7.0,8.0,8.0,6.0,4.0,8.0,9.0,7.1,1.7
11,3.0,7.0,4.0,4.0,7.0,9.0,9.0,7.0,4.0,7.0,9.0,8.0,3.0,8.0,5.0,5.0,8.0,4.0,6.0,6.0,7.0,6.0,9.0,8.0,7.0,7.0,8.0,8.0,7.0,7.0,5.0,9.0,7.0,7.0,8.0,8.0,6.0,3.0,8.0,8.0,6.65,1.768
12,3.0,6.0,4.0,4.0,7.0,9.0,8.0,7.0,3.0,6.0,9.0,8.0,2.0,8.0,5.0,5.0,7.0,4.0,6.0,6.0,7.0,6.0,8.0,8.0,6.0,7.0,8.0,6.0,6.0,7.0,3.0,9.0,7.0,6.0,8.0,8.0,6.0,3.0,8.0,8.0,6.3,1.847
13,1.0,3.0,4.0,4.0,7.0,8.0,8.0,6.0,3.0,6.0,9.0,8.0,2.0,8.0,4.0,5.0,7.0,4.0,6.0,5.0,6.0,6.0,8.0,8.0,4.0,7.0,8.0,6.0,6.0,7.0,3.0,9.0,7.0,6.0,8.0,8.0,6.0,3.0,7.0,8.0,5.975,2.019
14,1.0,3.0,4.0,4.0,7.0,7.0,8.0,5.0,3.0,5.0,9.0,7.0,2.0,8.0,4.0,5.0,6.0,3.0,6.0,3.0,5.0,5.0,7.0,5.0,4.0,6.0,7.0,4.0,4.0,6.0,3.0,7.0,7.0,5.0,8.0,7.0,4.0,3.0,6.0,7.0,5.25,1.854
15,1.0,3.0,4.0,4.0,6.0,7.0,8.0,5.0,3.0,5.0,7.0,7.0,1.0,7.0,4.0,4.0,6.0,2.0,6.0,2.0,4.0,5.0,6.0,5.0,4.0,6.0,6.0,4.0,4.0,5.0,2.0,6.0,6.0,4.0,7.0,7.0,4.0,2.0,6.0,7.0,4.8,1.806
16,1.0,3.0,4.0,3.0,6.0,7.0,8.0,4.0,3.0,5.0,7.0,7.0,1.0,6.0,3.0,4.0,6.0,2.0,6.0,2.0,4.0,5.0,5.0,5.0,4.0,6.0,6.0,4.0,4.0,4.0,2.0,6.0,6.0,2.0,6.0,4.0,4.0,2.0,6.0,6.0,4.475,1.761
17,1.0,3.0,4.0,3.0,6.0,6.0,7.0,3.0,2.0,5.0,6.0,7.0,1.0,6.0,2.0,3.0,5.0,2.0,4.0,2.0,3.0,5.0,5.0,5.0,2.0,6.0,5.0,4.0,3.0,4.0,2.0,6.0,6.0,2.0,4.0,4.0,4.0,2.0,4.0,5.0,3.975,1.651
18,1.0,3.0,4.0,3.0,5.0,6.0,7.0,3.0,2.0,5.0,6.0,7.0,1.0,5.0,2.0,3.0,5.0,2.0,4.0,1.0,2.0,5.0,5.0,5.0,2.0,5.0,4.0,4.0,1.0,4.0,2.0,3.0,5.0,2.0,4.0,4.0,3.0,2.0,4.0,5.0,3.65,1.621
