Generations,Run0,Run1,Run2,Run3,Run4,Run5,Run6,Run7,Run8,Run9,Run10,Run11,Run12,Run13,Run14,Run15,Run16,Run17,Run18,Run19,Run20,Run21,Run22,Run23,Run24,Run25,Run26,Run27,Run28,Run29,ABF,StdDev
0,13.0,13.0,16.0,13.0,12.0,12.0,13.0,16.0,14.0,16.0,14.0,13.0,13.0,15.0,15.0,15.0,12.0,16.0,15.0,15.0,14.0,15.0,13.0,13.0,10.0,15.0,14.0,14.0,12.0,16.0,13.9,1.491
1,12.0,13.0,13.0,13.0,12.0,12.0,13.0,15.0,13.0,12.0,14.0,13.0,13.0,15.0,15.0,15.0,12.0,16.0,13.0,15.0,14.0,15.0,13.0,13.0,10.0,14.0,14.0,14.0,11.0,16.0,13.433,1.407
2,12.0,13.0,13.0,13.0,12.0,12.0,13.0,13.0,12.0,12.0,14.0,13.0,13.0,15.0,15.0,15.0,12.0,14.0,13.0,15.0,14.0,13.0,13.0,13.0,10.0,13.0,14.0,12.0,11.0,10.0,12.9,1.274
3,12.0,13.0,12.0,13.0,12.0,11.0,13.0,12.0,12.0,12.0,14.0,12.0,13.0,13.0,15.0,14.0,12.0,12.0,13.0,14.0,10.0,13.0,13.0,13.0,10.0,13.0,13.0,12.0,11.0,10.0,12.4,1.172
4,12.0,13.0,12.0,13.0,12.0,11.0,11.0,12.0,12.0,12.0,14.0,12.0,13.0,13.0,12.0,14.0,12.0,12.0,13.0,13.0,10.0,13.0,11.0,11.0,10.0,13.0,12.0,12.0,11.0,10.0,12.033,1.048
5,12.0,13.0,12.0,13.0,12.0,11.0,11.0,11.0,12.0,12.0,14.0,12.0,13.0,12.0,12.0,14.0,12.0,12.0,9.0,12.0,9.0,13.0,11.0,11.0,10.0,13.0,12.0,12.0,11.0,10.0,11.767,1.202
6,12.0,12.0,12.0,13.0,12.0,11.0,11.0,11.0,12.0,12.0,14.0,12.0,13.0,11.0,12.0,14.0,12.0,12.0,9.0,12.0,9.0,13.0,11.0,11.0,9.0,13.0,12.0,12.0,11.0,10.0,11.667,1.247
7,12.0,12.0,12.0,13.0,12.0,11.0,11.0,11.0,12.0,12.0,14.0,11.0,13.0,11.0,11.0,14.0,11.0,12.0,9.0,12.0,9.0,13.0,11.0,11.0,9.0,13.0,12.0,12.0,11.0,10.0,11.567,1.257
8,11.0,12.0,12.0,13.0,11.0,11.0,11.0,10.0,12.0,12.0,12.0,9.0,13.0,11.0,11.0,14.0,11.0,12.0,9.0,12.0,9.0,12.0,11.0,11.0,9.0,13.0,11.0,12.0,11.0,10.0,11.267,1.236
9,10.0,12.0,12.0,13.0,11.0,11.0,11.0,10.0,11.0,12.0,11.0,9.0,13.0,11.0,11.0,14.0,11.0,11.0,8.0,12.0,9.0,12.0,11.0,11.0,9.0,13.0,11.0,12.0,11.0,10.0,11.1,1.3
10,10.0,12.0,11.0,12.0,11.0,11.0,11.0,10.0,10.0,11.0,11.0,9.0,12.0,9.0,11.0,14.0,10.0,11.0,8.0,12.0,9.0,11.0,11.0,11.0,8.0,13.0,11.0,12.0,11.0,10.0,10.767,1.309
11,10.0,12.0,11.0,12.0,11.0,11.0,11.0,10.0,9.0,11.0,11.0,9.0,12.0,9.0,11.0,13.0,9.0,9.0,8.0,11.0,8.0,10.0,11.0,11.0,8.0,12.0,11.0,12.0,11.0,10.0,10.467,1.31
12,10.0,12.0,11.0,12.0,11.0,11.0,11.0,10.0,8.0,11.0,11.0,9.0,12.0,9.0,11.0,12.0,9.0,9.0,8.0,11.0,8.0,10.0,11.0,11.0,8.0,12.0,11.0,12.0,11.0,10.0,10.4,1.306
13,10.0,11.0,10.0,12.0,11.0,11.0,11.0,10.0,8.0,11.0,11.0,9.0,12.0,9.0,11.0,12.0,9.0,9.0,8.0,11.0,8.0,10.0,11.0,11.0,8.0,10.0,11.0,11.0,8.0,10.0,10.133,1.258
14,10.0,11.0,10.0,12.0,10.0,11.0,11.0,10.0,8.0,11.0,11.0,9.0,12.0,9.0,11.0,12.0,8.0,9.0,8.0,11.0,8.0,10.0,11.0,11.0,8.0,10.0,11.0,10.0,8.0,9.0,10.0,1.291
15,10.0,9.0,9.0,10.0,10.0,10.0,11.0,10.0,8.0,11.0,11.0,9.0,12.0,9.0,11.0,12.0,8.0,9.0,8.0,11.0,8.0,9.0,11.0,11.0,8.0,10.0,10.0,10.0,8.0,9.0,9.733,1.209
16,10.0,9.0,9.0,10.0,10.0,10.0,11.0,9.0,8.0,11.0,9.0,9.0,12.0,9.0,11.0,11.0,8.0,9.0,8.0,11.0,8.0,9.0,11.0,11.0,8.0,10.0,10.0,10.0,8.0,9.0,9.6,1.143
17,10.0,9.0,9.0,9.0,10.0,9.0,11.0,9.0,8.0,11.0,9.0,9.0,11.0,9.0,11.0,11.0,8.0,8.0,7.0,11.0,8.0,9.0,11.0,10.0,8.0,10.0,10.0,10.0,7.0,9.0,9.367,1.197
18,10.0,9.0,9.0,9.0,10.0,9.0,11.0,8.0,8.0,11.0,9.0,9.0,11.0,9.0,11.0,11.0,8.0,8.0,7.0,11.0,8.0,8.0,11.0,10.0,8.0,10.0,10.0,9.0,7.0,9.0,9.267,1.236
19,10.0,7.0,9.0,9.0,10.0,9.0,11.0,8.0,8.0,11.0,8.0,9.0,11.0,8.0,11.0,11.0,8.0,8.0,7.0,11.0,8.0,8.0,11.0,10.0,6.0,10.0,10.0,9.0,7.0,9.0,9.067,1.436
20,10.0,7.0,9.0,9.0,8.0,8.0,11.0,8.0,8.0,10.0,6.0,9.0,7.0,8.0,11.0,11.0,8.0,8.0,7.0,11.0,8.0,8.0,11.0,10.0,6.0,9.0,10.0,9.0,7.0,8.0,8.667,1.468
21,10.0,7.0,9.0,9.0,8.0,8.0,11.0,8.0,8.0,10.0,6.0,9.0,7.0,5.0,11.0,11.0,8.0,8.0,6.0,10.0,8.0,8.0,11.0,10.0,5.0,9.0,10.0,9.0,7.0,8.0,8.467,1.668
22,10.0,7.0,9.0,9.0,8.0,8.0,10.0,8.0,8.0,10.0,6.0,9.0,7.0,5.0,10.0,11.0,8.0,6.0,6.0,10.0,8.0,8.0,11.0,10.0,5.0,9.0,10.0,9.0,7.0,8.0,8.333,1.64
23,10.0,7.0,9.0,9.0,8.0,8.0,10.0,7.0,8.0,10.0,6.0,9.0,7.0,5.0,10.0,11.0,8.0,6.0,6.0,10.0,8.0,8.0,11.0,10.0,5.0,9.0,10.0,9.0,7.0,8.0,8.3,1.656
24,10.0,7.0,9.0,9.0,8.0,8.0,10.0,7.0,7.0,10.0,6.0,9.0,7.0,5.0,10.0,11.0,8.0,6.0,6.0,10.0,8.0,8.0,11.0,10.0,5.0,9.0,10.0,9.0,7.0,8.0,8.267,1.672
25,10.0,7.0,8.0,9.0,6.0,8.0,10.0,7.0,7.0,10.0,6.0,8.0,7.0,5.0,10.0,11.0,8.0,6.0,6.0,9.0,7.0,8.0,10.0,9.0,4.0,9.0,10.0,9.0,7.0,8.0,7.967,1.683
26,9.0,7.0,8.0,9.0,6.0,8.0,10.0,7.0,7.0,10.0,5.0,8.0,7.0,5.0,9.0,11.0,8.0,6.0,6.0,9.0,7.0,8.0,9.0,9.0,4.0,9.0,10.0,9.0,7.0,8.0,7.833,1.635
