Generations,Run0,Run1,Run2,Run3,Run4,Run5,Run6,Run7,Run8,Run9,Run10,Run11,Run12,Run13,Run14,Run15,Run16,Run17,Run18,Run19,Run20,Run21,Run22,Run23,Run24,Run25,Run26,Run27,Run28,Run29,ABF,StdDev
0,14.0,18.0,13.0,17.0,14.0,15.0,15.0,14.0,15.0,14.0,14.0,14.0,14.0,15.0,14.0,14.0,15.0,15.0,12.0,12.0,15.0,14.0,14.0,15.0,15.0,17.0,14.0,13.0,14.0,15.0,14.467,1.258
1,14.0,15.0,13.0,15.0,13.0,15.0,12.0,14.0,15.0,14.0,13.0,14.0,14.0,14.0,14.0,13.0,14.0,15.0,12.0,12.0,14.0,14.0,14.0,15.0,11.0,11.0,13.0,13.0,14.0,15.0,13.633,1.14
2,14.0,13.0,13.0,12.0,13.0,15.0,12.0,13.0,15.0,14.0,13.0,13.0,14.0,14.0,12.0,13.0,14.0,12.0,12.0,10.0,14.0,13.0,13.0,13.0,11.0,11.0,12.0,12.0,13.0,14.0,12.9,1.136
3,13.0,12.0,13.0,12.0,13.0,15.0,8.0,13.0,15.0,14.0,13.0,13.0,13.0,14.0,12.0,13.0,14.0,12.0,12.0,10.0,14.0,13.0,13.0,13.0,11.0,11.0,12.0,12.0,13.0,14.0,12.667,1.398
4,12.0,11.0,13.0,12.0,13.0,13.0,8.0,13.0,13.0,13.0,12.0,13.0,11.0,14.0,12.0,13.0,14.0,12.0,12.0,10.0,14.0,13.0,13.0,13.0,11.0,11.0,12.0,11.0,13.0,14.0,12.3,1.295
5,12.0,11.0,13.0,12.0,13.0,13.0,8.0,13.0,13.0,13.0,12.0,13.0,11.0,14.0,11.0,13.0,14.0,12.0,12.0,10.0,14.0,13.0,13.0,13.0,11.0,11.0,12.0,11.0,13.0,14.0,12.267,1.315
6,12.0,11.0,13.0,11.0,13.0,13.0,8.0,13.0,13.0,13.0,12.0,10.0,11.0,14.0,11.0,13.0,14.0,10.0,11.0,10.0,14.0,13.0,12.0,12.0,11.0,10.0,12.0,11.0,12.0,13.0,11.867,1.408
7,12.0,7.0,13.0,11.0,13.0,13.0,8.0,13.0,12.0,13.0,12.0,10.0,11.0,13.0,11.0,12.0,13.0,10.0,11.0,10.0,13.0,13.0,12.0,12.0,11.0,9.0,12.0,10.0,9.0,13.0,11.4,1.625
8,12.0,7.0,13.0,11.0,13.0,13.0,8.0,12.0,12.0,13.0,12.0,10.0,11.0,13.0,11.0,12.0,13.0,10.0,11.0,10.0,12.0,13.0,12.0,11.0,11.0,9.0,12.0,10.0,9.0,13.0,11.3,1.574
9,8.0,7.0,13.0,10.0,11.0,13.0,8.0,11.0,12.0,13.0,11.0,9.0,11.0,11.0,11.0,12.0,13.0,10.0,11.0,9.0,12.0,12.0,9.0,11.0,11.0,9.0,12.0,10.0,9.0,13.0,10.733,1.632
