Generations,Run0,Run1,Run2,Run3,Run4,Run5,Run6,Run7,Run8,Run9,Run10,Run11,Run12,Run13,Run14,Run15,Run16,Run17,Run18,Run19,Run20,Run21,Run22,Run23,Run24,Run25,Run26,Run27,Run28,Run29,ABF,StdDev
0,13.0,14.0,14.0,15.0,16.0,15.0,13.0,15.0,15.0,15.0,15.0,14.0,15.0,14.0,13.0,16.0,13.0,13.0,14.0,15.0,14.0,12.0,14.0,15.0,17.0,13.0,17.0,13.0,14.0,16.0,14.4,1.227
1,12.0,14.0,14.0,15.0,16.0,15.0,13.0,14.0,13.0,15.0,12.0,14.0,12.0,12.0,13.0,16.0,13.0,12.0,14.0,13.0,11.0,12.0,12.0,15.0,16.0,13.0,14.0,13.0,14.0,14.0,13.533,1.335
2,12.0,14.0,12.0,13.0,15.0,15.0,13.0,14.0,13.0,15.0,12.0,14.0,12.0,12.0,12.0,11.0,11.0,11.0,13.0,12.0,11.0,12.0,12.0,15.0,12.0,13.0,14.0,13.0,14.0,14.0,12.867,1.258
3,12.0,14.0,12.0,13.0,13.0,15.0,13.0,12.0,13.0,15.0,12.0,14.0,12.0,12.0,12.0,11.0,11.0,11.0,13.0,12.0,11.0,12.0,12.0,14.0,12.0,13.0,14.0,11.0,13.0,14.0,12.6,1.143
4,12.0,14.0,12.0,13.0,12.0,14.0,13.0,12.0,11.0,15.0,12.0,14.0,12.0,12.0,8.0,10.0,11.0,11.0,13.0,12.0,11.0,12.0,12.0,14.0,12.0,13.0,14.0,11.0,12.0,14.0,12.267,1.413
5,10.0,14.0,12.0,12.0,12.0,11.0,13.0,11.0,11.0,13.0,12.0,14.0,12.0,12.0,8.0,10.0,11.0,11.0,13.0,12.0,11.0,12.0,12.0,14.0,12.0,13.0,14.0,11.0,12.0,14.0,11.967,1.354
6,10.0,14.0,12.0,12.0,12.0,11.0,13.0,11.0,11.0,13.0,12.0,14.0,12.0,12.0,8.0,10.0,11.0,11.0,13.0,11.0,11.0,12.0,12.0,14.0,12.0,13.0,10.0,11.0,12.0,14.0,11.8,1.352
7,10.0,12.0,12.0,12.0,12.0,11.0,13.0,10.0,11.0,9.0,12.0,14.0,12.0,12.0,8.0,10.0,11.0,11.0,13.0,11.0,11.0,12.0,12.0,13.0,12.0,12.0,10.0,11.0,10.0,13.0,11.4,1.281
8,10.0,12.0,12.0,12.0,12.0,11.0,12.0,10.0,11.0,9.0,12.0,14.0,12.0,12.0,8.0,10.0,11.0,11.0,13.0,11.0,10.0,12.0,12.0,13.0,12.0,12.0,9.0,11.0,10.0,13.0,11.3,1.32
9,10.0,12.0,12.0,12.0,12.0,11.0,12.0,10.0,11.0,9.0,12.0,14.0,12.0,12.0,8.0,10.0,11.0,11.0,13.0,11.0,10.0,12.0,12.0,13.0,11.0,12.0,9.0,11.0,10.0,10.0,11.167,1.293
10,10.0,11.0,12.0,12.0,12.0,11.0,12.0,10.0,11.0,9.0,12.0,12.0,12.0,11.0,8.0,10.0,11.0,11.0,13.0,11.0,10.0,12.0,12.0,13.0,11.0,12.0,9.0,11.0,10.0,10.0,11.033,1.169
11,10.0,11.0,12.0,12.0,12.0,11.0,12.0,10.0,11.0,9.0,8.0,11.0,12.0,8.0,8.0,10.0,11.0,11.0,13.0,11.0,10.0,12.0,12.0,13.0,11.0,12.0,7.0,10.0,10.0,10.0,10.667,1.491
12,10.0,11.0,12.0,12.0,12.0,11.0,12.0,10.0,11.0,5.0,8.0,11.0,12.0,8.0,8.0,10.0,11.0,11.0,13.0,11.0,10.0,12.0,12.0,13.0,11.0,12.0,7.0,10.0,10.0,10.0,10.533,1.784
13,10.0,11.0,12.0,12.0,12.0,11.0,11.0,10.0,11.0,3.0,8.0,10.0,12.0,8.0,8.0,10.0,11.0,11.0,13.0,11.0,9.0,12.0,12.0,12.0,11.0,12.0,7.0,10.0,10.0,10.0,10.333,1.972
14,10.0,11.0,12.0,12.0,12.0,11.0,11.0,10.0,11.0,3.0,8.0,10.0,12.0,8.0,8.0,10.0,11.0,11.0,13.0,11.0,9.0,12.0,12.0,12.0,11.0,11.0,7.0,10.0,10.0,10.0,10.3,1.952
15,10.0,11.0,12.0,12.0,12.0,11.0,10.0,10.0,11.0,3.0,8.0,10.0,12.0,8.0,8.0,10.0,11.0,11.0,13.0,11.0,9.0,12.0,12.0,12.0,11.0,11.0,7.0,10.0,10.0,10.0,10.267,1.948
16,10.0,11.0,12.0,12.0,12.0,11.0,10.0,10.0,11.0,3.0,8.0,10.0,11.0,8.0,8.0,10.0,11.0,11.0,13.0,11.0,9.0,12.0,12.0,12.0,11.0,11.0,7.0,10.0,10.0,10.0,10.233,1.927
17,10.0,11.0,12.0,11.0,12.0,11.0,10.0,10.0,11.0,3.0,8.0,10.0,11.0,8.0,8.0,10.0,11.0,11.0,13.0,11.0,9.0,12.0,12.0,12.0,10.0,11.0,7.0,10.0,10.0,10.0,10.167,1.899
18,10.0,11.0,11.0,11.0,12.0,11.0,10.0,10.0,11.0,3.0,8.0,10.0,11.0,8.0,8.0,10.0,11.0,11.0,13.0,11.0,9.0,11.0,12.0,12.0,10.0,11.0,7.0,10.0,10.0,10.0,10.1,1.85
19,10.0,9.0,11.0,11.0,12.0,11.0,10.0,10.0,11.0,3.0,8.0,10.0,11.0,8.0,8.0,10.0,11.0,11.0,13.0,11.0,9.0,11.0,12.0,12.0,10.0,11.0,7.0,10.0,10.0,10.0,10.033,1.853
20,10.0,9.0,11.0,11.0,12.0,11.0,10.0,10.0,11.0,3.0,8.0,10.0,10.0,8.0,8.0,10.0,11.0,11.0,13.0,11.0,9.0,11.0,12.0,12.0,10.0,11.0,7.0,10.0,10.0,10.0,10.0,1.844
21,10.0,9.0,11.0,11.0,12.0,11.0,10.0,10.0,11.0,3.0,8.0,10.0,10.0,8.0,8.0,10.0,11.0,11.0,13.0,11.0,9.0,11.0,12.0,12.0,10.0,11.0,7.0,10.0,10.0,10.0,10.0,1.844
22,10.0,9.0,11.0,11.0,12.0,11.0,10.0,10.0,11.0,3.0,8.0,10.0,10.0,8.0,8.0,10.0,11.0,11.0,13.0,11.0,9.0,11.0,12.0,12.0,10.0,11.0,7.0,10.0,10.0,10.0,10.0,1.844
23,10.0,9.0,11.0,11.0,12.0,11.0,10.0,10.0,11.0,3.0,8.0,10.0,10.0,8.0,8.0,10.0,11.0,11.0,13.0,11.0,9.0,11.0,12.0,12.0,10.0,11.0,7.0,10.0,10.0,10.0,10.0,1.844
24,10.0,9.0,11.0,11.0,12.0,11.0,10.0,10.0,11.0,3.0,8.0,10.0,10.0,8.0,8.0,10.0,11.0,11.0,13.0,11.0,9.0,11.0,12.0,12.0,10.0,11.0,7.0,10.0,10.0,10.0,10.0,1.844
25,10.0,9.0,10.0,11.0,12.0,11.0,10.0,10.0,11.0,3.0,8.0,10.0,9.0,8.0,8.0,10.0,11.0,11.0,13.0,11.0,9.0,11.0,12.0,12.0,10.0,11.0,7.0,10.0,10.0,10.0,9.933,1.843
26,10.0,9.0,10.0,11.0,12.0,11.0,10.0,10.0,11.0,3.0,8.0,10.0,9.0,8.0,8.0,10.0,11.0,11.0,13.0,11.0,9.0,11.0,12.0,12.0,10.0,9.0,7.0,10.0,10.0,10.0,9.867,1.839
27,10.0,9.0,10.0,11.0,12.0,11.0,10.0,10.0,11.0,3.0,8.0,10.0,9.0,8.0,8.0,10.0,11.0,11.0,12.0,11.0,9.0,11.0,12.0,12.0,10.0,9.0,7.0,10.0,10.0,10.0,9.833,1.79
28,10.0,9.0,10.0,11.0,12.0,11.0,10.0,10.0,11.0,3.0,8.0,10.0,9.0,8.0,8.0,10.0,11.0,11.0,12.0,11.0,9.0,11.0,12.0,12.0,10.0,9.0,7.0,10.0,10.0,10.0,9.833,1.79
29,10.0,9.0,10.0,11.0,12.0,11.0,10.0,10.0,11.0,3.0,8.0,10.0,9.0,8.0,8.0,10.0,11.0,11.0,12.0,8.0,9.0,11.0,12.0,12.0,10.0,9.0,7.0,10.0,10.0,10.0,9.733,1.806
30,10.0,9.0,10.0,11.0,12.0,11.0,10.0,10.0,11.0,3.0,8.0,10.0,9.0,8.0,8.0,10.0,11.0,10.0,12.0,8.0,9.0,11.0,12.0,9.0,10.0,9.0,7.0,10.0,10.0,10.0,9.6,1.744
31,10.0,9.0,10.0,11.0,12.0,11.0,10.0,10.0,11.0,3.0,8.0,10.0,9.0,8.0,8.0,10.0,11.0,10.0,12.0,8.0,9.0,11.0,12.0,9.0,10.0,9.0,7.0,10.0,10.0,10.0,9.6,1.744
32,10.0,9.0,10.0,11.0,12.0,11.0,10.0,10.0,11.0,3.0,8.0,10.0,9.0,8.0,8.0,10.0,11.0,10.0,12.0,8.0,9.0,11.0,12.0,9.0,10.0,9.0,7.0,10.0,10.0,10.0,9.6,1.744
33,10.0,9.0,10.0,11.0,12.0,10.0,10.0,10.0,11.0,3.0,8.0,10.0,9.0,8.0,8.0,10.0,11.0,10.0,12.0,8.0,9.0,11.0,12.0,9.0,10.0,9.0,7.0,10.0,10.0,10.0,9.567,1.726
