Generations,Run0,Run1,Run2,Run3,Run4,Run5,Run6,Run7,Run8,Run9,Run10,Run11,Run12,Run13,Run14,Run15,Run16,Run17,Run18,Run19,Run20,Run21,Run22,Run23,Run24,Run25,Run26,Run27,Run28,Run29,ABF,StdDev
0,14.0,13.0,13.0,14.0,15.0,13.0,10.0,13.0,13.0,12.0,15.0,14.0,11.0,15.0,13.0,11.0,12.0,13.0,14.0,13.0,14.0,12.0,13.0,14.0,11.0,11.0,13.0,13.0,14.0,12.0,12.933,1.263
1,12.0,12.0,13.0,13.0,9.0,13.0,10.0,13.0,13.0,12.0,15.0,13.0,11.0,14.0,13.0,11.0,12.0,13.0,12.0,13.0,13.0,12.0,11.0,14.0,11.0,11.0,13.0,13.0,13.0,11.0,12.3,1.242
2,12.0,12.0,13.0,12.0,9.0,13.0,10.0,12.0,13.0,12.0,14.0,13.0,10.0,11.0,13.0,11.0,11.0,13.0,11.0,11.0,12.0,12.0,11.0,13.0,11.0,11.0,13.0,11.0,13.0,11.0,11.8,1.137
3,10.0,12.0,12.0,12.0,9.0,12.0,10.0,12.0,12.0,12.0,14.0,12.0,10.0,11.0,12.0,9.0,11.0,11.0,10.0,11.0,12.0,12.0,10.0,11.0,11.0,10.0,13.0,11.0,13.0,11.0,11.267,1.153
4,10.0,11.0,12.0,11.0,9.0,11.0,9.0,12.0,11.0,12.0,12.0,12.0,10.0,10.0,12.0,9.0,10.0,7.0,10.0,11.0,12.0,12.0,10.0,11.0,11.0,10.0,13.0,11.0,13.0,11.0,10.833,1.293
5,10.0,10.0,12.0,10.0,9.0,11.0,8.0,12.0,11.0,12.0,12.0,12.0,10.0,10.0,11.0,9.0,9.0,7.0,10.0,11.0,11.0,12.0,10.0,11.0,11.0,10.0,12.0,11.0,13.0,10.0,10.567,1.309
6,10.0,10.0,11.0,10.0,7.0,11.0,8.0,12.0,11.0,12.0,12.0,11.0,10.0,10.0,11.0,9.0,9.0,7.0,10.0,11.0,9.0,12.0,8.0,11.0,11.0,10.0,12.0,11.0,12.0,10.0,10.267,1.413
7,10.0,10.0,11.0,10.0,7.0,11.0,8.0,12.0,11.0,12.0,12.0,11.0,10.0,10.0,11.0,9.0,9.0,7.0,10.0,11.0,9.0,8.0,8.0,11.0,11.0,10.0,12.0,11.0,12.0,10.0,10.133,1.431
8,10.0,10.0,11.0,9.0,7.0,11.0,8.0,11.0,11.0,12.0,12.0,11.0,10.0,10.0,11.0,9.0,9.0,7.0,10.0,11.0,9.0,8.0,8.0,11.0,11.0,9.0,8.0,10.0,12.0,10.0,9.867,1.408
9,10.0,10.0,11.0,9.0,7.0,8.0,8.0,11.0,10.0,10.0,12.0,11.0,10.0,10.0,11.0,9.0,9.0,7.0,10.0,11.0,9.0,8.0,8.0,11.0,11.0,9.0,8.0,10.0,11.0,9.0,9.6,1.306
10,10.0,10.0,11.0,9.0,7.0,8.0,8.0,11.0,9.0,10.0,12.0,11.0,10.0,10.0,11.0,9.0,9.0,7.0,10.0,11.0,9.0,8.0,8.0,11.0,11.0,9.0,8.0,10.0,11.0,9.0,9.567,1.309
11,10.0,10.0,11.0,9.0,7.0,8.0,8.0,11.0,9.0,10.0,12.0,11.0,9.0,10.0,11.0,9.0,9.0,7.0,10.0,11.0,9.0,8.0,8.0,11.0,11.0,8.0,8.0,10.0,11.0,9.0,9.5,1.335
12,10.0,10.0,11.0,9.0,7.0,8.0,8.0,11.0,9.0,10.0,12.0,11.0,9.0,10.0,11.0,9.0,9.0,7.0,10.0,11.0,9.0,8.0,8.0,11.0,11.0,8.0,8.0,10.0,11.0,9.0,9.5,1.335
13,10.0,10.0,11.0,9.0,7.0,8.0,8.0,11.0,9.0,10.0,12.0,11.0,9.0,10.0,10.0,9.0,9.0,7.0,10.0,11.0,9.0,8.0,8.0,11.0,11.0,8.0,8.0,10.0,11.0,9.0,9.467,1.31
14,10.0,10.0,11.0,9.0,7.0,8.0,8.0,11.0,9.0,10.0,12.0,11.0,9.0,10.0,10.0,9.0,9.0,7.0,10.0,11.0,9.0,8.0,8.0,11.0,11.0,8.0,8.0,10.0,10.0,9.0,9.433,1.283
15,10.0,10.0,11.0,9.0,7.0,8.0,8.0,11.0,9.0,8.0,12.0,11.0,9.0,10.0,10.0,9.0,9.0,7.0,10.0,11.0,9.0,8.0,8.0,11.0,11.0,8.0,8.0,10.0,10.0,9.0,9.367,1.303
16,10.0,10.0,11.0,9.0,7.0,8.0,8.0,11.0,9.0,8.0,12.0,11.0,9.0,10.0,10.0,9.0,9.0,7.0,10.0,11.0,9.0,8.0,8.0,11.0,11.0,8.0,8.0,10.0,10.0,9.0,9.367,1.303
17,10.0,9.0,11.0,9.0,7.0,8.0,8.0,11.0,9.0,8.0,12.0,11.0,9.0,10.0,10.0,9.0,9.0,7.0,10.0,11.0,9.0,8.0,8.0,11.0,10.0,8.0,8.0,10.0,10.0,9.0,9.3,1.269
