Generations,Run0,Run1,Run2,Run3,Run4,Run5,Run6,Run7,Run8,Run9,Run10,Run11,Run12,Run13,Run14,Run15,Run16,Run17,Run18,Run19,Run20,Run21,Run22,Run23,Run24,Run25,Run26,Run27,Run28,Run29,ABF,StdDev
0,26.0,26.0,26.0,28.0,27.0,25.0,25.0,26.0,26.0,24.0,26.0,26.0,29.0,28.0,28.0,26.0,27.0,27.0,28.0,22.0,26.0,26.0,24.0,27.0,25.0,27.0,25.0,24.0,26.0,27.0,26.1,1.446
1,25.0,24.0,25.0,24.0,24.0,25.0,25.0,24.0,26.0,24.0,25.0,25.0,28.0,27.0,27.0,26.0,27.0,26.0,26.0,22.0,26.0,25.0,24.0,26.0,25.0,25.0,25.0,24.0,26.0,24.0,25.167,1.213
2,25.0,24.0,25.0,24.0,24.0,25.0,23.0,23.0,22.0,23.0,25.0,25.0,25.0,23.0,26.0,23.0,26.0,23.0,25.0,22.0,25.0,25.0,23.0,26.0,25.0,25.0,24.0,24.0,25.0,24.0,24.233,1.116
3,24.0,24.0,25.0,24.0,24.0,23.0,23.0,23.0,22.0,23.0,25.0,25.0,25.0,23.0,24.0,23.0,25.0,23.0,25.0,22.0,24.0,25.0,23.0,26.0,25.0,24.0,24.0,24.0,25.0,23.0,23.933,0.998
4,23.0,22.0,24.0,24.0,24.0,20.0,23.0,23.0,22.0,21.0,25.0,20.0,24.0,22.0,23.0,23.0,25.0,23.0,24.0,22.0,24.0,24.0,23.0,24.0,23.0,24.0,23.0,24.0,24.0,22.0,23.067,1.236
5,23.0,21.0,24.0,24.0,24.0,20.0,22.0,23.0,19.0,21.0,25.0,20.0,22.0,22.0,20.0,23.0,24.0,23.0,21.0,22.0,24.0,22.0,23.0,23.0,22.0,24.0,23.0,24.0,24.0,18.0,22.333,1.68
6,23.0,21.0,23.0,24.0,24.0,20.0,22.0,23.0,19.0,21.0,23.0,19.0,21.0,21.0,20.0,23.0,24.0,23.0,21.0,22.0,24.0,22.0,23.0,22.0,22.0,24.0,22.0,22.0,23.0,18.0,21.967,1.581
7,23.0,21.0,20.0,23.0,24.0,20.0,20.0,22.0,19.0,20.0,22.0,19.0,21.0,20.0,20.0,23.0,24.0,23.0,21.0,21.0,24.0,22.0,23.0,20.0,21.0,24.0,21.0,22.0,23.0,18.0,21.467,1.648
8,23.0,21.0,20.0,23.0,20.0,20.0,20.0,22.0,18.0,20.0,22.0,18.0,20.0,20.0,20.0,23.0,23.0,23.0,21.0,21.0,24.0,22.0,20.0,20.0,21.0,23.0,20.0,22.0,23.0,18.0,21.033,1.622
9,23.0,21.0,20.0,23.0,20.0,20.0,19.0,22.0,18.0,20.0,20.0,18.0,20.0,20.0,19.0,23.0,21.0,22.0,20.0,21.0,24.0,21.0,20.0,20.0,20.0,22.0,20.0,22.0,23.0,18.0,20.667,1.556
10,22.0,20.0,20.0,22.0,19.0,18.0,18.0,22.0,18.0,20.0,20.0,18.0,20.0,20.0,19.0,23.0,20.0,21.0,20.0,21.0,24.0,20.0,20.0,20.0,19.0,22.0,20.0,22.0,22.0,18.0,20.267,1.548
11,20.0,20.0,20.0,21.0,17.0,18.0,18.0,22.0,17.0,19.0,20.0,18.0,20.0,20.0,19.0,22.0,20.0,21.0,20.0,20.0,24.0,20.0,20.0,20.0,19.0,22.0,20.0,22.0,19.0,17.0,19.833,1.593
12,20.0,20.0,20.0,21.0,17.0,18.0,18.0,20.0,17.0,19.0,20.0,16.0,19.0,20.0,17.0,22.0,20.0,20.0,20.0,19.0,23.0,20.0,20.0,20.0,18.0,22.0,20.0,22.0,17.0,17.0,19.4,1.705
