Generations,Run0,Run1,Run2,Run3,Run4,Run5,Run6,Run7,Run8,Run9,Run10,Run11,Run12,Run13,Run14,Run15,Run16,Run17,Run18,Run19,Run20,Run21,Run22,Run23,Run24,Run25,Run26,Run27,Run28,Run29,ABF,StdDev
0,28.0,26.0,27.0,23.0,28.0,27.0,25.0,27.0,26.0,26.0,24.0,27.0,26.0,27.0,24.0,26.0,29.0,25.0,26.0,28.0,28.0,27.0,27.0,25.0,25.0,27.0,24.0,27.0,25.0,25.0,26.167,1.416
1,26.0,26.0,26.0,22.0,27.0,27.0,25.0,24.0,24.0,24.0,24.0,27.0,25.0,27.0,24.0,25.0,27.0,24.0,26.0,27.0,23.0,25.0,24.0,24.0,25.0,26.0,24.0,27.0,25.0,25.0,25.167,1.344
2,24.0,26.0,24.0,22.0,24.0,26.0,25.0,24.0,24.0,24.0,24.0,25.0,23.0,26.0,24.0,25.0,26.0,20.0,26.0,25.0,23.0,25.0,24.0,23.0,23.0,23.0,24.0,26.0,25.0,25.0,24.267,1.34
3,24.0,24.0,23.0,21.0,24.0,24.0,24.0,24.0,24.0,24.0,22.0,24.0,23.0,24.0,24.0,25.0,24.0,20.0,25.0,25.0,23.0,24.0,22.0,23.0,22.0,23.0,23.0,24.0,25.0,25.0,23.533,1.176
4,24.0,23.0,22.0,20.0,24.0,24.0,23.0,23.0,24.0,24.0,21.0,23.0,23.0,22.0,21.0,23.0,24.0,20.0,24.0,24.0,23.0,24.0,22.0,23.0,19.0,23.0,23.0,24.0,25.0,21.0,22.767,1.43
5,23.0,21.0,21.0,18.0,22.0,24.0,23.0,23.0,24.0,22.0,20.0,23.0,22.0,21.0,21.0,23.0,24.0,20.0,24.0,23.0,23.0,24.0,22.0,22.0,19.0,21.0,22.0,23.0,24.0,20.0,22.067,1.569
6,23.0,20.0,20.0,18.0,22.0,22.0,22.0,23.0,24.0,22.0,19.0,22.0,20.0,21.0,21.0,21.0,24.0,19.0,23.0,23.0,23.0,22.0,21.0,21.0,19.0,21.0,21.0,23.0,24.0,20.0,21.467,1.586
7,23.0,20.0,19.0,17.0,19.0,21.0,22.0,22.0,23.0,22.0,18.0,18.0,20.0,20.0,20.0,21.0,21.0,17.0,21.0,21.0,22.0,21.0,21.0,21.0,18.0,20.0,20.0,22.0,23.0,20.0,20.433,1.647
8,20.0,19.0,19.0,17.0,19.0,21.0,21.0,20.0,23.0,22.0,17.0,18.0,17.0,17.0,18.0,20.0,21.0,17.0,21.0,21.0,20.0,20.0,20.0,19.0,17.0,20.0,20.0,21.0,22.0,20.0,19.567,1.667
9,20.0,18.0,19.0,17.0,19.0,21.0,21.0,20.0,20.0,22.0,17.0,18.0,17.0,17.0,18.0,19.0,20.0,17.0,21.0,21.0,19.0,19.0,20.0,18.0,17.0,19.0,19.0,21.0,20.0,20.0,19.133,1.454
10,19.0,18.0,19.0,17.0,18.0,20.0,20.0,20.0,20.0,21.0,15.0,18.0,17.0,16.0,18.0,19.0,19.0,17.0,21.0,20.0,19.0,19.0,20.0,16.0,17.0,19.0,19.0,21.0,20.0,19.0,18.7,1.531
11,19.0,17.0,18.0,16.0,18.0,20.0,20.0,20.0,20.0,21.0,15.0,17.0,17.0,16.0,18.0,18.0,19.0,17.0,20.0,20.0,19.0,19.0,19.0,16.0,17.0,19.0,19.0,20.0,20.0,19.0,18.433,1.521
12,19.0,17.0,17.0,16.0,18.0,19.0,19.0,19.0,20.0,20.0,15.0,17.0,16.0,16.0,17.0,18.0,17.0,16.0,20.0,20.0,18.0,18.0,19.0,16.0,16.0,18.0,19.0,20.0,19.0,19.0,17.933,1.482
13,18.0,17.0,16.0,15.0,17.0,19.0,18.0,18.0,19.0,19.0,15.0,16.0,16.0,16.0,17.0,17.0,17.0,16.0,19.0,19.0,17.0,18.0,18.0,16.0,16.0,17.0,18.0,19.0,19.0,18.0,17.333,1.247
14,18.0,16.0,16.0,15.0,17.0,18.0,17.0,18.0,19.0,19.0,15.0,16.0,16.0,16.0,16.0,17.0,16.0,16.0,19.0,19.0,17.0,18.0,18.0,16.0,16.0,17.0,18.0,18.0,19.0,17.0,17.1,1.221
15,17.0,15.0,16.0,15.0,17.0,18.0,17.0,17.0,18.0,19.0,15.0,14.0,16.0,16.0,16.0,17.0,16.0,16.0,19.0,18.0,17.0,18.0,18.0,14.0,15.0,16.0,18.0,17.0,19.0,17.0,16.7,1.37
16,16.0,15.0,16.0,15.0,16.0,17.0,17.0,17.0,18.0,18.0,15.0,14.0,15.0,15.0,16.0,16.0,15.0,15.0,19.0,17.0,17.0,16.0,17.0,14.0,15.0,16.0,17.0,16.0,19.0,17.0,16.2,1.275
17,16.0,15.0,16.0,15.0,16.0,17.0,16.0,17.0,18.0,18.0,15.0,14.0,15.0,15.0,16.0,15.0,15.0,15.0,18.0,17.0,17.0,16.0,17.0,14.0,14.0,15.0,17.0,16.0,19.0,17.0,16.033,1.278
18,16.0,15.0,16.0,15.0,16.0,17.0,16.0,16.0,18.0,17.0,15.0,14.0,15.0,15.0,15.0,15.0,15.0,15.0,18.0,17.0,17.0,16.0,17.0,14.0,14.0,15.0,17.0,16.0,19.0,17.0,15.933,1.236
19,16.0,15.0,15.0,15.0,16.0,17.0,15.0,16.0,18.0,17.0,15.0,14.0,14.0,15.0,15.0,15.0,14.0,15.0,17.0,17.0,17.0,16.0,17.0,13.0,13.0,14.0,16.0,15.0,19.0,17.0,15.6,1.405
20,15.0,15.0,15.0,14.0,16.0,17.0,15.0,16.0,18.0,17.0,15.0,13.0,14.0,14.0,15.0,15.0,14.0,15.0,17.0,16.0,16.0,16.0,17.0,13.0,13.0,14.0,16.0,15.0,19.0,17.0,15.4,1.451
21,15.0,15.0,15.0,14.0,16.0,17.0,15.0,16.0,18.0,17.0,15.0,13.0,14.0,14.0,14.0,15.0,14.0,15.0,17.0,16.0,16.0,16.0,17.0,13.0,13.0,14.0,15.0,15.0,19.0,16.0,15.3,1.441
22,15.0,15.0,15.0,14.0,16.0,17.0,15.0,16.0,17.0,17.0,14.0,13.0,14.0,14.0,14.0,14.0,14.0,15.0,17.0,16.0,16.0,16.0,17.0,13.0,13.0,14.0,15.0,15.0,18.0,16.0,15.167,1.344
23,14.0,15.0,14.0,14.0,15.0,17.0,15.0,16.0,17.0,17.0,14.0,13.0,14.0,14.0,14.0,13.0,14.0,15.0,17.0,16.0,16.0,16.0,16.0,13.0,13.0,14.0,15.0,15.0,18.0,16.0,15.0,1.366
24,14.0,15.0,14.0,14.0,15.0,17.0,15.0,16.0,17.0,16.0,14.0,13.0,14.0,14.0,13.0,13.0,14.0,15.0,17.0,16.0,16.0,16.0,16.0,13.0,13.0,14.0,14.0,14.0,18.0,16.0,14.867,1.384
25,14.0,15.0,14.0,14.0,15.0,16.0,15.0,16.0,17.0,16.0,14.0,13.0,13.0,14.0,13.0,13.0,14.0,15.0,17.0,16.0,16.0,16.0,16.0,13.0,13.0,14.0,13.0,14.0,17.0,15.0,14.7,1.32
26,13.0,15.0,14.0,14.0,15.0,16.0,15.0,16.0,16.0,16.0,14.0,13.0,13.0,14.0,12.0,13.0,13.0,15.0,17.0,16.0,16.0,16.0,16.0,13.0,13.0,14.0,13.0,13.0,17.0,15.0,14.533,1.408
27,13.0,15.0,14.0,14.0,15.0,15.0,15.0,16.0,16.0,16.0,14.0,13.0,13.0,14.0,12.0,13.0,13.0,15.0,17.0,16.0,16.0,16.0,16.0,13.0,13.0,13.0,13.0,13.0,17.0,15.0,14.467,1.408
28,13.0,15.0,14.0,14.0,15.0,15.0,15.0,16.0,16.0,16.0,14.0,13.0,13.0,14.0,12.0,13.0,13.0,15.0,17.0,16.0,16.0,16.0,16.0,13.0,13.0,13.0,13.0,12.0,17.0,15.0,14.433,1.453
29,13.0,15.0,14.0,14.0,15.0,15.0,15.0,16.0,16.0,16.0,14.0,13.0,13.0,14.0,12.0,13.0,13.0,14.0,16.0,16.0,16.0,16.0,16.0,13.0,13.0,13.0,13.0,12.0,16.0,15.0,14.333,1.35
30,12.0,15.0,14.0,14.0,15.0,14.0,15.0,15.0,16.0,16.0,14.0,13.0,13.0,14.0,12.0,13.0,13.0,14.0,16.0,16.0,16.0,16.0,16.0,13.0,13.0,13.0,13.0,12.0,16.0,15.0,14.233,1.359
31,12.0,15.0,14.0,14.0,15.0,14.0,15.0,15.0,16.0,16.0,14.0,13.0,13.0,14.0,12.0,13.0,13.0,14.0,16.0,16.0,16.0,16.0,16.0,13.0,13.0,13.0,13.0,12.0,16.0,15.0,14.233,1.359
32,12.0,15.0,14.0,14.0,15.0,14.0,15.0,15.0,16.0,16.0,14.0,13.0,13.0,14.0,12.0,13.0,13.0,13.0,16.0,16.0,15.0,16.0,16.0,13.0,13.0,13.0,13.0,12.0,16.0,15.0,14.167,1.344
33,12.0,14.0,14.0,14.0,15.0,14.0,15.0,14.0,16.0,16.0,14.0,13.0,13.0,14.0,12.0,13.0,13.0,13.0,16.0,16.0,14.0,16.0,15.0,13.0,13.0,13.0,13.0,11.0,16.0,15.0,14.0,1.342
34,12.0,14.0,13.0,14.0,15.0,14.0,15.0,14.0,16.0,16.0,14.0,13.0,13.0,14.0,12.0,13.0,13.0,13.0,16.0,16.0,14.0,16.0,15.0,13.0,13.0,13.0,13.0,11.0,16.0,15.0,13.967,1.354
35,12.0,14.0,13.0,14.0,15.0,14.0,15.0,14.0,16.0,16.0,14.0,12.0,13.0,14.0,12.0,13.0,13.0,13.0,16.0,16.0,14.0,16.0,15.0,13.0,13.0,13.0,13.0,11.0,16.0,15.0,13.933,1.389
36,12.0,14.0,13.0,14.0,15.0,14.0,15.0,14.0,16.0,15.0,14.0,12.0,13.0,14.0,12.0,13.0,13.0,13.0,16.0,16.0,14.0,16.0,15.0,13.0,13.0,13.0,13.0,11.0,16.0,15.0,13.9,1.35
37,12.0,14.0,13.0,14.0,15.0,14.0,15.0,13.0,16.0,15.0,14.0,12.0,13.0,14.0,12.0,13.0,13.0,13.0,16.0,16.0,14.0,16.0,15.0,13.0,13.0,13.0,13.0,11.0,16.0,15.0,13.867,1.36
38,12.0,14.0,12.0,14.0,15.0,14.0,15.0,13.0,16.0,15.0,14.0,12.0,13.0,14.0,12.0,13.0,13.0,13.0,16.0,16.0,14.0,16.0,15.0,13.0,13.0,13.0,13.0,11.0,16.0,15.0,13.833,1.392
39,12.0,14.0,12.0,14.0,15.0,14.0,15.0,13.0,16.0,15.0,14.0,12.0,13.0,14.0,12.0,13.0,13.0,13.0,16.0,16.0,14.0,16.0,15.0,13.0,13.0,13.0,13.0,11.0,16.0,15.0,13.833,1.392
40,12.0,14.0,12.0,14.0,15.0,14.0,15.0,13.0,16.0,15.0,14.0,12.0,13.0,13.0,12.0,13.0,13.0,13.0,16.0,16.0,14.0,16.0,15.0,13.0,12.0,13.0,13.0,11.0,16.0,15.0,13.767,1.43
