Generations,Run0,Run1,Run2,Run3,Run4,Run5,Run6,Run7,Run8,Run9,Run10,Run11,Run12,Run13,Run14,Run15,Run16,Run17,Run18,Run19,Run20,Run21,Run22,Run23,Run24,Run25,Run26,Run27,Run28,Run29,ABF,StdDev
0,28.0,24.0,24.0,24.0,28.0,26.0,24.0,27.0,26.0,27.0,23.0,26.0,25.0,27.0,27.0,27.0,27.0,22.0,26.0,29.0,28.0,28.0,28.0,25.0,24.0,28.0,26.0,26.0,27.0,23.0,26.0,1.789
1,27.0,24.0,24.0,24.0,26.0,26.0,24.0,27.0,26.0,26.0,23.0,22.0,25.0,24.0,26.0,26.0,27.0,22.0,26.0,27.0,26.0,28.0,27.0,25.0,24.0,25.0,24.0,25.0,27.0,23.0,25.2,1.558
2,25.0,24.0,24.0,24.0,25.0,24.0,24.0,27.0,25.0,25.0,23.0,22.0,25.0,24.0,24.0,26.0,24.0,22.0,25.0,25.0,25.0,27.0,27.0,25.0,24.0,25.0,24.0,22.0,27.0,23.0,24.533,1.36
3,23.0,23.0,22.0,24.0,23.0,24.0,23.0,22.0,22.0,25.0,23.0,22.0,24.0,24.0,23.0,26.0,24.0,22.0,24.0,24.0,23.0,26.0,24.0,25.0,23.0,24.0,24.0,22.0,26.0,23.0,23.567,1.174
4,23.0,23.0,22.0,24.0,22.0,24.0,20.0,20.0,22.0,25.0,21.0,22.0,24.0,24.0,21.0,22.0,23.0,22.0,24.0,24.0,21.0,24.0,23.0,24.0,23.0,23.0,23.0,22.0,24.0,22.0,22.7,1.269
5,23.0,21.0,21.0,24.0,22.0,24.0,19.0,20.0,22.0,21.0,21.0,21.0,23.0,24.0,21.0,21.0,23.0,20.0,22.0,23.0,21.0,23.0,23.0,23.0,23.0,22.0,22.0,22.0,24.0,22.0,22.033,1.278
6,23.0,20.0,20.0,20.0,20.0,24.0,16.0,20.0,22.0,21.0,19.0,21.0,23.0,24.0,21.0,20.0,22.0,20.0,22.0,22.0,21.0,22.0,23.0,22.0,22.0,19.0,22.0,20.0,23.0,22.0,21.2,1.661
7,22.0,20.0,18.0,20.0,16.0,23.0,16.0,19.0,19.0,21.0,19.0,19.0,22.0,22.0,18.0,19.0,22.0,20.0,21.0,18.0,19.0,21.0,21.0,19.0,22.0,18.0,21.0,19.0,23.0,22.0,19.967,1.853
8,22.0,20.0,18.0,18.0,16.0,21.0,16.0,17.0,19.0,19.0,18.0,19.0,21.0,22.0,18.0,18.0,20.0,20.0,20.0,18.0,19.0,20.0,21.0,18.0,22.0,17.0,19.0,17.0,23.0,19.0,19.167,1.79
9,22.0,19.0,16.0,18.0,16.0,21.0,14.0,17.0,19.0,19.0,17.0,19.0,21.0,21.0,18.0,15.0,20.0,19.0,20.0,18.0,19.0,18.0,20.0,17.0,22.0,16.0,19.0,15.0,22.0,18.0,18.5,2.125
