Generations,Run0,Run1,Run2,Run3,Run4,Run5,Run6,Run7,Run8,Run9,Run10,Run11,Run12,Run13,Run14,Run15,Run16,Run17,Run18,Run19,Run20,Run21,Run22,Run23,Run24,Run25,Run26,Run27,Run28,Run29,ABF,StdDev
0,28.0,24.0,25.0,26.0,26.0,28.0,27.0,29.0,28.0,27.0,25.0,24.0,26.0,27.0,25.0,27.0,26.0,27.0,28.0,26.0,26.0,27.0,25.0,27.0,27.0,26.0,26.0,27.0,24.0,28.0,26.4,1.281
1,26.0,24.0,25.0,26.0,23.0,24.0,27.0,26.0,28.0,26.0,25.0,24.0,26.0,25.0,25.0,26.0,26.0,27.0,27.0,26.0,24.0,27.0,25.0,26.0,27.0,26.0,26.0,26.0,24.0,25.0,25.6,1.143
2,25.0,23.0,25.0,26.0,23.0,24.0,26.0,25.0,25.0,25.0,25.0,24.0,26.0,25.0,25.0,26.0,26.0,27.0,26.0,26.0,24.0,27.0,23.0,26.0,22.0,25.0,26.0,22.0,24.0,25.0,24.9,1.3
3,25.0,23.0,24.0,26.0,23.0,24.0,26.0,25.0,25.0,25.0,25.0,24.0,26.0,25.0,25.0,26.0,26.0,25.0,25.0,26.0,24.0,22.0,23.0,26.0,22.0,24.0,26.0,22.0,24.0,25.0,24.567,1.257
4,25.0,22.0,24.0,26.0,23.0,23.0,26.0,25.0,25.0,25.0,23.0,24.0,25.0,25.0,25.0,24.0,25.0,24.0,25.0,26.0,24.0,22.0,23.0,26.0,22.0,23.0,25.0,22.0,24.0,24.0,24.167,1.241
5,25.0,22.0,23.0,24.0,22.0,23.0,22.0,25.0,23.0,25.0,23.0,23.0,25.0,25.0,25.0,24.0,24.0,24.0,25.0,26.0,24.0,22.0,23.0,25.0,22.0,23.0,25.0,22.0,24.0,22.0,23.667,1.22
6,25.0,22.0,23.0,24.0,22.0,23.0,22.0,25.0,23.0,24.0,23.0,23.0,24.0,24.0,25.0,24.0,24.0,24.0,23.0,25.0,24.0,22.0,23.0,22.0,22.0,23.0,24.0,22.0,24.0,22.0,23.333,1.011
7,25.0,22.0,23.0,23.0,22.0,23.0,22.0,25.0,23.0,24.0,23.0,23.0,23.0,24.0,25.0,23.0,24.0,22.0,22.0,24.0,24.0,22.0,23.0,22.0,22.0,23.0,22.0,22.0,23.0,22.0,23.0,0.966
8,25.0,22.0,23.0,22.0,22.0,22.0,22.0,25.0,23.0,24.0,23.0,23.0,23.0,24.0,25.0,23.0,24.0,22.0,21.0,24.0,24.0,22.0,23.0,22.0,22.0,23.0,22.0,20.0,22.0,22.0,22.8,1.166
9,25.0,22.0,23.0,21.0,22.0,22.0,22.0,23.0,23.0,24.0,23.0,23.0,23.0,24.0,25.0,23.0,24.0,22.0,21.0,24.0,24.0,22.0,23.0,22.0,22.0,23.0,22.0,20.0,22.0,22.0,22.7,1.13
10,24.0,22.0,23.0,21.0,22.0,22.0,22.0,23.0,23.0,24.0,23.0,23.0,23.0,22.0,25.0,21.0,24.0,22.0,21.0,24.0,24.0,22.0,23.0,22.0,22.0,23.0,22.0,20.0,22.0,22.0,22.533,1.087
11,24.0,22.0,23.0,21.0,22.0,22.0,22.0,23.0,23.0,24.0,22.0,23.0,23.0,22.0,24.0,21.0,24.0,22.0,21.0,24.0,24.0,22.0,23.0,22.0,20.0,22.0,22.0,20.0,22.0,22.0,22.367,1.11
12,22.0,22.0,23.0,21.0,22.0,22.0,22.0,23.0,23.0,24.0,22.0,23.0,23.0,22.0,24.0,21.0,24.0,22.0,21.0,24.0,24.0,21.0,23.0,22.0,20.0,22.0,22.0,20.0,22.0,22.0,22.267,1.093
13,22.0,22.0,23.0,21.0,22.0,22.0,22.0,23.0,23.0,23.0,22.0,23.0,23.0,22.0,24.0,20.0,22.0,22.0,21.0,24.0,23.0,21.0,23.0,22.0,20.0,22.0,22.0,20.0,22.0,22.0,22.1,1.012
14,22.0,22.0,23.0,21.0,22.0,22.0,22.0,23.0,23.0,23.0,22.0,23.0,23.0,22.0,24.0,20.0,22.0,22.0,21.0,24.0,23.0,21.0,22.0,22.0,20.0,22.0,22.0,20.0,22.0,22.0,22.067,0.998
15,22.0,22.0,23.0,21.0,22.0,22.0,22.0,23.0,23.0,23.0,22.0,23.0,23.0,22.0,24.0,20.0,22.0,22.0,21.0,24.0,23.0,21.0,22.0,22.0,19.0,22.0,22.0,20.0,22.0,22.0,22.033,1.08
