Generations,Run0,Run1,Run2,Run3,Run4,Run5,Run6,Run7,Run8,Run9,Run10,Run11,Run12,Run13,Run14,Run15,Run16,Run17,Run18,Run19,Run20,Run21,Run22,Run23,Run24,Run25,Run26,Run27,Run28,Run29,ABF,StdDev
0,56.0,52.0,59.0,58.0,57.0,58.0,56.0,57.0,57.0,57.0,56.0,55.0,57.0,54.0,57.0,58.0,57.0,58.0,56.0,57.0,59.0,58.0,54.0,58.0,58.0,52.0,57.0,56.0,55.0,56.0,56.5,1.727
1,55.0,50.0,57.0,58.0,57.0,56.0,56.0,56.0,56.0,55.0,56.0,54.0,57.0,54.0,57.0,58.0,57.0,56.0,56.0,57.0,58.0,58.0,54.0,55.0,58.0,52.0,57.0,56.0,55.0,56.0,55.9,1.777
2,55.0,50.0,57.0,55.0,56.0,56.0,56.0,54.0,56.0,55.0,56.0,54.0,57.0,54.0,57.0,57.0,52.0,56.0,56.0,53.0,57.0,56.0,54.0,55.0,53.0,49.0,57.0,56.0,55.0,55.0,54.967,1.958
3,55.0,50.0,57.0,55.0,56.0,56.0,54.0,54.0,56.0,55.0,56.0,54.0,57.0,54.0,57.0,57.0,52.0,56.0,54.0,53.0,57.0,55.0,53.0,55.0,53.0,49.0,57.0,56.0,55.0,54.0,54.733,1.965
4,55.0,50.0,55.0,54.0,54.0,56.0,54.0,54.0,56.0,55.0,56.0,54.0,57.0,54.0,57.0,57.0,52.0,56.0,53.0,53.0,55.0,53.0,53.0,54.0,53.0,49.0,57.0,56.0,55.0,54.0,54.367,1.888
5,55.0,50.0,55.0,52.0,51.0,56.0,54.0,54.0,56.0,55.0,56.0,54.0,53.0,54.0,57.0,55.0,48.0,56.0,53.0,53.0,55.0,53.0,53.0,54.0,53.0,49.0,57.0,55.0,55.0,54.0,53.833,2.13
6,54.0,50.0,55.0,52.0,51.0,56.0,54.0,54.0,56.0,55.0,56.0,53.0,53.0,54.0,56.0,55.0,48.0,56.0,53.0,53.0,55.0,53.0,53.0,54.0,53.0,49.0,57.0,53.0,55.0,53.0,53.633,2.073
7,54.0,50.0,55.0,52.0,51.0,56.0,54.0,54.0,56.0,55.0,56.0,53.0,53.0,52.0,55.0,55.0,48.0,56.0,53.0,53.0,55.0,53.0,53.0,54.0,53.0,49.0,57.0,53.0,55.0,53.0,53.533,2.061
8,54.0,50.0,55.0,52.0,51.0,55.0,54.0,54.0,56.0,55.0,56.0,53.0,53.0,52.0,55.0,54.0,48.0,56.0,53.0,53.0,55.0,53.0,51.0,54.0,53.0,49.0,55.0,53.0,55.0,53.0,53.333,1.972
9,54.0,50.0,55.0,52.0,51.0,55.0,54.0,54.0,56.0,55.0,56.0,53.0,53.0,52.0,54.0,54.0,48.0,54.0,49.0,53.0,54.0,53.0,51.0,54.0,53.0,49.0,55.0,53.0,55.0,52.0,53.033,2.025
10,54.0,50.0,55.0,52.0,51.0,55.0,54.0,52.0,56.0,55.0,53.0,53.0,52.0,52.0,54.0,54.0,48.0,54.0,49.0,53.0,54.0,53.0,51.0,54.0,53.0,49.0,55.0,53.0,55.0,52.0,52.833,1.951
11,54.0,50.0,54.0,52.0,51.0,55.0,54.0,52.0,54.0,55.0,53.0,53.0,52.0,52.0,53.0,54.0,48.0,53.0,49.0,53.0,54.0,52.0,51.0,51.0,52.0,49.0,55.0,53.0,55.0,52.0,52.5,1.821
12,53.0,50.0,54.0,52.0,51.0,53.0,54.0,52.0,54.0,55.0,53.0,53.0,52.0,52.0,53.0,54.0,48.0,53.0,49.0,52.0,54.0,52.0,51.0,51.0,52.0,49.0,55.0,53.0,55.0,52.0,52.367,1.741
13,53.0,50.0,54.0,52.0,51.0,53.0,52.0,52.0,54.0,55.0,53.0,53.0,52.0,52.0,53.0,54.0,48.0,53.0,49.0,52.0,54.0,51.0,51.0,51.0,52.0,49.0,55.0,53.0,55.0,52.0,52.267,1.731
14,53.0,50.0,54.0,52.0,50.0,53.0,52.0,52.0,54.0,55.0,53.0,53.0,52.0,52.0,53.0,54.0,48.0,53.0,49.0,52.0,54.0,48.0,51.0,51.0,52.0,49.0,55.0,53.0,55.0,52.0,52.133,1.91
15,52.0,48.0,54.0,52.0,50.0,53.0,52.0,52.0,54.0,55.0,53.0,53.0,52.0,52.0,53.0,54.0,48.0,53.0,49.0,52.0,54.0,48.0,51.0,51.0,52.0,49.0,55.0,53.0,55.0,52.0,52.033,2.008
16,52.0,48.0,54.0,52.0,50.0,53.0,52.0,52.0,54.0,55.0,53.0,53.0,52.0,52.0,53.0,54.0,48.0,52.0,49.0,49.0,54.0,48.0,51.0,51.0,52.0,49.0,55.0,53.0,55.0,51.0,51.867,2.077
17,52.0,48.0,54.0,52.0,50.0,53.0,52.0,52.0,54.0,55.0,51.0,53.0,52.0,52.0,53.0,54.0,48.0,52.0,49.0,49.0,54.0,48.0,51.0,51.0,48.0,49.0,55.0,53.0,55.0,51.0,51.667,2.181
18,52.0,48.0,53.0,52.0,50.0,53.0,52.0,52.0,54.0,55.0,51.0,53.0,52.0,52.0,53.0,54.0,48.0,52.0,49.0,49.0,54.0,48.0,51.0,51.0,48.0,49.0,55.0,53.0,53.0,51.0,51.567,2.077
19,52.0,48.0,53.0,52.0,50.0,53.0,52.0,52.0,54.0,55.0,51.0,53.0,52.0,52.0,52.0,54.0,48.0,52.0,49.0,49.0,54.0,48.0,51.0,51.0,48.0,49.0,55.0,53.0,53.0,51.0,51.533,2.061
20,52.0,48.0,53.0,52.0,50.0,53.0,52.0,52.0,54.0,55.0,51.0,53.0,52.0,52.0,52.0,54.0,48.0,52.0,49.0,49.0,54.0,48.0,51.0,51.0,48.0,49.0,53.0,53.0,53.0,51.0,51.467,1.979
21,52.0,48.0,53.0,52.0,50.0,53.0,52.0,50.0,54.0,55.0,51.0,53.0,52.0,52.0,47.0,54.0,48.0,52.0,49.0,49.0,54.0,48.0,51.0,51.0,48.0,49.0,53.0,53.0,53.0,50.0,51.2,2.151
22,52.0,48.0,53.0,50.0,50.0,53.0,52.0,50.0,54.0,55.0,51.0,53.0,52.0,52.0,47.0,54.0,48.0,52.0,49.0,49.0,51.0,48.0,51.0,51.0,48.0,47.0,52.0,53.0,52.0,50.0,50.9,2.135
23,52.0,48.0,51.0,50.0,50.0,52.0,52.0,50.0,54.0,55.0,51.0,53.0,52.0,52.0,47.0,54.0,48.0,52.0,49.0,49.0,51.0,48.0,51.0,51.0,48.0,47.0,52.0,53.0,52.0,50.0,50.8,2.072
24,52.0,48.0,51.0,50.0,50.0,52.0,52.0,50.0,54.0,55.0,51.0,53.0,52.0,52.0,47.0,52.0,48.0,52.0,49.0,49.0,51.0,48.0,51.0,51.0,48.0,47.0,52.0,53.0,50.0,50.0,50.667,1.989
25,50.0,48.0,51.0,50.0,50.0,52.0,52.0,50.0,54.0,53.0,51.0,53.0,52.0,52.0,47.0,52.0,48.0,52.0,49.0,49.0,51.0,48.0,51.0,51.0,48.0,47.0,51.0,53.0,50.0,50.0,50.5,1.839
26,50.0,48.0,51.0,50.0,50.0,52.0,52.0,49.0,54.0,53.0,51.0,53.0,52.0,52.0,47.0,52.0,48.0,52.0,49.0,49.0,51.0,48.0,51.0,51.0,48.0,47.0,51.0,53.0,50.0,48.0,50.4,1.908
27,50.0,48.0,50.0,50.0,49.0,52.0,48.0,49.0,54.0,53.0,47.0,53.0,52.0,52.0,47.0,52.0,48.0,52.0,49.0,49.0,51.0,48.0,51.0,51.0,48.0,47.0,51.0,53.0,50.0,48.0,50.067,2.015
28,50.0,48.0,50.0,50.0,49.0,52.0,48.0,49.0,54.0,53.0,47.0,53.0,52.0,52.0,47.0,52.0,48.0,52.0,49.0,49.0,51.0,48.0,51.0,51.0,48.0,47.0,51.0,53.0,50.0,48.0,50.067,2.015
29,50.0,48.0,49.0,50.0,49.0,52.0,48.0,49.0,54.0,53.0,47.0,51.0,52.0,52.0,47.0,52.0,48.0,52.0,49.0,48.0,51.0,48.0,51.0,51.0,48.0,47.0,51.0,53.0,50.0,48.0,49.933,1.982
30,50.0,48.0,49.0,50.0,49.0,52.0,48.0,49.0,54.0,53.0,47.0,51.0,52.0,52.0,47.0,52.0,48.0,52.0,49.0,48.0,51.0,48.0,51.0,51.0,48.0,47.0,51.0,53.0,50.0,48.0,49.933,1.982
31,50.0,48.0,49.0,50.0,49.0,52.0,48.0,47.0,54.0,53.0,47.0,51.0,52.0,52.0,47.0,52.0,48.0,52.0,49.0,48.0,51.0,48.0,51.0,51.0,48.0,47.0,51.0,53.0,50.0,48.0,49.867,2.045
32,50.0,48.0,49.0,50.0,49.0,52.0,48.0,47.0,54.0,53.0,47.0,47.0,52.0,52.0,45.0,52.0,48.0,52.0,49.0,48.0,51.0,48.0,51.0,51.0,48.0,47.0,51.0,53.0,50.0,48.0,49.667,2.211
33,50.0,48.0,49.0,50.0,49.0,51.0,48.0,47.0,54.0,53.0,47.0,47.0,52.0,52.0,45.0,46.0,48.0,52.0,49.0,48.0,51.0,48.0,51.0,51.0,48.0,47.0,51.0,53.0,50.0,48.0,49.433,2.231
34,50.0,48.0,49.0,50.0,49.0,51.0,48.0,47.0,54.0,53.0,47.0,47.0,52.0,52.0,45.0,46.0,48.0,52.0,49.0,48.0,51.0,48.0,51.0,51.0,48.0,47.0,51.0,53.0,50.0,48.0,49.433,2.231
35,50.0,48.0,49.0,50.0,49.0,51.0,48.0,47.0,54.0,53.0,47.0,47.0,52.0,49.0,45.0,46.0,48.0,52.0,49.0,48.0,51.0,48.0,51.0,51.0,48.0,47.0,51.0,53.0,50.0,48.0,49.333,2.181
36,50.0,48.0,49.0,50.0,49.0,51.0,48.0,47.0,54.0,53.0,47.0,47.0,52.0,49.0,45.0,46.0,48.0,52.0,49.0,48.0,51.0,48.0,51.0,51.0,48.0,47.0,51.0,53.0,50.0,48.0,49.333,2.181
37,50.0,48.0,49.0,50.0,49.0,51.0,48.0,47.0,54.0,53.0,47.0,47.0,51.0,49.0,45.0,46.0,48.0,52.0,49.0,48.0,51.0,48.0,51.0,51.0,48.0,47.0,51.0,53.0,50.0,48.0,49.3,2.147
38,50.0,48.0,48.0,50.0,49.0,51.0,48.0,47.0,54.0,53.0,47.0,47.0,49.0,49.0,45.0,46.0,48.0,52.0,49.0,48.0,51.0,48.0,51.0,51.0,48.0,47.0,51.0,52.0,50.0,48.0,49.167,2.083
39,50.0,48.0,48.0,50.0,49.0,51.0,48.0,47.0,52.0,53.0,47.0,47.0,49.0,49.0,45.0,46.0,48.0,52.0,49.0,48.0,51.0,48.0,51.0,51.0,48.0,47.0,51.0,52.0,50.0,48.0,49.1,1.955
40,50.0,48.0,48.0,50.0,49.0,51.0,48.0,47.0,52.0,53.0,47.0,47.0,49.0,49.0,45.0,46.0,48.0,52.0,49.0,48.0,51.0,48.0,51.0,51.0,48.0,47.0,50.0,51.0,50.0,48.0,49.033,1.888
41,50.0,48.0,48.0,50.0,49.0,51.0,48.0,47.0,52.0,53.0,47.0,47.0,49.0,49.0,45.0,46.0,48.0,52.0,49.0,48.0,51.0,48.0,51.0,49.0,48.0,47.0,50.0,51.0,50.0,48.0,48.967,1.853
42,50.0,48.0,48.0,50.0,49.0,51.0,48.0,47.0,52.0,53.0,47.0,47.0,49.0,49.0,45.0,46.0,48.0,52.0,49.0,48.0,51.0,48.0,51.0,49.0,48.0,47.0,49.0,51.0,50.0,48.0,48.933,1.843
43,50.0,48.0,48.0,50.0,49.0,51.0,48.0,47.0,51.0,53.0,47.0,47.0,49.0,49.0,45.0,46.0,48.0,52.0,49.0,48.0,51.0,48.0,51.0,49.0,48.0,47.0,49.0,51.0,50.0,48.0,48.9,1.795
44,50.0,48.0,48.0,50.0,49.0,51.0,48.0,47.0,51.0,53.0,47.0,47.0,49.0,49.0,45.0,46.0,48.0,52.0,49.0,48.0,51.0,48.0,51.0,49.0,48.0,47.0,49.0,51.0,50.0,48.0,48.9,1.795
45,50.0,48.0,48.0,50.0,49.0,51.0,48.0,47.0,51.0,53.0,47.0,47.0,49.0,49.0,45.0,46.0,48.0,52.0,49.0,48.0,51.0,48.0,51.0,49.0,48.0,47.0,49.0,51.0,50.0,48.0,48.9,1.795
46,50.0,48.0,48.0,50.0,49.0,51.0,48.0,47.0,51.0,53.0,47.0,47.0,49.0,49.0,45.0,46.0,48.0,52.0,49.0,48.0,51.0,48.0,51.0,49.0,48.0,47.0,49.0,51.0,50.0,48.0,48.9,1.795
47,50.0,48.0,48.0,50.0,49.0,51.0,48.0,47.0,51.0,53.0,47.0,47.0,49.0,49.0,45.0,46.0,48.0,52.0,49.0,47.0,51.0,48.0,51.0,49.0,48.0,47.0,49.0,51.0,50.0,48.0,48.867,1.821
48,50.0,48.0,48.0,50.0,49.0,51.0,48.0,47.0,51.0,53.0,47.0,47.0,49.0,49.0,45.0,46.0,48.0,52.0,49.0,47.0,51.0,48.0,51.0,49.0,48.0,47.0,49.0,51.0,50.0,48.0,48.867,1.821
49,50.0,48.0,48.0,50.0,49.0,51.0,48.0,47.0,51.0,53.0,47.0,47.0,48.0,49.0,45.0,46.0,48.0,52.0,49.0,47.0,51.0,48.0,51.0,49.0,48.0,47.0,49.0,51.0,50.0,48.0,48.833,1.827
50,50.0,48.0,48.0,50.0,49.0,51.0,48.0,47.0,51.0,53.0,47.0,47.0,48.0,49.0,45.0,46.0,48.0,52.0,49.0,47.0,51.0,48.0,51.0,49.0,48.0,47.0,49.0,51.0,50.0,48.0,48.833,1.827
51,50.0,48.0,48.0,50.0,49.0,51.0,48.0,47.0,51.0,53.0,47.0,47.0,48.0,49.0,45.0,46.0,48.0,52.0,49.0,47.0,51.0,48.0,51.0,49.0,48.0,47.0,49.0,51.0,50.0,48.0,48.833,1.827
