Generations,Run0,Run1,Run2,Run3,Run4,Run5,Run6,Run7,Run8,Run9,Run10,Run11,Run12,Run13,Run14,Run15,Run16,Run17,Run18,Run19,Run20,Run21,Run22,Run23,Run24,Run25,Run26,Run27,Run28,Run29,ABF,StdDev
0,56.0,58.0,54.0,56.0,56.0,58.0,55.0,56.0,54.0,58.0,59.0,60.0,59.0,57.0,58.0,54.0,56.0,56.0,58.0,53.0,55.0,59.0,55.0,56.0,57.0,57.0,58.0,58.0,55.0,58.0,56.633,1.741
1,56.0,57.0,54.0,56.0,56.0,55.0,55.0,56.0,54.0,58.0,59.0,50.0,57.0,57.0,58.0,54.0,56.0,55.0,58.0,53.0,55.0,56.0,55.0,56.0,57.0,55.0,54.0,55.0,55.0,56.0,55.6,1.724
2,56.0,55.0,54.0,56.0,56.0,55.0,55.0,56.0,54.0,57.0,56.0,50.0,49.0,57.0,58.0,54.0,56.0,55.0,58.0,53.0,55.0,56.0,54.0,52.0,57.0,53.0,54.0,55.0,52.0,51.0,54.633,2.168
3,56.0,51.0,54.0,54.0,56.0,55.0,55.0,56.0,54.0,54.0,56.0,50.0,49.0,53.0,56.0,54.0,53.0,55.0,58.0,53.0,55.0,56.0,54.0,52.0,57.0,53.0,54.0,55.0,52.0,51.0,54.033,2.041
4,56.0,51.0,51.0,54.0,56.0,53.0,55.0,55.0,54.0,54.0,56.0,50.0,49.0,53.0,56.0,54.0,53.0,55.0,57.0,53.0,55.0,55.0,54.0,52.0,57.0,53.0,54.0,55.0,52.0,51.0,53.767,1.995
5,56.0,51.0,51.0,54.0,51.0,53.0,54.0,53.0,54.0,54.0,53.0,50.0,49.0,53.0,55.0,54.0,53.0,55.0,54.0,53.0,55.0,55.0,50.0,52.0,52.0,53.0,54.0,55.0,52.0,51.0,52.967,1.722
6,56.0,51.0,51.0,51.0,51.0,53.0,54.0,53.0,54.0,54.0,53.0,50.0,49.0,53.0,54.0,54.0,52.0,52.0,53.0,53.0,55.0,55.0,50.0,52.0,52.0,53.0,54.0,55.0,52.0,51.0,52.667,1.66
7,56.0,51.0,51.0,51.0,51.0,53.0,52.0,53.0,54.0,54.0,53.0,50.0,49.0,52.0,52.0,54.0,52.0,52.0,53.0,53.0,55.0,55.0,50.0,52.0,52.0,53.0,54.0,55.0,52.0,51.0,52.5,1.628
8,56.0,51.0,51.0,51.0,51.0,53.0,52.0,53.0,54.0,51.0,52.0,50.0,49.0,52.0,52.0,53.0,52.0,50.0,53.0,53.0,55.0,53.0,50.0,52.0,52.0,53.0,52.0,52.0,52.0,50.0,52.0,1.483
9,48.0,51.0,51.0,51.0,51.0,53.0,52.0,53.0,52.0,47.0,50.0,50.0,49.0,51.0,52.0,53.0,52.0,50.0,53.0,53.0,55.0,53.0,50.0,52.0,52.0,53.0,52.0,52.0,52.0,50.0,51.433,1.647
10,48.0,51.0,51.0,51.0,51.0,53.0,52.0,53.0,52.0,47.0,50.0,50.0,49.0,51.0,52.0,53.0,52.0,49.0,53.0,53.0,55.0,53.0,50.0,52.0,51.0,53.0,52.0,52.0,52.0,50.0,51.367,1.683
11,48.0,51.0,51.0,51.0,51.0,53.0,52.0,52.0,52.0,47.0,50.0,50.0,49.0,51.0,52.0,53.0,52.0,49.0,48.0,53.0,55.0,53.0,50.0,52.0,51.0,53.0,52.0,52.0,52.0,50.0,51.167,1.734
12,48.0,51.0,51.0,50.0,51.0,53.0,52.0,50.0,52.0,44.0,50.0,50.0,49.0,51.0,51.0,52.0,52.0,49.0,48.0,52.0,55.0,53.0,50.0,52.0,51.0,53.0,52.0,52.0,52.0,47.0,50.767,2.093
13,48.0,51.0,51.0,50.0,51.0,48.0,52.0,49.0,52.0,44.0,50.0,50.0,49.0,49.0,51.0,49.0,52.0,49.0,48.0,52.0,54.0,53.0,50.0,47.0,50.0,53.0,52.0,50.0,52.0,47.0,50.1,2.103
14,48.0,51.0,51.0,50.0,51.0,48.0,52.0,49.0,52.0,44.0,50.0,50.0,49.0,49.0,51.0,48.0,52.0,49.0,45.0,52.0,51.0,51.0,50.0,47.0,50.0,53.0,49.0,50.0,52.0,47.0,49.7,2.068
15,48.0,51.0,51.0,50.0,50.0,48.0,49.0,49.0,52.0,44.0,50.0,50.0,48.0,49.0,50.0,48.0,52.0,49.0,45.0,52.0,51.0,51.0,50.0,47.0,50.0,52.0,49.0,50.0,52.0,47.0,49.467,1.962
16,48.0,51.0,51.0,50.0,50.0,48.0,49.0,49.0,52.0,44.0,49.0,50.0,48.0,47.0,48.0,47.0,52.0,49.0,45.0,52.0,51.0,51.0,50.0,47.0,50.0,52.0,49.0,48.0,52.0,47.0,49.2,2.056
17,48.0,51.0,51.0,49.0,50.0,48.0,49.0,49.0,52.0,44.0,49.0,50.0,48.0,47.0,48.0,47.0,52.0,49.0,45.0,52.0,51.0,51.0,50.0,47.0,50.0,52.0,49.0,48.0,52.0,43.0,49.033,2.302
18,48.0,51.0,51.0,49.0,47.0,48.0,47.0,49.0,50.0,44.0,49.0,50.0,48.0,47.0,48.0,47.0,51.0,46.0,43.0,52.0,51.0,51.0,50.0,47.0,50.0,52.0,49.0,48.0,52.0,43.0,48.6,2.43
19,48.0,49.0,51.0,49.0,47.0,48.0,47.0,49.0,50.0,44.0,49.0,50.0,48.0,47.0,48.0,47.0,51.0,46.0,43.0,50.0,51.0,51.0,50.0,47.0,49.0,52.0,49.0,48.0,52.0,43.0,48.433,2.305
20,48.0,49.0,51.0,49.0,47.0,48.0,47.0,49.0,50.0,44.0,49.0,50.0,48.0,47.0,45.0,47.0,51.0,46.0,43.0,47.0,50.0,48.0,50.0,47.0,49.0,52.0,49.0,48.0,52.0,43.0,48.1,2.285
21,48.0,48.0,51.0,49.0,47.0,48.0,47.0,46.0,48.0,44.0,45.0,50.0,46.0,47.0,45.0,47.0,51.0,46.0,43.0,47.0,50.0,48.0,48.0,47.0,49.0,51.0,49.0,48.0,52.0,43.0,47.6,2.245
22,48.0,47.0,49.0,47.0,47.0,46.0,41.0,46.0,48.0,44.0,43.0,50.0,45.0,47.0,45.0,46.0,49.0,46.0,43.0,47.0,50.0,48.0,48.0,47.0,49.0,51.0,49.0,48.0,52.0,43.0,46.967,2.483
23,48.0,47.0,45.0,47.0,47.0,46.0,41.0,46.0,48.0,44.0,43.0,50.0,45.0,47.0,45.0,46.0,49.0,46.0,43.0,47.0,50.0,48.0,48.0,47.0,49.0,50.0,48.0,47.0,52.0,43.0,46.733,2.394
24,46.0,47.0,45.0,47.0,47.0,46.0,41.0,46.0,48.0,44.0,43.0,50.0,45.0,46.0,45.0,46.0,49.0,46.0,43.0,47.0,49.0,48.0,48.0,47.0,48.0,49.0,48.0,47.0,52.0,43.0,46.533,2.276
25,45.0,47.0,45.0,47.0,46.0,46.0,41.0,46.0,48.0,44.0,43.0,50.0,44.0,46.0,45.0,46.0,49.0,46.0,43.0,47.0,45.0,48.0,48.0,47.0,45.0,47.0,48.0,47.0,52.0,43.0,46.133,2.217
26,45.0,47.0,45.0,47.0,46.0,46.0,41.0,46.0,48.0,44.0,43.0,49.0,44.0,45.0,45.0,46.0,49.0,44.0,43.0,46.0,45.0,46.0,48.0,47.0,45.0,47.0,48.0,47.0,50.0,43.0,45.833,2.001
27,45.0,47.0,45.0,47.0,46.0,46.0,41.0,46.0,48.0,44.0,39.0,49.0,44.0,45.0,45.0,46.0,49.0,44.0,43.0,46.0,43.0,46.0,48.0,47.0,45.0,47.0,48.0,47.0,50.0,43.0,45.633,2.345
28,45.0,47.0,45.0,47.0,46.0,46.0,41.0,46.0,48.0,44.0,39.0,49.0,44.0,44.0,43.0,46.0,49.0,44.0,43.0,46.0,42.0,46.0,48.0,47.0,45.0,47.0,48.0,47.0,50.0,43.0,45.5,2.446
29,45.0,45.0,45.0,46.0,46.0,46.0,41.0,46.0,48.0,44.0,39.0,47.0,41.0,44.0,43.0,45.0,48.0,43.0,43.0,46.0,42.0,45.0,45.0,44.0,45.0,46.0,47.0,47.0,50.0,43.0,44.833,2.282
30,45.0,45.0,45.0,46.0,46.0,46.0,41.0,46.0,48.0,44.0,39.0,47.0,41.0,44.0,43.0,45.0,48.0,43.0,42.0,46.0,42.0,45.0,45.0,44.0,45.0,46.0,45.0,47.0,50.0,43.0,44.733,2.279
31,44.0,45.0,45.0,46.0,42.0,45.0,41.0,46.0,47.0,44.0,39.0,47.0,41.0,43.0,43.0,45.0,45.0,43.0,42.0,46.0,42.0,45.0,45.0,44.0,45.0,46.0,45.0,47.0,50.0,43.0,44.367,2.183
