Generations,Run0,Run1,Run2,Run3,Run4,Run5,Run6,Run7,Run8,Run9,Run10,Run11,Run12,Run13,Run14,Run15,Run16,Run17,Run18,Run19,Run20,Run21,Run22,Run23,Run24,Run25,Run26,Run27,Run28,Run29,ABF,StdDev
0,59.0,57.0,54.0,55.0,56.0,55.0,50.0,53.0,56.0,59.0,57.0,56.0,58.0,54.0,53.0,55.0,58.0,55.0,58.0,54.0,58.0,57.0,57.0,53.0,56.0,55.0,53.0,53.0,53.0,58.0,55.5,2.172
1,55.0,57.0,54.0,55.0,54.0,55.0,50.0,53.0,55.0,59.0,54.0,56.0,56.0,54.0,53.0,55.0,57.0,55.0,57.0,54.0,58.0,55.0,55.0,53.0,55.0,55.0,53.0,53.0,53.0,55.0,54.767,1.745
2,55.0,56.0,54.0,54.0,53.0,55.0,50.0,52.0,55.0,58.0,54.0,52.0,56.0,54.0,53.0,55.0,57.0,55.0,54.0,53.0,58.0,52.0,55.0,53.0,52.0,55.0,53.0,52.0,53.0,55.0,54.1,1.814
3,52.0,56.0,54.0,54.0,53.0,55.0,50.0,52.0,55.0,54.0,54.0,52.0,56.0,54.0,53.0,54.0,53.0,53.0,54.0,53.0,56.0,52.0,54.0,53.0,52.0,55.0,53.0,52.0,53.0,55.0,53.533,1.384
4,52.0,52.0,54.0,52.0,53.0,55.0,50.0,52.0,55.0,54.0,52.0,52.0,56.0,54.0,53.0,54.0,53.0,53.0,54.0,53.0,56.0,52.0,54.0,53.0,51.0,54.0,53.0,51.0,53.0,55.0,53.167,1.416
5,52.0,52.0,54.0,52.0,53.0,55.0,50.0,52.0,55.0,54.0,52.0,52.0,54.0,54.0,53.0,54.0,53.0,53.0,53.0,53.0,56.0,52.0,52.0,53.0,51.0,54.0,53.0,51.0,53.0,55.0,53.0,1.317
6,52.0,52.0,53.0,52.0,51.0,52.0,50.0,52.0,55.0,50.0,51.0,52.0,54.0,54.0,53.0,54.0,53.0,53.0,51.0,52.0,56.0,51.0,52.0,53.0,51.0,54.0,53.0,51.0,53.0,55.0,52.5,1.455
7,52.0,52.0,53.0,50.0,51.0,52.0,50.0,52.0,51.0,50.0,51.0,52.0,54.0,54.0,51.0,53.0,53.0,53.0,51.0,52.0,55.0,51.0,52.0,53.0,51.0,50.0,52.0,51.0,53.0,54.0,51.967,1.303
8,52.0,52.0,53.0,49.0,47.0,49.0,50.0,52.0,51.0,50.0,51.0,52.0,53.0,54.0,51.0,53.0,53.0,53.0,51.0,52.0,55.0,51.0,51.0,49.0,51.0,50.0,51.0,51.0,48.0,54.0,51.3,1.792
9,52.0,51.0,53.0,49.0,47.0,49.0,50.0,52.0,51.0,50.0,51.0,52.0,52.0,54.0,51.0,51.0,53.0,53.0,50.0,47.0,50.0,51.0,51.0,49.0,51.0,50.0,51.0,51.0,48.0,54.0,50.8,1.74
10,52.0,51.0,53.0,49.0,47.0,49.0,50.0,49.0,51.0,50.0,51.0,47.0,50.0,54.0,48.0,49.0,53.0,53.0,49.0,47.0,50.0,51.0,50.0,48.0,49.0,50.0,51.0,51.0,48.0,51.0,50.033,1.816
11,52.0,51.0,53.0,49.0,47.0,49.0,50.0,49.0,51.0,50.0,51.0,47.0,50.0,54.0,48.0,49.0,52.0,53.0,49.0,47.0,50.0,50.0,48.0,48.0,49.0,50.0,51.0,51.0,48.0,51.0,49.9,1.795
12,52.0,51.0,53.0,49.0,47.0,49.0,48.0,49.0,51.0,50.0,51.0,47.0,50.0,54.0,48.0,49.0,52.0,53.0,49.0,47.0,50.0,50.0,48.0,48.0,48.0,49.0,51.0,51.0,48.0,51.0,49.767,1.856
13,52.0,51.0,53.0,49.0,47.0,49.0,48.0,49.0,49.0,50.0,51.0,47.0,50.0,54.0,48.0,49.0,52.0,53.0,49.0,47.0,50.0,50.0,48.0,48.0,45.0,49.0,51.0,51.0,48.0,51.0,49.6,2.01
14,52.0,47.0,53.0,49.0,47.0,49.0,48.0,49.0,49.0,50.0,51.0,47.0,48.0,54.0,48.0,49.0,52.0,52.0,49.0,47.0,50.0,50.0,48.0,48.0,45.0,49.0,51.0,51.0,48.0,51.0,49.367,2.008
15,52.0,45.0,52.0,44.0,46.0,49.0,48.0,49.0,49.0,50.0,51.0,47.0,47.0,54.0,48.0,49.0,52.0,51.0,49.0,47.0,50.0,49.0,48.0,47.0,45.0,49.0,50.0,51.0,48.0,51.0,48.9,2.285
16,51.0,45.0,50.0,44.0,46.0,49.0,48.0,49.0,49.0,49.0,51.0,47.0,47.0,54.0,48.0,49.0,52.0,51.0,49.0,47.0,50.0,49.0,48.0,47.0,45.0,49.0,47.0,50.0,48.0,51.0,48.633,2.152
17,48.0,45.0,47.0,44.0,46.0,49.0,48.0,49.0,47.0,49.0,51.0,47.0,47.0,51.0,48.0,49.0,52.0,51.0,49.0,47.0,50.0,49.0,48.0,45.0,45.0,49.0,47.0,50.0,48.0,51.0,48.2,1.99
18,48.0,45.0,47.0,44.0,46.0,45.0,48.0,49.0,47.0,49.0,51.0,47.0,47.0,51.0,48.0,49.0,52.0,49.0,49.0,47.0,50.0,48.0,48.0,45.0,42.0,45.0,47.0,47.0,48.0,51.0,47.633,2.213
19,48.0,45.0,47.0,44.0,46.0,45.0,47.0,49.0,47.0,49.0,45.0,47.0,47.0,51.0,48.0,46.0,50.0,49.0,49.0,47.0,50.0,48.0,48.0,45.0,42.0,45.0,47.0,47.0,46.0,51.0,47.167,2.051
20,48.0,45.0,47.0,44.0,46.0,44.0,47.0,48.0,47.0,49.0,45.0,47.0,46.0,51.0,48.0,46.0,48.0,49.0,48.0,47.0,50.0,48.0,48.0,45.0,42.0,45.0,47.0,47.0,46.0,51.0,46.967,1.991
21,48.0,45.0,47.0,44.0,46.0,43.0,47.0,47.0,47.0,48.0,45.0,47.0,46.0,51.0,48.0,46.0,48.0,47.0,48.0,47.0,47.0,48.0,48.0,45.0,42.0,45.0,47.0,47.0,46.0,51.0,46.7,1.882
22,48.0,45.0,47.0,44.0,44.0,43.0,47.0,47.0,47.0,48.0,45.0,47.0,46.0,51.0,48.0,46.0,48.0,47.0,46.0,47.0,47.0,45.0,48.0,45.0,42.0,45.0,47.0,47.0,46.0,51.0,46.467,1.928
23,48.0,45.0,47.0,44.0,44.0,43.0,47.0,47.0,47.0,48.0,45.0,47.0,46.0,50.0,48.0,44.0,48.0,47.0,46.0,47.0,47.0,45.0,48.0,45.0,42.0,45.0,47.0,47.0,46.0,51.0,46.367,1.906
24,46.0,45.0,47.0,44.0,44.0,43.0,47.0,47.0,47.0,48.0,45.0,46.0,44.0,50.0,48.0,41.0,48.0,47.0,46.0,47.0,47.0,45.0,48.0,45.0,42.0,45.0,47.0,47.0,46.0,51.0,46.1,2.103
25,46.0,45.0,47.0,44.0,44.0,41.0,47.0,47.0,47.0,48.0,45.0,46.0,44.0,50.0,48.0,41.0,48.0,47.0,46.0,47.0,47.0,44.0,48.0,45.0,42.0,45.0,47.0,47.0,46.0,50.0,45.967,2.183
26,46.0,45.0,47.0,44.0,44.0,41.0,47.0,46.0,47.0,47.0,44.0,46.0,44.0,50.0,45.0,41.0,48.0,47.0,46.0,47.0,47.0,44.0,48.0,42.0,42.0,45.0,46.0,47.0,46.0,48.0,45.567,2.124
27,46.0,45.0,46.0,44.0,44.0,41.0,47.0,46.0,47.0,47.0,44.0,46.0,44.0,49.0,45.0,41.0,47.0,47.0,46.0,47.0,47.0,44.0,48.0,42.0,42.0,44.0,46.0,46.0,46.0,48.0,45.4,2.01
28,44.0,45.0,46.0,44.0,44.0,41.0,47.0,46.0,47.0,47.0,44.0,46.0,44.0,49.0,45.0,41.0,47.0,47.0,46.0,47.0,47.0,44.0,48.0,42.0,42.0,44.0,46.0,46.0,46.0,48.0,45.333,2.022
29,44.0,45.0,46.0,43.0,44.0,41.0,47.0,46.0,47.0,44.0,44.0,45.0,44.0,49.0,45.0,41.0,46.0,46.0,46.0,47.0,43.0,44.0,46.0,42.0,42.0,44.0,46.0,46.0,44.0,48.0,44.833,1.916
30,44.0,45.0,46.0,43.0,44.0,41.0,47.0,45.0,46.0,44.0,44.0,45.0,44.0,49.0,45.0,41.0,46.0,46.0,46.0,47.0,43.0,44.0,46.0,42.0,42.0,44.0,46.0,46.0,40.0,48.0,44.633,2.057
31,44.0,43.0,46.0,43.0,44.0,41.0,47.0,44.0,46.0,44.0,44.0,45.0,44.0,49.0,45.0,41.0,44.0,46.0,46.0,47.0,43.0,43.0,46.0,42.0,42.0,44.0,45.0,46.0,40.0,47.0,44.367,2.008
32,39.0,43.0,45.0,43.0,43.0,41.0,47.0,44.0,46.0,44.0,44.0,42.0,44.0,47.0,45.0,41.0,39.0,46.0,46.0,47.0,43.0,43.0,46.0,42.0,42.0,44.0,45.0,44.0,40.0,47.0,43.733,2.265
33,38.0,43.0,45.0,42.0,43.0,41.0,45.0,44.0,46.0,44.0,44.0,42.0,43.0,46.0,45.0,41.0,39.0,46.0,46.0,47.0,43.0,43.0,46.0,42.0,42.0,44.0,45.0,44.0,40.0,47.0,43.533,2.247
34,38.0,43.0,45.0,42.0,43.0,40.0,45.0,44.0,46.0,44.0,42.0,42.0,43.0,46.0,45.0,41.0,39.0,46.0,46.0,47.0,43.0,43.0,46.0,42.0,42.0,43.0,45.0,44.0,40.0,47.0,43.4,2.304
35,38.0,43.0,45.0,42.0,43.0,40.0,45.0,44.0,46.0,44.0,42.0,42.0,43.0,46.0,45.0,41.0,39.0,44.0,46.0,42.0,43.0,43.0,46.0,41.0,42.0,43.0,45.0,44.0,40.0,47.0,43.133,2.187
36,38.0,42.0,45.0,42.0,43.0,40.0,45.0,44.0,46.0,44.0,42.0,42.0,43.0,46.0,45.0,41.0,39.0,44.0,46.0,42.0,43.0,43.0,45.0,41.0,42.0,43.0,45.0,44.0,40.0,47.0,43.067,2.159
37,38.0,42.0,45.0,42.0,43.0,40.0,45.0,44.0,46.0,44.0,42.0,42.0,43.0,46.0,42.0,41.0,39.0,44.0,46.0,42.0,43.0,43.0,45.0,41.0,42.0,43.0,45.0,44.0,40.0,47.0,42.967,2.137
38,36.0,39.0,45.0,42.0,41.0,40.0,45.0,41.0,46.0,44.0,42.0,42.0,43.0,46.0,42.0,41.0,39.0,44.0,46.0,42.0,43.0,41.0,45.0,40.0,42.0,43.0,45.0,43.0,39.0,47.0,42.467,2.513
39,36.0,39.0,45.0,42.0,41.0,40.0,45.0,41.0,45.0,44.0,42.0,42.0,40.0,46.0,42.0,41.0,39.0,44.0,45.0,42.0,43.0,40.0,44.0,40.0,42.0,43.0,43.0,42.0,38.0,46.0,42.067,2.394
40,36.0,39.0,45.0,42.0,41.0,40.0,45.0,41.0,45.0,41.0,42.0,42.0,40.0,46.0,42.0,41.0,39.0,44.0,45.0,42.0,43.0,40.0,44.0,39.0,39.0,43.0,43.0,42.0,38.0,46.0,41.833,2.464
41,36.0,39.0,44.0,42.0,41.0,39.0,45.0,41.0,45.0,39.0,42.0,42.0,40.0,46.0,42.0,41.0,39.0,44.0,45.0,42.0,43.0,40.0,44.0,39.0,39.0,43.0,43.0,42.0,38.0,46.0,41.7,2.505
42,36.0,39.0,43.0,42.0,36.0,37.0,45.0,41.0,45.0,39.0,42.0,42.0,40.0,46.0,42.0,41.0,39.0,44.0,45.0,42.0,43.0,40.0,44.0,38.0,39.0,40.0,43.0,42.0,38.0,46.0,41.3,2.795
43,36.0,39.0,43.0,42.0,36.0,37.0,45.0,41.0,44.0,39.0,42.0,42.0,39.0,44.0,42.0,41.0,39.0,44.0,45.0,42.0,43.0,38.0,44.0,38.0,39.0,40.0,43.0,42.0,38.0,46.0,41.1,2.737
44,36.0,38.0,43.0,42.0,36.0,37.0,44.0,41.0,44.0,39.0,42.0,42.0,39.0,44.0,42.0,38.0,39.0,44.0,45.0,40.0,43.0,38.0,42.0,36.0,39.0,40.0,43.0,41.0,38.0,46.0,40.7,2.807
45,34.0,38.0,43.0,42.0,36.0,37.0,44.0,41.0,44.0,39.0,42.0,42.0,39.0,44.0,42.0,38.0,39.0,44.0,45.0,40.0,43.0,38.0,42.0,36.0,39.0,40.0,43.0,41.0,38.0,44.0,40.567,2.836
46,34.0,38.0,42.0,42.0,36.0,37.0,40.0,41.0,44.0,39.0,42.0,42.0,39.0,44.0,42.0,38.0,39.0,44.0,44.0,40.0,42.0,38.0,42.0,36.0,36.0,39.0,43.0,41.0,38.0,44.0,40.2,2.774
47,34.0,38.0,42.0,39.0,36.0,37.0,40.0,41.0,44.0,39.0,42.0,41.0,38.0,44.0,42.0,38.0,38.0,44.0,41.0,40.0,42.0,38.0,42.0,36.0,36.0,39.0,42.0,41.0,38.0,44.0,39.867,2.655
48,34.0,38.0,42.0,39.0,36.0,37.0,40.0,41.0,44.0,39.0,42.0,41.0,38.0,44.0,42.0,38.0,38.0,44.0,41.0,40.0,42.0,38.0,42.0,36.0,36.0,39.0,42.0,41.0,38.0,44.0,39.867,2.655
49,34.0,38.0,42.0,39.0,36.0,37.0,40.0,41.0,44.0,39.0,42.0,41.0,38.0,44.0,42.0,38.0,38.0,44.0,41.0,40.0,42.0,38.0,42.0,35.0,36.0,39.0,41.0,41.0,38.0,44.0,39.8,2.688
50,34.0,36.0,41.0,39.0,36.0,37.0,40.0,41.0,44.0,39.0,42.0,41.0,38.0,42.0,42.0,38.0,38.0,44.0,41.0,40.0,42.0,38.0,42.0,35.0,36.0,39.0,41.0,41.0,38.0,44.0,39.633,2.652
51,34.0,36.0,40.0,39.0,36.0,37.0,40.0,41.0,40.0,39.0,42.0,41.0,38.0,42.0,42.0,38.0,38.0,44.0,41.0,40.0,40.0,38.0,42.0,35.0,36.0,39.0,41.0,41.0,38.0,44.0,39.4,2.471
52,34.0,36.0,40.0,39.0,36.0,36.0,40.0,41.0,40.0,39.0,42.0,41.0,38.0,42.0,42.0,38.0,38.0,44.0,41.0,40.0,40.0,38.0,42.0,35.0,36.0,39.0,41.0,41.0,38.0,42.0,39.3,2.41
53,34.0,36.0,40.0,39.0,36.0,36.0,40.0,41.0,40.0,39.0,42.0,41.0,38.0,41.0,42.0,38.0,38.0,44.0,41.0,40.0,40.0,38.0,42.0,35.0,36.0,39.0,40.0,41.0,38.0,42.0,39.233,2.362
