Generations,Run0,Run1,Run2,Run3,Run4,Run5,Run6,Run7,Run8,Run9,Run10,Run11,Run12,Run13,Run14,Run15,Run16,Run17,Run18,Run19,Run20,Run21,Run22,Run23,Run24,Run25,Run26,Run27,Run28,Run29,ABF,StdDev
0,55.0,58.0,57.0,56.0,58.0,54.0,56.0,53.0,59.0,56.0,55.0,53.0,57.0,57.0,57.0,56.0,56.0,59.0,51.0,55.0,56.0,57.0,56.0,53.0,56.0,48.0,52.0,51.0,55.0,57.0,55.3,2.465
1,55.0,57.0,55.0,54.0,57.0,54.0,55.0,53.0,55.0,56.0,53.0,53.0,54.0,52.0,56.0,56.0,55.0,53.0,48.0,50.0,52.0,55.0,55.0,50.0,53.0,48.0,52.0,51.0,55.0,48.0,53.333,2.521
2,52.0,54.0,51.0,51.0,54.0,50.0,53.0,51.0,55.0,52.0,53.0,53.0,50.0,52.0,53.0,52.0,49.0,51.0,48.0,50.0,51.0,53.0,54.0,48.0,53.0,48.0,49.0,50.0,50.0,48.0,51.267,1.982
3,50.0,52.0,50.0,50.0,53.0,47.0,49.0,51.0,54.0,52.0,51.0,51.0,50.0,51.0,53.0,48.0,47.0,45.0,45.0,50.0,47.0,53.0,50.0,46.0,49.0,47.0,49.0,50.0,50.0,41.0,49.367,2.787
4,50.0,49.0,49.0,47.0,52.0,47.0,49.0,48.0,51.0,47.0,47.0,49.0,46.0,47.0,51.0,46.0,44.0,44.0,42.0,46.0,47.0,48.0,50.0,46.0,49.0,46.0,48.0,50.0,50.0,41.0,47.533,2.526
5,46.0,49.0,46.0,46.0,52.0,45.0,49.0,43.0,44.0,47.0,47.0,48.0,45.0,43.0,49.0,46.0,41.0,44.0,41.0,46.0,45.0,48.0,48.0,45.0,47.0,45.0,48.0,45.0,49.0,41.0,45.933,2.568
6,45.0,45.0,43.0,44.0,49.0,42.0,43.0,42.0,44.0,47.0,45.0,47.0,44.0,43.0,48.0,46.0,41.0,44.0,41.0,45.0,42.0,42.0,48.0,44.0,44.0,45.0,48.0,44.0,46.0,41.0,44.4,2.2
7,44.0,45.0,43.0,44.0,49.0,39.0,41.0,41.0,43.0,44.0,44.0,44.0,44.0,42.0,46.0,44.0,39.0,42.0,35.0,45.0,42.0,42.0,46.0,40.0,44.0,43.0,46.0,42.0,42.0,41.0,42.867,2.591
8,44.0,43.0,43.0,43.0,45.0,39.0,41.0,40.0,40.0,42.0,43.0,44.0,42.0,42.0,45.0,44.0,39.0,41.0,35.0,45.0,42.0,40.0,46.0,38.0,43.0,43.0,45.0,41.0,42.0,41.0,42.033,2.373
9,42.0,42.0,43.0,43.0,45.0,39.0,41.0,38.0,40.0,41.0,41.0,44.0,41.0,38.0,44.0,44.0,39.0,41.0,34.0,41.0,40.0,40.0,44.0,38.0,43.0,43.0,45.0,40.0,41.0,40.0,41.167,2.409
10,42.0,41.0,41.0,41.0,43.0,37.0,41.0,38.0,40.0,40.0,41.0,36.0,41.0,38.0,44.0,44.0,39.0,38.0,32.0,39.0,40.0,40.0,42.0,38.0,43.0,43.0,40.0,40.0,39.0,38.0,39.967,2.483
