Generations,Run0,Run1,Run2,Run3,Run4,Run5,Run6,Run7,Run8,Run9,Run10,Run11,Run12,Run13,Run14,Run15,Run16,Run17,Run18,Run19,Run20,Run21,Run22,Run23,Run24,Run25,Run26,Run27,Run28,Run29,ABF,StdDev
0,11.0,11.0,12.0,10.0,9.0,10.0,9.0,11.0,11.0,12.0,12.0,11.0,11.0,10.0,10.0,13.0,11.0,10.0,11.0,12.0,13.0,11.0,11.0,10.0,13.0,13.0,10.0,12.0,12.0,11.0,11.1,1.106
1,8.0,8.0,11.0,10.0,11.0,13.0,10.0,12.0,12.0,13.0,9.0,8.0,13.0,11.0,9.0,10.0,11.0,9.0,9.0,10.0,5.0,11.0,11.0,8.0,12.0,9.0,10.0,9.0,11.0,9.0,10.067,1.769
2,8.0,11.0,11.0,10.0,9.0,10.0,11.0,12.0,11.0,11.0,9.0,13.0,9.0,9.0,11.0,11.0,9.0,12.0,11.0,12.0,11.0,9.0,10.0,10.0,12.0,9.0,10.0,11.0,12.0,13.0,10.567,1.283
3,14.0,11.0,11.0,13.0,11.0,12.0,10.0,10.0,12.0,10.0,12.0,12.0,11.0,9.0,9.0,11.0,6.0,12.0,10.0,9.0,11.0,11.0,12.0,12.0,12.0,10.0,11.0,10.0,10.0,11.0,10.833,1.462
4,10.0,10.0,10.0,10.0,10.0,11.0,12.0,11.0,8.0,7.0,10.0,9.0,11.0,13.0,10.0,9.0,10.0,11.0,12.0,9.0,10.0,14.0,10.0,9.0,11.0,10.0,13.0,10.0,10.0,10.0,10.333,1.422
5,9.0,10.0,10.0,10.0,9.0,11.0,11.0,7.0,10.0,10.0,10.0,11.0,11.0,11.0,10.0,12.0,10.0,9.0,12.0,11.0,11.0,7.0,11.0,10.0,10.0,10.0,8.0,10.0,10.0,11.0,10.067,1.181
6,12.0,10.0,11.0,8.0,8.0,11.0,8.0,12.0,10.0,12.0,9.0,8.0,11.0,12.0,10.0,13.0,12.0,7.0,12.0,10.0,11.0,11.0,11.0,11.0,11.0,11.0,10.0,13.0,12.0,12.0,10.633,1.56
7,10.0,10.0,11.0,10.0,12.0,10.0,11.0,9.0,12.0,10.0,13.0,9.0,9.0,11.0,10.0,10.0,13.0,10.0,10.0,12.0,13.0,13.0,11.0,9.0,10.0,10.0,9.0,11.0,9.0,12.0,10.633,1.303
8,10.0,9.0,12.0,12.0,12.0,7.0,10.0,11.0,12.0,12.0,11.0,12.0,10.0,11.0,10.0,12.0,12.0,11.0,12.0,13.0,12.0,7.0,9.0,9.0,9.0,8.0,15.0,11.0,12.0,12.0,10.833,1.753
9,10.0,11.0,13.0,12.0,11.0,11.0,11.0,10.0,9.0,11.0,10.0,12.0,14.0,11.0,10.0,12.0,11.0,11.0,12.0,11.0,12.0,10.0,11.0,12.0,11.0,11.0,12.0,11.0,11.0,10.0,11.133,0.991
10,10.0,11.0,8.0,11.0,13.0,13.0,10.0,13.0,12.0,13.0,12.0,10.0,9.0,10.0,13.0,12.0,13.0,11.0,13.0,11.0,12.0,11.0,12.0,10.0,14.0,13.0,11.0,13.0,12.0,10.0,11.533,1.431
11,11.0,13.0,9.0,11.0,11.0,9.0,10.0,11.0,10.0,13.0,10.0,13.0,9.0,11.0,12.0,11.0,9.0,12.0,11.0,12.0,10.0,12.0,10.0,10.0,11.0,11.0,8.0,12.0,11.0,14.0,10.9,1.375
