Generations,Run0,Run1,Run2,Run3,Run4,Run5,Run6,Run7,Run8,Run9,Run10,Run11,Run12,Run13,Run14,Run15,Run16,Run17,Run18,Run19,Run20,Run21,Run22,Run23,Run24,Run25,Run26,Run27,Run28,Run29,ABF,StdDev
0,11.0,12.0,13.0,11.0,11.0,11.0,8.0,9.0,10.0,8.0,14.0,12.0,12.0,11.0,11.0,13.0,8.0,11.0,11.0,11.0,13.0,9.0,12.0,6.0,10.0,11.0,12.0,10.0,9.0,9.0,10.633,1.76
1,10.0,13.0,12.0,12.0,12.0,11.0,11.0,10.0,12.0,10.0,12.0,11.0,10.0,9.0,12.0,10.0,10.0,9.0,12.0,12.0,13.0,12.0,11.0,10.0,8.0,10.0,12.0,12.0,12.0,11.0,11.033,1.224
2,11.0,12.0,13.0,9.0,13.0,11.0,12.0,13.0,11.0,9.0,11.0,11.0,10.0,8.0,13.0,11.0,11.0,11.0,8.0,10.0,11.0,11.0,12.0,11.0,9.0,12.0,9.0,12.0,12.0,11.0,10.933,1.389
3,10.0,7.0,10.0,12.0,9.0,11.0,11.0,12.0,11.0,11.0,9.0,11.0,11.0,12.0,11.0,9.0,10.0,11.0,11.0,13.0,11.0,13.0,13.0,11.0,10.0,11.0,10.0,12.0,12.0,10.0,10.833,1.293
4,12.0,12.0,12.0,12.0,14.0,10.0,8.0,10.0,13.0,12.0,13.0,11.0,9.0,10.0,13.0,12.0,13.0,9.0,14.0,10.0,9.0,12.0,11.0,11.0,10.0,11.0,12.0,10.0,10.0,12.0,11.233,1.521
5,11.0,10.0,12.0,11.0,12.0,9.0,10.0,10.0,10.0,10.0,9.0,13.0,13.0,11.0,12.0,13.0,12.0,11.0,12.0,10.0,10.0,11.0,12.0,9.0,13.0,9.0,10.0,11.0,11.0,10.0,10.9,1.248
6,12.0,11.0,12.0,10.0,11.0,9.0,11.0,10.0,11.0,11.0,13.0,13.0,9.0,10.0,11.0,9.0,11.0,10.0,11.0,9.0,12.0,9.0,11.0,12.0,11.0,10.0,13.0,10.0,10.0,13.0,10.833,1.241
7,13.0,11.0,11.0,13.0,12.0,12.0,9.0,11.0,10.0,10.0,7.0,10.0,12.0,10.0,10.0,10.0,10.0,11.0,11.0,15.0,11.0,9.0,12.0,13.0,10.0,8.0,13.0,10.0,9.0,11.0,10.8,1.641
8,12.0,12.0,12.0,12.0,9.0,13.0,12.0,11.0,12.0,11.0,10.0,12.0,11.0,9.0,13.0,11.0,10.0,11.0,9.0,7.0,11.0,12.0,11.0,11.0,9.0,10.0,11.0,9.0,10.0,11.0,10.8,1.352
9,12.0,13.0,12.0,10.0,11.0,11.0,12.0,11.0,11.0,12.0,12.0,13.0,11.0,8.0,8.0,13.0,12.0,11.0,11.0,10.0,11.0,11.0,12.0,13.0,10.0,11.0,12.0,13.0,9.0,11.0,11.233,1.309
10,12.0,11.0,11.0,12.0,13.0,12.0,8.0,11.0,12.0,9.0,10.0,9.0,13.0,11.0,8.0,12.0,12.0,13.0,13.0,11.0,12.0,12.0,12.0,12.0,11.0,12.0,12.0,13.0,12.0,13.0,11.467,1.384
11,12.0,12.0,11.0,10.0,11.0,12.0,9.0,13.0,12.0,11.0,12.0,13.0,13.0,10.0,12.0,13.0,9.0,11.0,11.0,11.0,10.0,11.0,9.0,13.0,10.0,10.0,12.0,10.0,11.0,9.0,11.1,1.274
12,12.0,10.0,11.0,12.0,12.0,9.0,12.0,12.0,12.0,12.0,12.0,10.0,9.0,11.0,12.0,11.0,12.0,13.0,14.0,11.0,12.0,8.0,12.0,11.0,9.0,11.0,9.0,10.0,9.0,11.0,11.033,1.378
13,13.0,11.0,10.0,10.0,11.0,10.0,11.0,9.0,12.0,12.0,13.0,8.0,12.0,11.0,12.0,11.0,12.0,13.0,11.0,13.0,10.0,11.0,11.0,12.0,11.0,9.0,8.0,11.0,10.0,10.0,10.933,1.34
14,11.0,10.0,12.0,10.0,8.0,10.0,12.0,11.0,11.0,12.0,12.0,13.0,8.0,12.0,12.0,10.0,8.0,10.0,13.0,12.0,11.0,12.0,10.0,11.0,12.0,8.0,14.0,13.0,11.0,13.0,11.067,1.59
15,12.0,10.0,10.0,10.0,13.0,11.0,13.0,12.0,11.0,12.0,10.0,8.0,11.0,13.0,11.0,8.0,8.0,9.0,12.0,11.0,10.0,10.0,13.0,13.0,10.0,11.0,11.0,9.0,14.0,12.0,10.933,1.59
16,13.0,13.0,10.0,8.0,11.0,13.0,12.0,12.0,11.0,9.0,10.0,11.0,12.0,8.0,12.0,11.0,10.0,10.0,10.0,13.0,11.0,12.0,13.0,12.0,10.0,11.0,11.0,8.0,10.0,10.0,10.9,1.469
17,9.0,9.0,11.0,13.0,12.0,12.0,11.0,11.0,10.0,8.0,9.0,10.0,11.0,10.0,11.0,11.0,11.0,10.0,10.0,13.0,14.0,12.0,11.0,11.0,10.0,11.0,8.0,11.0,11.0,10.0,10.7,1.345
18,12.0,13.0,11.0,12.0,11.0,11.0,10.0,12.0,12.0,11.0,9.0,8.0,11.0,13.0,11.0,9.0,12.0,11.0,11.0,10.0,10.0,14.0,8.0,11.0,13.0,9.0,12.0,8.0,13.0,12.0,11.0,1.571
19,12.0,12.0,12.0,11.0,14.0,8.0,12.0,11.0,10.0,7.0,14.0,12.0,13.0,10.0,12.0,10.0,11.0,13.0,11.0,12.0,7.0,10.0,9.0,11.0,12.0,9.0,9.0,13.0,12.0,11.0,11.0,1.789
20,9.0,9.0,10.0,11.0,11.0,11.0,11.0,12.0,11.0,12.0,12.0,11.0,14.0,9.0,12.0,10.0,12.0,10.0,10.0,11.0,10.0,10.0,8.0,9.0,9.0,12.0,9.0,9.0,10.0,9.0,10.433,1.334
21,10.0,12.0,10.0,12.0,11.0,9.0,14.0,11.0,12.0,11.0,11.0,13.0,10.0,9.0,12.0,9.0,11.0,11.0,11.0,11.0,11.0,13.0,11.0,7.0,13.0,12.0,11.0,11.0,8.0,10.0,10.9,1.491
22,12.0,12.0,8.0,10.0,13.0,13.0,11.0,12.0,11.0,11.0,12.0,11.0,13.0,11.0,9.0,9.0,12.0,10.0,12.0,10.0,12.0,10.0,13.0,9.0,12.0,12.0,11.0,11.0,10.0,11.0,11.1,1.3
23,12.0,9.0,9.0,11.0,11.0,12.0,12.0,13.0,9.0,12.0,9.0,9.0,10.0,13.0,11.0,10.0,12.0,12.0,10.0,13.0,13.0,10.0,11.0,13.0,13.0,13.0,9.0,9.0,10.0,14.0,11.133,1.586
24,10.0,11.0,9.0,12.0,11.0,11.0,8.0,11.0,9.0,10.0,5.0,12.0,9.0,7.0,11.0,9.0,9.0,12.0,9.0,9.0,11.0,12.0,10.0,11.0,11.0,10.0,12.0,8.0,11.0,11.0,10.033,1.622
25,11.0,12.0,11.0,10.0,12.0,8.0,12.0,11.0,8.0,7.0,12.0,7.0,12.0,10.0,10.0,9.0,11.0,12.0,14.0,11.0,14.0,13.0,8.0,11.0,11.0,11.0,12.0,10.0,11.0,11.0,10.733,1.769
