Generations,Run0,Run1,Run2,Run3,Run4,Run5,Run6,Run7,Run8,Run9,Run10,Run11,Run12,Run13,Run14,Run15,Run16,Run17,Run18,Run19,Run20,Run21,Run22,Run23,Run24,Run25,Run26,Run27,Run28,Run29,ABF,StdDev
0,12.0,8.0,11.0,11.0,11.0,11.0,8.0,9.0,11.0,10.0,11.0,12.0,11.0,12.0,13.0,12.0,11.0,10.0,11.0,7.0,12.0,12.0,11.0,9.0,11.0,11.0,10.0,13.0,13.0,11.0,10.833,1.44
1,13.0,11.0,10.0,12.0,10.0,11.0,9.0,9.0,9.0,11.0,10.0,9.0,10.0,12.0,11.0,9.0,9.0,10.0,11.0,12.0,9.0,12.0,11.0,11.0,11.0,11.0,12.0,9.0,10.0,12.0,10.533,1.176
2,9.0,11.0,10.0,11.0,10.0,9.0,12.0,9.0,9.0,9.0,10.0,11.0,11.0,12.0,12.0,12.0,9.0,10.0,9.0,11.0,12.0,10.0,12.0,12.0,13.0,9.0,11.0,7.0,10.0,10.0,10.4,1.356
3,11.0,12.0,9.0,12.0,10.0,12.0,13.0,13.0,13.0,11.0,10.0,13.0,12.0,10.0,12.0,10.0,10.0,11.0,10.0,11.0,13.0,11.0,8.0,12.0,13.0,10.0,11.0,12.0,12.0,10.0,11.233,1.309
4,10.0,12.0,11.0,14.0,11.0,10.0,11.0,10.0,11.0,6.0,10.0,12.0,10.0,12.0,12.0,11.0,10.0,12.0,12.0,12.0,10.0,13.0,10.0,12.0,11.0,10.0,14.0,12.0,12.0,11.0,11.133,1.477
5,9.0,12.0,11.0,10.0,12.0,11.0,11.0,10.0,10.0,12.0,10.0,10.0,9.0,11.0,12.0,14.0,11.0,10.0,10.0,13.0,11.0,11.0,9.0,13.0,8.0,9.0,10.0,12.0,14.0,7.0,10.733,1.611
6,11.0,12.0,10.0,13.0,9.0,9.0,12.0,12.0,12.0,10.0,11.0,10.0,12.0,12.0,10.0,11.0,10.0,10.0,12.0,8.0,10.0,10.0,9.0,11.0,11.0,14.0,10.0,13.0,12.0,11.0,10.9,1.35
7,10.0,11.0,7.0,11.0,12.0,10.0,10.0,12.0,10.0,10.0,11.0,11.0,12.0,10.0,11.0,12.0,9.0,13.0,10.0,13.0,11.0,10.0,13.0,10.0,10.0,9.0,12.0,13.0,12.0,9.0,10.8,1.4
8,11.0,10.0,9.0,6.0,10.0,13.0,9.0,11.0,10.0,12.0,10.0,12.0,9.0,12.0,12.0,10.0,10.0,10.0,12.0,10.0,9.0,12.0,11.0,11.0,10.0,10.0,8.0,13.0,14.0,7.0,10.433,1.726
9,11.0,11.0,12.0,11.0,13.0,10.0,12.0,13.0,11.0,10.0,11.0,9.0,11.0,10.0,9.0,10.0,10.0,10.0,10.0,10.0,11.0,10.0,11.0,10.0,12.0,10.0,11.0,13.0,9.0,12.0,10.767,1.116
10,12.0,12.0,11.0,11.0,13.0,12.0,9.0,12.0,11.0,12.0,11.0,13.0,10.0,11.0,7.0,13.0,10.0,11.0,11.0,12.0,11.0,10.0,11.0,12.0,12.0,12.0,12.0,9.0,10.0,10.0,11.1,1.3
11,13.0,8.0,11.0,9.0,11.0,11.0,12.0,13.0,13.0,11.0,10.0,10.0,12.0,11.0,12.0,11.0,11.0,11.0,12.0,13.0,11.0,9.0,12.0,8.0,10.0,12.0,10.0,11.0,11.0,10.0,10.967,1.329
12,13.0,9.0,10.0,11.0,10.0,12.0,11.0,12.0,11.0,10.0,13.0,11.0,10.0,12.0,11.0,9.0,13.0,12.0,11.0,13.0,13.0,14.0,11.0,11.0,12.0,11.0,10.0,12.0,12.0,13.0,11.433,1.257
13,11.0,11.0,13.0,11.0,9.0,12.0,11.0,12.0,11.0,11.0,12.0,11.0,12.0,10.0,13.0,13.0,10.0,11.0,10.0,10.0,11.0,10.0,12.0,11.0,10.0,13.0,10.0,9.0,9.0,9.0,10.933,1.209
14,13.0,11.0,11.0,10.0,11.0,12.0,12.0,11.0,11.0,12.0,12.0,12.0,13.0,12.0,14.0,9.0,9.0,10.0,9.0,13.0,13.0,12.0,11.0,13.0,10.0,10.0,13.0,11.0,11.0,12.0,11.433,1.309
15,11.0,12.0,12.0,10.0,9.0,11.0,12.0,10.0,10.0,14.0,11.0,10.0,11.0,12.0,11.0,13.0,13.0,8.0,11.0,12.0,11.0,14.0,11.0,12.0,12.0,12.0,7.0,13.0,6.0,9.0,11.0,1.826
16,12.0,12.0,11.0,11.0,10.0,13.0,11.0,12.0,13.0,11.0,12.0,8.0,12.0,8.0,12.0,12.0,12.0,13.0,12.0,12.0,9.0,13.0,11.0,11.0,12.0,11.0,10.0,13.0,9.0,9.0,11.233,1.43
17,12.0,10.0,12.0,11.0,12.0,9.0,11.0,10.0,11.0,10.0,12.0,11.0,9.0,9.0,11.0,12.0,13.0,11.0,9.0,12.0,11.0,9.0,12.0,12.0,11.0,9.0,8.0,11.0,10.0,9.0,10.633,1.278
18,10.0,11.0,9.0,11.0,11.0,14.0,14.0,10.0,10.0,11.0,9.0,11.0,13.0,13.0,7.0,13.0,11.0,11.0,9.0,11.0,7.0,10.0,10.0,8.0,12.0,15.0,11.0,13.0,10.0,11.0,10.867,1.91
19,8.0,10.0,11.0,10.0,9.0,13.0,15.0,13.0,13.0,11.0,12.0,12.0,9.0,10.0,12.0,10.0,12.0,12.0,10.0,13.0,11.0,10.0,12.0,11.0,14.0,10.0,13.0,10.0,9.0,11.0,11.2,1.621
20,13.0,12.0,10.0,11.0,11.0,12.0,9.0,14.0,13.0,10.0,11.0,10.0,11.0,11.0,11.0,12.0,11.0,10.0,10.0,12.0,11.0,9.0,10.0,14.0,11.0,12.0,10.0,10.0,11.0,12.0,11.133,1.258
21,11.0,12.0,10.0,9.0,11.0,12.0,12.0,10.0,11.0,12.0,11.0,13.0,13.0,11.0,11.0,10.0,11.0,11.0,12.0,11.0,7.0,11.0,10.0,12.0,11.0,12.0,12.0,12.0,11.0,14.0,11.2,1.275
22,8.0,12.0,11.0,12.0,14.0,12.0,13.0,13.0,10.0,13.0,11.0,11.0,12.0,10.0,11.0,14.0,10.0,11.0,13.0,9.0,11.0,11.0,13.0,13.0,13.0,11.0,11.0,12.0,10.0,9.0,11.467,1.477
23,12.0,10.0,9.0,10.0,10.0,13.0,11.0,14.0,11.0,13.0,14.0,12.0,13.0,14.0,11.0,15.0,12.0,12.0,13.0,12.0,12.0,12.0,11.0,11.0,11.0,9.0,12.0,10.0,9.0,13.0,11.7,1.552
24,11.0,10.0,10.0,12.0,11.0,14.0,11.0,11.0,7.0,13.0,13.0,12.0,14.0,8.0,12.0,14.0,10.0,12.0,11.0,11.0,7.0,13.0,11.0,13.0,11.0,11.0,10.0,11.0,12.0,9.0,11.167,1.79
25,13.0,12.0,9.0,11.0,11.0,13.0,12.0,7.0,11.0,10.0,14.0,10.0,11.0,13.0,14.0,12.0,12.0,8.0,12.0,11.0,9.0,11.0,10.0,13.0,11.0,7.0,9.0,10.0,11.0,10.0,10.9,1.795
26,12.0,10.0,11.0,11.0,11.0,10.0,8.0,9.0,12.0,13.0,14.0,10.0,14.0,11.0,10.0,13.0,12.0,12.0,11.0,12.0,8.0,9.0,10.0,13.0,10.0,11.0,10.0,12.0,7.0,9.0,10.833,1.714
27,12.0,11.0,13.0,13.0,10.0,8.0,11.0,10.0,13.0,11.0,12.0,12.0,12.0,9.0,11.0,12.0,12.0,11.0,10.0,10.0,11.0,11.0,12.0,11.0,13.0,9.0,6.0,12.0,10.0,12.0,11.0,1.549
28,9.0,12.0,10.0,10.0,9.0,12.0,10.0,13.0,10.0,11.0,11.0,12.0,13.0,14.0,11.0,12.0,10.0,12.0,10.0,10.0,12.0,8.0,10.0,12.0,13.0,9.0,10.0,12.0,10.0,12.0,10.967,1.426
29,11.0,13.0,12.0,12.0,13.0,14.0,14.0,11.0,9.0,12.0,9.0,13.0,12.0,11.0,8.0,9.0,10.0,14.0,10.0,11.0,12.0,11.0,11.0,12.0,13.0,11.0,10.0,9.0,10.0,12.0,11.3,1.595
30,9.0,13.0,13.0,11.0,14.0,14.0,14.0,8.0,10.0,13.0,10.0,10.0,13.0,9.0,11.0,10.0,14.0,10.0,10.0,13.0,12.0,10.0,11.0,13.0,13.0,11.0,11.0,13.0,11.0,9.0,11.433,1.745
31,10.0,11.0,11.0,12.0,13.0,11.0,12.0,13.0,9.0,8.0,10.0,9.0,9.0,10.0,9.0,10.0,13.0,13.0,13.0,10.0,12.0,12.0,11.0,9.0,12.0,10.0,10.0,11.0,11.0,14.0,10.933,1.526
32,11.0,14.0,11.0,10.0,9.0,13.0,12.0,12.0,10.0,10.0,10.0,12.0,10.0,11.0,9.0,11.0,13.0,12.0,13.0,12.0,10.0,10.0,8.0,11.0,11.0,10.0,11.0,12.0,13.0,12.0,11.1,1.375
33,13.0,9.0,11.0,13.0,13.0,10.0,12.0,12.0,12.0,11.0,15.0,12.0,11.0,13.0,15.0,10.0,12.0,13.0,12.0,10.0,11.0,13.0,10.0,14.0,13.0,10.0,10.0,10.0,12.0,11.0,11.767,1.521
34,12.0,10.0,10.0,9.0,15.0,12.0,14.0,11.0,12.0,10.0,13.0,13.0,13.0,13.0,13.0,12.0,11.0,11.0,10.0,12.0,13.0,10.0,11.0,12.0,13.0,13.0,12.0,9.0,7.0,11.0,11.567,1.667
35,11.0,10.0,15.0,13.0,12.0,14.0,13.0,10.0,13.0,12.0,13.0,10.0,8.0,10.0,12.0,12.0,11.0,12.0,11.0,11.0,12.0,8.0,14.0,13.0,10.0,13.0,9.0,9.0,7.0,12.0,11.333,1.903
36,9.0,11.0,12.0,8.0,16.0,12.0,13.0,13.0,12.0,11.0,11.0,9.0,10.0,10.0,10.0,11.0,12.0,10.0,13.0,11.0,11.0,10.0,12.0,13.0,11.0,9.0,12.0,10.0,10.0,9.0,11.033,1.622
37,12.0,11.0,14.0,12.0,13.0,11.0,12.0,12.0,9.0,14.0,13.0,9.0,11.0,12.0,11.0,10.0,11.0,12.0,11.0,12.0,10.0,11.0,12.0,11.0,11.0,10.0,10.0,9.0,9.0,11.0,11.2,1.327
38,11.0,10.0,13.0,10.0,10.0,9.0,12.0,10.0,12.0,13.0,14.0,13.0,13.0,10.0,11.0,12.0,11.0,11.0,14.0,11.0,12.0,12.0,12.0,11.0,8.0,9.0,11.0,12.0,9.0,11.0,11.233,1.476
39,11.0,12.0,10.0,9.0,15.0,12.0,13.0,11.0,13.0,11.0,17.0,11.0,10.0,9.0,12.0,8.0,12.0,11.0,13.0,11.0,12.0,10.0,10.0,13.0,9.0,12.0,13.0,11.0,11.0,11.0,11.433,1.802
40,10.0,10.0,13.0,13.0,12.0,16.0,9.0,11.0,12.0,12.0,8.0,10.0,13.0,9.0,12.0,15.0,12.0,12.0,10.0,11.0,11.0,12.0,10.0,12.0,13.0,13.0,13.0,13.0,10.0,11.0,11.6,1.724
41,9.0,14.0,13.0,12.0,17.0,14.0,10.0,12.0,14.0,11.0,8.0,13.0,12.0,14.0,10.0,8.0,11.0,11.0,12.0,9.0,12.0,12.0,13.0,11.0,8.0,13.0,10.0,11.0,11.0,13.0,11.6,2.043
42,10.0,11.0,11.0,11.0,19.0,11.0,8.0,15.0,10.0,12.0,14.0,9.0,12.0,16.0,12.0,10.0,9.0,13.0,14.0,13.0,14.0,10.0,11.0,10.0,11.0,8.0,12.0,9.0,10.0,11.0,11.533,2.391
43,9.0,11.0,11.0,11.0,14.0,15.0,11.0,11.0,9.0,12.0,15.0,10.0,13.0,16.0,12.0,10.0,12.0,11.0,11.0,12.0,13.0,9.0,9.0,11.0,13.0,10.0,13.0,11.0,12.0,11.0,11.6,1.781
44,13.0,11.0,14.0,10.0,16.0,14.0,10.0,7.0,12.0,12.0,12.0,11.0,14.0,10.0,11.0,14.0,10.0,11.0,8.0,11.0,11.0,11.0,11.0,8.0,12.0,13.0,9.0,11.0,11.0,13.0,11.367,1.958
45,11.0,11.0,17.0,11.0,19.0,13.0,13.0,9.0,13.0,11.0,17.0,11.0,14.0,12.0,13.0,13.0,14.0,12.0,11.0,11.0,10.0,11.0,12.0,9.0,11.0,15.0,11.0,10.0,10.0,10.0,12.167,2.339
46,12.0,14.0,14.0,13.0,14.0,13.0,13.0,13.0,14.0,11.0,17.0,10.0,13.0,14.0,13.0,13.0,9.0,14.0,8.0,14.0,13.0,13.0,13.0,13.0,8.0,12.0,12.0,11.0,12.0,11.0,12.467,1.875
47,13.0,11.0,13.0,12.0,14.0,12.0,12.0,13.0,13.0,11.0,21.0,13.0,11.0,13.0,10.0,12.0,11.0,13.0,10.0,13.0,12.0,12.0,14.0,11.0,13.0,14.0,12.0,9.0,11.0,8.0,12.233,2.155
48,13.0,10.0,14.0,12.0,14.0,19.0,13.0,14.0,11.0,13.0,22.0,13.0,12.0,14.0,13.0,12.0,13.0,13.0,13.0,12.0,10.0,13.0,8.0,13.0,11.0,13.0,13.0,12.0,12.0,10.0,12.833,2.491
49,10.0,12.0,12.0,12.0,9.0,10.0,12.0,11.0,15.0,14.0,19.0,8.0,10.0,14.0,13.0,14.0,8.0,13.0,11.0,14.0,10.0,11.0,11.0,13.0,12.0,13.0,14.0,9.0,11.0,10.0,11.833,2.282
50,12.0,10.0,14.0,12.0,13.0,14.0,12.0,12.0,12.0,11.0,19.0,12.0,11.0,11.0,11.0,14.0,9.0,13.0,10.0,12.0,13.0,9.0,11.0,12.0,11.0,10.0,12.0,10.0,14.0,12.0,11.933,1.896
51,12.0,13.0,15.0,10.0,16.0,15.0,14.0,10.0,16.0,10.0,22.0,9.0,12.0,10.0,10.0,14.0,14.0,13.0,12.0,12.0,14.0,12.0,11.0,12.0,12.0,14.0,13.0,12.0,12.0,8.0,12.633,2.627
52,11.0,13.0,13.0,15.0,14.0,15.0,12.0,12.0,12.0,12.0,21.0,12.0,13.0,13.0,11.0,15.0,11.0,14.0,11.0,12.0,9.0,11.0,14.0,13.0,10.0,12.0,11.0,12.0,11.0,8.0,12.433,2.276
53,13.0,11.0,14.0,9.0,11.0,12.0,13.0,13.0,12.0,12.0,22.0,12.0,12.0,14.0,14.0,12.0,11.0,11.0,11.0,12.0,14.0,10.0,11.0,13.0,10.0,10.0,13.0,10.0,12.0,10.0,12.133,2.276
54,10.0,11.0,11.0,12.0,16.0,13.0,11.0,11.0,9.0,14.0,21.0,12.0,12.0,9.0,11.0,15.0,8.0,13.0,9.0,13.0,12.0,11.0,9.0,10.0,11.0,13.0,8.0,11.0,8.0,11.0,11.5,2.63
55,11.0,10.0,12.0,11.0,14.0,15.0,9.0,9.0,14.0,14.0,22.0,10.0,14.0,13.0,13.0,13.0,11.0,12.0,12.0,10.0,14.0,13.0,12.0,14.0,9.0,12.0,11.0,9.0,12.0,13.0,12.267,2.502
56,12.0,12.0,14.0,12.0,13.0,12.0,12.0,13.0,11.0,14.0,20.0,10.0,15.0,16.0,13.0,14.0,12.0,13.0,10.0,14.0,13.0,12.0,11.0,10.0,11.0,12.0,12.0,10.0,9.0,10.0,12.4,2.139
57,9.0,11.0,15.0,14.0,13.0,15.0,10.0,11.0,13.0,11.0,18.0,13.0,16.0,15.0,11.0,12.0,11.0,13.0,9.0,15.0,14.0,9.0,10.0,12.0,11.0,11.0,14.0,12.0,11.0,12.0,12.367,2.183
58,11.0,13.0,12.0,10.0,15.0,14.0,12.0,14.0,15.0,12.0,22.0,12.0,11.0,11.0,10.0,16.0,12.0,11.0,11.0,13.0,10.0,11.0,14.0,14.0,6.0,10.0,8.0,10.0,8.0,11.0,11.967,2.869
59,11.0,9.0,14.0,12.0,15.0,14.0,13.0,12.0,10.0,11.0,21.0,10.0,14.0,14.0,11.0,12.0,12.0,9.0,13.0,17.0,11.0,11.0,11.0,13.0,11.0,14.0,13.0,12.0,13.0,11.0,12.467,2.363
60,10.0,13.0,8.0,10.0,13.0,13.0,12.0,11.0,12.0,16.0,22.0,10.0,14.0,13.0,12.0,12.0,11.0,8.0,11.0,14.0,14.0,12.0,11.0,9.0,11.0,10.0,12.0,10.0,14.0,11.0,11.967,2.601
61,12.0,10.0,12.0,10.0,12.0,14.0,10.0,12.0,11.0,15.0,24.0,13.0,9.0,14.0,11.0,12.0,13.0,11.0,11.0,13.0,12.0,9.0,12.0,15.0,11.0,11.0,12.0,12.0,15.0,13.0,12.367,2.677
62,11.0,12.0,15.0,13.0,14.0,13.0,13.0,11.0,15.0,10.0,24.0,18.0,17.0,17.0,8.0,14.0,11.0,11.0,8.0,14.0,13.0,8.0,11.0,12.0,11.0,13.0,11.0,11.0,15.0,12.0,12.867,3.222
63,11.0,10.0,15.0,13.0,13.0,12.0,15.0,10.0,15.0,12.0,23.0,20.0,17.0,15.0,11.0,17.0,12.0,12.0,10.0,16.0,12.0,9.0,11.0,13.0,8.0,12.0,13.0,12.0,14.0,12.0,13.167,3.131
64,11.0,11.0,16.0,12.0,16.0,12.0,15.0,12.0,13.0,15.0,23.0,21.0,17.0,14.0,11.0,16.0,8.0,13.0,10.0,19.0,13.0,11.0,11.0,13.0,8.0,12.0,15.0,13.0,12.0,12.0,13.5,3.334
65,11.0,11.0,11.0,11.0,16.0,13.0,12.0,12.0,14.0,13.0,24.0,19.0,20.0,14.0,10.0,15.0,13.0,13.0,12.0,18.0,12.0,10.0,12.0,14.0,13.0,12.0,13.0,13.0,11.0,11.0,13.433,3.106
66,13.0,9.0,13.0,14.0,14.0,11.0,13.0,11.0,16.0,11.0,25.0,19.0,20.0,13.0,12.0,10.0,10.0,13.0,12.0,19.0,14.0,8.0,9.0,12.0,13.0,12.0,14.0,10.0,15.0,12.0,13.233,3.565
67,12.0,8.0,15.0,13.0,12.0,14.0,6.0,10.0,20.0,14.0,26.0,19.0,18.0,19.0,12.0,13.0,14.0,13.0,9.0,18.0,13.0,13.0,14.0,10.0,10.0,11.0,11.0,11.0,12.0,12.0,13.4,3.988
68,10.0,13.0,14.0,12.0,18.0,13.0,13.0,8.0,15.0,17.0,29.0,18.0,18.0,14.0,10.0,13.0,12.0,13.0,13.0,15.0,15.0,12.0,10.0,12.0,8.0,13.0,10.0,12.0,12.0,12.0,13.467,3.862
69,14.0,13.0,14.0,11.0,16.0,11.0,13.0,11.0,18.0,13.0,27.0,15.0,17.0,12.0,10.0,11.0,14.0,11.0,9.0,15.0,15.0,9.0,9.0,9.0,11.0,14.0,14.0,9.0,9.0,17.0,13.033,3.692
70,12.0,13.0,15.0,8.0,14.0,16.0,12.0,10.0,14.0,11.0,33.0,14.0,20.0,15.0,13.0,10.0,12.0,9.0,8.0,16.0,9.0,10.0,12.0,11.0,12.0,14.0,12.0,12.0,10.0,16.0,13.1,4.549
71,12.0,12.0,12.0,12.0,16.0,12.0,13.0,14.0,12.0,14.0,27.0,14.0,27.0,16.0,13.0,12.0,16.0,10.0,9.0,19.0,11.0,14.0,14.0,11.0,12.0,14.0,11.0,10.0,11.0,18.0,13.933,4.155
72,13.0,9.0,18.0,14.0,13.0,12.0,10.0,12.0,12.0,14.0,21.0,15.0,26.0,19.0,12.0,9.0,11.0,13.0,13.0,17.0,10.0,13.0,11.0,10.0,9.0,6.0,10.0,12.0,10.0,18.0,13.067,4.066
73,10.0,12.0,15.0,8.0,13.0,13.0,15.0,12.0,15.0,12.0,23.0,15.0,26.0,21.0,9.0,9.0,13.0,13.0,9.0,18.0,14.0,9.0,12.0,11.0,12.0,14.0,11.0,12.0,13.0,17.0,13.533,4.064
74,14.0,12.0,16.0,12.0,13.0,14.0,13.0,12.0,14.0,12.0,27.0,16.0,22.0,26.0,12.0,13.0,9.0,12.0,11.0,14.0,21.0,12.0,9.0,13.0,11.0,17.0,13.0,11.0,10.0,17.0,14.267,4.381
75,13.0,10.0,15.0,12.0,17.0,14.0,13.0,11.0,14.0,10.0,27.0,19.0,23.0,27.0,9.0,12.0,13.0,14.0,11.0,16.0,11.0,14.0,11.0,11.0,11.0,14.0,17.0,9.0,14.0,14.0,14.2,4.52
76,11.0,11.0,13.0,14.0,12.0,10.0,12.0,10.0,13.0,16.0,25.0,15.0,25.0,21.0,11.0,13.0,11.0,14.0,11.0,17.0,13.0,9.0,12.0,14.0,9.0,15.0,14.0,11.0,10.0,16.0,13.6,3.972
77,12.0,12.0,15.0,14.0,18.0,12.0,11.0,11.0,14.0,14.0,25.0,15.0,18.0,21.0,9.0,14.0,13.0,12.0,12.0,20.0,13.0,14.0,14.0,8.0,9.0,12.0,14.0,13.0,13.0,20.0,14.067,3.687
