Generations,Run0,Run1,Run2,Run3,Run4,Run5,Run6,Run7,Run8,Run9,Run10,Run11,Run12,Run13,Run14,Run15,Run16,Run17,Run18,Run19,Run20,Run21,Run22,Run23,Run24,Run25,Run26,Run27,Run28,Run29,ABF,StdDev
0,7.0,10.0,11.0,9.0,8.0,11.0,10.0,10.0,12.0,9.0,11.0,13.0,13.0,9.0,10.0,7.0,12.0,13.0,12.0,9.0,12.0,13.0,11.0,12.0,10.0,11.0,11.0,9.0,11.0,10.0,10.533,1.648
1,7.0,11.0,10.0,11.0,10.0,9.0,10.0,9.0,12.0,11.0,11.0,11.0,10.0,7.0,11.0,6.0,11.0,13.0,11.0,10.0,12.0,14.0,11.0,12.0,10.0,11.0,10.0,11.0,11.0,8.0,10.367,1.683
2,8.0,9.0,10.0,9.0,10.0,10.0,9.0,9.0,10.0,9.0,11.0,10.0,10.0,8.0,10.0,6.0,11.0,10.0,10.0,8.0,10.0,12.0,11.0,12.0,8.0,12.0,10.0,10.0,10.0,8.0,9.667,1.325
3,11.0,9.0,9.0,8.0,10.0,10.0,9.0,11.0,10.0,9.0,11.0,11.0,11.0,9.0,10.0,6.0,11.0,11.0,10.0,8.0,10.0,12.0,10.0,9.0,8.0,12.0,9.0,12.0,10.0,8.0,9.8,1.376
4,10.0,9.0,10.0,9.0,10.0,9.0,10.0,11.0,9.0,10.0,10.0,13.0,11.0,9.0,9.0,7.0,11.0,10.0,9.0,8.0,10.0,12.0,9.0,10.0,10.0,12.0,9.0,12.0,10.0,8.0,9.867,1.284
5,10.0,9.0,9.0,9.0,8.0,11.0,9.0,9.0,9.0,10.0,11.0,12.0,11.0,7.0,9.0,8.0,10.0,11.0,11.0,6.0,10.0,13.0,7.0,9.0,10.0,11.0,11.0,12.0,9.0,8.0,9.633,1.581
6,11.0,10.0,9.0,10.0,8.0,9.0,9.0,10.0,10.0,11.0,11.0,12.0,11.0,7.0,9.0,9.0,10.0,10.0,10.0,5.0,13.0,12.0,7.0,9.0,11.0,12.0,11.0,12.0,11.0,8.0,9.9,1.719
7,11.0,11.0,12.0,11.0,10.0,9.0,9.0,8.0,11.0,11.0,12.0,11.0,11.0,7.0,8.0,11.0,10.0,10.0,10.0,4.0,13.0,12.0,7.0,9.0,11.0,12.0,12.0,13.0,12.0,10.0,10.267,1.948
8,11.0,10.0,12.0,11.0,10.0,10.0,8.0,10.0,10.0,10.0,11.0,12.0,11.0,7.0,11.0,9.0,12.0,11.0,10.0,4.0,13.0,12.0,7.0,8.0,11.0,12.0,12.0,13.0,13.0,10.0,10.367,1.975
9,11.0,10.0,13.0,11.0,10.0,12.0,8.0,11.0,11.0,11.0,11.0,11.0,11.0,7.0,11.0,7.0,12.0,10.0,10.0,4.0,12.0,12.0,7.0,10.0,10.0,11.0,12.0,12.0,13.0,10.0,10.367,1.958
10,12.0,10.0,13.0,9.0,9.0,11.0,6.0,12.0,11.0,11.0,12.0,13.0,15.0,7.0,11.0,7.0,11.0,10.0,10.0,5.0,12.0,13.0,7.0,10.0,11.0,12.0,13.0,12.0,12.0,10.0,10.567,2.276
11,12.0,11.0,13.0,9.0,9.0,9.0,9.0,10.0,12.0,10.0,12.0,12.0,15.0,6.0,10.0,8.0,11.0,10.0,11.0,5.0,13.0,11.0,8.0,10.0,12.0,14.0,11.0,10.0,11.0,7.0,10.367,2.183
12,12.0,11.0,13.0,11.0,9.0,10.0,9.0,10.0,13.0,9.0,12.0,10.0,16.0,8.0,10.0,7.0,12.0,13.0,11.0,8.0,12.0,11.0,10.0,10.0,12.0,14.0,11.0,10.0,10.0,10.0,10.8,1.869
13,12.0,12.0,13.0,12.0,12.0,10.0,10.0,9.0,14.0,9.0,12.0,11.0,17.0,10.0,11.0,8.0,13.0,14.0,10.0,10.0,11.0,11.0,10.0,10.0,12.0,15.0,11.0,12.0,11.0,10.0,11.4,1.873
14,14.0,13.0,13.0,12.0,10.0,10.0,10.0,9.0,14.0,9.0,12.0,11.0,16.0,12.0,11.0,9.0,13.0,14.0,12.0,8.0,11.0,9.0,12.0,11.0,12.0,15.0,13.0,11.0,11.0,11.0,11.6,1.89
15,14.0,13.0,13.0,12.0,10.0,11.0,10.0,9.0,14.0,8.0,13.0,11.0,16.0,11.0,12.0,9.0,13.0,12.0,13.0,8.0,12.0,8.0,11.0,12.0,12.0,15.0,15.0,11.0,9.0,12.0,11.633,2.089
16,15.0,13.0,13.0,12.0,11.0,12.0,11.0,11.0,14.0,8.0,13.0,12.0,16.0,13.0,12.0,9.0,13.0,13.0,13.0,8.0,10.0,8.0,12.0,11.0,12.0,14.0,14.0,9.0,11.0,12.0,11.833,1.985
17,17.0,14.0,13.0,12.0,12.0,12.0,11.0,12.0,13.0,8.0,9.0,12.0,16.0,12.0,12.0,9.0,12.0,13.0,12.0,8.0,9.0,9.0,13.0,11.0,12.0,14.0,14.0,9.0,14.0,12.0,11.867,2.156
18,14.0,14.0,14.0,13.0,12.0,11.0,11.0,10.0,14.0,10.0,9.0,14.0,13.0,12.0,13.0,10.0,14.0,12.0,12.0,9.0,9.0,12.0,14.0,11.0,14.0,14.0,14.0,11.0,14.0,11.0,12.167,1.734
19,14.0,14.0,13.0,14.0,10.0,11.0,11.0,10.0,14.0,8.0,10.0,13.0,14.0,12.0,13.0,12.0,12.0,12.0,11.0,10.0,7.0,13.0,20.0,11.0,15.0,14.0,12.0,11.0,14.0,11.0,12.2,2.358
20,14.0,17.0,13.0,14.0,10.0,14.0,12.0,14.0,14.0,12.0,10.0,13.0,10.0,13.0,13.0,10.0,13.0,11.0,12.0,12.0,9.0,15.0,23.0,12.0,15.0,12.0,13.0,10.0,14.0,11.0,12.833,2.609
21,12.0,16.0,14.0,14.0,9.0,13.0,12.0,15.0,15.0,13.0,10.0,13.0,10.0,13.0,14.0,11.0,11.0,11.0,14.0,13.0,10.0,15.0,22.0,10.0,12.0,13.0,13.0,10.0,14.0,11.0,12.767,2.486
22,12.0,16.0,14.0,14.0,9.0,13.0,12.0,16.0,14.0,13.0,10.0,13.0,10.0,15.0,14.0,11.0,11.0,12.0,14.0,12.0,10.0,12.0,15.0,11.0,12.0,13.0,13.0,8.0,14.0,11.0,12.467,1.945
23,12.0,16.0,13.0,14.0,11.0,13.0,12.0,16.0,15.0,12.0,14.0,15.0,10.0,12.0,14.0,13.0,13.0,11.0,14.0,12.0,11.0,14.0,16.0,7.0,11.0,12.0,13.0,8.0,13.0,11.0,12.6,2.091
24,13.0,16.0,12.0,15.0,11.0,15.0,12.0,16.0,15.0,11.0,16.0,16.0,10.0,13.0,14.0,15.0,13.0,9.0,14.0,13.0,10.0,13.0,13.0,15.0,11.0,11.0,13.0,8.0,11.0,8.0,12.733,2.323
25,13.0,15.0,13.0,16.0,11.0,12.0,12.0,16.0,15.0,11.0,18.0,14.0,14.0,13.0,14.0,13.0,11.0,9.0,12.0,15.0,9.0,11.0,13.0,13.0,10.0,13.0,13.0,9.0,11.0,10.0,12.633,2.183
26,15.0,15.0,13.0,17.0,12.0,14.0,13.0,16.0,15.0,12.0,18.0,13.0,17.0,13.0,14.0,13.0,9.0,9.0,11.0,17.0,10.0,11.0,16.0,12.0,11.0,12.0,12.0,9.0,14.0,11.0,13.133,2.473
27,16.0,16.0,15.0,15.0,12.0,15.0,13.0,15.0,15.0,12.0,20.0,13.0,17.0,15.0,14.0,13.0,9.0,11.0,11.0,18.0,12.0,12.0,16.0,14.0,13.0,11.0,11.0,10.0,16.0,11.0,13.7,2.492
28,16.0,15.0,15.0,15.0,13.0,15.0,12.0,15.0,15.0,12.0,15.0,13.0,16.0,12.0,15.0,13.0,11.0,14.0,12.0,13.0,11.0,12.0,16.0,15.0,12.0,11.0,11.0,10.0,19.0,13.0,13.567,2.011
29,17.0,14.0,16.0,15.0,15.0,14.0,13.0,15.0,15.0,12.0,15.0,14.0,16.0,12.0,16.0,13.0,11.0,14.0,14.0,12.0,13.0,12.0,13.0,16.0,14.0,11.0,9.0,9.0,20.0,14.0,13.8,2.257
30,14.0,13.0,16.0,15.0,15.0,14.0,15.0,13.0,15.0,13.0,15.0,14.0,17.0,13.0,17.0,12.0,12.0,11.0,16.0,14.0,15.0,12.0,13.0,15.0,13.0,11.0,10.0,8.0,22.0,14.0,13.9,2.481
31,15.0,13.0,15.0,15.0,15.0,14.0,18.0,13.0,15.0,14.0,16.0,14.0,11.0,13.0,17.0,12.0,14.0,11.0,14.0,14.0,12.0,13.0,14.0,12.0,13.0,12.0,11.0,10.0,21.0,12.0,13.767,2.231
32,16.0,15.0,15.0,15.0,14.0,16.0,18.0,12.0,15.0,15.0,13.0,15.0,10.0,13.0,13.0,16.0,17.0,13.0,15.0,18.0,12.0,13.0,14.0,14.0,14.0,13.0,16.0,10.0,23.0,12.0,14.5,2.5
33,21.0,16.0,14.0,16.0,14.0,17.0,14.0,13.0,15.0,19.0,15.0,14.0,10.0,13.0,13.0,20.0,17.0,13.0,15.0,19.0,15.0,13.0,17.0,13.0,15.0,13.0,16.0,11.0,16.0,19.0,15.2,2.561
34,22.0,12.0,18.0,13.0,14.0,17.0,14.0,10.0,15.0,19.0,16.0,15.0,17.0,12.0,14.0,20.0,18.0,12.0,17.0,16.0,15.0,14.0,16.0,17.0,16.0,15.0,13.0,9.0,12.0,18.0,15.2,2.857
35,22.0,12.0,16.0,13.0,12.0,18.0,12.0,10.0,16.0,19.0,16.0,15.0,18.0,12.0,14.0,19.0,19.0,12.0,17.0,15.0,15.0,14.0,16.0,17.0,16.0,13.0,17.0,9.0,12.0,19.0,15.167,3.012
36,22.0,14.0,16.0,10.0,12.0,16.0,9.0,10.0,15.0,19.0,16.0,16.0,19.0,12.0,12.0,18.0,21.0,14.0,15.0,15.0,14.0,16.0,19.0,17.0,16.0,13.0,18.0,9.0,16.0,21.0,15.333,3.419
37,20.0,15.0,16.0,10.0,12.0,17.0,10.0,10.0,16.0,20.0,16.0,14.0,20.0,14.0,9.0,17.0,19.0,17.0,14.0,12.0,15.0,14.0,13.0,17.0,17.0,13.0,16.0,10.0,17.0,22.0,15.067,3.336
38,17.0,15.0,18.0,12.0,12.0,17.0,10.0,11.0,15.0,20.0,19.0,14.0,20.0,14.0,9.0,16.0,21.0,14.0,13.0,11.0,15.0,16.0,10.0,17.0,17.0,13.0,18.0,11.0,18.0,23.0,15.2,3.525
39,16.0,15.0,18.0,12.0,14.0,17.0,10.0,14.0,15.0,21.0,19.0,12.0,16.0,15.0,9.0,16.0,19.0,16.0,13.0,10.0,14.0,14.0,10.0,16.0,15.0,13.0,17.0,11.0,23.0,26.0,15.2,3.789
40,15.0,16.0,18.0,16.0,17.0,20.0,16.0,14.0,15.0,21.0,19.0,12.0,17.0,17.0,9.0,17.0,18.0,18.0,13.0,10.0,14.0,15.0,17.0,16.0,14.0,13.0,17.0,11.0,24.0,23.0,16.067,3.366
41,16.0,17.0,18.0,21.0,17.0,19.0,13.0,20.0,16.0,19.0,21.0,11.0,13.0,17.0,10.0,16.0,18.0,19.0,13.0,12.0,14.0,16.0,19.0,16.0,14.0,13.0,14.0,10.0,24.0,23.0,16.3,3.579
42,16.0,18.0,19.0,18.0,14.0,14.0,15.0,17.0,16.0,20.0,21.0,13.0,17.0,17.0,10.0,17.0,18.0,17.0,12.0,14.0,13.0,17.0,18.0,17.0,16.0,13.0,14.0,14.0,25.0,24.0,16.467,3.222
43,16.0,18.0,16.0,14.0,21.0,14.0,15.0,14.0,16.0,17.0,21.0,15.0,18.0,17.0,6.0,16.0,18.0,17.0,12.0,14.0,14.0,17.0,18.0,17.0,16.0,13.0,14.0,16.0,26.0,23.0,16.3,3.504
44,14.0,17.0,18.0,13.0,21.0,13.0,12.0,17.0,16.0,15.0,20.0,16.0,18.0,16.0,6.0,19.0,17.0,14.0,14.0,13.0,14.0,16.0,20.0,16.0,16.0,15.0,17.0,16.0,27.0,22.0,16.267,3.623
45,13.0,17.0,14.0,13.0,20.0,12.0,13.0,14.0,20.0,14.0,20.0,16.0,18.0,13.0,7.0,17.0,17.0,17.0,15.0,14.0,18.0,16.0,20.0,16.0,16.0,14.0,17.0,15.0,26.0,24.0,16.2,3.628
46,12.0,16.0,14.0,18.0,20.0,12.0,15.0,12.0,19.0,13.0,15.0,10.0,21.0,14.0,15.0,17.0,17.0,18.0,13.0,16.0,20.0,16.0,21.0,15.0,17.0,14.0,18.0,16.0,24.0,25.0,16.433,3.48
47,12.0,16.0,14.0,17.0,20.0,12.0,17.0,16.0,21.0,13.0,15.0,10.0,16.0,15.0,15.0,17.0,17.0,17.0,13.0,18.0,17.0,16.0,19.0,13.0,17.0,13.0,22.0,18.0,24.0,23.0,16.433,3.263
48,12.0,15.0,14.0,17.0,16.0,13.0,14.0,16.0,20.0,17.0,14.0,12.0,13.0,12.0,15.0,16.0,17.0,17.0,13.0,17.0,16.0,16.0,21.0,14.0,14.0,16.0,25.0,18.0,20.0,20.0,16.0,2.944
49,12.0,16.0,16.0,16.0,15.0,16.0,14.0,15.0,20.0,13.0,16.0,9.0,15.0,13.0,17.0,15.0,16.0,17.0,13.0,20.0,16.0,17.0,18.0,17.0,13.0,16.0,25.0,19.0,19.0,15.0,15.967,2.881
50,12.0,18.0,18.0,16.0,15.0,15.0,16.0,15.0,20.0,13.0,13.0,9.0,16.0,12.0,14.0,16.0,16.0,19.0,12.0,23.0,16.0,15.0,13.0,13.0,13.0,19.0,16.0,16.0,17.0,15.0,15.367,2.775
51,12.0,20.0,15.0,13.0,15.0,15.0,15.0,13.0,18.0,15.0,13.0,11.0,16.0,11.0,14.0,16.0,17.0,20.0,10.0,25.0,19.0,18.0,11.0,12.0,13.0,15.0,13.0,16.0,18.0,17.0,15.2,3.239
52,12.0,21.0,15.0,12.0,14.0,15.0,17.0,10.0,18.0,13.0,13.0,11.0,16.0,12.0,13.0,16.0,20.0,20.0,14.0,26.0,20.0,23.0,13.0,14.0,16.0,14.0,16.0,14.0,22.0,17.0,15.9,3.789
53,17.0,21.0,12.0,12.0,14.0,15.0,15.0,9.0,20.0,13.0,17.0,16.0,18.0,9.0,14.0,14.0,17.0,22.0,17.0,24.0,19.0,17.0,14.0,14.0,19.0,13.0,15.0,14.0,23.0,16.0,16.0,3.615
54,17.0,21.0,11.0,14.0,14.0,12.0,15.0,11.0,23.0,14.0,18.0,16.0,21.0,9.0,11.0,16.0,16.0,22.0,16.0,29.0,16.0,16.0,14.0,9.0,19.0,16.0,16.0,14.0,25.0,14.0,16.167,4.517
55,17.0,21.0,10.0,17.0,10.0,12.0,18.0,15.0,24.0,17.0,16.0,16.0,16.0,13.0,10.0,16.0,16.0,22.0,14.0,28.0,14.0,14.0,16.0,12.0,17.0,15.0,18.0,14.0,23.0,20.0,16.367,4.119
56,22.0,21.0,11.0,16.0,10.0,15.0,17.0,11.0,16.0,23.0,16.0,16.0,16.0,14.0,17.0,16.0,16.0,20.0,16.0,21.0,14.0,16.0,17.0,17.0,14.0,16.0,17.0,14.0,20.0,18.0,16.433,3.019
57,18.0,23.0,13.0,14.0,11.0,15.0,17.0,10.0,19.0,23.0,19.0,14.0,18.0,14.0,16.0,16.0,18.0,17.0,15.0,18.0,13.0,16.0,17.0,22.0,13.0,15.0,17.0,14.0,24.0,18.0,16.567,3.353
58,20.0,21.0,12.0,16.0,11.0,15.0,19.0,11.0,19.0,25.0,20.0,12.0,18.0,14.0,20.0,16.0,20.0,18.0,17.0,18.0,13.0,19.0,16.0,20.0,12.0,15.0,17.0,13.0,22.0,13.0,16.733,3.549
