Generations,Run0,Run1,Run2,Run3,Run4,Run5,Run6,Run7,Run8,Run9,Run10,Run11,Run12,Run13,Run14,Run15,Run16,Run17,Run18,Run19,Run20,Run21,Run22,Run23,Run24,Run25,Run26,Run27,Run28,Run29,ABF,StdDev
0,8.0,15.0,10.0,11.0,11.0,8.0,11.0,11.0,14.0,10.0,8.0,12.0,8.0,11.0,11.0,10.0,11.0,13.0,12.0,14.0,11.0,10.0,9.0,11.0,12.0,11.0,12.0,9.0,11.0,9.0,10.8,1.759
1,11.0,13.0,11.0,10.0,11.0,7.0,11.0,11.0,13.0,13.0,9.0,11.0,7.0,10.0,11.0,13.0,11.0,12.0,10.0,14.0,7.0,9.0,8.0,10.0,10.0,12.0,12.0,10.0,12.0,6.0,10.5,1.979
2,6.0,13.0,9.0,10.0,8.0,6.0,11.0,11.0,13.0,12.0,9.0,11.0,5.0,10.0,9.0,12.0,11.0,13.0,9.0,12.0,7.0,8.0,8.0,11.0,12.0,13.0,12.0,11.0,12.0,8.0,10.067,2.25
3,6.0,13.0,9.0,10.0,8.0,6.0,12.0,11.0,12.0,12.0,8.0,11.0,5.0,10.0,9.0,12.0,11.0,12.0,9.0,12.0,7.0,6.0,7.0,11.0,10.0,12.0,12.0,9.0,12.0,6.0,9.667,2.343
4,6.0,13.0,9.0,10.0,8.0,6.0,11.0,11.0,13.0,12.0,8.0,11.0,5.0,11.0,10.0,13.0,11.0,12.0,9.0,12.0,7.0,6.0,7.0,9.0,11.0,12.0,11.0,9.0,12.0,6.0,9.7,2.383
5,6.0,13.0,9.0,10.0,8.0,5.0,12.0,10.0,11.0,12.0,7.0,10.0,5.0,10.0,9.0,12.0,11.0,12.0,9.0,11.0,7.0,6.0,6.0,11.0,10.0,12.0,12.0,10.0,11.0,6.0,9.433,2.362
6,6.0,13.0,10.0,10.0,8.0,5.0,11.0,11.0,13.0,12.0,8.0,10.0,5.0,10.0,8.0,12.0,11.0,12.0,9.0,11.0,7.0,4.0,6.0,10.0,10.0,11.0,11.0,9.0,12.0,6.0,9.367,2.483
7,6.0,13.0,10.0,10.0,8.0,5.0,12.0,11.0,11.0,12.0,7.0,10.0,5.0,10.0,8.0,13.0,11.0,12.0,9.0,12.0,7.0,4.0,6.0,11.0,11.0,11.0,11.0,9.0,12.0,6.0,9.433,2.565
8,5.0,13.0,9.0,10.0,7.0,5.0,11.0,11.0,11.0,11.0,7.0,11.0,4.0,10.0,7.0,12.0,11.0,12.0,9.0,11.0,7.0,4.0,6.0,11.0,12.0,11.0,11.0,9.0,12.0,6.0,9.2,2.638
9,5.0,12.0,9.0,10.0,7.0,5.0,12.0,11.0,10.0,12.0,7.0,11.0,4.0,10.0,7.0,13.0,10.0,12.0,9.0,11.0,7.0,4.0,6.0,11.0,10.0,11.0,10.0,9.0,12.0,6.0,9.1,2.599
10,5.0,12.0,9.0,10.0,7.0,5.0,11.0,11.0,10.0,12.0,8.0,10.0,4.0,10.0,7.0,11.0,10.0,11.0,9.0,12.0,6.0,4.0,6.0,11.0,10.0,11.0,9.0,9.0,12.0,6.0,8.933,2.476
11,5.0,12.0,9.0,10.0,7.0,5.0,11.0,11.0,12.0,11.0,7.0,10.0,4.0,10.0,8.0,12.0,10.0,12.0,8.0,11.0,6.0,4.0,6.0,11.0,10.0,11.0,9.0,10.0,12.0,6.0,9.0,2.543
12,5.0,12.0,9.0,10.0,7.0,5.0,10.0,10.0,11.0,10.0,8.0,10.0,4.0,10.0,8.0,12.0,10.0,11.0,8.0,12.0,7.0,4.0,6.0,11.0,9.0,10.0,9.0,10.0,12.0,6.0,8.867,2.363
13,5.0,12.0,8.0,9.0,7.0,5.0,10.0,11.0,11.0,10.0,8.0,10.0,4.0,10.0,8.0,10.0,10.0,11.0,8.0,12.0,7.0,4.0,6.0,11.0,9.0,10.0,9.0,9.0,12.0,6.0,8.733,2.308
14,5.0,10.0,9.0,9.0,7.0,5.0,10.0,11.0,11.0,10.0,8.0,10.0,4.0,10.0,7.0,10.0,11.0,11.0,8.0,12.0,7.0,4.0,4.0,11.0,8.0,10.0,10.0,10.0,11.0,6.0,8.633,2.373
15,5.0,11.0,9.0,10.0,7.0,5.0,10.0,10.0,12.0,11.0,7.0,10.0,4.0,10.0,8.0,12.0,11.0,11.0,8.0,11.0,7.0,4.0,5.0,11.0,8.0,8.0,10.0,8.0,11.0,6.0,8.667,2.399
16,5.0,10.0,8.0,10.0,7.0,5.0,11.0,11.0,12.0,11.0,6.0,8.0,4.0,10.0,7.0,9.0,10.0,11.0,8.0,10.0,6.0,4.0,6.0,11.0,9.0,11.0,9.0,8.0,11.0,6.0,8.467,2.334
17,5.0,13.0,8.0,10.0,6.0,4.0,10.0,11.0,12.0,11.0,6.0,8.0,4.0,10.0,7.0,12.0,10.0,11.0,8.0,10.0,6.0,3.0,5.0,11.0,8.0,10.0,9.0,8.0,10.0,6.0,8.4,2.641
18,5.0,12.0,8.0,10.0,5.0,3.0,10.0,11.0,12.0,10.0,6.0,8.0,4.0,10.0,7.0,12.0,10.0,11.0,8.0,10.0,7.0,3.0,6.0,11.0,8.0,10.0,9.0,8.0,10.0,6.0,8.333,2.599
19,5.0,10.0,9.0,10.0,5.0,5.0,10.0,11.0,12.0,10.0,6.0,8.0,4.0,10.0,7.0,12.0,8.0,11.0,7.0,8.0,6.0,3.0,6.0,11.0,8.0,11.0,9.0,8.0,10.0,6.0,8.2,2.441
20,5.0,12.0,9.0,10.0,5.0,5.0,10.0,11.0,12.0,10.0,6.0,8.0,4.0,10.0,7.0,11.0,8.0,10.0,7.0,8.0,7.0,2.0,6.0,10.0,8.0,10.0,9.0,8.0,10.0,6.0,8.133,2.432
21,5.0,12.0,8.0,10.0,5.0,4.0,10.0,11.0,12.0,10.0,6.0,8.0,1.0,10.0,7.0,11.0,8.0,10.0,7.0,10.0,7.0,1.0,6.0,10.0,8.0,9.0,9.0,8.0,10.0,6.0,7.967,2.775
22,5.0,10.0,9.0,10.0,5.0,4.0,10.0,11.0,10.0,10.0,6.0,8.0,3.0,10.0,7.0,11.0,8.0,11.0,7.0,10.0,7.0,1.0,5.0,10.0,8.0,9.0,9.0,8.0,9.0,5.0,7.867,2.553
23,5.0,11.0,8.0,10.0,5.0,4.0,11.0,11.0,11.0,10.0,6.0,8.0,1.0,10.0,7.0,11.0,8.0,9.0,7.0,10.0,7.0,1.0,5.0,10.0,8.0,10.0,9.0,8.0,9.0,5.0,7.833,2.758
24,5.0,12.0,8.0,10.0,5.0,4.0,11.0,11.0,11.0,10.0,6.0,8.0,1.0,10.0,7.0,11.0,8.0,9.0,7.0,11.0,7.0,1.0,5.0,10.0,7.0,10.0,9.0,8.0,9.0,5.0,7.867,2.837
25,5.0,11.0,8.0,10.0,5.0,4.0,11.0,11.0,11.0,10.0,6.0,8.0,1.0,9.0,6.0,12.0,8.0,9.0,7.0,10.0,6.0,1.0,5.0,10.0,7.0,10.0,9.0,8.0,9.0,5.0,7.733,2.816
26,4.0,11.0,8.0,10.0,5.0,4.0,11.0,11.0,11.0,10.0,6.0,8.0,1.0,10.0,6.0,11.0,8.0,9.0,7.0,10.0,7.0,1.0,5.0,10.0,7.0,10.0,9.0,8.0,9.0,5.0,7.733,2.816
27,4.0,11.0,8.0,10.0,4.0,4.0,9.0,11.0,11.0,8.0,4.0,7.0,1.0,10.0,5.0,11.0,8.0,9.0,7.0,10.0,7.0,1.0,5.0,10.0,7.0,10.0,8.0,8.0,8.0,5.0,7.367,2.822
28,4.0,11.0,8.0,10.0,5.0,4.0,8.0,10.0,11.0,8.0,4.0,6.0,1.0,10.0,5.0,11.0,8.0,9.0,7.0,10.0,7.0,1.0,5.0,10.0,7.0,9.0,9.0,8.0,8.0,5.0,7.3,2.734
29,4.0,11.0,8.0,10.0,4.0,4.0,9.0,10.0,11.0,9.0,4.0,6.0,1.0,10.0,5.0,10.0,8.0,8.0,7.0,10.0,7.0,1.0,5.0,10.0,7.0,9.0,9.0,8.0,8.0,5.0,7.267,2.744
30,4.0,9.0,8.0,9.0,4.0,4.0,7.0,10.0,12.0,8.0,4.0,7.0,1.0,10.0,5.0,10.0,8.0,8.0,7.0,10.0,7.0,1.0,5.0,10.0,7.0,9.0,10.0,7.0,8.0,5.0,7.133,2.68
31,4.0,9.0,8.0,9.0,4.0,4.0,7.0,10.0,11.0,8.0,4.0,7.0,1.0,8.0,5.0,10.0,8.0,7.0,7.0,10.0,7.0,1.0,5.0,10.0,7.0,9.0,9.0,7.0,8.0,5.0,6.967,2.536
32,4.0,9.0,7.0,9.0,4.0,4.0,7.0,10.0,11.0,8.0,4.0,7.0,1.0,9.0,5.0,11.0,7.0,8.0,7.0,10.0,7.0,1.0,5.0,10.0,7.0,9.0,10.0,7.0,8.0,5.0,7.033,2.627
33,5.0,9.0,8.0,9.0,4.0,4.0,8.0,8.0,11.0,8.0,4.0,6.0,1.0,8.0,5.0,10.0,8.0,8.0,6.0,10.0,7.0,1.0,5.0,10.0,7.0,9.0,10.0,7.0,9.0,5.0,7.0,2.53
34,5.0,9.0,8.0,9.0,4.0,4.0,7.0,7.0,10.0,8.0,4.0,6.0,1.0,8.0,5.0,10.0,8.0,8.0,6.0,10.0,6.0,1.0,5.0,9.0,7.0,9.0,10.0,7.0,9.0,5.0,6.833,2.437
35,5.0,9.0,7.0,8.0,3.0,4.0,7.0,7.0,11.0,8.0,4.0,6.0,1.0,9.0,5.0,10.0,7.0,7.0,6.0,10.0,6.0,1.0,5.0,9.0,7.0,9.0,10.0,7.0,8.0,5.0,6.7,2.479
36,5.0,9.0,7.0,7.0,3.0,4.0,7.0,8.0,11.0,8.0,4.0,6.0,1.0,9.0,5.0,10.0,6.0,7.0,6.0,9.0,6.0,1.0,4.0,10.0,7.0,9.0,10.0,7.0,7.0,5.0,6.6,2.498
37,4.0,9.0,7.0,7.0,3.0,4.0,7.0,7.0,8.0,8.0,4.0,6.0,1.0,9.0,5.0,10.0,6.0,8.0,6.0,9.0,7.0,1.0,4.0,9.0,7.0,9.0,10.0,7.0,7.0,5.0,6.467,2.363
38,4.0,8.0,6.0,7.0,2.0,4.0,7.0,7.0,10.0,8.0,4.0,6.0,1.0,9.0,5.0,10.0,6.0,8.0,6.0,9.0,7.0,1.0,4.0,9.0,7.0,8.0,10.0,7.0,7.0,5.0,6.4,2.43
39,4.0,8.0,7.0,7.0,2.0,4.0,6.0,7.0,10.0,7.0,4.0,6.0,1.0,9.0,5.0,10.0,6.0,8.0,6.0,7.0,7.0,1.0,5.0,9.0,6.0,8.0,10.0,7.0,7.0,5.0,6.3,2.34
40,4.0,8.0,6.0,7.0,2.0,3.0,7.0,7.0,8.0,7.0,4.0,6.0,1.0,9.0,5.0,10.0,7.0,6.0,5.0,7.0,7.0,1.0,5.0,9.0,6.0,8.0,10.0,7.0,7.0,5.0,6.133,2.291
41,4.0,8.0,5.0,7.0,2.0,3.0,6.0,7.0,8.0,7.0,3.0,6.0,1.0,9.0,5.0,10.0,7.0,6.0,5.0,7.0,7.0,1.0,5.0,9.0,6.0,8.0,10.0,7.0,7.0,5.0,6.033,2.331
42,4.0,6.0,5.0,7.0,2.0,4.0,6.0,7.0,8.0,7.0,3.0,6.0,1.0,9.0,5.0,10.0,6.0,8.0,5.0,7.0,6.0,1.0,5.0,9.0,6.0,8.0,10.0,7.0,7.0,5.0,6.0,2.28
43,4.0,6.0,5.0,7.0,2.0,4.0,6.0,7.0,8.0,7.0,3.0,6.0,1.0,9.0,5.0,10.0,5.0,7.0,5.0,7.0,6.0,1.0,5.0,9.0,6.0,8.0,10.0,7.0,7.0,4.0,5.9,2.285
44,4.0,8.0,5.0,7.0,2.0,4.0,6.0,7.0,8.0,7.0,3.0,6.0,0.0,9.0,4.0,10.0,5.0,7.0,5.0,7.0,6.0,1.0,5.0,9.0,6.0,8.0,8.0,6.0,7.0,5.0,5.833,2.296
45,4.0,8.0,5.0,7.0,2.0,4.0,5.0,7.0,8.0,7.0,3.0,6.0,0.0,9.0,4.0,10.0,5.0,7.0,5.0,7.0,6.0,1.0,5.0,9.0,6.0,8.0,9.0,6.0,8.0,5.0,5.867,2.363
46,4.0,8.0,5.0,7.0,2.0,4.0,6.0,5.0,8.0,7.0,3.0,6.0,0.0,9.0,4.0,10.0,5.0,7.0,5.0,7.0,6.0,1.0,5.0,9.0,7.0,8.0,9.0,6.0,7.0,5.0,5.833,2.339
47,4.0,8.0,5.0,7.0,2.0,4.0,5.0,5.0,8.0,7.0,3.0,6.0,0.0,9.0,4.0,10.0,5.0,7.0,5.0,7.0,6.0,1.0,5.0,9.0,7.0,8.0,8.0,6.0,8.0,5.0,5.8,2.33
48,2.0,8.0,5.0,7.0,2.0,4.0,5.0,4.0,8.0,7.0,3.0,6.0,0.0,9.0,4.0,9.0,5.0,7.0,5.0,7.0,6.0,1.0,5.0,9.0,7.0,8.0,8.0,6.0,7.0,5.0,5.633,2.345
49,2.0,7.0,5.0,7.0,2.0,4.0,5.0,5.0,8.0,7.0,3.0,6.0,0.0,9.0,4.0,10.0,5.0,7.0,5.0,7.0,6.0,1.0,4.0,9.0,7.0,8.0,8.0,6.0,7.0,5.0,5.633,2.373
50,2.0,7.0,5.0,7.0,2.0,4.0,5.0,4.0,8.0,7.0,2.0,6.0,0.0,9.0,4.0,10.0,5.0,7.0,5.0,7.0,7.0,1.0,4.0,9.0,6.0,8.0,8.0,6.0,7.0,5.0,5.567,2.432
51,2.0,7.0,5.0,6.0,2.0,4.0,5.0,4.0,8.0,7.0,3.0,6.0,0.0,8.0,3.0,10.0,5.0,7.0,5.0,7.0,7.0,1.0,3.0,9.0,7.0,8.0,8.0,6.0,6.0,5.0,5.467,2.391
52,2.0,7.0,5.0,6.0,2.0,4.0,5.0,4.0,8.0,7.0,3.0,4.0,0.0,8.0,3.0,10.0,5.0,7.0,5.0,7.0,6.0,1.0,4.0,9.0,7.0,8.0,8.0,6.0,6.0,5.0,5.4,2.361
