Generations,Run0,Run1,Run2,Run3,Run4,Run5,Run6,Run7,Run8,Run9,Run10,Run11,Run12,Run13,Run14,Run15,Run16,Run17,Run18,Run19,Run20,Run21,Run22,Run23,Run24,Run25,Run26,Run27,Run28,Run29,ABF,StdDev
0,11.0,9.0,11.0,11.0,10.0,12.0,12.0,9.0,9.0,11.0,11.0,11.0,7.0,11.0,9.0,9.0,12.0,9.0,10.0,11.0,11.0,10.0,11.0,11.0,10.0,11.0,9.0,11.0,9.0,8.0,10.2,1.222
1,9.0,8.0,8.0,12.0,11.0,12.0,12.0,8.0,9.0,11.0,10.0,13.0,6.0,9.0,10.0,8.0,11.0,11.0,8.0,13.0,11.0,10.0,11.0,8.0,10.0,10.0,8.0,9.0,10.0,6.0,9.733,1.806
2,9.0,9.0,9.0,11.0,9.0,11.0,11.0,9.0,10.0,12.0,10.0,9.0,7.0,9.0,8.0,10.0,11.0,10.0,8.0,13.0,9.0,10.0,9.0,8.0,9.0,11.0,8.0,10.0,10.0,5.0,9.467,1.522
3,10.0,9.0,9.0,11.0,9.0,11.0,12.0,7.0,10.0,12.0,10.0,10.0,8.0,8.0,8.0,9.0,11.0,10.0,9.0,10.0,9.0,10.0,10.0,8.0,10.0,13.0,8.0,11.0,12.0,5.0,9.633,1.643
4,11.0,9.0,10.0,8.0,10.0,9.0,12.0,9.0,9.0,11.0,11.0,9.0,8.0,8.0,8.0,8.0,11.0,10.0,9.0,11.0,9.0,9.0,9.0,8.0,10.0,10.0,8.0,7.0,12.0,5.0,9.267,1.504
5,11.0,9.0,10.0,10.0,10.0,9.0,14.0,9.0,9.0,12.0,11.0,7.0,8.0,12.0,8.0,9.0,10.0,7.0,11.0,7.0,9.0,9.0,9.0,12.0,10.0,10.0,8.0,11.0,11.0,5.0,9.567,1.82
6,11.0,8.0,11.0,10.0,8.0,9.0,13.0,9.0,9.0,12.0,11.0,7.0,9.0,12.0,10.0,13.0,11.0,7.0,11.0,9.0,9.0,8.0,8.0,11.0,10.0,11.0,10.0,9.0,11.0,14.0,10.033,1.741
7,12.0,8.0,13.0,10.0,8.0,9.0,12.0,10.0,9.0,12.0,11.0,7.0,10.0,11.0,8.0,10.0,11.0,10.0,12.0,9.0,12.0,8.0,9.0,10.0,9.0,11.0,10.0,9.0,13.0,15.0,10.267,1.788
8,11.0,11.0,13.0,11.0,10.0,9.0,12.0,10.0,9.0,12.0,10.0,7.0,10.0,12.0,6.0,10.0,12.0,11.0,11.0,8.0,12.0,8.0,10.0,12.0,9.0,10.0,11.0,7.0,13.0,15.0,10.4,1.943
9,9.0,11.0,13.0,13.0,8.0,10.0,12.0,12.0,10.0,11.0,11.0,9.0,10.0,11.0,7.0,10.0,12.0,14.0,13.0,9.0,13.0,9.0,9.0,11.0,11.0,13.0,11.0,9.0,12.0,10.0,10.767,1.687
10,12.0,11.0,14.0,14.0,8.0,13.0,12.0,11.0,9.0,11.0,10.0,7.0,10.0,10.0,7.0,11.0,10.0,9.0,13.0,10.0,13.0,9.0,10.0,10.0,11.0,11.0,12.0,9.0,11.0,11.0,10.633,1.76
11,11.0,11.0,13.0,12.0,10.0,11.0,8.0,12.0,7.0,10.0,10.0,7.0,10.0,9.0,12.0,11.0,11.0,13.0,14.0,12.0,13.0,9.0,10.0,12.0,11.0,13.0,10.0,9.0,12.0,10.0,10.767,1.726
12,11.0,10.0,12.0,12.0,10.0,14.0,8.0,11.0,9.0,10.0,10.0,8.0,10.0,9.0,10.0,11.0,11.0,13.0,11.0,12.0,14.0,12.0,9.0,12.0,12.0,11.0,10.0,11.0,13.0,10.0,10.867,1.522
13,10.0,5.0,13.0,12.0,10.0,13.0,9.0,12.0,9.0,11.0,10.0,9.0,11.0,12.0,7.0,11.0,12.0,14.0,11.0,12.0,13.0,15.0,12.0,12.0,14.0,11.0,10.0,11.0,12.0,11.0,11.133,2.012
14,8.0,6.0,12.0,12.0,10.0,11.0,10.0,13.0,8.0,11.0,10.0,9.0,11.0,9.0,7.0,11.0,13.0,14.0,11.0,12.0,14.0,14.0,12.0,12.0,14.0,11.0,12.0,11.0,12.0,14.0,11.133,2.077
15,8.0,10.0,12.0,11.0,10.0,9.0,10.0,13.0,11.0,11.0,13.0,11.0,11.0,11.0,7.0,11.0,17.0,11.0,11.0,13.0,11.0,14.0,12.0,12.0,14.0,11.0,13.0,11.0,13.0,8.0,11.333,1.955
16,8.0,10.0,13.0,11.0,10.0,9.0,13.0,13.0,11.0,15.0,13.0,11.0,12.0,14.0,11.0,12.0,17.0,10.0,12.0,14.0,12.0,14.0,11.0,8.0,13.0,10.0,13.0,11.0,13.0,8.0,11.733,2.081
17,8.0,10.0,13.0,11.0,9.0,10.0,11.0,13.0,13.0,15.0,14.0,11.0,11.0,18.0,11.0,12.0,13.0,11.0,12.0,10.0,10.0,18.0,13.0,8.0,14.0,10.0,13.0,11.0,13.0,10.0,11.867,2.363
18,9.0,12.0,12.0,11.0,9.0,14.0,13.0,13.0,12.0,16.0,14.0,11.0,10.0,14.0,16.0,12.0,12.0,17.0,10.0,9.0,11.0,14.0,14.0,7.0,15.0,12.0,11.0,11.0,13.0,11.0,12.167,2.267
19,9.0,12.0,12.0,11.0,9.0,14.0,13.0,13.0,12.0,15.0,10.0,11.0,10.0,14.0,14.0,13.0,12.0,16.0,10.0,13.0,11.0,14.0,14.0,10.0,14.0,12.0,11.0,12.0,11.0,9.0,12.033,1.835
20,8.0,12.0,14.0,14.0,9.0,14.0,13.0,12.0,11.0,13.0,13.0,13.0,11.0,13.0,18.0,12.0,13.0,15.0,12.0,14.0,12.0,14.0,12.0,12.0,15.0,10.0,13.0,12.0,13.0,9.0,12.533,1.945
21,8.0,12.0,13.0,13.0,13.0,14.0,14.0,13.0,11.0,13.0,12.0,13.0,11.0,16.0,17.0,13.0,17.0,15.0,15.0,12.0,13.0,16.0,12.0,11.0,15.0,13.0,13.0,10.0,12.0,9.0,12.967,2.089
22,8.0,14.0,13.0,14.0,15.0,14.0,12.0,12.0,11.0,11.0,14.0,11.0,14.0,16.0,23.0,12.0,15.0,16.0,12.0,12.0,14.0,12.0,14.0,11.0,13.0,11.0,12.0,10.0,12.0,14.0,13.067,2.555
23,8.0,15.0,14.0,13.0,14.0,10.0,11.0,8.0,11.0,14.0,13.0,12.0,12.0,14.0,14.0,8.0,16.0,17.0,12.0,12.0,12.0,13.0,13.0,11.0,13.0,14.0,10.0,10.0,16.0,19.0,12.633,2.549
24,8.0,15.0,14.0,11.0,8.0,9.0,13.0,11.0,14.0,10.0,13.0,14.0,13.0,14.0,14.0,8.0,16.0,18.0,16.0,13.0,11.0,13.0,13.0,12.0,13.0,12.0,13.0,9.0,14.0,22.0,12.8,2.96
