Generations,Run0,Run1,Run2,Run3,Run4,Run5,Run6,Run7,Run8,Run9,Run10,Run11,Run12,Run13,Run14,Run15,Run16,Run17,Run18,Run19,Run20,Run21,Run22,Run23,Run24,Run25,Run26,Run27,Run28,Run29,ABF,StdDev
0,10.0,10.0,10.0,11.0,12.0,13.0,10.0,12.0,9.0,11.0,11.0,11.0,9.0,12.0,9.0,12.0,8.0,11.0,12.0,11.0,12.0,11.0,12.0,9.0,11.0,12.0,9.0,11.0,11.0,13.0,10.833,1.267
1,10.0,9.0,10.0,12.0,8.0,9.0,8.0,10.0,11.0,11.0,10.0,11.0,9.0,12.0,9.0,12.0,9.0,10.0,12.0,11.0,10.0,11.0,12.0,10.0,7.0,9.0,9.0,9.0,11.0,11.0,10.067,1.315
2,7.0,9.0,9.0,10.0,10.0,11.0,10.0,9.0,10.0,11.0,10.0,10.0,10.0,11.0,9.0,12.0,8.0,10.0,6.0,11.0,10.0,12.0,12.0,7.0,8.0,12.0,11.0,11.0,12.0,9.0,9.9,1.557
3,11.0,9.0,10.0,10.0,10.0,10.0,11.0,8.0,9.0,7.0,7.0,10.0,8.0,11.0,9.0,12.0,10.0,9.0,6.0,10.0,9.0,11.0,11.0,11.0,9.0,11.0,12.0,9.0,11.0,9.0,9.667,1.445
4,11.0,11.0,10.0,10.0,10.0,8.0,8.0,8.0,8.0,7.0,12.0,10.0,9.0,8.0,9.0,10.0,8.0,12.0,6.0,10.0,9.0,9.0,10.0,12.0,9.0,11.0,11.0,9.0,8.0,10.0,9.433,1.476
5,11.0,8.0,11.0,8.0,9.0,10.0,9.0,9.0,8.0,10.0,9.0,10.0,11.0,9.0,12.0,10.0,10.0,11.0,9.0,12.0,11.0,7.0,9.0,10.0,5.0,12.0,9.0,10.0,8.0,9.0,9.533,1.522
6,10.0,10.0,8.0,8.0,9.0,10.0,9.0,9.0,9.0,7.0,10.0,10.0,10.0,9.0,9.0,10.0,10.0,10.0,9.0,10.0,8.0,11.0,8.0,11.0,10.0,10.0,7.0,10.0,10.0,11.0,9.4,1.052
7,10.0,7.0,7.0,10.0,9.0,10.0,9.0,11.0,9.0,8.0,11.0,7.0,9.0,7.0,9.0,12.0,11.0,8.0,9.0,9.0,10.0,11.0,8.0,9.0,9.0,11.0,7.0,8.0,9.0,5.0,8.967,1.56
8,10.0,8.0,9.0,9.0,8.0,8.0,10.0,10.0,8.0,9.0,9.0,10.0,10.0,10.0,11.0,10.0,10.0,10.0,8.0,10.0,11.0,11.0,10.0,9.0,10.0,11.0,7.0,9.0,9.0,5.0,9.3,1.295
9,8.0,8.0,10.0,10.0,8.0,8.0,9.0,8.0,9.0,10.0,9.0,7.0,10.0,8.0,11.0,10.0,11.0,10.0,9.0,8.0,8.0,9.0,9.0,9.0,9.0,7.0,8.0,9.0,9.0,4.0,8.733,1.34
10,8.0,8.0,9.0,11.0,11.0,7.0,9.0,8.0,8.0,8.0,9.0,6.0,8.0,8.0,11.0,9.0,12.0,10.0,8.0,9.0,9.0,10.0,9.0,10.0,7.0,7.0,8.0,8.0,10.0,6.0,8.7,1.441
11,9.0,6.0,8.0,10.0,11.0,10.0,9.0,10.0,9.0,9.0,9.0,8.0,12.0,8.0,9.0,9.0,9.0,10.0,11.0,9.0,10.0,7.0,12.0,9.0,9.0,9.0,11.0,6.0,8.0,6.0,9.067,1.526
12,8.0,6.0,8.0,9.0,11.0,9.0,7.0,11.0,10.0,9.0,8.0,8.0,10.0,8.0,9.0,10.0,10.0,9.0,10.0,9.0,9.0,9.0,10.0,9.0,8.0,8.0,9.0,6.0,9.0,5.0,8.7,1.37
13,7.0,7.0,10.0,10.0,11.0,8.0,9.0,10.0,9.0,8.0,9.0,10.0,9.0,7.0,11.0,8.0,11.0,10.0,5.0,9.0,9.0,9.0,8.0,10.0,10.0,8.0,7.0,7.0,9.0,9.0,8.8,1.4
14,9.0,10.0,7.0,8.0,8.0,9.0,8.0,8.0,10.0,10.0,8.0,9.0,10.0,5.0,11.0,8.0,10.0,9.0,4.0,9.0,9.0,8.0,8.0,9.0,10.0,7.0,9.0,7.0,8.0,9.0,8.467,1.454
15,9.0,10.0,7.0,8.0,8.0,11.0,9.0,8.0,10.0,11.0,7.0,8.0,9.0,7.0,9.0,8.0,10.0,9.0,5.0,9.0,8.0,8.0,10.0,9.0,10.0,7.0,7.0,8.0,10.0,7.0,8.533,1.36
16,9.0,11.0,7.0,9.0,9.0,10.0,8.0,8.0,11.0,11.0,10.0,10.0,10.0,7.0,10.0,8.0,9.0,10.0,3.0,9.0,9.0,8.0,11.0,7.0,10.0,7.0,7.0,8.0,10.0,4.0,8.667,1.886
17,8.0,11.0,8.0,8.0,8.0,10.0,6.0,8.0,8.0,10.0,10.0,9.0,11.0,8.0,8.0,8.0,9.0,9.0,2.0,7.0,7.0,8.0,8.0,10.0,10.0,6.0,8.0,8.0,9.0,5.0,8.167,1.79
18,7.0,10.0,10.0,9.0,5.0,9.0,9.0,9.0,10.0,11.0,9.0,7.0,10.0,11.0,8.0,9.0,9.0,9.0,2.0,8.0,7.0,7.0,10.0,11.0,11.0,7.0,8.0,8.0,9.0,5.0,8.467,1.979
19,8.0,10.0,10.0,8.0,9.0,9.0,7.0,8.0,7.0,11.0,9.0,7.0,10.0,10.0,10.0,8.0,6.0,9.0,2.0,7.0,7.0,7.0,5.0,10.0,11.0,9.0,8.0,8.0,10.0,8.0,8.267,1.861
20,8.0,11.0,9.0,9.0,9.0,9.0,6.0,8.0,9.0,11.0,11.0,7.0,8.0,10.0,11.0,7.0,11.0,9.0,5.0,7.0,8.0,9.0,8.0,10.0,9.0,10.0,8.0,8.0,9.0,10.0,8.8,1.492
21,8.0,9.0,9.0,9.0,8.0,11.0,6.0,9.0,9.0,12.0,10.0,9.0,8.0,13.0,9.0,8.0,9.0,8.0,4.0,5.0,9.0,8.0,5.0,11.0,7.0,11.0,9.0,10.0,10.0,11.0,8.8,1.99
22,9.0,9.0,9.0,8.0,10.0,9.0,6.0,8.0,5.0,13.0,11.0,8.0,10.0,12.0,9.0,9.0,9.0,10.0,8.0,7.0,7.0,9.0,6.0,11.0,7.0,12.0,10.0,7.0,6.0,9.0,8.767,1.892
23,10.0,9.0,10.0,10.0,6.0,9.0,7.0,8.0,8.0,10.0,12.0,11.0,7.0,13.0,9.0,10.0,9.0,7.0,11.0,10.0,8.0,9.0,7.0,10.0,8.0,13.0,10.0,6.0,10.0,8.0,9.167,1.79
24,7.0,9.0,8.0,10.0,7.0,9.0,9.0,8.0,10.0,9.0,10.0,9.0,7.0,12.0,10.0,10.0,9.0,8.0,10.0,10.0,8.0,10.0,7.0,11.0,8.0,12.0,11.0,6.0,10.0,7.0,9.033,1.516
25,7.0,12.0,8.0,10.0,7.0,6.0,9.0,10.0,11.0,9.0,10.0,7.0,8.0,9.0,7.0,10.0,9.0,10.0,8.0,9.0,9.0,11.0,5.0,9.0,8.0,13.0,9.0,6.0,8.0,9.0,8.767,1.745
26,8.0,8.0,8.0,12.0,7.0,9.0,7.0,8.0,11.0,9.0,9.0,8.0,9.0,8.0,7.0,10.0,8.0,9.0,10.0,10.0,9.0,9.0,6.0,10.0,9.0,11.0,8.0,6.0,10.0,8.0,8.7,1.394
27,8.0,7.0,8.0,10.0,8.0,9.0,9.0,7.0,10.0,7.0,12.0,11.0,10.0,11.0,7.0,10.0,10.0,7.0,10.0,10.0,10.0,9.0,9.0,10.0,7.0,10.0,8.0,9.0,8.0,8.0,8.967,1.378
28,6.0,5.0,11.0,9.0,7.0,10.0,8.0,7.0,9.0,8.0,12.0,8.0,10.0,9.0,7.0,9.0,9.0,8.0,9.0,8.0,8.0,8.0,10.0,8.0,7.0,9.0,8.0,12.0,9.0,8.0,8.533,1.522
29,7.0,8.0,12.0,8.0,10.0,7.0,9.0,7.0,9.0,10.0,11.0,7.0,9.0,13.0,7.0,10.0,10.0,9.0,13.0,10.0,9.0,10.0,9.0,11.0,7.0,5.0,8.0,14.0,10.0,8.0,9.233,2.028
30,5.0,6.0,11.0,7.0,10.0,10.0,9.0,7.0,9.0,10.0,11.0,6.0,10.0,14.0,6.0,10.0,10.0,10.0,11.0,10.0,9.0,9.0,9.0,8.0,7.0,12.0,10.0,11.0,9.0,11.0,9.233,1.978
31,8.0,10.0,9.0,9.0,7.0,10.0,9.0,7.0,6.0,12.0,10.0,7.0,8.0,15.0,6.0,10.0,6.0,9.0,11.0,9.0,11.0,8.0,6.0,11.0,6.0,9.0,11.0,12.0,9.0,11.0,9.067,2.144
32,12.0,10.0,10.0,9.0,9.0,10.0,8.0,7.0,8.0,8.0,11.0,9.0,10.0,14.0,7.0,9.0,10.0,9.0,10.0,9.0,10.0,9.0,6.0,12.0,6.0,9.0,10.0,13.0,8.0,10.0,9.4,1.8
33,12.0,7.0,10.0,8.0,10.0,11.0,8.0,7.0,10.0,10.0,11.0,8.0,8.0,15.0,6.0,6.0,9.0,9.0,12.0,10.0,10.0,9.0,7.0,9.0,7.0,8.0,10.0,12.0,9.0,10.0,9.267,1.965
34,11.0,9.0,13.0,9.0,10.0,8.0,6.0,8.0,6.0,10.0,7.0,7.0,8.0,14.0,6.0,7.0,10.0,10.0,11.0,11.0,9.0,11.0,6.0,8.0,6.0,11.0,10.0,11.0,9.0,9.0,9.033,2.089
35,12.0,6.0,11.0,7.0,11.0,9.0,6.0,8.0,7.0,11.0,10.0,8.0,7.0,14.0,8.0,8.0,9.0,9.0,12.0,9.0,9.0,9.0,8.0,6.0,7.0,10.0,10.0,11.0,8.0,11.0,9.033,1.958
36,11.0,8.0,11.0,7.0,10.0,12.0,8.0,6.0,7.0,11.0,10.0,7.0,9.0,16.0,9.0,8.0,9.0,7.0,16.0,11.0,8.0,10.0,9.0,8.0,7.0,11.0,11.0,11.0,8.0,12.0,9.6,2.389
37,10.0,10.0,11.0,7.0,10.0,9.0,8.0,6.0,8.0,9.0,10.0,8.0,12.0,16.0,8.0,7.0,10.0,8.0,12.0,9.0,8.0,9.0,9.0,7.0,9.0,9.0,13.0,11.0,10.0,12.0,9.5,2.045
38,10.0,8.0,10.0,8.0,9.0,9.0,9.0,6.0,8.0,11.0,9.0,11.0,12.0,16.0,9.0,7.0,8.0,7.0,13.0,10.0,8.0,8.0,8.0,7.0,8.0,8.0,12.0,11.0,11.0,13.0,9.467,2.172
39,10.0,11.0,11.0,6.0,10.0,10.0,10.0,7.0,6.0,13.0,10.0,10.0,8.0,17.0,8.0,7.0,7.0,8.0,7.0,9.0,8.0,8.0,9.0,9.0,9.0,8.0,9.0,8.0,9.0,12.0,9.133,2.187
40,8.0,12.0,8.0,8.0,12.0,9.0,9.0,8.0,7.0,13.0,10.0,9.0,8.0,16.0,8.0,9.0,6.0,9.0,7.0,8.0,8.0,9.0,8.0,9.0,11.0,8.0,5.0,9.0,11.0,13.0,9.167,2.237
41,8.0,6.0,8.0,8.0,12.0,10.0,9.0,8.0,10.0,13.0,7.0,8.0,9.0,13.0,8.0,8.0,6.0,10.0,8.0,8.0,9.0,9.0,8.0,8.0,12.0,9.0,10.0,9.0,11.0,12.0,9.133,1.821
42,9.0,7.0,7.0,10.0,12.0,8.0,10.0,9.0,9.0,12.0,7.0,9.0,7.0,11.0,9.0,8.0,6.0,9.0,10.0,10.0,9.0,10.0,8.0,7.0,10.0,9.0,11.0,9.0,10.0,12.0,9.133,1.565
43,10.0,8.0,8.0,8.0,13.0,8.0,9.0,11.0,10.0,13.0,7.0,9.0,9.0,11.0,8.0,10.0,5.0,9.0,12.0,10.0,9.0,11.0,10.0,11.0,11.0,12.0,11.0,10.0,10.0,11.0,9.8,1.74
44,9.0,9.0,6.0,7.0,14.0,8.0,10.0,11.0,11.0,16.0,8.0,8.0,9.0,10.0,7.0,10.0,5.0,10.0,12.0,11.0,10.0,10.0,11.0,10.0,10.0,10.0,10.0,12.0,13.0,11.0,9.933,2.22
45,9.0,9.0,7.0,10.0,12.0,8.0,11.0,11.0,11.0,15.0,7.0,9.0,8.0,8.0,8.0,11.0,6.0,11.0,12.0,9.0,8.0,10.0,11.0,10.0,8.0,7.0,11.0,12.0,15.0,15.0,9.967,2.345
46,9.0,9.0,6.0,9.0,10.0,10.0,10.0,10.0,10.0,13.0,8.0,9.0,9.0,11.0,5.0,11.0,8.0,13.0,12.0,9.0,7.0,12.0,14.0,10.0,9.0,8.0,9.0,13.0,12.0,14.0,9.967,2.183
47,8.0,8.0,8.0,9.0,9.0,11.0,8.0,11.0,8.0,11.0,8.0,10.0,12.0,9.0,11.0,7.0,12.0,11.0,12.0,9.0,9.0,13.0,14.0,10.0,9.0,7.0,10.0,13.0,14.0,13.0,10.133,2.029
48,7.0,8.0,9.0,9.0,8.0,14.0,8.0,11.0,11.0,10.0,6.0,7.0,12.0,13.0,12.0,8.0,11.0,11.0,12.0,9.0,9.0,10.0,16.0,9.0,10.0,9.0,10.0,15.0,12.0,13.0,10.3,2.369
49,9.0,8.0,10.0,11.0,8.0,15.0,9.0,9.0,13.0,7.0,10.0,14.0,10.0,11.0,13.0,8.0,12.0,8.0,9.0,10.0,9.0,10.0,14.0,8.0,8.0,10.0,10.0,12.0,12.0,10.0,10.233,2.044
50,9.0,9.0,14.0,12.0,10.0,15.0,10.0,10.0,15.0,9.0,10.0,16.0,10.0,10.0,13.0,6.0,11.0,8.0,10.0,10.0,9.0,12.0,12.0,7.0,9.0,10.0,9.0,9.0,13.0,10.0,10.567,2.305
51,11.0,9.0,15.0,13.0,11.0,11.0,8.0,10.0,15.0,9.0,7.0,16.0,7.0,14.0,7.0,8.0,13.0,9.0,14.0,11.0,10.0,11.0,12.0,8.0,10.0,12.0,8.0,14.0,11.0,11.0,10.833,2.531
52,11.0,8.0,12.0,11.0,11.0,11.0,11.0,10.0,15.0,9.0,10.0,14.0,6.0,13.0,7.0,10.0,12.0,10.0,16.0,9.0,11.0,12.0,9.0,8.0,12.0,10.0,8.0,13.0,8.0,8.0,10.5,2.291
53,10.0,11.0,14.0,12.0,12.0,11.0,10.0,9.0,15.0,9.0,9.0,12.0,10.0,13.0,7.0,13.0,11.0,10.0,18.0,11.0,14.0,11.0,11.0,8.0,13.0,12.0,8.0,13.0,9.0,9.0,11.167,2.311
54,9.0,10.0,17.0,10.0,13.0,11.0,11.0,10.0,14.0,9.0,9.0,14.0,11.0,12.0,10.0,11.0,8.0,13.0,19.0,10.0,13.0,11.0,10.0,7.0,13.0,13.0,9.0,14.0,10.0,10.0,11.367,2.536
55,10.0,9.0,17.0,12.0,13.0,12.0,10.0,8.0,14.0,10.0,9.0,14.0,11.0,13.0,10.0,11.0,11.0,12.0,18.0,9.0,6.0,12.0,11.0,8.0,14.0,14.0,10.0,15.0,10.0,10.0,11.433,2.616
56,9.0,9.0,16.0,13.0,10.0,13.0,10.0,10.0,13.0,12.0,9.0,11.0,6.0,12.0,10.0,11.0,13.0,11.0,18.0,8.0,9.0,12.0,11.0,7.0,14.0,12.0,11.0,16.0,9.0,10.0,11.167,2.596
57,9.0,8.0,14.0,12.0,10.0,16.0,10.0,12.0,9.0,12.0,8.0,10.0,10.0,13.0,14.0,12.0,13.0,12.0,19.0,8.0,10.0,14.0,11.0,8.0,16.0,11.0,10.0,14.0,13.0,7.0,11.5,2.742
58,10.0,9.0,13.0,12.0,13.0,16.0,10.0,10.0,12.0,10.0,12.0,14.0,11.0,11.0,12.0,12.0,9.0,10.0,19.0,9.0,10.0,12.0,11.0,10.0,13.0,11.0,9.0,11.0,12.0,8.0,11.367,2.198
59,8.0,9.0,14.0,10.0,11.0,16.0,10.0,10.0,9.0,11.0,10.0,13.0,13.0,12.0,12.0,10.0,9.0,10.0,18.0,9.0,9.0,12.0,10.0,10.0,15.0,14.0,10.0,11.0,15.0,11.0,11.367,2.373
60,7.0,11.0,17.0,11.0,17.0,17.0,10.0,12.0,11.0,10.0,11.0,11.0,12.0,11.0,14.0,12.0,8.0,12.0,18.0,7.0,8.0,13.0,10.0,14.0,15.0,11.0,10.0,11.0,14.0,9.0,11.8,2.868
61,8.0,13.0,12.0,11.0,17.0,16.0,10.0,11.0,12.0,11.0,14.0,12.0,10.0,12.0,16.0,13.0,7.0,14.0,17.0,10.0,7.0,15.0,9.0,14.0,14.0,17.0,12.0,11.0,14.0,8.0,12.233,2.848
62,10.0,13.0,13.0,11.0,15.0,14.0,11.0,12.0,9.0,10.0,12.0,12.0,12.0,12.0,13.0,11.0,8.0,12.0,19.0,11.0,10.0,8.0,9.0,10.0,14.0,17.0,11.0,11.0,15.0,7.0,11.733,2.568
63,7.0,13.0,14.0,9.0,12.0,12.0,12.0,11.0,10.0,9.0,13.0,11.0,8.0,9.0,16.0,12.0,5.0,13.0,20.0,7.0,10.0,9.0,7.0,10.0,12.0,17.0,11.0,10.0,17.0,9.0,11.167,3.267
64,8.0,13.0,10.0,9.0,15.0,13.0,12.0,14.0,8.0,9.0,10.0,11.0,13.0,8.0,10.0,12.0,9.0,11.0,21.0,7.0,9.0,9.0,9.0,11.0,15.0,15.0,11.0,10.0,15.0,10.0,11.233,2.929
65,11.0,14.0,11.0,10.0,11.0,16.0,13.0,13.0,10.0,9.0,9.0,11.0,13.0,10.0,11.0,11.0,9.0,9.0,21.0,7.0,8.0,9.0,9.0,10.0,11.0,16.0,12.0,11.0,15.0,12.0,11.4,2.812
