Generations,Run0,Run1,Run2,Run3,Run4,Run5,Run6,Run7,Run8,Run9,Run10,Run11,Run12,Run13,Run14,Run15,Run16,Run17,Run18,Run19,Run20,Run21,Run22,Run23,Run24,Run25,Run26,Run27,Run28,Run29,ABF,StdDev
0,10.0,11.0,10.0,11.0,12.0,9.0,10.0,11.0,8.0,11.0,9.0,12.0,10.0,12.0,10.0,12.0,11.0,11.0,10.0,9.0,11.0,13.0,9.0,10.0,9.0,10.0,10.0,12.0,8.0,11.0,10.4,1.227
1,10.0,12.0,9.0,10.0,12.0,8.0,10.0,10.0,8.0,11.0,11.0,12.0,9.0,11.0,13.0,11.0,11.0,11.0,9.0,10.0,9.0,10.0,10.0,11.0,9.0,12.0,9.0,11.0,11.0,9.0,10.3,1.242
2,10.0,11.0,11.0,9.0,9.0,9.0,10.0,11.0,8.0,10.0,10.0,12.0,11.0,8.0,10.0,10.0,11.0,12.0,9.0,12.0,10.0,10.0,12.0,11.0,7.0,11.0,9.0,8.0,10.0,9.0,10.0,1.291
3,11.0,9.0,12.0,11.0,10.0,11.0,10.0,11.0,9.0,9.0,10.0,9.0,11.0,9.0,8.0,8.0,11.0,9.0,9.0,13.0,11.0,11.0,12.0,10.0,11.0,9.0,11.0,12.0,11.0,9.0,10.233,1.257
4,7.0,6.0,9.0,11.0,8.0,11.0,10.0,11.0,10.0,9.0,9.0,11.0,7.0,9.0,8.0,10.0,10.0,11.0,9.0,11.0,9.0,11.0,8.0,10.0,10.0,9.0,10.0,10.0,7.0,9.0,9.333,1.374
5,7.0,11.0,9.0,10.0,8.0,12.0,10.0,10.0,10.0,8.0,9.0,9.0,11.0,9.0,8.0,10.0,9.0,9.0,9.0,10.0,8.0,12.0,8.0,9.0,9.0,8.0,10.0,9.0,9.0,7.0,9.233,1.23
6,8.0,9.0,10.0,10.0,8.0,11.0,10.0,11.0,7.0,9.0,9.0,10.0,9.0,8.0,5.0,7.0,9.0,10.0,9.0,11.0,9.0,9.0,9.0,9.0,8.0,10.0,9.0,8.0,11.0,7.0,8.967,1.354
7,9.0,10.0,10.0,9.0,8.0,6.0,10.0,10.0,10.0,9.0,10.0,6.0,9.0,8.0,9.0,9.0,9.0,7.0,9.0,11.0,8.0,13.0,11.0,10.0,11.0,9.0,9.0,9.0,9.0,7.0,9.133,1.454
8,9.0,7.0,10.0,8.0,7.0,10.0,11.0,10.0,11.0,10.0,10.0,6.0,9.0,8.0,9.0,9.0,9.0,7.0,9.0,10.0,8.0,13.0,9.0,9.0,9.0,10.0,9.0,9.0,9.0,7.0,9.033,1.402
9,8.0,10.0,10.0,8.0,7.0,8.0,9.0,11.0,10.0,9.0,8.0,6.0,7.0,8.0,9.0,10.0,9.0,7.0,8.0,9.0,10.0,10.0,9.0,9.0,7.0,10.0,8.0,9.0,10.0,7.0,8.667,1.22
