Generations,Run0,Run1,Run2,Run3,Run4,Run5,Run6,Run7,Run8,Run9,Run10,Run11,Run12,Run13,Run14,Run15,Run16,Run17,Run18,Run19,Run20,Run21,Run22,Run23,Run24,Run25,Run26,Run27,Run28,Run29,ABF,StdDev
0,10.0,12.0,10.0,11.0,11.0,10.0,11.0,11.0,13.0,10.0,9.0,8.0,11.0,12.0,12.0,9.0,9.0,10.0,10.0,11.0,9.0,11.0,11.0,11.0,9.0,10.0,12.0,8.0,12.0,12.0,10.5,1.258
1,11.0,12.0,10.0,9.0,10.0,11.0,10.0,11.0,11.0,9.0,11.0,10.0,10.0,13.0,11.0,7.0,13.0,10.0,10.0,11.0,11.0,8.0,11.0,12.0,12.0,10.0,10.0,10.0,9.0,11.0,10.467,1.284
2,10.0,9.0,10.0,12.0,13.0,10.0,10.0,10.0,12.0,10.0,10.0,8.0,11.0,12.0,9.0,11.0,12.0,13.0,9.0,10.0,10.0,8.0,13.0,9.0,13.0,11.0,10.0,11.0,8.0,10.0,10.467,1.477
3,8.0,9.0,8.0,11.0,10.0,10.0,9.0,10.0,12.0,10.0,11.0,7.0,11.0,10.0,8.0,11.0,7.0,10.0,9.0,12.0,9.0,8.0,10.0,9.0,11.0,8.0,8.0,10.0,9.0,9.0,9.467,1.335
4,9.0,11.0,8.0,10.0,10.0,11.0,9.0,11.0,13.0,10.0,10.0,8.0,11.0,11.0,11.0,10.0,9.0,10.0,9.0,10.0,13.0,9.0,11.0,9.0,10.0,11.0,10.0,11.0,8.0,8.0,10.033,1.278
5,10.0,12.0,8.0,10.0,10.0,9.0,8.0,10.0,10.0,10.0,12.0,8.0,10.0,11.0,8.0,10.0,8.0,13.0,8.0,10.0,8.0,9.0,9.0,7.0,10.0,10.0,9.0,11.0,10.0,6.0,9.467,1.5
6,8.0,10.0,11.0,10.0,10.0,10.0,9.0,11.0,11.0,9.0,10.0,8.0,9.0,11.0,8.0,11.0,10.0,13.0,9.0,12.0,9.0,9.0,8.0,7.0,10.0,10.0,10.0,11.0,9.0,9.0,9.733,1.289
7,9.0,11.0,9.0,9.0,9.0,10.0,8.0,10.0,11.0,8.0,10.0,7.0,10.0,8.0,10.0,9.0,7.0,10.0,9.0,10.0,7.0,8.0,6.0,10.0,11.0,9.0,9.0,11.0,8.0,6.0,8.967,1.402
8,9.0,10.0,6.0,8.0,7.0,10.0,11.0,7.0,7.0,10.0,11.0,9.0,10.0,11.0,8.0,9.0,8.0,8.0,8.0,8.0,9.0,8.0,6.0,8.0,11.0,10.0,10.0,10.0,9.0,9.0,8.833,1.416
9,11.0,9.0,7.0,9.0,8.0,9.0,9.0,9.0,8.0,7.0,11.0,9.0,9.0,9.0,12.0,12.0,10.0,10.0,8.0,12.0,10.0,12.0,10.0,10.0,10.0,12.0,9.0,9.0,7.0,8.0,9.5,1.5
10,9.0,8.0,12.0,8.0,10.0,8.0,8.0,8.0,8.0,10.0,8.0,11.0,10.0,6.0,10.0,11.0,10.0,10.0,6.0,11.0,9.0,9.0,8.0,10.0,8.0,11.0,9.0,9.0,7.0,8.0,9.0,1.461
11,8.0,8.0,10.0,9.0,8.0,10.0,10.0,8.0,9.0,11.0,11.0,9.0,9.0,10.0,10.0,11.0,9.0,10.0,6.0,9.0,7.0,9.0,10.0,8.0,8.0,10.0,9.0,9.0,8.0,10.0,9.1,1.165
12,10.0,8.0,9.0,10.0,10.0,9.0,10.0,8.0,9.0,11.0,10.0,8.0,10.0,10.0,10.0,12.0,9.0,9.0,8.0,9.0,8.0,11.0,10.0,11.0,9.0,10.0,9.0,8.0,10.0,9.0,9.467,1.024
13,10.0,9.0,9.0,9.0,7.0,9.0,10.0,8.0,9.0,11.0,8.0,10.0,9.0,10.0,9.0,9.0,10.0,9.0,8.0,9.0,9.0,10.0,11.0,12.0,12.0,10.0,9.0,10.0,10.0,10.0,9.5,1.088
14,10.0,9.0,6.0,10.0,7.0,11.0,10.0,7.0,10.0,10.0,8.0,10.0,10.0,8.0,10.0,10.0,10.0,8.0,8.0,7.0,11.0,12.0,9.0,11.0,12.0,9.0,9.0,10.0,8.0,9.0,9.3,1.464
15,11.0,9.0,10.0,9.0,9.0,9.0,8.0,8.0,10.0,8.0,10.0,10.0,9.0,10.0,10.0,11.0,10.0,8.0,7.0,10.0,9.0,10.0,11.0,11.0,9.0,9.0,11.0,10.0,8.0,9.0,9.433,1.055
16,10.0,10.0,8.0,11.0,9.0,10.0,8.0,10.0,9.0,8.0,10.0,10.0,11.0,12.0,11.0,11.0,9.0,8.0,10.0,9.0,13.0,10.0,10.0,10.0,10.0,12.0,11.0,9.0,8.0,8.0,9.833,1.293
17,11.0,11.0,8.0,12.0,9.0,8.0,9.0,8.0,11.0,10.0,10.0,9.0,10.0,9.0,9.0,10.0,11.0,8.0,9.0,10.0,9.0,10.0,10.0,12.0,12.0,10.0,10.0,8.0,10.0,8.0,9.7,1.215
18,9.0,11.0,10.0,11.0,9.0,8.0,10.0,10.0,9.0,9.0,9.0,9.0,9.0,11.0,12.0,8.0,11.0,11.0,9.0,10.0,11.0,9.0,10.0,12.0,11.0,9.0,10.0,9.0,10.0,8.0,9.8,1.108
19,10.0,8.0,7.0,11.0,10.0,8.0,9.0,9.0,11.0,11.0,10.0,8.0,9.0,10.0,12.0,10.0,8.0,13.0,5.0,8.0,10.0,9.0,11.0,11.0,8.0,9.0,11.0,9.0,8.0,10.0,9.433,1.606
20,9.0,10.0,7.0,8.0,8.0,7.0,9.0,13.0,12.0,10.0,9.0,10.0,10.0,11.0,12.0,10.0,10.0,13.0,9.0,9.0,8.0,9.0,7.0,9.0,11.0,10.0,5.0,9.0,10.0,9.0,9.433,1.745
21,9.0,8.0,8.0,8.0,10.0,8.0,11.0,11.0,10.0,7.0,9.0,10.0,10.0,11.0,12.0,10.0,10.0,10.0,10.0,10.0,11.0,9.0,10.0,10.0,11.0,9.0,6.0,8.0,9.0,8.0,9.433,1.334
22,11.0,11.0,9.0,7.0,10.0,8.0,13.0,11.0,10.0,9.0,10.0,10.0,10.0,8.0,11.0,11.0,7.0,11.0,10.0,6.0,9.0,9.0,8.0,9.0,11.0,8.0,9.0,9.0,8.0,7.0,9.333,1.556
23,11.0,10.0,8.0,7.0,9.0,9.0,12.0,8.0,12.0,10.0,10.0,8.0,10.0,12.0,11.0,11.0,9.0,10.0,11.0,8.0,11.0,6.0,11.0,11.0,10.0,8.0,9.0,11.0,9.0,8.0,9.667,1.535
24,10.0,12.0,11.0,10.0,9.0,8.0,12.0,9.0,9.0,12.0,8.0,9.0,11.0,6.0,9.0,12.0,8.0,10.0,11.0,11.0,9.0,7.0,9.0,12.0,8.0,11.0,7.0,9.0,12.0,7.0,9.6,1.744
25,11.0,11.0,9.0,8.0,8.0,9.0,11.0,11.0,9.0,10.0,9.0,8.0,10.0,8.0,9.0,11.0,12.0,8.0,11.0,10.0,12.0,10.0,9.0,11.0,8.0,9.0,10.0,9.0,10.0,11.0,9.733,1.236
26,11.0,12.0,10.0,8.0,11.0,10.0,11.0,10.0,9.0,10.0,8.0,12.0,10.0,12.0,9.0,11.0,9.0,7.0,11.0,10.0,8.0,9.0,10.0,11.0,9.0,10.0,7.0,11.0,9.0,11.0,9.867,1.36
27,9.0,10.0,13.0,9.0,10.0,10.0,8.0,9.0,12.0,10.0,8.0,11.0,10.0,10.0,7.0,10.0,6.0,8.0,10.0,6.0,10.0,11.0,12.0,11.0,9.0,10.0,11.0,11.0,12.0,8.0,9.7,1.676
28,9.0,11.0,14.0,11.0,11.0,10.0,10.0,11.0,15.0,9.0,9.0,12.0,11.0,12.0,9.0,11.0,5.0,12.0,11.0,8.0,9.0,9.0,14.0,11.0,9.0,9.0,8.0,11.0,12.0,11.0,10.467,1.979
29,8.0,11.0,11.0,11.0,10.0,10.0,10.0,11.0,11.0,8.0,7.0,11.0,11.0,9.0,11.0,12.0,5.0,12.0,10.0,8.0,11.0,11.0,11.0,12.0,9.0,10.0,13.0,9.0,11.0,10.0,10.133,1.648
30,9.0,12.0,12.0,13.0,7.0,9.0,10.0,10.0,10.0,12.0,9.0,9.0,11.0,9.0,10.0,12.0,4.0,11.0,10.0,9.0,11.0,9.0,11.0,9.0,8.0,11.0,11.0,8.0,11.0,9.0,9.867,1.765
31,6.0,10.0,7.0,13.0,9.0,10.0,11.0,11.0,10.0,13.0,9.0,9.0,9.0,7.0,9.0,12.0,10.0,10.0,11.0,9.0,11.0,7.0,11.0,11.0,10.0,11.0,9.0,8.0,11.0,8.0,9.733,1.692
32,6.0,11.0,8.0,11.0,11.0,8.0,11.0,8.0,9.0,14.0,10.0,8.0,9.0,8.0,11.0,11.0,11.0,9.0,14.0,11.0,11.0,8.0,12.0,9.0,11.0,10.0,10.0,12.0,7.0,10.0,9.967,1.853
33,11.0,10.0,5.0,11.0,11.0,7.0,9.0,8.0,9.0,14.0,9.0,8.0,11.0,10.0,10.0,7.0,9.0,10.0,12.0,11.0,9.0,8.0,12.0,11.0,12.0,9.0,8.0,12.0,9.0,12.0,9.8,1.887
34,10.0,9.0,5.0,9.0,9.0,9.0,9.0,10.0,10.0,14.0,9.0,8.0,10.0,12.0,10.0,11.0,9.0,9.0,14.0,10.0,10.0,10.0,11.0,9.0,10.0,10.0,9.0,12.0,8.0,9.0,9.8,1.681
35,8.0,10.0,6.0,11.0,9.0,9.0,10.0,10.0,11.0,11.0,10.0,9.0,9.0,13.0,11.0,8.0,8.0,13.0,9.0,9.0,9.0,10.0,11.0,10.0,7.0,5.0,9.0,12.0,8.0,9.0,9.467,1.765
36,10.0,10.0,13.0,9.0,10.0,11.0,12.0,10.0,11.0,12.0,11.0,8.0,7.0,12.0,8.0,8.0,7.0,10.0,13.0,11.0,10.0,11.0,10.0,10.0,11.0,5.0,11.0,12.0,11.0,8.0,10.067,1.843
37,10.0,8.0,10.0,10.0,12.0,12.0,11.0,9.0,8.0,14.0,12.0,11.0,8.0,13.0,10.0,9.0,7.0,10.0,13.0,9.0,9.0,9.0,8.0,11.0,7.0,9.0,9.0,13.0,6.0,9.0,9.867,1.962
38,10.0,8.0,10.0,12.0,12.0,11.0,10.0,10.0,13.0,12.0,13.0,11.0,10.0,11.0,11.0,6.0,7.0,10.0,11.0,10.0,9.0,11.0,9.0,11.0,9.0,6.0,8.0,10.0,7.0,9.0,9.9,1.814
