Generations,Run0,Run1,Run2,Run3,Run4,Run5,Run6,Run7,Run8,Run9,Run10,Run11,Run12,Run13,Run14,Run15,Run16,Run17,Run18,Run19,Run20,Run21,Run22,Run23,Run24,Run25,Run26,Run27,Run28,Run29,ABF,StdDev
0,10.0,12.0,9.0,8.0,9.0,8.0,11.0,10.0,13.0,9.0,9.0,11.0,10.0,12.0,7.0,10.0,10.0,10.0,11.0,10.0,9.0,7.0,10.0,10.0,9.0,10.0,9.0,10.0,12.0,9.0,9.8,1.376
1,11.0,11.0,9.0,10.0,10.0,8.0,11.0,10.0,12.0,10.0,9.0,11.0,10.0,7.0,12.0,8.0,11.0,10.0,7.0,10.0,10.0,7.0,10.0,10.0,9.0,10.0,12.0,10.0,12.0,8.0,9.833,1.44
2,11.0,7.0,7.0,10.0,9.0,8.0,11.0,12.0,11.0,11.0,10.0,9.0,12.0,9.0,10.0,8.0,11.0,8.0,7.0,12.0,11.0,8.0,11.0,9.0,10.0,10.0,11.0,12.0,8.0,8.0,9.7,1.595
3,10.0,11.0,10.0,11.0,11.0,9.0,9.0,11.0,10.0,10.0,9.0,9.0,10.0,11.0,10.0,13.0,9.0,8.0,10.0,10.0,10.0,11.0,9.0,13.0,8.0,10.0,12.0,8.0,11.0,8.0,10.033,1.303
4,9.0,8.0,7.0,8.0,10.0,9.0,10.0,11.0,10.0,12.0,9.0,10.0,9.0,12.0,7.0,13.0,9.0,8.0,11.0,9.0,9.0,11.0,11.0,12.0,12.0,9.0,10.0,8.0,8.0,8.0,9.633,1.581
5,9.0,11.0,10.0,10.0,10.0,8.0,9.0,11.0,8.0,9.0,10.0,10.0,9.0,11.0,7.0,11.0,9.0,10.0,9.0,9.0,11.0,10.0,11.0,11.0,11.0,8.0,10.0,12.0,6.0,10.0,9.667,1.325
6,9.0,9.0,10.0,8.0,9.0,10.0,11.0,12.0,11.0,10.0,10.0,10.0,11.0,11.0,7.0,9.0,9.0,8.0,9.0,10.0,8.0,10.0,11.0,10.0,12.0,7.0,11.0,10.0,8.0,11.0,9.7,1.32
7,12.0,11.0,10.0,9.0,9.0,9.0,11.0,10.0,11.0,10.0,10.0,9.0,9.0,10.0,8.0,11.0,9.0,11.0,10.0,10.0,10.0,10.0,8.0,11.0,10.0,9.0,7.0,10.0,10.0,10.0,9.8,1.046
8,10.0,11.0,7.0,12.0,11.0,9.0,10.0,10.0,10.0,10.0,8.0,9.0,10.0,10.0,8.0,9.0,9.0,12.0,12.0,12.0,9.0,11.0,10.0,11.0,10.0,9.0,7.0,10.0,10.0,9.0,9.833,1.319
9,9.0,9.0,9.0,9.0,11.0,9.0,10.0,11.0,6.0,10.0,11.0,7.0,11.0,11.0,9.0,7.0,9.0,12.0,11.0,10.0,10.0,7.0,7.0,12.0,9.0,9.0,10.0,10.0,10.0,11.0,9.533,1.522
10,10.0,9.0,10.0,8.0,9.0,8.0,11.0,9.0,10.0,11.0,10.0,9.0,13.0,9.0,9.0,8.0,9.0,12.0,8.0,11.0,8.0,7.0,7.0,12.0,9.0,11.0,7.0,11.0,11.0,10.0,9.533,1.543
11,8.0,9.0,8.0,10.0,12.0,9.0,10.0,8.0,11.0,12.0,10.0,9.0,10.0,10.0,9.0,8.0,10.0,11.0,11.0,9.0,11.0,10.0,7.0,11.0,9.0,12.0,10.0,10.0,11.0,10.0,9.833,1.267
12,9.0,9.0,8.0,8.0,10.0,8.0,9.0,6.0,8.0,10.0,11.0,11.0,10.0,10.0,11.0,8.0,10.0,9.0,10.0,12.0,8.0,10.0,7.0,10.0,11.0,9.0,10.0,8.0,11.0,8.0,9.3,1.37
