Generations,Run0,Run1,Run2,Run3,Run4,Run5,Run6,Run7,Run8,Run9,Run10,Run11,Run12,Run13,Run14,Run15,Run16,Run17,Run18,Run19,Run20,Run21,Run22,Run23,Run24,Run25,Run26,Run27,Run28,Run29,ABF,StdDev
0,12.0,11.0,9.0,10.0,11.0,7.0,10.0,9.0,12.0,13.0,12.0,11.0,10.0,10.0,10.0,9.0,11.0,8.0,11.0,10.0,10.0,10.0,13.0,10.0,12.0,11.0,11.0,9.0,6.0,11.0,10.3,1.552
1,11.0,12.0,10.0,11.0,10.0,7.0,11.0,11.0,8.0,11.0,11.0,11.0,10.0,12.0,10.0,9.0,12.0,11.0,11.0,9.0,10.0,11.0,10.0,9.0,9.0,9.0,8.0,9.0,6.0,11.0,10.0,1.438
2,9.0,10.0,10.0,10.0,11.0,9.0,11.0,9.0,8.0,8.0,8.0,12.0,9.0,10.0,9.0,9.0,11.0,10.0,11.0,10.0,11.0,11.0,10.0,10.0,6.0,9.0,9.0,10.0,11.0,10.0,9.7,1.215
3,11.0,10.0,10.0,10.0,11.0,8.0,11.0,11.0,10.0,13.0,10.0,11.0,9.0,8.0,10.0,9.0,9.0,10.0,11.0,10.0,11.0,9.0,9.0,11.0,6.0,10.0,8.0,9.0,11.0,10.0,9.867,1.31
4,9.0,10.0,9.0,8.0,10.0,11.0,11.0,9.0,10.0,10.0,10.0,9.0,9.0,10.0,10.0,12.0,10.0,12.0,11.0,10.0,12.0,11.0,11.0,9.0,11.0,11.0,8.0,10.0,12.0,10.0,10.167,1.098
5,13.0,11.0,9.0,10.0,9.0,10.0,10.0,11.0,10.0,8.0,8.0,9.0,11.0,9.0,9.0,11.0,9.0,13.0,11.0,10.0,11.0,9.0,10.0,11.0,9.0,10.0,9.0,10.0,11.0,10.0,10.033,1.197
6,11.0,10.0,11.0,10.0,11.0,10.0,10.0,11.0,11.0,8.0,11.0,10.0,10.0,9.0,6.0,11.0,10.0,11.0,8.0,11.0,10.0,10.0,8.0,9.0,11.0,13.0,9.0,10.0,13.0,12.0,10.167,1.44
7,10.0,8.0,9.0,9.0,11.0,9.0,8.0,9.0,5.0,8.0,12.0,8.0,10.0,9.0,6.0,8.0,9.0,12.0,9.0,11.0,10.0,9.0,7.0,8.0,12.0,10.0,9.0,11.0,9.0,11.0,9.2,1.641
8,10.0,11.0,12.0,7.0,9.0,10.0,9.0,10.0,9.0,10.0,9.0,10.0,9.0,9.0,6.0,11.0,11.0,11.0,10.0,10.0,10.0,9.0,7.0,8.0,12.0,11.0,10.0,10.0,11.0,10.0,9.7,1.37
9,8.0,11.0,10.0,10.0,9.0,8.0,9.0,11.0,9.0,8.0,11.0,10.0,10.0,10.0,10.0,8.0,10.0,10.0,10.0,10.0,11.0,9.0,9.0,9.0,11.0,11.0,11.0,8.0,11.0,10.0,9.733,1.031
10,11.0,11.0,9.0,10.0,10.0,10.0,12.0,8.0,12.0,8.0,9.0,10.0,10.0,9.0,5.0,10.0,12.0,11.0,10.0,9.0,11.0,11.0,10.0,10.0,10.0,11.0,9.0,12.0,10.0,10.0,10.0,1.414
11,11.0,9.0,8.0,9.0,10.0,9.0,11.0,10.0,12.0,11.0,8.0,10.0,10.0,9.0,10.0,10.0,9.0,9.0,9.0,9.0,8.0,10.0,8.0,10.0,11.0,11.0,10.0,11.0,10.0,9.0,9.7,1.038
12,10.0,10.0,10.0,10.0,11.0,10.0,10.0,9.0,9.0,10.0,8.0,8.0,9.0,9.0,6.0,8.0,9.0,10.0,8.0,10.0,9.0,11.0,8.0,9.0,11.0,9.0,10.0,10.0,10.0,10.0,9.367,1.08
13,9.0,10.0,8.0,10.0,10.0,8.0,12.0,9.0,10.0,9.0,10.0,11.0,9.0,9.0,9.0,12.0,6.0,10.0,7.0,8.0,8.0,10.0,9.0,9.0,10.0,9.0,9.0,10.0,9.0,10.0,9.3,1.242
14,9.0,10.0,9.0,12.0,11.0,8.0,9.0,11.0,9.0,10.0,8.0,9.0,9.0,8.0,10.0,9.0,9.0,10.0,8.0,8.0,11.0,10.0,9.0,11.0,6.0,11.0,8.0,11.0,8.0,5.0,9.2,1.514
15,12.0,11.0,5.0,9.0,10.0,10.0,11.0,11.0,9.0,10.0,9.0,9.0,10.0,8.0,10.0,9.0,9.0,11.0,7.0,8.0,9.0,10.0,10.0,11.0,10.0,10.0,8.0,7.0,7.0,8.0,9.267,1.504
16,9.0,10.0,8.0,9.0,8.0,8.0,9.0,9.0,7.0,10.0,10.0,8.0,10.0,8.0,5.0,9.0,9.0,9.0,8.0,8.0,7.0,9.0,10.0,10.0,11.0,11.0,10.0,11.0,10.0,7.0,8.9,1.35
17,9.0,12.0,8.0,11.0,7.0,7.0,9.0,9.0,6.0,9.0,9.0,8.0,9.0,8.0,7.0,9.0,9.0,10.0,9.0,6.0,11.0,9.0,9.0,8.0,7.0,10.0,8.0,9.0,5.0,9.0,8.533,1.5
18,10.0,8.0,7.0,10.0,10.0,8.0,9.0,8.0,9.0,8.0,8.0,8.0,10.0,9.0,7.0,6.0,8.0,5.0,10.0,11.0,10.0,9.0,8.0,8.0,9.0,8.0,9.0,9.0,6.0,7.0,8.4,1.356
19,10.0,9.0,9.0,7.0,10.0,8.0,10.0,9.0,8.0,10.0,10.0,8.0,11.0,8.0,7.0,8.0,8.0,8.0,8.0,9.0,10.0,10.0,9.0,10.0,5.0,9.0,7.0,7.0,6.0,7.0,8.5,1.384
20,10.0,9.0,10.0,11.0,10.0,9.0,10.0,9.0,10.0,10.0,9.0,8.0,10.0,9.0,7.0,10.0,7.0,9.0,8.0,10.0,8.0,9.0,6.0,9.0,9.0,9.0,8.0,9.0,6.0,7.0,8.833,1.241
21,11.0,9.0,9.0,9.0,9.0,5.0,10.0,8.0,10.0,7.0,9.0,9.0,10.0,9.0,7.0,6.0,6.0,9.0,8.0,9.0,8.0,9.0,8.0,9.0,10.0,9.0,9.0,10.0,6.0,7.0,8.467,1.408
22,10.0,8.0,7.0,8.0,10.0,5.0,10.0,7.0,9.0,10.0,10.0,8.0,8.0,10.0,8.0,9.0,6.0,8.0,8.0,6.0,9.0,9.0,9.0,8.0,8.0,8.0,9.0,7.0,10.0,8.0,8.333,1.3
