Generations,Run0,Run1,Run2,Run3,Run4,Run5,Run6,Run7,Run8,Run9,Run10,Run11,Run12,Run13,Run14,Run15,Run16,Run17,Run18,Run19,Run20,Run21,Run22,Run23,Run24,Run25,Run26,Run27,Run28,Run29,ABF,StdDev
0,10.0,12.0,11.0,11.0,11.0,11.0,10.0,9.0,9.0,11.0,9.0,10.0,11.0,12.0,9.0,12.0,10.0,12.0,11.0,10.0,11.0,12.0,11.0,11.0,8.0,12.0,10.0,10.0,11.0,10.0,10.567,1.055
1,12.0,11.0,11.0,11.0,11.0,10.0,13.0,9.0,9.0,12.0,12.0,11.0,12.0,11.0,8.0,9.0,10.0,11.0,11.0,10.0,10.0,11.0,12.0,8.0,10.0,6.0,10.0,9.0,9.0,9.0,10.267,1.482
2,13.0,9.0,11.0,10.0,9.0,10.0,11.0,10.0,11.0,12.0,11.0,11.0,12.0,11.0,11.0,11.0,11.0,11.0,11.0,10.0,12.0,10.0,11.0,8.0,11.0,11.0,10.0,9.0,10.0,8.0,10.533,1.118
3,10.0,10.0,12.0,10.0,9.0,8.0,10.0,11.0,11.0,8.0,10.0,11.0,11.0,12.0,9.0,11.0,11.0,10.0,10.0,11.0,11.0,11.0,6.0,10.0,10.0,10.0,10.0,10.0,10.0,11.0,10.133,1.204
4,12.0,7.0,12.0,7.0,10.0,8.0,10.0,10.0,12.0,10.0,8.0,11.0,11.0,11.0,11.0,7.0,10.0,11.0,9.0,11.0,11.0,10.0,6.0,7.0,12.0,11.0,11.0,11.0,10.0,10.0,9.9,1.7
5,9.0,8.0,10.0,10.0,10.0,10.0,10.0,11.0,12.0,12.0,8.0,7.0,8.0,8.0,11.0,8.0,10.0,11.0,10.0,12.0,8.0,10.0,10.0,10.0,12.0,8.0,11.0,8.0,11.0,8.0,9.7,1.464
6,9.0,9.0,11.0,10.0,8.0,11.0,11.0,9.0,9.0,12.0,9.0,9.0,10.0,6.0,10.0,9.0,5.0,12.0,10.0,11.0,10.0,10.0,9.0,10.0,10.0,8.0,11.0,11.0,9.0,10.0,9.6,1.497
7,8.0,9.0,10.0,10.0,10.0,11.0,8.0,10.0,9.0,9.0,9.0,10.0,11.0,6.0,12.0,11.0,10.0,10.0,10.0,10.0,9.0,10.0,11.0,10.0,10.0,8.0,11.0,8.0,10.0,9.0,9.633,1.197
8,9.0,9.0,9.0,11.0,9.0,10.0,11.0,10.0,9.0,11.0,10.0,10.0,12.0,10.0,11.0,10.0,9.0,11.0,11.0,8.0,10.0,9.0,9.0,8.0,11.0,8.0,9.0,9.0,9.0,9.0,9.7,1.038
9,9.0,11.0,7.0,9.0,12.0,9.0,12.0,11.0,11.0,9.0,11.0,8.0,10.0,10.0,10.0,10.0,11.0,7.0,10.0,10.0,10.0,9.0,10.0,9.0,11.0,11.0,9.0,12.0,10.0,9.0,9.9,1.274
10,10.0,9.0,7.0,8.0,11.0,12.0,8.0,10.0,11.0,7.0,9.0,9.0,8.0,8.0,9.0,9.0,10.0,8.0,10.0,11.0,10.0,10.0,10.0,7.0,7.0,12.0,10.0,13.0,9.0,9.0,9.367,1.538
11,10.0,10.0,11.0,10.0,12.0,12.0,11.0,11.0,11.0,11.0,11.0,9.0,9.0,8.0,11.0,11.0,9.0,8.0,8.0,10.0,6.0,10.0,10.0,12.0,11.0,8.0,10.0,10.0,7.0,11.0,9.933,1.482
12,11.0,11.0,10.0,10.0,9.0,11.0,11.0,10.0,10.0,10.0,10.0,9.0,11.0,10.0,11.0,8.0,10.0,10.0,11.0,9.0,6.0,9.0,11.0,9.0,11.0,9.0,10.0,8.0,11.0,9.0,9.833,1.157
13,12.0,9.0,11.0,8.0,8.0,8.0,11.0,11.0,11.0,8.0,7.0,9.0,8.0,11.0,12.0,10.0,11.0,8.0,12.0,8.0,7.0,10.0,10.0,9.0,10.0,10.0,10.0,10.0,10.0,9.0,9.6,1.451
14,11.0,8.0,13.0,10.0,10.0,12.0,12.0,10.0,12.0,11.0,11.0,9.0,6.0,10.0,11.0,10.0,6.0,10.0,10.0,8.0,9.0,9.0,9.0,8.0,9.0,8.0,7.0,9.0,7.0,11.0,9.533,1.746
15,9.0,6.0,10.0,8.0,10.0,10.0,11.0,9.0,10.0,11.0,9.0,9.0,8.0,10.0,8.0,11.0,9.0,9.0,12.0,11.0,9.0,11.0,9.0,8.0,10.0,11.0,8.0,9.0,11.0,9.0,9.5,1.285
16,9.0,5.0,11.0,6.0,10.0,10.0,8.0,7.0,11.0,11.0,8.0,9.0,8.0,9.0,12.0,11.0,12.0,11.0,12.0,10.0,11.0,9.0,8.0,7.0,11.0,8.0,10.0,9.0,10.0,8.0,9.367,1.779
17,9.0,8.0,12.0,8.0,9.0,9.0,6.0,11.0,7.0,8.0,10.0,11.0,10.0,10.0,10.0,14.0,11.0,11.0,11.0,8.0,11.0,9.0,11.0,7.0,10.0,12.0,10.0,10.0,9.0,10.0,9.733,1.672
18,11.0,9.0,8.0,9.0,10.0,11.0,10.0,11.0,11.0,9.0,10.0,11.0,10.0,10.0,12.0,11.0,12.0,10.0,11.0,8.0,10.0,11.0,9.0,7.0,8.0,10.0,9.0,10.0,9.0,8.0,9.833,1.241
19,11.0,12.0,9.0,10.0,10.0,10.0,9.0,9.0,11.0,12.0,10.0,9.0,8.0,7.0,11.0,9.0,9.0,9.0,12.0,10.0,10.0,9.0,9.0,11.0,10.0,9.0,10.0,9.0,9.0,7.0,9.667,1.247
20,13.0,10.0,10.0,11.0,12.0,9.0,8.0,10.0,11.0,8.0,11.0,9.0,9.0,8.0,9.0,9.0,8.0,9.0,7.0,10.0,10.0,11.0,11.0,9.0,9.0,12.0,10.0,10.0,9.0,9.0,9.7,1.345
