Generations,Run0,Run1,Run2,Run3,Run4,Run5,Run6,Run7,Run8,Run9,Run10,Run11,Run12,Run13,Run14,Run15,Run16,Run17,Run18,Run19,Run20,Run21,Run22,Run23,Run24,Run25,Run26,Run27,Run28,Run29,ABF,StdDev
0,10.0,11.0,9.0,12.0,9.0,9.0,7.0,10.0,11.0,8.0,9.0,11.0,9.0,9.0,11.0,9.0,12.0,11.0,12.0,8.0,11.0,10.0,11.0,11.0,11.0,11.0,10.0,11.0,12.0,11.0,10.2,1.301
1,12.0,11.0,6.0,13.0,10.0,11.0,10.0,13.0,8.0,11.0,9.0,11.0,11.0,9.0,11.0,9.0,10.0,11.0,8.0,9.0,9.0,11.0,10.0,10.0,11.0,11.0,10.0,13.0,11.0,12.0,10.367,1.538
2,12.0,11.0,11.0,13.0,11.0,9.0,11.0,10.0,11.0,10.0,13.0,12.0,12.0,11.0,12.0,9.0,10.0,12.0,12.0,13.0,12.0,12.0,12.0,11.0,13.0,11.0,10.0,11.0,12.0,11.0,11.333,1.075
3,11.0,8.0,10.0,13.0,11.0,13.0,11.0,10.0,12.0,12.0,13.0,8.0,12.0,11.0,13.0,11.0,12.0,9.0,11.0,11.0,12.0,12.0,11.0,8.0,11.0,10.0,13.0,9.0,11.0,10.0,10.967,1.472
4,14.0,9.0,12.0,12.0,13.0,10.0,12.0,13.0,8.0,13.0,11.0,13.0,14.0,9.0,14.0,8.0,12.0,10.0,12.0,10.0,12.0,13.0,9.0,9.0,12.0,8.0,10.0,11.0,9.0,11.0,11.1,1.868
5,12.0,13.0,10.0,9.0,13.0,11.0,13.0,10.0,9.0,11.0,10.0,11.0,14.0,10.0,9.0,11.0,9.0,12.0,11.0,9.0,11.0,10.0,10.0,12.0,11.0,12.0,8.0,9.0,12.0,12.0,10.8,1.47
6,11.0,9.0,9.0,12.0,13.0,12.0,11.0,10.0,11.0,12.0,10.0,9.0,11.0,11.0,8.0,12.0,11.0,11.0,12.0,11.0,13.0,11.0,9.0,10.0,11.0,12.0,12.0,13.0,10.0,11.0,10.933,1.263
7,13.0,11.0,5.0,11.0,13.0,12.0,8.0,9.0,11.0,13.0,10.0,10.0,13.0,10.0,11.0,13.0,12.0,11.0,13.0,12.0,12.0,8.0,11.0,13.0,12.0,12.0,9.0,10.0,11.0,13.0,11.067,1.861
8,13.0,13.0,13.0,13.0,10.0,12.0,12.0,11.0,11.0,10.0,12.0,10.0,13.0,13.0,10.0,9.0,13.0,10.0,10.0,10.0,11.0,13.0,10.0,14.0,12.0,11.0,12.0,13.0,11.0,10.0,11.5,1.36
9,11.0,13.0,11.0,12.0,13.0,12.0,12.0,10.0,11.0,11.0,11.0,11.0,9.0,11.0,12.0,10.0,13.0,12.0,10.0,7.0,11.0,10.0,11.0,13.0,13.0,10.0,14.0,13.0,12.0,11.0,11.333,1.422
10,9.0,11.0,11.0,12.0,12.0,11.0,13.0,10.0,12.0,9.0,9.0,10.0,14.0,12.0,14.0,9.0,12.0,11.0,7.0,11.0,9.0,11.0,9.0,11.0,13.0,13.0,8.0,11.0,10.0,13.0,10.9,1.739
11,11.0,14.0,10.0,10.0,11.0,8.0,12.0,12.0,10.0,10.0,12.0,11.0,11.0,11.0,12.0,12.0,11.0,11.0,11.0,12.0,11.0,11.0,14.0,10.0,12.0,12.0,13.0,11.0,12.0,11.0,11.3,1.187
12,13.0,14.0,10.0,15.0,13.0,13.0,16.0,11.0,13.0,12.0,12.0,9.0,14.0,9.0,12.0,13.0,12.0,11.0,13.0,12.0,10.0,9.0,13.0,11.0,12.0,14.0,12.0,12.0,12.0,10.0,12.067,1.692
13,11.0,12.0,12.0,12.0,12.0,11.0,13.0,13.0,12.0,11.0,13.0,10.0,11.0,11.0,11.0,12.0,10.0,10.0,12.0,8.0,14.0,10.0,10.0,10.0,14.0,11.0,11.0,9.0,7.0,11.0,11.133,1.543
14,12.0,13.0,14.0,8.0,12.0,6.0,13.0,11.0,12.0,11.0,10.0,13.0,8.0,14.0,10.0,10.0,14.0,13.0,11.0,11.0,14.0,13.0,13.0,11.0,10.0,12.0,9.0,9.0,13.0,11.0,11.367,1.991
