Generations,Run0,Run1,Run2,Run3,Run4,Run5,Run6,Run7,Run8,Run9,Run10,Run11,Run12,Run13,Run14,Run15,Run16,Run17,Run18,Run19,Run20,Run21,Run22,Run23,Run24,Run25,Run26,Run27,Run28,Run29,ABF,StdDev
0,10.0,9.0,11.0,10.0,12.0,12.0,10.0,10.0,11.0,10.0,9.0,9.0,11.0,12.0,10.0,10.0,7.0,9.0,11.0,12.0,11.0,12.0,12.0,9.0,10.0,9.0,11.0,10.0,10.0,11.0,10.333,1.193
1,11.0,10.0,11.0,11.0,11.0,6.0,13.0,13.0,12.0,13.0,12.0,12.0,10.0,9.0,10.0,11.0,12.0,11.0,9.0,11.0,10.0,11.0,10.0,11.0,9.0,12.0,11.0,12.0,11.0,8.0,10.767,1.499
2,11.0,10.0,11.0,10.0,10.0,11.0,9.0,11.0,12.0,12.0,11.0,12.0,12.0,10.0,9.0,11.0,10.0,11.0,9.0,12.0,13.0,11.0,11.0,11.0,11.0,10.0,11.0,7.0,10.0,13.0,10.733,1.236
3,10.0,13.0,12.0,14.0,10.0,13.0,10.0,10.0,9.0,13.0,11.0,12.0,10.0,12.0,7.0,9.0,11.0,12.0,11.0,11.0,13.0,13.0,12.0,12.0,9.0,10.0,12.0,12.0,12.0,10.0,11.167,1.551
4,12.0,13.0,11.0,13.0,9.0,11.0,10.0,11.0,10.0,13.0,7.0,10.0,10.0,12.0,13.0,11.0,11.0,9.0,10.0,12.0,13.0,10.0,10.0,12.0,11.0,11.0,11.0,10.0,10.0,11.0,10.9,1.375
5,9.0,14.0,11.0,8.0,13.0,11.0,11.0,12.0,12.0,11.0,11.0,13.0,12.0,10.0,9.0,11.0,11.0,8.0,7.0,11.0,10.0,11.0,12.0,13.0,11.0,9.0,11.0,7.0,12.0,11.0,10.733,1.711
6,11.0,13.0,12.0,13.0,12.0,11.0,11.0,9.0,12.0,11.0,12.0,11.0,8.0,12.0,12.0,11.0,11.0,11.0,10.0,10.0,13.0,12.0,14.0,11.0,13.0,13.0,9.0,11.0,12.0,11.0,11.4,1.306
7,10.0,13.0,12.0,9.0,12.0,13.0,13.0,11.0,12.0,12.0,9.0,13.0,10.0,9.0,14.0,10.0,12.0,10.0,12.0,9.0,11.0,10.0,9.0,11.0,8.0,9.0,9.0,12.0,9.0,9.0,10.733,1.632
8,7.0,12.0,12.0,7.0,12.0,13.0,12.0,13.0,13.0,10.0,12.0,14.0,12.0,11.0,10.0,10.0,10.0,10.0,11.0,10.0,11.0,13.0,12.0,10.0,10.0,10.0,12.0,13.0,13.0,10.0,11.167,1.655
9,10.0,11.0,13.0,10.0,13.0,10.0,11.0,10.0,10.0,12.0,10.0,12.0,11.0,11.0,11.0,11.0,12.0,11.0,10.0,10.0,12.0,10.0,12.0,14.0,9.0,13.0,13.0,8.0,13.0,10.0,11.1,1.375
10,11.0,10.0,12.0,13.0,12.0,10.0,11.0,11.0,9.0,10.0,9.0,11.0,11.0,13.0,11.0,10.0,12.0,11.0,13.0,13.0,12.0,13.0,9.0,13.0,9.0,10.0,12.0,11.0,10.0,10.0,11.067,1.315
11,10.0,11.0,13.0,12.0,12.0,12.0,13.0,8.0,13.0,11.0,12.0,12.0,13.0,12.0,8.0,11.0,13.0,12.0,13.0,11.0,14.0,10.0,12.0,11.0,13.0,12.0,11.0,12.0,11.0,12.0,11.667,1.35
12,13.0,10.0,10.0,15.0,11.0,12.0,10.0,13.0,12.0,12.0,11.0,10.0,13.0,12.0,9.0,11.0,9.0,9.0,12.0,9.0,10.0,10.0,9.0,14.0,9.0,10.0,13.0,12.0,11.0,13.0,11.133,1.648
13,8.0,10.0,11.0,13.0,10.0,10.0,12.0,9.0,12.0,10.0,11.0,13.0,13.0,12.0,11.0,11.0,12.0,9.0,10.0,12.0,10.0,12.0,14.0,11.0,12.0,11.0,9.0,9.0,12.0,12.0,11.033,1.426
14,11.0,12.0,8.0,15.0,9.0,11.0,12.0,12.0,8.0,9.0,8.0,11.0,12.0,10.0,10.0,11.0,10.0,12.0,11.0,11.0,13.0,14.0,12.0,12.0,12.0,12.0,13.0,9.0,10.0,9.0,10.967,1.722
15,11.0,12.0,10.0,17.0,14.0,13.0,8.0,12.0,10.0,12.0,12.0,11.0,6.0,8.0,10.0,11.0,8.0,10.0,9.0,11.0,14.0,10.0,13.0,10.0,9.0,11.0,15.0,10.0,11.0,11.0,10.967,2.228
16,11.0,12.0,10.0,15.0,14.0,11.0,12.0,14.0,12.0,11.0,13.0,13.0,13.0,12.0,11.0,9.0,18.0,13.0,10.0,11.0,11.0,13.0,9.0,13.0,13.0,10.0,12.0,12.0,10.0,10.0,11.933,1.861
17,11.0,10.0,12.0,14.0,11.0,12.0,11.0,10.0,13.0,12.0,13.0,12.0,13.0,11.0,6.0,11.0,13.0,11.0,11.0,11.0,11.0,11.0,12.0,12.0,11.0,9.0,10.0,10.0,13.0,8.0,11.167,1.593
18,9.0,11.0,11.0,16.0,12.0,13.0,14.0,13.0,9.0,13.0,14.0,10.0,9.0,10.0,12.0,10.0,12.0,11.0,11.0,9.0,12.0,11.0,9.0,10.0,13.0,11.0,9.0,9.0,10.0,11.0,11.133,1.784
19,12.0,12.0,12.0,12.0,9.0,12.0,12.0,11.0,10.0,10.0,14.0,12.0,10.0,11.0,14.0,10.0,11.0,12.0,11.0,14.0,11.0,12.0,10.0,11.0,13.0,11.0,6.0,10.0,10.0,12.0,11.233,1.585
20,10.0,11.0,13.0,18.0,12.0,9.0,10.0,12.0,13.0,11.0,13.0,7.0,12.0,8.0,10.0,11.0,13.0,10.0,12.0,12.0,11.0,11.0,11.0,14.0,11.0,13.0,9.0,9.0,14.0,11.0,11.367,2.073
21,9.0,13.0,13.0,13.0,9.0,8.0,14.0,12.0,14.0,12.0,14.0,13.0,13.0,11.0,10.0,11.0,13.0,12.0,11.0,11.0,13.0,10.0,15.0,8.0,9.0,11.0,6.0,13.0,8.0,9.0,11.267,2.205
22,11.0,10.0,14.0,16.0,12.0,10.0,11.0,10.0,11.0,12.0,14.0,13.0,10.0,11.0,13.0,11.0,11.0,9.0,10.0,13.0,14.0,11.0,14.0,13.0,10.0,11.0,8.0,10.0,11.0,12.0,11.533,1.746
23,13.0,13.0,12.0,13.0,11.0,12.0,11.0,12.0,11.0,8.0,9.0,12.0,12.0,13.0,12.0,12.0,13.0,12.0,11.0,6.0,10.0,6.0,10.0,12.0,10.0,11.0,8.0,13.0,14.0,10.0,11.067,1.982
24,11.0,11.0,12.0,14.0,10.0,12.0,11.0,11.0,13.0,10.0,12.0,12.0,11.0,12.0,11.0,12.0,9.0,13.0,13.0,13.0,10.0,12.0,11.0,15.0,11.0,12.0,10.0,13.0,14.0,11.0,11.733,1.34
25,12.0,11.0,13.0,14.0,14.0,11.0,8.0,10.0,11.0,12.0,9.0,12.0,10.0,13.0,11.0,13.0,9.0,11.0,9.0,10.0,11.0,13.0,10.0,12.0,9.0,11.0,9.0,12.0,13.0,10.0,11.1,1.599
26,10.0,13.0,8.0,11.0,9.0,12.0,8.0,12.0,11.0,10.0,9.0,13.0,11.0,12.0,12.0,16.0,12.0,13.0,11.0,10.0,10.0,12.0,10.0,11.0,13.0,12.0,8.0,13.0,12.0,11.0,11.167,1.753
27,10.0,13.0,9.0,10.0,10.0,14.0,12.0,10.0,11.0,12.0,11.0,11.0,10.0,12.0,11.0,9.0,9.0,13.0,11.0,9.0,12.0,11.0,11.0,12.0,13.0,12.0,8.0,11.0,13.0,11.0,11.033,1.426
28,12.0,10.0,10.0,17.0,9.0,13.0,12.0,10.0,12.0,11.0,10.0,14.0,12.0,8.0,9.0,14.0,7.0,12.0,13.0,11.0,9.0,9.0,12.0,10.0,14.0,14.0,11.0,10.0,9.0,10.0,11.133,2.141
29,10.0,11.0,8.0,15.0,10.0,14.0,10.0,9.0,11.0,13.0,12.0,13.0,12.0,13.0,11.0,10.0,8.0,13.0,9.0,11.0,13.0,12.0,12.0,10.0,10.0,11.0,11.0,9.0,10.0,11.0,11.067,1.692
30,12.0,13.0,11.0,11.0,11.0,11.0,13.0,12.0,10.0,11.0,10.0,11.0,11.0,13.0,11.0,14.0,12.0,12.0,11.0,11.0,12.0,11.0,11.0,13.0,11.0,10.0,12.0,12.0,13.0,11.0,11.567,0.989
31,14.0,11.0,11.0,13.0,13.0,10.0,10.0,11.0,12.0,11.0,9.0,10.0,11.0,13.0,11.0,11.0,11.0,12.0,10.0,12.0,9.0,8.0,12.0,13.0,9.0,13.0,16.0,12.0,14.0,12.0,11.467,1.707
32,11.0,11.0,12.0,13.0,11.0,13.0,9.0,11.0,13.0,9.0,10.0,10.0,10.0,11.0,11.0,14.0,10.0,11.0,11.0,9.0,13.0,11.0,10.0,12.0,11.0,13.0,15.0,10.0,11.0,12.0,11.267,1.459
33,12.0,8.0,10.0,13.0,10.0,11.0,9.0,12.0,12.0,13.0,11.0,12.0,11.0,14.0,11.0,9.0,14.0,14.0,11.0,13.0,10.0,12.0,14.0,12.0,10.0,11.0,12.0,12.0,12.0,12.0,11.567,1.521
34,11.0,8.0,10.0,15.0,12.0,13.0,11.0,10.0,12.0,11.0,12.0,10.0,8.0,11.0,10.0,12.0,10.0,10.0,10.0,10.0,14.0,7.0,10.0,8.0,12.0,12.0,14.0,13.0,10.0,9.0,10.833,1.863
35,11.0,7.0,10.0,13.0,13.0,14.0,12.0,13.0,11.0,11.0,10.0,12.0,7.0,10.0,10.0,13.0,10.0,10.0,13.0,9.0,10.0,10.0,10.0,7.0,14.0,12.0,14.0,10.0,12.0,10.0,10.933,1.948
36,13.0,10.0,11.0,10.0,14.0,14.0,10.0,11.0,11.0,11.0,9.0,10.0,12.0,12.0,12.0,7.0,10.0,12.0,12.0,10.0,10.0,10.0,11.0,10.0,13.0,12.0,13.0,12.0,14.0,11.0,11.233,1.564
37,11.0,10.0,9.0,10.0,13.0,13.0,11.0,13.0,12.0,10.0,11.0,12.0,10.0,12.0,10.0,11.0,11.0,13.0,11.0,12.0,14.0,12.0,12.0,7.0,12.0,12.0,14.0,14.0,11.0,10.0,11.433,1.542
38,13.0,7.0,11.0,9.0,14.0,14.0,12.0,11.0,8.0,11.0,10.0,10.0,11.0,10.0,6.0,10.0,10.0,9.0,11.0,10.0,10.0,12.0,11.0,11.0,14.0,12.0,14.0,13.0,7.0,12.0,10.767,2.06
39,11.0,5.0,12.0,10.0,13.0,14.0,12.0,14.0,8.0,12.0,16.0,11.0,14.0,12.0,12.0,10.0,10.0,7.0,14.0,14.0,11.0,10.0,12.0,10.0,11.0,11.0,15.0,10.0,10.0,12.0,11.433,2.305
40,9.0,5.0,11.0,10.0,11.0,15.0,12.0,14.0,14.0,12.0,14.0,9.0,9.0,8.0,10.0,11.0,10.0,12.0,15.0,12.0,12.0,6.0,13.0,8.0,8.0,10.0,14.0,11.0,9.0,14.0,10.933,2.542
41,11.0,6.0,16.0,7.0,10.0,12.0,12.0,13.0,10.0,11.0,15.0,15.0,10.0,9.0,11.0,11.0,12.0,13.0,12.0,13.0,11.0,13.0,10.0,12.0,8.0,13.0,14.0,10.0,12.0,10.0,11.4,2.215
42,12.0,8.0,13.0,9.0,11.0,13.0,8.0,8.0,8.0,7.0,13.0,13.0,12.0,11.0,8.0,12.0,9.0,12.0,13.0,9.0,12.0,13.0,11.0,14.0,12.0,11.0,14.0,12.0,8.0,13.0,10.967,2.121
43,11.0,10.0,16.0,10.0,9.0,17.0,10.0,13.0,8.0,8.0,15.0,12.0,11.0,11.0,10.0,13.0,8.0,11.0,12.0,13.0,13.0,9.0,12.0,15.0,11.0,13.0,13.0,10.0,9.0,11.0,11.467,2.291
44,8.0,9.0,18.0,12.0,12.0,11.0,13.0,12.0,10.0,10.0,13.0,13.0,9.0,10.0,9.0,10.0,10.0,10.0,10.0,13.0,9.0,11.0,10.0,17.0,11.0,11.0,11.0,11.0,12.0,10.0,11.167,2.146
45,8.0,10.0,14.0,10.0,10.0,10.0,13.0,10.0,10.0,11.0,13.0,11.0,10.0,12.0,11.0,14.0,10.0,10.0,10.0,10.0,13.0,11.0,11.0,15.0,11.0,12.0,14.0,11.0,11.0,10.0,11.2,1.6
46,10.0,10.0,11.0,10.0,9.0,10.0,11.0,10.0,8.0,14.0,12.0,12.0,11.0,14.0,13.0,12.0,9.0,10.0,11.0,15.0,11.0,12.0,13.0,10.0,12.0,10.0,14.0,7.0,11.0,11.0,11.1,1.795
47,10.0,10.0,10.0,6.0,6.0,8.0,15.0,12.0,9.0,13.0,14.0,11.0,12.0,13.0,9.0,13.0,10.0,10.0,13.0,9.0,15.0,9.0,14.0,9.0,13.0,9.0,14.0,10.0,14.0,9.0,10.967,2.47
48,9.0,8.0,13.0,10.0,13.0,9.0,9.0,11.0,10.0,11.0,15.0,10.0,11.0,14.0,12.0,11.0,10.0,13.0,9.0,11.0,14.0,10.0,10.0,12.0,14.0,10.0,14.0,8.0,15.0,12.0,11.267,2.015
49,10.0,13.0,12.0,13.0,8.0,9.0,13.0,12.0,10.0,8.0,12.0,11.0,15.0,11.0,9.0,12.0,9.0,11.0,5.0,10.0,12.0,11.0,13.0,14.0,8.0,11.0,11.0,12.0,16.0,13.0,11.133,2.262
50,13.0,9.0,13.0,10.0,10.0,9.0,12.0,8.0,11.0,11.0,15.0,12.0,13.0,11.0,9.0,11.0,9.0,12.0,7.0,10.0,12.0,12.0,11.0,13.0,10.0,10.0,12.0,14.0,15.0,9.0,11.1,1.938
51,11.0,12.0,13.0,12.0,12.0,8.0,11.0,10.0,11.0,11.0,8.0,9.0,12.0,14.0,11.0,15.0,8.0,11.0,5.0,9.0,5.0,10.0,13.0,13.0,13.0,11.0,13.0,10.0,12.0,12.0,10.833,2.311
52,11.0,10.0,15.0,10.0,13.0,10.0,12.0,8.0,9.0,12.0,12.0,13.0,10.0,12.0,13.0,11.0,9.0,9.0,7.0,12.0,11.0,13.0,12.0,13.0,12.0,11.0,10.0,11.0,11.0,10.0,11.067,1.692
53,13.0,14.0,11.0,7.0,11.0,11.0,12.0,9.0,10.0,11.0,8.0,11.0,10.0,13.0,9.0,11.0,10.0,11.0,7.0,8.0,10.0,11.0,10.0,9.0,10.0,9.0,12.0,12.0,10.0,10.0,10.333,1.64
54,10.0,10.0,12.0,11.0,13.0,6.0,12.0,11.0,7.0,9.0,7.0,10.0,12.0,11.0,10.0,12.0,7.0,11.0,8.0,9.0,9.0,10.0,9.0,10.0,13.0,13.0,12.0,10.0,12.0,10.0,10.2,1.869
55,13.0,8.0,8.0,13.0,14.0,6.0,11.0,8.0,8.0,9.0,11.0,10.0,11.0,11.0,12.0,10.0,11.0,10.0,8.0,10.0,8.0,14.0,12.0,11.0,13.0,11.0,10.0,9.0,16.0,14.0,10.667,2.271
56,14.0,11.0,7.0,10.0,10.0,6.0,10.0,7.0,10.0,12.0,10.0,10.0,8.0,9.0,12.0,10.0,11.0,9.0,10.0,11.0,12.0,12.0,11.0,9.0,12.0,10.0,9.0,13.0,15.0,8.0,10.267,1.982
57,15.0,9.0,9.0,9.0,11.0,6.0,12.0,10.0,13.0,10.0,12.0,12.0,12.0,9.0,10.0,12.0,9.0,12.0,6.0,11.0,11.0,13.0,8.0,18.0,12.0,11.0,12.0,13.0,12.0,11.0,11.0,2.366
58,13.0,8.0,9.0,10.0,10.0,7.0,10.0,7.0,10.0,10.0,9.0,10.0,9.0,8.0,13.0,9.0,9.0,11.0,6.0,11.0,8.0,10.0,10.0,11.0,12.0,13.0,10.0,13.0,12.0,8.0,9.867,1.839
59,15.0,6.0,9.0,13.0,11.0,9.0,7.0,11.0,10.0,10.0,8.0,10.0,9.0,8.0,12.0,13.0,8.0,11.0,7.0,9.0,9.0,11.0,11.0,10.0,13.0,12.0,8.0,12.0,12.0,11.0,10.167,2.067
60,13.0,9.0,7.0,12.0,8.0,9.0,12.0,9.0,10.0,14.0,13.0,10.0,9.0,10.0,13.0,13.0,10.0,11.0,7.0,10.0,8.0,14.0,8.0,14.0,13.0,11.0,10.0,14.0,14.0,8.0,10.767,2.276
61,13.0,11.0,10.0,11.0,10.0,8.0,11.0,8.0,11.0,10.0,13.0,11.0,10.0,13.0,9.0,17.0,11.0,10.0,9.0,11.0,12.0,11.0,13.0,14.0,11.0,11.0,10.0,12.0,10.0,9.0,11.0,1.826
62,9.0,10.0,11.0,11.0,10.0,8.0,10.0,12.0,11.0,8.0,11.0,11.0,8.0,10.0,10.0,17.0,14.0,12.0,8.0,9.0,10.0,10.0,11.0,15.0,14.0,11.0,8.0,13.0,10.0,9.0,10.7,2.147
63,13.0,11.0,10.0,12.0,10.0,8.0,8.0,10.0,12.0,9.0,11.0,9.0,8.0,11.0,14.0,18.0,12.0,12.0,7.0,10.0,8.0,9.0,12.0,14.0,13.0,12.0,8.0,13.0,8.0,10.0,10.733,2.38
64,10.0,10.0,12.0,11.0,10.0,10.0,11.0,10.0,10.0,8.0,12.0,12.0,9.0,12.0,13.0,16.0,10.0,10.0,11.0,12.0,8.0,9.0,11.0,14.0,9.0,9.0,7.0,10.0,11.0,10.0,10.567,1.802
65,14.0,11.0,9.0,10.0,13.0,9.0,9.0,10.0,8.0,12.0,13.0,10.0,10.0,10.0,17.0,10.0,10.0,11.0,9.0,9.0,9.0,7.0,15.0,18.0,12.0,11.0,6.0,10.0,14.0,10.0,10.867,2.655
66,12.0,8.0,10.0,14.0,11.0,11.0,11.0,10.0,9.0,12.0,14.0,13.0,13.0,9.0,15.0,11.0,12.0,12.0,11.0,10.0,15.0,10.0,13.0,15.0,11.0,12.0,9.0,11.0,12.0,9.0,11.5,1.875
67,12.0,7.0,7.0,11.0,8.0,8.0,13.0,13.0,12.0,10.0,11.0,11.0,9.0,6.0,14.0,12.0,7.0,10.0,11.0,12.0,11.0,10.0,13.0,13.0,9.0,12.0,11.0,8.0,13.0,11.0,10.5,2.141
68,16.0,10.0,7.0,12.0,8.0,11.0,10.0,9.0,12.0,13.0,12.0,11.0,14.0,11.0,14.0,14.0,10.0,10.0,10.0,12.0,9.0,14.0,12.0,16.0,9.0,13.0,12.0,10.0,14.0,11.0,11.533,2.187
69,15.0,9.0,9.0,9.0,12.0,11.0,12.0,9.0,12.0,11.0,10.0,10.0,10.0,10.0,13.0,14.0,7.0,6.0,13.0,8.0,12.0,12.0,12.0,16.0,12.0,14.0,16.0,11.0,13.0,14.0,11.4,2.43
70,12.0,7.0,11.0,8.0,11.0,12.0,11.0,13.0,13.0,12.0,12.0,12.0,10.0,13.0,11.0,10.0,9.0,10.0,9.0,10.0,13.0,12.0,13.0,18.0,11.0,13.0,11.0,9.0,12.0,14.0,11.4,2.043
71,23.0,10.0,9.0,9.0,11.0,13.0,8.0,10.0,11.0,13.0,12.0,8.0,11.0,10.0,14.0,11.0,10.0,9.0,9.0,9.0,10.0,11.0,16.0,15.0,13.0,12.0,11.0,11.0,13.0,15.0,11.567,2.952
72,17.0,13.0,10.0,8.0,12.0,10.0,9.0,11.0,14.0,11.0,15.0,13.0,12.0,11.0,13.0,11.0,8.0,12.0,8.0,11.0,11.0,11.0,11.0,11.0,13.0,12.0,13.0,10.0,11.0,13.0,11.5,1.962
73,16.0,8.0,11.0,7.0,14.0,13.0,13.0,11.0,11.0,12.0,16.0,10.0,10.0,12.0,12.0,10.0,8.0,10.0,12.0,9.0,15.0,13.0,11.0,13.0,9.0,13.0,12.0,10.0,11.0,13.0,11.5,2.187
74,21.0,12.0,10.0,8.0,12.0,13.0,12.0,12.0,12.0,10.0,13.0,10.0,10.0,10.0,12.0,12.0,9.0,10.0,7.0,9.0,12.0,13.0,11.0,13.0,11.0,12.0,14.0,12.0,12.0,10.0,11.467,2.377
75,20.0,9.0,11.0,9.0,12.0,12.0,11.0,11.0,12.0,12.0,14.0,14.0,12.0,9.0,11.0,9.0,8.0,13.0,10.0,11.0,9.0,13.0,11.0,11.0,11.0,13.0,13.0,11.0,11.0,6.0,11.3,2.397
76,13.0,12.0,8.0,8.0,11.0,14.0,11.0,14.0,10.0,12.0,12.0,15.0,10.0,12.0,11.0,8.0,9.0,11.0,8.0,10.0,10.0,10.0,13.0,9.0,12.0,12.0,13.0,13.0,10.0,11.0,11.067,1.879
77,15.0,12.0,9.0,7.0,10.0,14.0,10.0,12.0,8.0,10.0,14.0,14.0,11.0,11.0,11.0,11.0,8.0,10.0,7.0,10.0,9.0,15.0,11.0,9.0,15.0,13.0,9.0,8.0,10.0,11.0,10.8,2.315
78,11.0,14.0,8.0,9.0,13.0,14.0,9.0,12.0,8.0,9.0,15.0,10.0,10.0,14.0,11.0,8.0,8.0,11.0,8.0,9.0,10.0,10.0,13.0,9.0,13.0,13.0,11.0,10.0,13.0,9.0,10.733,2.128
79,14.0,13.0,12.0,9.0,10.0,15.0,7.0,12.0,10.0,11.0,14.0,10.0,9.0,11.0,12.0,8.0,9.0,12.0,10.0,10.0,11.0,13.0,8.0,13.0,10.0,14.0,8.0,10.0,14.0,10.0,10.967,2.089
80,12.0,14.0,13.0,11.0,13.0,16.0,8.0,8.0,7.0,11.0,13.0,12.0,10.0,9.0,10.0,7.0,7.0,11.0,9.0,11.0,11.0,8.0,10.0,11.0,13.0,14.0,11.0,10.0,13.0,9.0,10.733,2.265
81,11.0,15.0,14.0,8.0,10.0,15.0,9.0,9.0,9.0,11.0,15.0,14.0,11.0,10.0,10.0,9.0,13.0,13.0,7.0,9.0,11.0,11.0,12.0,9.0,10.0,14.0,12.0,10.0,13.0,10.0,11.133,2.187
82,10.0,14.0,11.0,10.0,12.0,12.0,9.0,12.0,11.0,11.0,15.0,10.0,10.0,10.0,9.0,6.0,10.0,12.0,7.0,10.0,11.0,14.0,16.0,14.0,9.0,9.0,14.0,10.0,13.0,9.0,11.0,2.266
83,12.0,13.0,12.0,9.0,10.0,10.0,7.0,13.0,10.0,10.0,12.0,12.0,12.0,11.0,10.0,12.0,14.0,14.0,4.0,12.0,10.0,11.0,12.0,12.0,13.0,10.0,14.0,9.0,12.0,11.0,11.1,2.071
84,10.0,13.0,12.0,14.0,14.0,9.0,7.0,9.0,10.0,12.0,15.0,13.0,9.0,11.0,14.0,10.0,11.0,11.0,7.0,8.0,11.0,8.0,12.0,11.0,13.0,15.0,17.0,12.0,11.0,11.0,11.333,2.399
85,10.0,14.0,12.0,10.0,12.0,9.0,8.0,12.0,9.0,11.0,14.0,11.0,11.0,13.0,7.0,11.0,9.0,14.0,7.0,9.0,13.0,13.0,14.0,10.0,13.0,12.0,16.0,9.0,9.0,10.0,11.067,2.235
86,10.0,11.0,15.0,12.0,9.0,7.0,8.0,11.0,12.0,10.0,12.0,11.0,11.0,12.0,9.0,12.0,8.0,12.0,8.0,8.0,10.0,10.0,8.0,10.0,8.0,10.0,12.0,9.0,10.0,11.0,10.2,1.759
87,13.0,14.0,14.0,11.0,11.0,9.0,8.0,9.0,10.0,10.0,17.0,8.0,10.0,14.0,7.0,9.0,9.0,12.0,8.0,9.0,6.0,11.0,12.0,8.0,9.0,8.0,14.0,11.0,10.0,11.0,10.4,2.458
88,12.0,12.0,12.0,10.0,11.0,10.0,6.0,11.0,12.0,9.0,13.0,9.0,9.0,12.0,11.0,10.0,11.0,11.0,9.0,9.0,10.0,10.0,12.0,11.0,10.0,11.0,11.0,10.0,12.0,11.0,10.567,1.383
89,11.0,16.0,14.0,9.0,7.0,10.0,5.0,11.0,11.0,12.0,12.0,11.0,7.0,11.0,7.0,7.0,9.0,14.0,9.0,8.0,8.0,11.0,11.0,11.0,10.0,14.0,14.0,12.0,13.0,11.0,10.533,2.539
90,14.0,8.0,11.0,7.0,6.0,11.0,6.0,10.0,13.0,11.0,15.0,13.0,13.0,12.0,8.0,9.0,10.0,13.0,7.0,7.0,9.0,10.0,9.0,9.0,8.0,11.0,13.0,9.0,11.0,12.0,10.167,2.409
91,10.0,9.0,10.0,7.0,12.0,9.0,6.0,10.0,10.0,9.0,10.0,12.0,10.0,11.0,8.0,7.0,9.0,8.0,12.0,5.0,10.0,11.0,13.0,12.0,12.0,11.0,13.0,9.0,9.0,12.0,9.867,1.979
92,12.0,15.0,12.0,8.0,11.0,8.0,8.0,9.0,8.0,12.0,10.0,12.0,14.0,10.0,10.0,12.0,10.0,12.0,13.0,8.0,9.0,13.0,10.0,13.0,13.0,12.0,13.0,9.0,12.0,13.0,11.033,1.991
93,7.0,14.0,12.0,6.0,11.0,9.0,7.0,14.0,10.0,10.0,14.0,9.0,12.0,11.0,10.0,12.0,9.0,7.0,10.0,8.0,7.0,9.0,9.0,10.0,13.0,13.0,13.0,11.0,11.0,12.0,10.333,2.256
94,5.0,12.0,12.0,7.0,13.0,9.0,7.0,10.0,11.0,12.0,14.0,14.0,10.0,11.0,15.0,13.0,14.0,12.0,10.0,9.0,12.0,10.0,11.0,11.0,9.0,8.0,11.0,10.0,10.0,9.0,10.7,2.253
95,7.0,11.0,10.0,8.0,14.0,9.0,5.0,12.0,15.0,14.0,11.0,13.0,12.0,11.0,15.0,12.0,12.0,10.0,11.0,10.0,10.0,8.0,8.0,10.0,8.0,12.0,13.0,11.0,10.0,10.0,10.733,2.308
96,6.0,13.0,9.0,10.0,12.0,9.0,6.0,7.0,10.0,12.0,12.0,14.0,8.0,13.0,15.0,13.0,9.0,10.0,11.0,10.0,13.0,7.0,9.0,9.0,7.0,14.0,10.0,9.0,11.0,12.0,10.333,2.427
