Generations,Run0,Run1,Run2,Run3,Run4,Run5,Run6,Run7,Run8,Run9,Run10,Run11,Run12,Run13,Run14,Run15,Run16,Run17,Run18,Run19,Run20,Run21,Run22,Run23,Run24,Run25,Run26,Run27,Run28,Run29,ABF,StdDev
0,9.0,10.0,12.0,10.0,11.0,9.0,9.0,10.0,11.0,12.0,12.0,10.0,12.0,12.0,12.0,11.0,8.0,10.0,10.0,11.0,11.0,10.0,8.0,10.0,9.0,11.0,10.0,11.0,11.0,9.0,10.367,1.169
1,12.0,12.0,11.0,9.0,12.0,12.0,11.0,10.0,10.0,11.0,8.0,13.0,9.0,11.0,11.0,13.0,11.0,12.0,10.0,11.0,11.0,11.0,10.0,8.0,7.0,10.0,9.0,11.0,10.0,14.0,10.667,1.535
2,10.0,11.0,14.0,12.0,11.0,11.0,11.0,11.0,11.0,11.0,10.0,10.0,11.0,13.0,11.0,10.0,9.0,10.0,11.0,12.0,13.0,10.0,11.0,11.0,12.0,9.0,7.0,11.0,8.0,12.0,10.8,1.4
3,11.0,13.0,9.0,11.0,11.0,11.0,11.0,14.0,10.0,11.0,13.0,12.0,11.0,12.0,14.0,11.0,10.0,11.0,12.0,10.0,13.0,11.0,10.0,11.0,11.0,10.0,10.0,11.0,6.0,12.0,11.1,1.513
4,10.0,12.0,12.0,11.0,11.0,12.0,11.0,11.0,11.0,13.0,12.0,10.0,10.0,11.0,12.0,10.0,11.0,12.0,11.0,13.0,11.0,9.0,9.0,12.0,12.0,12.0,12.0,11.0,11.0,12.0,11.233,0.989
5,11.0,11.0,10.0,10.0,10.0,10.0,12.0,12.0,13.0,13.0,12.0,11.0,7.0,9.0,15.0,11.0,11.0,9.0,10.0,9.0,12.0,11.0,9.0,15.0,11.0,13.0,11.0,13.0,13.0,13.0,11.233,1.783
6,10.0,10.0,11.0,11.0,11.0,12.0,10.0,11.0,9.0,12.0,12.0,9.0,11.0,7.0,11.0,13.0,13.0,12.0,10.0,10.0,11.0,11.0,11.0,13.0,12.0,12.0,10.0,10.0,10.0,12.0,10.9,1.3
7,12.0,12.0,12.0,8.0,12.0,10.0,10.0,11.0,7.0,12.0,12.0,10.0,13.0,10.0,10.0,8.0,12.0,11.0,13.0,12.0,13.0,12.0,11.0,14.0,10.0,12.0,11.0,12.0,10.0,9.0,11.033,1.602
8,10.0,12.0,13.0,11.0,8.0,9.0,12.0,11.0,9.0,11.0,11.0,10.0,11.0,11.0,12.0,12.0,12.0,10.0,9.0,12.0,11.0,9.0,10.0,13.0,12.0,10.0,11.0,7.0,9.0,12.0,10.667,1.445
9,11.0,8.0,11.0,13.0,9.0,11.0,10.0,11.0,9.0,12.0,12.0,11.0,14.0,11.0,11.0,14.0,14.0,10.0,10.0,10.0,13.0,9.0,10.0,11.0,11.0,11.0,10.0,11.0,9.0,11.0,10.933,1.504
10,11.0,6.0,10.0,14.0,8.0,11.0,12.0,12.0,10.0,12.0,10.0,9.0,8.0,11.0,10.0,9.0,12.0,13.0,12.0,11.0,11.0,13.0,12.0,11.0,9.0,11.0,14.0,10.0,11.0,11.0,10.8,1.74
11,12.0,13.0,10.0,11.0,11.0,11.0,9.0,10.0,12.0,11.0,11.0,13.0,14.0,14.0,9.0,12.0,13.0,12.0,11.0,11.0,10.0,11.0,12.0,10.0,12.0,11.0,9.0,10.0,11.0,10.0,11.2,1.327
12,11.0,11.0,10.0,14.0,9.0,12.0,13.0,10.0,12.0,12.0,14.0,12.0,13.0,10.0,11.0,12.0,8.0,10.0,8.0,11.0,10.0,12.0,11.0,12.0,10.0,13.0,11.0,7.0,8.0,10.0,10.9,1.739
13,8.0,13.0,12.0,11.0,10.0,10.0,12.0,9.0,10.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,13.0,14.0,14.0,11.0,13.0,12.0,12.0,14.0,14.0,11.0,13.0,10.0,11.0,12.0,11.533,1.477
14,13.0,11.0,9.0,10.0,11.0,9.0,10.0,8.0,14.0,13.0,12.0,7.0,9.0,9.0,12.0,11.0,11.0,14.0,14.0,9.0,13.0,12.0,8.0,12.0,12.0,12.0,13.0,13.0,13.0,12.0,11.2,1.939
