Generations,Run0,Run1,Run2,Run3,Run4,Run5,Run6,Run7,Run8,Run9,Run10,Run11,Run12,Run13,Run14,Run15,Run16,Run17,Run18,Run19,Run20,Run21,Run22,Run23,Run24,Run25,Run26,Run27,Run28,Run29,ABF,StdDev
0,7.0,10.0,10.0,9.0,12.0,12.0,12.0,10.0,9.0,12.0,10.0,10.0,10.0,11.0,11.0,9.0,8.0,9.0,8.0,10.0,12.0,9.0,10.0,10.0,11.0,9.0,12.0,8.0,10.0,9.0,9.967,1.354
1,7.0,8.0,11.0,6.0,11.0,11.0,12.0,10.0,8.0,12.0,10.0,8.0,10.0,11.0,10.0,9.0,8.0,9.0,8.0,8.0,11.0,8.0,10.0,9.0,10.0,8.0,10.0,9.0,9.0,9.0,9.333,1.445
2,8.0,8.0,10.0,7.0,11.0,11.0,12.0,10.0,10.0,12.0,11.0,7.0,10.0,11.0,10.0,10.0,8.0,9.0,9.0,9.0,11.0,8.0,10.0,9.0,10.0,9.0,10.0,8.0,9.0,9.0,9.533,1.31
3,8.0,8.0,10.0,7.0,10.0,11.0,12.0,11.0,11.0,12.0,8.0,9.0,11.0,10.0,10.0,11.0,7.0,9.0,9.0,9.0,11.0,7.0,10.0,8.0,10.0,9.0,10.0,9.0,9.0,10.0,9.533,1.384
4,8.0,8.0,11.0,9.0,10.0,10.0,11.0,10.0,11.0,12.0,8.0,9.0,11.0,10.0,10.0,12.0,7.0,9.0,9.0,7.0,12.0,7.0,10.0,7.0,12.0,9.0,10.0,10.0,9.0,10.0,9.6,1.519
5,10.0,7.0,11.0,9.0,9.0,12.0,12.0,12.0,11.0,13.0,8.0,9.0,12.0,10.0,12.0,11.0,9.0,10.0,9.0,11.0,13.0,9.0,12.0,8.0,12.0,8.0,10.0,7.0,9.0,9.0,10.133,1.707
6,12.0,8.0,12.0,10.0,9.0,13.0,12.0,12.0,9.0,13.0,8.0,7.0,13.0,10.0,12.0,11.0,9.0,12.0,8.0,11.0,12.0,13.0,12.0,15.0,12.0,8.0,12.0,9.0,10.0,8.0,10.733,1.999
7,11.0,9.0,11.0,11.0,8.0,12.0,9.0,12.0,9.0,13.0,13.0,9.0,14.0,15.0,12.0,11.0,12.0,12.0,9.0,13.0,11.0,14.0,12.0,16.0,12.0,12.0,14.0,11.0,13.0,7.0,11.567,2.06
8,10.0,9.0,14.0,11.0,9.0,9.0,9.0,12.0,9.0,14.0,16.0,10.0,14.0,17.0,12.0,8.0,12.0,12.0,9.0,11.0,14.0,15.0,12.0,13.0,17.0,14.0,17.0,11.0,17.0,7.0,12.133,2.895
9,10.0,17.0,18.0,15.0,9.0,9.0,11.0,14.0,10.0,14.0,19.0,10.0,14.0,17.0,15.0,9.0,12.0,12.0,11.0,11.0,13.0,13.0,11.0,15.0,18.0,15.0,23.0,11.0,17.0,9.0,13.4,3.47
10,10.0,21.0,18.0,17.0,9.0,10.0,14.0,14.0,15.0,13.0,17.0,10.0,14.0,17.0,15.0,11.0,16.0,14.0,11.0,13.0,13.0,12.0,10.0,13.0,16.0,17.0,19.0,12.0,17.0,11.0,13.967,3.016
11,13.0,21.0,27.0,17.0,13.0,13.0,13.0,15.0,15.0,13.0,20.0,10.0,10.0,18.0,19.0,9.0,14.0,16.0,11.0,14.0,13.0,16.0,10.0,13.0,15.0,21.0,17.0,11.0,16.0,12.0,14.833,3.908
12,14.0,19.0,23.0,17.0,14.0,13.0,13.0,15.0,9.0,17.0,19.0,11.0,10.0,20.0,20.0,14.0,14.0,22.0,11.0,13.0,13.0,17.0,10.0,18.0,16.0,20.0,21.0,12.0,18.0,18.0,15.7,3.778
13,15.0,20.0,27.0,17.0,16.0,14.0,14.0,17.0,12.0,18.0,14.0,11.0,15.0,20.0,17.0,14.0,14.0,22.0,13.0,15.0,14.0,17.0,10.0,20.0,14.0,23.0,21.0,14.0,18.0,19.0,16.5,3.713
14,17.0,17.0,24.0,13.0,20.0,17.0,15.0,17.0,18.0,18.0,16.0,9.0,16.0,19.0,18.0,15.0,15.0,24.0,12.0,15.0,15.0,20.0,12.0,22.0,14.0,23.0,22.0,14.0,18.0,19.0,17.133,3.575
15,16.0,17.0,25.0,13.0,31.0,18.0,17.0,19.0,20.0,22.0,17.0,13.0,16.0,21.0,24.0,14.0,15.0,26.0,12.0,17.0,9.0,18.0,13.0,19.0,15.0,21.0,21.0,15.0,20.0,17.0,18.033,4.542
16,17.0,15.0,22.0,15.0,32.0,20.0,14.0,20.0,25.0,21.0,17.0,12.0,19.0,22.0,27.0,14.0,15.0,23.0,13.0,18.0,10.0,19.0,15.0,19.0,17.0,20.0,17.0,14.0,23.0,17.0,18.4,4.623
17,15.0,14.0,20.0,18.0,31.0,26.0,14.0,20.0,17.0,20.0,15.0,13.0,20.0,19.0,23.0,19.0,18.0,19.0,17.0,16.0,17.0,20.0,15.0,20.0,18.0,16.0,17.0,16.0,25.0,19.0,18.567,3.765
18,15.0,11.0,22.0,21.0,25.0,25.0,16.0,21.0,17.0,16.0,15.0,13.0,19.0,19.0,23.0,16.0,11.0,22.0,14.0,19.0,13.0,23.0,17.0,20.0,18.0,17.0,18.0,14.0,20.0,19.0,17.967,3.755
19,17.0,11.0,20.0,20.0,25.0,28.0,17.0,24.0,17.0,16.0,17.0,17.0,18.0,19.0,20.0,13.0,13.0,21.0,17.0,19.0,12.0,21.0,20.0,20.0,18.0,17.0,21.0,13.0,22.0,16.0,18.3,3.752
20,17.0,12.0,24.0,20.0,27.0,30.0,14.0,25.0,22.0,18.0,17.0,17.0,19.0,19.0,17.0,13.0,14.0,20.0,19.0,17.0,11.0,23.0,20.0,20.0,19.0,24.0,25.0,13.0,20.0,17.0,19.1,4.46
21,19.0,15.0,23.0,18.0,30.0,29.0,12.0,24.0,20.0,20.0,21.0,20.0,20.0,21.0,16.0,13.0,14.0,19.0,19.0,17.0,10.0,23.0,17.0,15.0,17.0,23.0,23.0,14.0,18.0,14.0,18.8,4.534
22,19.0,14.0,26.0,20.0,34.0,31.0,11.0,18.0,21.0,21.0,21.0,27.0,20.0,18.0,16.0,12.0,14.0,20.0,19.0,17.0,10.0,20.0,17.0,11.0,16.0,23.0,23.0,15.0,18.0,16.0,18.933,5.452
23,17.0,15.0,27.0,22.0,22.0,31.0,12.0,18.0,21.0,20.0,21.0,24.0,24.0,16.0,16.0,13.0,13.0,19.0,20.0,14.0,12.0,25.0,13.0,11.0,16.0,22.0,18.0,15.0,21.0,16.0,18.467,4.815
24,20.0,19.0,24.0,26.0,23.0,25.0,12.0,16.0,21.0,19.0,21.0,25.0,19.0,18.0,20.0,17.0,12.0,15.0,18.0,16.0,15.0,19.0,17.0,16.0,16.0,21.0,18.0,16.0,23.0,18.0,18.833,3.55
25,21.0,23.0,24.0,25.0,20.0,25.0,14.0,19.0,21.0,19.0,24.0,23.0,19.0,15.0,20.0,17.0,13.0,16.0,19.0,17.0,16.0,19.0,15.0,20.0,17.0,22.0,18.0,13.0,20.0,22.0,19.2,3.38
26,24.0,25.0,19.0,25.0,22.0,20.0,21.0,17.0,21.0,20.0,29.0,22.0,19.0,17.0,26.0,13.0,22.0,17.0,19.0,19.0,15.0,19.0,13.0,19.0,17.0,22.0,17.0,15.0,24.0,21.0,19.967,3.728
27,26.0,23.0,19.0,24.0,23.0,22.0,21.0,17.0,21.0,17.0,25.0,22.0,17.0,15.0,24.0,15.0,22.0,22.0,19.0,22.0,15.0,20.0,15.0,19.0,18.0,21.0,22.0,15.0,25.0,19.0,20.167,3.277
28,28.0,23.0,21.0,22.0,24.0,24.0,18.0,17.0,21.0,15.0,21.0,18.0,22.0,16.0,22.0,13.0,25.0,22.0,18.0,17.0,16.0,25.0,20.0,15.0,21.0,18.0,23.0,14.0,25.0,18.0,20.067,3.714
29,26.0,17.0,21.0,20.0,27.0,24.0,19.0,20.0,18.0,16.0,18.0,18.0,16.0,16.0,21.0,13.0,25.0,20.0,23.0,20.0,22.0,24.0,17.0,15.0,19.0,18.0,23.0,11.0,23.0,19.0,19.633,3.701
30,33.0,17.0,22.0,16.0,27.0,24.0,21.0,22.0,19.0,15.0,19.0,17.0,16.0,16.0,20.0,15.0,26.0,21.0,21.0,20.0,26.0,24.0,13.0,15.0,21.0,16.0,24.0,15.0,19.0,17.0,19.9,4.445
31,28.0,16.0,18.0,12.0,24.0,23.0,19.0,26.0,18.0,14.0,15.0,14.0,18.0,16.0,22.0,14.0,27.0,19.0,20.0,16.0,27.0,19.0,18.0,20.0,20.0,17.0,24.0,13.0,19.0,15.0,19.033,4.332
32,25.0,17.0,19.0,12.0,25.0,20.0,19.0,18.0,31.0,16.0,16.0,15.0,20.0,15.0,22.0,14.0,20.0,17.0,20.0,16.0,23.0,19.0,18.0,20.0,18.0,14.0,26.0,13.0,19.0,15.0,18.733,4.139
33,24.0,16.0,20.0,19.0,29.0,18.0,16.0,18.0,23.0,15.0,16.0,19.0,23.0,17.0,23.0,21.0,19.0,15.0,22.0,16.0,23.0,20.0,24.0,15.0,21.0,12.0,25.0,16.0,20.0,15.0,19.333,3.789
34,21.0,14.0,19.0,19.0,25.0,17.0,15.0,26.0,17.0,15.0,15.0,18.0,21.0,14.0,20.0,22.0,22.0,15.0,21.0,13.0,22.0,19.0,25.0,14.0,22.0,12.0,25.0,15.0,18.0,17.0,18.6,3.895
35,20.0,17.0,20.0,24.0,22.0,15.0,12.0,25.0,18.0,14.0,15.0,17.0,26.0,15.0,21.0,18.0,18.0,13.0,21.0,13.0,29.0,25.0,23.0,18.0,23.0,15.0,24.0,17.0,18.0,17.0,19.1,4.292
36,19.0,15.0,21.0,24.0,20.0,16.0,12.0,24.0,17.0,13.0,16.0,18.0,25.0,16.0,20.0,18.0,21.0,12.0,16.0,17.0,30.0,27.0,23.0,18.0,22.0,14.0,20.0,21.0,18.0,18.0,19.033,4.223
