Generations,Run0,Run1,Run2,Run3,Run4,Run5,Run6,Run7,Run8,Run9,Run10,Run11,Run12,Run13,Run14,Run15,Run16,Run17,Run18,Run19,Run20,Run21,Run22,Run23,Run24,Run25,Run26,Run27,Run28,Run29,ABF,StdDev
0,11.0,10.0,13.0,9.0,11.0,7.0,10.0,10.0,11.0,10.0,10.0,12.0,10.0,8.0,9.0,7.0,10.0,10.0,12.0,9.0,9.0,10.0,11.0,11.0,11.0,10.0,12.0,8.0,10.0,12.0,10.1,1.422
1,10.0,10.0,12.0,10.0,9.0,7.0,10.0,10.0,10.0,8.0,9.0,10.0,9.0,7.0,9.0,6.0,10.0,10.0,12.0,9.0,9.0,9.0,9.0,10.0,9.0,10.0,9.0,8.0,11.0,12.0,9.433,1.359
2,11.0,9.0,9.0,10.0,9.0,6.0,9.0,9.0,10.0,9.0,9.0,10.0,9.0,7.0,9.0,6.0,11.0,10.0,10.0,10.0,9.0,10.0,9.0,10.0,9.0,9.0,9.0,8.0,11.0,11.0,9.233,1.23
3,9.0,9.0,10.0,9.0,9.0,6.0,9.0,9.0,9.0,8.0,8.0,10.0,9.0,7.0,9.0,6.0,10.0,9.0,10.0,9.0,9.0,9.0,9.0,7.0,9.0,9.0,9.0,7.0,9.0,11.0,8.733,1.123
4,9.0,8.0,10.0,7.0,9.0,6.0,9.0,9.0,9.0,8.0,9.0,7.0,8.0,6.0,9.0,5.0,10.0,9.0,10.0,8.0,9.0,9.0,8.0,6.0,8.0,9.0,8.0,7.0,9.0,11.0,8.3,1.345
5,9.0,8.0,9.0,7.0,9.0,6.0,9.0,7.0,9.0,8.0,9.0,7.0,8.0,7.0,9.0,4.0,10.0,9.0,10.0,7.0,9.0,9.0,7.0,6.0,5.0,8.0,8.0,6.0,9.0,11.0,7.967,1.538
6,8.0,8.0,9.0,7.0,8.0,5.0,8.0,7.0,9.0,7.0,9.0,7.0,7.0,6.0,8.0,4.0,8.0,9.0,10.0,7.0,9.0,7.0,7.0,6.0,5.0,6.0,8.0,6.0,9.0,11.0,7.5,1.522
7,8.0,6.0,9.0,7.0,8.0,3.0,7.0,8.0,9.0,7.0,8.0,7.0,7.0,6.0,6.0,4.0,7.0,9.0,10.0,7.0,9.0,7.0,5.0,6.0,5.0,8.0,8.0,6.0,9.0,11.0,7.233,1.707
8,6.0,6.0,7.0,7.0,8.0,3.0,7.0,7.0,8.0,7.0,8.0,7.0,7.0,5.0,6.0,4.0,8.0,8.0,9.0,7.0,9.0,7.0,5.0,6.0,5.0,8.0,6.0,6.0,9.0,11.0,6.9,1.599
9,5.0,5.0,7.0,7.0,8.0,3.0,7.0,7.0,8.0,7.0,8.0,6.0,7.0,5.0,6.0,4.0,8.0,8.0,9.0,5.0,9.0,7.0,5.0,6.0,5.0,7.0,6.0,5.0,9.0,9.0,6.6,1.562
10,6.0,5.0,7.0,6.0,8.0,3.0,7.0,6.0,8.0,7.0,5.0,6.0,7.0,5.0,6.0,4.0,8.0,8.0,8.0,5.0,7.0,7.0,5.0,6.0,4.0,8.0,6.0,5.0,7.0,9.0,6.3,1.418
11,5.0,6.0,7.0,6.0,8.0,3.0,7.0,6.0,8.0,7.0,5.0,6.0,6.0,5.0,5.0,4.0,8.0,8.0,8.0,5.0,7.0,7.0,5.0,6.0,4.0,8.0,5.0,5.0,7.0,9.0,6.2,1.447
12,4.0,4.0,7.0,6.0,8.0,3.0,3.0,6.0,8.0,7.0,5.0,6.0,5.0,4.0,4.0,4.0,8.0,8.0,8.0,5.0,7.0,7.0,5.0,6.0,4.0,7.0,5.0,4.0,7.0,8.0,5.767,1.627
13,4.0,4.0,7.0,6.0,6.0,3.0,3.0,6.0,8.0,7.0,5.0,6.0,5.0,4.0,4.0,4.0,8.0,8.0,8.0,5.0,6.0,7.0,5.0,5.0,4.0,8.0,5.0,4.0,7.0,8.0,5.667,1.599
14,4.0,4.0,7.0,6.0,6.0,3.0,3.0,6.0,8.0,7.0,5.0,6.0,5.0,4.0,4.0,4.0,8.0,8.0,8.0,5.0,6.0,6.0,5.0,5.0,4.0,8.0,5.0,4.0,7.0,8.0,5.633,1.581
15,4.0,4.0,6.0,6.0,6.0,3.0,3.0,6.0,8.0,6.0,5.0,6.0,5.0,4.0,4.0,4.0,8.0,7.0,8.0,2.0,6.0,6.0,5.0,5.0,4.0,5.0,4.0,4.0,7.0,8.0,5.3,1.574
16,4.0,4.0,6.0,6.0,6.0,3.0,3.0,5.0,7.0,6.0,5.0,6.0,5.0,4.0,4.0,2.0,7.0,7.0,6.0,2.0,6.0,6.0,5.0,5.0,3.0,5.0,4.0,4.0,7.0,7.0,5.0,1.461
17,4.0,4.0,6.0,6.0,6.0,3.0,3.0,5.0,7.0,6.0,5.0,6.0,5.0,4.0,4.0,2.0,7.0,7.0,6.0,2.0,5.0,6.0,4.0,5.0,3.0,5.0,4.0,4.0,7.0,7.0,4.933,1.459
18,4.0,4.0,6.0,6.0,6.0,3.0,3.0,5.0,7.0,6.0,4.0,6.0,4.0,4.0,4.0,2.0,7.0,7.0,6.0,2.0,5.0,6.0,4.0,5.0,3.0,5.0,3.0,2.0,6.0,7.0,4.733,1.548
19,3.0,4.0,6.0,6.0,6.0,3.0,2.0,5.0,7.0,6.0,4.0,5.0,4.0,4.0,4.0,2.0,7.0,6.0,6.0,2.0,5.0,6.0,4.0,5.0,3.0,5.0,2.0,2.0,6.0,6.0,4.533,1.565
20,3.0,4.0,6.0,6.0,6.0,3.0,2.0,5.0,7.0,5.0,4.0,5.0,4.0,4.0,4.0,2.0,7.0,5.0,6.0,2.0,5.0,6.0,4.0,5.0,3.0,5.0,2.0,2.0,6.0,5.0,4.433,1.499
