Generations,Run0,Run1,Run2,Run3,Run4,Run5,Run6,Run7,Run8,Run9,Run10,Run11,Run12,Run13,Run14,Run15,Run16,Run17,Run18,Run19,Run20,Run21,Run22,Run23,Run24,Run25,Run26,Run27,Run28,Run29,ABF,StdDev
0,10.0,11.0,10.0,7.0,9.0,8.0,11.0,12.0,12.0,12.0,9.0,9.0,9.0,9.0,10.0,10.0,7.0,9.0,10.0,9.0,8.0,9.0,10.0,11.0,10.0,10.0,10.0,8.0,10.0,11.0,9.667,1.3
1,10.0,10.0,10.0,7.0,10.0,8.0,9.0,11.0,9.0,9.0,9.0,10.0,9.0,10.0,9.0,10.0,8.0,9.0,9.0,9.0,8.0,9.0,10.0,11.0,8.0,10.0,10.0,8.0,9.0,11.0,9.3,0.971
2,10.0,8.0,10.0,6.0,10.0,8.0,10.0,11.0,10.0,7.0,9.0,12.0,9.0,10.0,9.0,10.0,11.0,8.0,9.0,12.0,8.0,11.0,10.0,10.0,9.0,8.0,7.0,8.0,8.0,10.0,9.267,1.436
3,10.0,12.0,10.0,3.0,11.0,8.0,10.0,11.0,10.0,10.0,11.0,12.0,9.0,11.0,9.0,9.0,11.0,10.0,7.0,12.0,10.0,11.0,10.0,10.0,9.0,8.0,7.0,11.0,10.0,10.0,9.733,1.788
4,10.0,9.0,11.0,5.0,11.0,11.0,12.0,11.0,11.0,9.0,12.0,12.0,13.0,11.0,10.0,8.0,11.0,10.0,8.0,12.0,9.0,11.0,9.0,10.0,8.0,6.0,6.0,8.0,8.0,11.0,9.767,1.944
5,9.0,9.0,9.0,6.0,11.0,11.0,12.0,11.0,11.0,9.0,15.0,11.0,11.0,11.0,10.0,8.0,9.0,10.0,8.0,13.0,9.0,13.0,10.0,12.0,7.0,10.0,6.0,10.0,10.0,11.0,10.067,1.948
6,9.0,11.0,10.0,10.0,12.0,11.0,11.0,7.0,11.0,15.0,14.0,10.0,11.0,14.0,14.0,11.0,8.0,10.0,8.0,15.0,7.0,15.0,11.0,12.0,11.0,11.0,8.0,10.0,14.0,11.0,11.067,2.265
7,9.0,12.0,11.0,12.0,12.0,8.0,12.0,7.0,11.0,11.0,13.0,10.0,16.0,17.0,13.0,11.0,13.0,11.0,9.0,13.0,8.0,11.0,16.0,11.0,11.0,14.0,10.0,10.0,15.0,12.0,11.633,2.345
8,11.0,10.0,10.0,13.0,15.0,11.0,15.0,11.0,12.0,12.0,16.0,11.0,14.0,20.0,12.0,10.0,15.0,12.0,15.0,13.0,10.0,11.0,16.0,11.0,17.0,13.0,14.0,9.0,13.0,11.0,12.767,2.472
9,14.0,10.0,10.0,17.0,12.0,13.0,16.0,12.0,12.0,18.0,16.0,13.0,10.0,15.0,11.0,10.0,13.0,12.0,15.0,13.0,10.0,8.0,15.0,15.0,15.0,12.0,14.0,9.0,15.0,10.0,12.833,2.504
10,13.0,14.0,10.0,13.0,12.0,16.0,15.0,17.0,13.0,19.0,13.0,20.0,13.0,11.0,15.0,12.0,13.0,13.0,16.0,15.0,10.0,8.0,14.0,21.0,15.0,13.0,19.0,8.0,12.0,13.0,13.867,3.106
11,14.0,18.0,10.0,12.0,12.0,16.0,17.0,14.0,14.0,16.0,13.0,22.0,14.0,11.0,15.0,12.0,14.0,19.0,12.0,17.0,11.0,9.0,14.0,17.0,21.0,16.0,14.0,8.0,12.0,13.0,14.233,3.211
12,14.0,12.0,17.0,12.0,12.0,13.0,18.0,14.0,21.0,16.0,15.0,26.0,14.0,10.0,18.0,12.0,15.0,18.0,13.0,18.0,13.0,8.0,14.0,18.0,18.0,17.0,13.0,13.0,10.0,16.0,14.933,3.558
13,14.0,15.0,23.0,20.0,16.0,13.0,18.0,20.0,21.0,17.0,17.0,26.0,19.0,9.0,13.0,16.0,15.0,16.0,13.0,16.0,14.0,7.0,15.0,22.0,12.0,17.0,10.0,12.0,11.0,14.0,15.7,4.165
14,14.0,14.0,23.0,18.0,19.0,15.0,17.0,17.0,19.0,17.0,18.0,16.0,20.0,16.0,13.0,17.0,20.0,16.0,12.0,14.0,12.0,14.0,15.0,21.0,16.0,19.0,10.0,12.0,11.0,14.0,15.967,3.082
