Generations,Run0,Run1,Run2,Run3,Run4,Run5,Run6,Run7,Run8,Run9,Run10,Run11,Run12,Run13,Run14,Run15,Run16,Run17,Run18,Run19,Run20,Run21,Run22,Run23,Run24,Run25,Run26,Run27,Run28,Run29,ABF,StdDev
0,12.0,11.0,9.0,5.0,8.0,12.0,8.0,10.0,8.0,9.0,9.0,9.0,11.0,11.0,9.0,10.0,9.0,11.0,8.0,10.0,11.0,11.0,9.0,8.0,8.0,9.0,9.0,10.0,9.0,10.0,9.433,1.453
1,9.0,7.0,10.0,6.0,10.0,9.0,9.0,10.0,6.0,8.0,9.0,8.0,11.0,8.0,8.0,6.0,9.0,9.0,6.0,9.0,10.0,10.0,8.0,7.0,8.0,8.0,9.0,9.0,9.0,8.0,8.433,1.309
2,8.0,9.0,10.0,8.0,8.0,8.0,9.0,9.0,6.0,5.0,9.0,8.0,9.0,8.0,7.0,6.0,8.0,9.0,8.0,9.0,8.0,9.0,9.0,5.0,8.0,9.0,8.0,10.0,9.0,8.0,8.133,1.231
3,9.0,8.0,6.0,6.0,8.0,7.0,8.0,8.0,6.0,6.0,8.0,8.0,6.0,8.0,7.0,6.0,8.0,8.0,7.0,9.0,7.0,8.0,10.0,7.0,7.0,9.0,8.0,8.0,8.0,6.0,7.5,1.057
4,9.0,8.0,8.0,6.0,8.0,8.0,9.0,7.0,7.0,6.0,8.0,8.0,6.0,7.0,7.0,7.0,8.0,9.0,5.0,8.0,9.0,7.0,9.0,8.0,6.0,7.0,8.0,8.0,7.0,8.0,7.533,1.024
5,9.0,9.0,8.0,5.0,6.0,8.0,9.0,6.0,9.0,5.0,9.0,8.0,6.0,5.0,7.0,7.0,8.0,9.0,5.0,8.0,9.0,8.0,7.0,6.0,7.0,6.0,9.0,7.0,7.0,7.0,7.3,1.37
6,8.0,9.0,8.0,7.0,6.0,8.0,8.0,6.0,8.0,9.0,9.0,8.0,7.0,7.0,7.0,9.0,9.0,9.0,6.0,8.0,7.0,9.0,7.0,6.0,8.0,6.0,9.0,7.0,7.0,5.0,7.567,1.146
7,8.0,9.0,7.0,5.0,8.0,7.0,8.0,6.0,8.0,9.0,9.0,7.0,6.0,5.0,12.0,9.0,8.0,9.0,6.0,7.0,8.0,9.0,7.0,5.0,7.0,7.0,10.0,7.0,6.0,5.0,7.467,1.607
8,8.0,6.0,8.0,8.0,11.0,7.0,7.0,7.0,9.0,12.0,9.0,9.0,4.0,8.0,14.0,9.0,7.0,8.0,7.0,8.0,7.0,9.0,7.0,5.0,6.0,7.0,9.0,7.0,7.0,7.0,7.9,1.921
9,6.0,7.0,7.0,8.0,10.0,8.0,7.0,9.0,8.0,12.0,8.0,8.0,4.0,10.0,14.0,8.0,3.0,7.0,7.0,7.0,8.0,9.0,8.0,6.0,6.0,8.0,10.0,8.0,7.0,7.0,7.833,2.051
