Generations,Run0,Run1,Run2,Run3,Run4,Run5,Run6,Run7,Run8,Run9,Run10,Run11,Run12,Run13,Run14,Run15,Run16,Run17,Run18,Run19,Run20,Run21,Run22,Run23,Run24,Run25,Run26,Run27,Run28,Run29,ABF,StdDev
0,11.0,9.0,10.0,9.0,10.0,12.0,11.0,10.0,10.0,9.0,9.0,9.0,10.0,10.0,7.0,11.0,12.0,7.0,10.0,8.0,10.0,10.0,11.0,10.0,11.0,11.0,10.0,10.0,8.0,11.0,9.867,1.231
1,10.0,9.0,11.0,9.0,11.0,12.0,9.0,10.0,9.0,11.0,9.0,9.0,7.0,9.0,9.0,9.0,8.0,7.0,9.0,8.0,10.0,9.0,8.0,10.0,9.0,10.0,9.0,10.0,6.0,10.0,9.2,1.249
2,9.0,5.0,10.0,9.0,10.0,11.0,11.0,6.0,8.0,9.0,8.0,10.0,7.0,8.0,8.0,9.0,9.0,7.0,5.0,7.0,10.0,6.0,8.0,9.0,9.0,9.0,9.0,11.0,8.0,9.0,8.467,1.586
3,8.0,8.0,8.0,8.0,10.0,9.0,9.0,6.0,8.0,8.0,7.0,9.0,7.0,7.0,8.0,8.0,8.0,6.0,5.0,7.0,10.0,7.0,6.0,6.0,9.0,8.0,7.0,10.0,7.0,9.0,7.767,1.257
4,7.0,8.0,6.0,8.0,8.0,9.0,8.0,6.0,8.0,8.0,7.0,8.0,8.0,6.0,7.0,8.0,8.0,5.0,5.0,7.0,9.0,7.0,4.0,7.0,9.0,7.0,7.0,8.0,7.0,7.0,7.233,1.174
5,6.0,6.0,6.0,6.0,8.0,8.0,8.0,5.0,6.0,8.0,7.0,8.0,8.0,4.0,7.0,7.0,7.0,5.0,4.0,7.0,8.0,7.0,4.0,7.0,7.0,8.0,6.0,8.0,4.0,7.0,6.567,1.334
6,5.0,8.0,6.0,4.0,7.0,8.0,8.0,4.0,8.0,8.0,7.0,7.0,8.0,4.0,5.0,7.0,8.0,5.0,4.0,7.0,8.0,7.0,4.0,7.0,6.0,6.0,6.0,8.0,4.0,6.0,6.333,1.491
7,5.0,7.0,6.0,3.0,7.0,7.0,8.0,4.0,7.0,6.0,7.0,6.0,7.0,4.0,5.0,7.0,6.0,5.0,4.0,6.0,8.0,7.0,4.0,6.0,6.0,6.0,5.0,9.0,3.0,6.0,5.9,1.446
8,5.0,7.0,5.0,3.0,7.0,7.0,8.0,4.0,7.0,4.0,7.0,7.0,7.0,4.0,3.0,6.0,6.0,4.0,4.0,6.0,6.0,5.0,4.0,6.0,6.0,6.0,6.0,7.0,3.0,5.0,5.5,1.408
9,3.0,7.0,5.0,3.0,6.0,5.0,7.0,4.0,7.0,4.0,7.0,6.0,7.0,4.0,3.0,6.0,6.0,4.0,4.0,6.0,6.0,5.0,4.0,4.0,6.0,4.0,4.0,5.0,3.0,5.0,5.0,1.317
