Generations,Run0,Run1,Run2,Run3,Run4,Run5,Run6,Run7,Run8,Run9,Run10,Run11,Run12,Run13,Run14,Run15,Run16,Run17,Run18,Run19,Run20,Run21,Run22,Run23,Run24,Run25,Run26,Run27,Run28,Run29,ABF,StdDev
0,11.0,12.0,11.0,9.0,8.0,10.0,10.0,11.0,10.0,11.0,12.0,10.0,11.0,12.0,7.0,8.0,8.0,11.0,9.0,9.0,9.0,10.0,12.0,10.0,11.0,9.0,10.0,12.0,10.0,11.0,10.133,1.335
1,10.0,9.0,9.0,8.0,7.0,9.0,7.0,9.0,9.0,10.0,9.0,10.0,9.0,10.0,7.0,8.0,8.0,10.0,10.0,9.0,12.0,10.0,8.0,9.0,10.0,11.0,9.0,11.0,9.0,8.0,9.133,1.176
2,9.0,9.0,6.0,8.0,8.0,6.0,10.0,11.0,7.0,9.0,9.0,8.0,8.0,7.0,7.0,8.0,8.0,10.0,9.0,8.0,9.0,10.0,9.0,9.0,10.0,9.0,8.0,10.0,8.0,6.0,8.433,1.257
3,7.0,9.0,7.0,7.0,9.0,8.0,8.0,8.0,7.0,8.0,7.0,8.0,6.0,7.0,9.0,8.0,9.0,10.0,5.0,7.0,8.0,7.0,10.0,7.0,9.0,8.0,9.0,8.0,8.0,6.0,7.8,1.137
4,8.0,7.0,6.0,7.0,6.0,7.0,9.0,8.0,7.0,7.0,8.0,8.0,7.0,7.0,9.0,12.0,10.0,9.0,7.0,7.0,9.0,7.0,8.0,7.0,7.0,5.0,10.0,10.0,8.0,6.0,7.767,1.453
5,9.0,10.0,8.0,7.0,8.0,8.0,6.0,8.0,7.0,7.0,11.0,6.0,7.0,9.0,8.0,7.0,9.0,10.0,9.0,8.0,9.0,7.0,8.0,7.0,9.0,6.0,9.0,8.0,8.0,8.0,8.033,1.197
6,9.0,8.0,9.0,7.0,8.0,9.0,5.0,9.0,7.0,7.0,8.0,6.0,7.0,9.0,8.0,10.0,9.0,10.0,5.0,7.0,9.0,9.0,8.0,7.0,6.0,7.0,8.0,9.0,5.0,8.0,7.767,1.383
7,8.0,7.0,6.0,10.0,8.0,11.0,7.0,9.0,8.0,9.0,10.0,4.0,7.0,9.0,10.0,7.0,9.0,8.0,9.0,7.0,9.0,9.0,8.0,7.0,9.0,7.0,8.0,8.0,7.0,7.0,8.067,1.389
8,9.0,9.0,8.0,8.0,7.0,9.0,7.0,9.0,7.0,9.0,11.0,4.0,7.0,8.0,8.0,7.0,9.0,7.0,8.0,9.0,9.0,9.0,7.0,9.0,10.0,9.0,8.0,8.0,9.0,7.0,8.167,1.267
9,6.0,8.0,7.0,8.0,10.0,9.0,8.0,9.0,7.0,8.0,12.0,7.0,8.0,7.0,7.0,7.0,6.0,5.0,13.0,9.0,10.0,7.0,9.0,6.0,10.0,11.0,8.0,7.0,9.0,9.0,8.233,1.783
10,6.0,10.0,9.0,6.0,10.0,10.0,11.0,12.0,7.0,7.0,10.0,8.0,11.0,7.0,9.0,10.0,6.0,7.0,11.0,7.0,12.0,8.0,9.0,6.0,8.0,10.0,8.0,8.0,12.0,9.0,8.8,1.869
11,6.0,10.0,7.0,9.0,9.0,12.0,9.0,13.0,8.0,8.0,8.0,8.0,10.0,7.0,5.0,10.0,9.0,9.0,9.0,9.0,11.0,8.0,9.0,8.0,8.0,10.0,8.0,8.0,16.0,12.0,9.1,2.103
12,9.0,8.0,10.0,9.0,9.0,11.0,11.0,16.0,9.0,10.0,8.0,8.0,14.0,8.0,6.0,14.0,9.0,10.0,13.0,9.0,11.0,9.0,8.0,10.0,7.0,10.0,7.0,9.0,15.0,14.0,10.033,2.47
13,9.0,9.0,9.0,10.0,10.0,10.0,13.0,15.0,7.0,10.0,9.0,8.0,10.0,5.0,9.0,12.0,10.0,11.0,14.0,10.0,9.0,7.0,10.0,8.0,7.0,10.0,7.0,9.0,14.0,13.0,9.8,2.272
14,13.0,13.0,9.0,12.0,10.0,10.0,13.0,12.0,10.0,10.0,10.0,12.0,14.0,9.0,11.0,11.0,9.0,7.0,13.0,9.0,11.0,6.0,9.0,8.0,11.0,9.0,7.0,9.0,11.0,9.0,10.233,1.944
15,12.0,12.0,8.0,10.0,12.0,8.0,10.0,12.0,9.0,11.0,11.0,15.0,12.0,9.0,11.0,10.0,9.0,7.0,13.0,9.0,11.0,10.0,9.0,6.0,12.0,10.0,8.0,9.0,13.0,12.0,10.333,1.955
16,9.0,11.0,8.0,11.0,13.0,9.0,13.0,19.0,8.0,10.0,11.0,12.0,11.0,12.0,11.0,11.0,9.0,7.0,12.0,15.0,11.0,11.0,15.0,8.0,13.0,9.0,7.0,11.0,12.0,16.0,11.167,2.659
17,10.0,10.0,12.0,11.0,12.0,8.0,10.0,20.0,11.0,9.0,15.0,8.0,12.0,8.0,11.0,11.0,7.0,9.0,11.0,15.0,11.0,9.0,19.0,11.0,19.0,12.0,5.0,11.0,12.0,13.0,11.4,3.363
18,11.0,13.0,12.0,6.0,10.0,12.0,11.0,17.0,11.0,11.0,11.0,8.0,10.0,11.0,12.0,11.0,4.0,7.0,12.0,15.0,9.0,11.0,16.0,10.0,19.0,16.0,5.0,12.0,10.0,12.0,11.167,3.257
19,9.0,17.0,11.0,10.0,9.0,13.0,11.0,12.0,12.0,9.0,11.0,10.0,9.0,12.0,8.0,9.0,5.0,6.0,14.0,15.0,13.0,10.0,16.0,10.0,11.0,14.0,9.0,14.0,12.0,15.0,11.2,2.762
20,10.0,14.0,10.0,9.0,11.0,14.0,11.0,11.0,10.0,10.0,11.0,14.0,12.0,9.0,11.0,12.0,9.0,6.0,14.0,16.0,11.0,10.0,14.0,10.0,15.0,11.0,8.0,12.0,15.0,10.0,11.333,2.271
21,10.0,14.0,8.0,10.0,11.0,13.0,12.0,11.0,11.0,11.0,12.0,15.0,12.0,15.0,16.0,10.0,11.0,10.0,13.0,13.0,11.0,11.0,14.0,9.0,15.0,11.0,9.0,11.0,15.0,8.0,11.733,2.128
22,10.0,14.0,10.0,14.0,9.0,11.0,11.0,11.0,12.0,10.0,11.0,14.0,14.0,17.0,12.0,12.0,11.0,11.0,8.0,11.0,11.0,11.0,12.0,11.0,12.0,14.0,10.0,7.0,14.0,14.0,11.633,2.041
23,11.0,11.0,15.0,14.0,13.0,10.0,11.0,13.0,12.0,8.0,13.0,14.0,15.0,15.0,11.0,13.0,13.0,11.0,15.0,9.0,13.0,14.0,12.0,12.0,13.0,15.0,9.0,8.0,14.0,11.0,12.267,2.048
24,8.0,11.0,14.0,12.0,12.0,10.0,10.0,14.0,11.0,11.0,16.0,13.0,15.0,16.0,11.0,11.0,11.0,15.0,15.0,9.0,11.0,12.0,13.0,11.0,8.0,15.0,8.0,6.0,14.0,11.0,11.8,2.522
25,8.0,10.0,13.0,8.0,9.0,11.0,11.0,17.0,12.0,12.0,18.0,14.0,12.0,16.0,12.0,10.0,9.0,15.0,16.0,10.0,12.0,12.0,13.0,10.0,10.0,16.0,8.0,10.0,12.0,12.0,11.933,2.682
26,10.0,11.0,15.0,8.0,11.0,11.0,12.0,13.0,11.0,15.0,16.0,17.0,11.0,16.0,14.0,11.0,9.0,10.0,15.0,8.0,11.0,16.0,10.0,12.0,12.0,15.0,9.0,10.0,12.0,13.0,12.133,2.5
27,14.0,14.0,15.0,9.0,10.0,14.0,19.0,13.0,11.0,13.0,17.0,13.0,11.0,15.0,18.0,18.0,9.0,10.0,12.0,8.0,10.0,16.0,21.0,13.0,12.0,16.0,10.0,11.0,14.0,15.0,13.367,3.178
28,16.0,14.0,14.0,11.0,12.0,17.0,20.0,10.0,13.0,14.0,15.0,18.0,12.0,9.0,18.0,15.0,11.0,16.0,13.0,6.0,12.0,16.0,17.0,11.0,16.0,16.0,16.0,10.0,13.0,21.0,14.067,3.286
29,13.0,18.0,13.0,10.0,15.0,13.0,16.0,10.0,11.0,14.0,15.0,14.0,10.0,9.0,19.0,12.0,9.0,21.0,17.0,11.0,14.0,16.0,12.0,9.0,19.0,14.0,16.0,11.0,11.0,25.0,13.9,3.78
30,10.0,20.0,13.0,12.0,14.0,14.0,18.0,12.0,13.0,14.0,15.0,14.0,10.0,9.0,13.0,15.0,14.0,17.0,16.0,11.0,9.0,13.0,13.0,10.0,17.0,14.0,16.0,9.0,13.0,20.0,13.6,2.928
31,8.0,16.0,16.0,15.0,16.0,14.0,17.0,12.0,8.0,17.0,14.0,13.0,16.0,7.0,13.0,12.0,12.0,17.0,16.0,10.0,12.0,11.0,15.0,12.0,19.0,13.0,16.0,13.0,19.0,20.0,13.967,3.209
32,13.0,15.0,14.0,12.0,14.0,12.0,20.0,18.0,9.0,14.0,16.0,13.0,12.0,12.0,20.0,8.0,11.0,19.0,19.0,12.0,12.0,13.0,13.0,18.0,19.0,10.0,14.0,8.0,13.0,13.0,13.867,3.344
33,11.0,15.0,13.0,13.0,14.0,11.0,22.0,18.0,11.0,14.0,14.0,15.0,10.0,9.0,19.0,14.0,12.0,20.0,19.0,13.0,13.0,9.0,10.0,19.0,14.0,13.0,8.0,10.0,14.0,10.0,13.567,3.528
34,13.0,20.0,13.0,14.0,14.0,10.0,22.0,21.0,11.0,13.0,12.0,16.0,9.0,11.0,22.0,13.0,12.0,22.0,17.0,12.0,12.0,8.0,14.0,15.0,14.0,14.0,8.0,11.0,11.0,10.0,13.8,3.978
35,13.0,20.0,11.0,15.0,12.0,10.0,19.0,19.0,9.0,15.0,7.0,19.0,8.0,11.0,14.0,9.0,13.0,18.0,18.0,16.0,12.0,8.0,17.0,14.0,15.0,14.0,9.0,17.0,9.0,13.0,13.467,3.766
36,13.0,21.0,14.0,14.0,13.0,9.0,15.0,19.0,9.0,15.0,7.0,9.0,8.0,11.0,13.0,14.0,11.0,20.0,18.0,17.0,14.0,13.0,13.0,12.0,15.0,14.0,13.0,18.0,11.0,13.0,13.533,3.393
37,15.0,15.0,15.0,15.0,14.0,9.0,15.0,15.0,10.0,15.0,12.0,13.0,12.0,14.0,14.0,10.0,13.0,27.0,14.0,14.0,12.0,12.0,15.0,12.0,16.0,23.0,18.0,19.0,18.0,16.0,14.733,3.586
38,17.0,15.0,19.0,15.0,11.0,19.0,14.0,15.0,12.0,16.0,15.0,10.0,13.0,12.0,12.0,8.0,11.0,27.0,12.0,14.0,11.0,12.0,15.0,17.0,16.0,22.0,20.0,15.0,16.0,18.0,14.967,3.843
39,10.0,17.0,20.0,17.0,9.0,17.0,13.0,16.0,13.0,16.0,16.0,10.0,9.0,12.0,13.0,8.0,10.0,14.0,14.0,11.0,19.0,16.0,16.0,20.0,14.0,18.0,13.0,16.0,16.0,16.0,14.3,3.268
40,11.0,16.0,20.0,11.0,12.0,13.0,12.0,18.0,13.0,17.0,16.0,10.0,9.0,15.0,13.0,10.0,11.0,5.0,11.0,8.0,22.0,14.0,17.0,21.0,13.0,10.0,13.0,17.0,13.0,10.0,13.367,3.851
41,14.0,13.0,8.0,13.0,12.0,13.0,11.0,17.0,14.0,20.0,16.0,10.0,12.0,16.0,9.0,13.0,12.0,5.0,12.0,7.0,15.0,11.0,21.0,16.0,16.0,9.0,10.0,21.0,13.0,8.0,12.9,3.859
42,18.0,15.0,7.0,12.0,12.0,12.0,15.0,13.0,13.0,20.0,18.0,21.0,16.0,16.0,8.0,17.0,10.0,6.0,12.0,13.0,17.0,9.0,16.0,10.0,15.0,17.0,11.0,17.0,15.0,11.0,13.733,3.696
43,16.0,15.0,7.0,12.0,14.0,13.0,14.0,15.0,16.0,23.0,13.0,15.0,9.0,17.0,12.0,8.0,10.0,7.0,16.0,11.0,14.0,10.0,12.0,11.0,12.0,17.0,12.0,14.0,11.0,16.0,13.067,3.326
44,13.0,14.0,15.0,13.0,11.0,9.0,9.0,10.0,11.0,18.0,15.0,7.0,16.0,18.0,16.0,9.0,10.0,9.0,18.0,12.0,14.0,15.0,12.0,10.0,13.0,10.0,19.0,15.0,11.0,15.0,12.9,3.166
45,15.0,8.0,14.0,14.0,12.0,9.0,8.0,21.0,15.0,13.0,14.0,7.0,16.0,19.0,15.0,12.0,11.0,9.0,17.0,17.0,18.0,11.0,17.0,7.0,15.0,10.0,13.0,15.0,12.0,12.0,13.2,3.553
46,15.0,8.0,9.0,14.0,16.0,15.0,9.0,17.0,16.0,14.0,10.0,14.0,16.0,17.0,9.0,10.0,17.0,10.0,13.0,17.0,13.0,11.0,22.0,8.0,14.0,15.0,13.0,24.0,12.0,13.0,13.7,3.761
47,17.0,14.0,12.0,12.0,16.0,12.0,12.0,11.0,16.0,13.0,11.0,14.0,16.0,11.0,9.0,9.0,22.0,19.0,13.0,15.0,12.0,19.0,12.0,7.0,14.0,17.0,11.0,22.0,16.0,16.0,14.0,3.55
48,17.0,18.0,11.0,12.0,14.0,10.0,17.0,14.0,15.0,13.0,15.0,17.0,25.0,16.0,9.0,8.0,23.0,15.0,15.0,13.0,11.0,18.0,12.0,6.0,10.0,12.0,13.0,16.0,11.0,19.0,14.167,4.067
