Generations,Run0,Run1,Run2,Run3,Run4,Run5,Run6,Run7,Run8,Run9,Run10,Run11,Run12,Run13,Run14,Run15,Run16,Run17,Run18,Run19,Run20,Run21,Run22,Run23,Run24,Run25,Run26,Run27,Run28,Run29,ABF,StdDev
0,10.0,9.0,9.0,11.0,8.0,10.0,8.0,12.0,11.0,10.0,11.0,11.0,8.0,12.0,9.0,9.0,10.0,9.0,7.0,10.0,9.0,8.0,11.0,9.0,11.0,12.0,10.0,10.0,11.0,9.0,9.8,1.301
1,8.0,7.0,9.0,10.0,8.0,11.0,11.0,7.0,9.0,9.0,9.0,8.0,8.0,10.0,7.0,9.0,8.0,10.0,7.0,9.0,10.0,9.0,9.0,10.0,8.0,8.0,10.0,9.0,9.0,9.0,8.833,1.098
2,10.0,8.0,9.0,9.0,9.0,7.0,8.0,9.0,9.0,7.0,9.0,4.0,8.0,10.0,9.0,6.0,11.0,10.0,7.0,9.0,7.0,9.0,8.0,8.0,9.0,7.0,10.0,9.0,9.0,8.0,8.4,1.381
3,11.0,8.0,9.0,9.0,7.0,7.0,9.0,9.0,8.0,7.0,9.0,4.0,10.0,7.0,6.0,9.0,5.0,7.0,7.0,6.0,8.0,8.0,9.0,9.0,6.0,7.0,7.0,8.0,8.0,8.0,7.733,1.459
4,9.0,8.0,9.0,8.0,7.0,7.0,7.0,9.0,7.0,8.0,9.0,9.0,7.0,8.0,7.0,8.0,5.0,7.0,7.0,9.0,8.0,8.0,8.0,10.0,7.0,6.0,7.0,7.0,9.0,8.0,7.767,1.055
5,7.0,9.0,8.0,6.0,6.0,7.0,9.0,6.0,7.0,2.0,6.0,9.0,6.0,9.0,7.0,7.0,7.0,7.0,7.0,9.0,9.0,8.0,8.0,6.0,7.0,9.0,9.0,7.0,7.0,7.0,7.267,1.459
6,8.0,10.0,9.0,7.0,7.0,7.0,5.0,8.0,7.0,2.0,7.0,7.0,7.0,7.0,7.0,6.0,8.0,8.0,9.0,8.0,7.0,8.0,8.0,5.0,6.0,8.0,9.0,8.0,8.0,7.0,7.267,1.459
7,5.0,8.0,9.0,9.0,7.0,9.0,6.0,8.0,4.0,6.0,7.0,7.0,8.0,7.0,7.0,7.0,6.0,8.0,11.0,8.0,7.0,6.0,8.0,5.0,6.0,6.0,7.0,5.0,8.0,8.0,7.1,1.446
8,5.0,10.0,9.0,5.0,7.0,7.0,8.0,6.0,7.0,6.0,7.0,8.0,5.0,6.0,8.0,8.0,7.0,5.0,8.0,6.0,9.0,8.0,9.0,7.0,6.0,6.0,7.0,7.0,8.0,8.0,7.1,1.3
9,4.0,6.0,8.0,4.0,7.0,6.0,8.0,7.0,8.0,7.0,8.0,7.0,4.0,8.0,5.0,7.0,7.0,7.0,9.0,6.0,7.0,9.0,7.0,7.0,5.0,6.0,7.0,6.0,7.0,6.0,6.667,1.3
10,6.0,8.0,7.0,5.0,8.0,9.0,6.0,7.0,8.0,6.0,8.0,8.0,7.0,5.0,5.0,8.0,7.0,7.0,8.0,6.0,7.0,9.0,8.0,4.0,7.0,4.0,6.0,7.0,8.0,6.0,6.833,1.319
11,6.0,7.0,8.0,7.0,8.0,9.0,9.0,5.0,10.0,7.0,5.0,6.0,7.0,7.0,6.0,8.0,8.0,6.0,10.0,8.0,6.0,8.0,5.0,1.0,8.0,7.0,6.0,6.0,8.0,5.0,6.9,1.758
12,8.0,6.0,8.0,8.0,7.0,10.0,9.0,5.0,7.0,7.0,7.0,6.0,7.0,6.0,7.0,8.0,8.0,6.0,8.0,8.0,7.0,5.0,6.0,2.0,7.0,7.0,4.0,6.0,8.0,5.0,6.767,1.542
13,9.0,5.0,7.0,5.0,7.0,9.0,8.0,6.0,7.0,7.0,7.0,8.0,8.0,7.0,5.0,8.0,6.0,5.0,9.0,6.0,7.0,7.0,5.0,2.0,6.0,5.0,4.0,5.0,7.0,3.0,6.333,1.68
14,8.0,4.0,6.0,9.0,6.0,10.0,9.0,5.0,7.0,8.0,7.0,7.0,8.0,4.0,5.0,8.0,6.0,9.0,9.0,6.0,7.0,4.0,8.0,4.0,5.0,6.0,4.0,5.0,7.0,6.0,6.567,1.745
15,10.0,7.0,4.0,8.0,8.0,11.0,9.0,6.0,7.0,7.0,8.0,9.0,8.0,7.0,5.0,8.0,6.0,9.0,9.0,7.0,5.0,7.0,8.0,4.0,5.0,8.0,8.0,5.0,9.0,7.0,7.3,1.696
16,7.0,6.0,6.0,8.0,10.0,10.0,11.0,8.0,7.0,7.0,6.0,6.0,9.0,4.0,8.0,8.0,7.0,8.0,9.0,7.0,7.0,9.0,6.0,5.0,6.0,8.0,8.0,6.0,6.0,9.0,7.4,1.562
