Generations,Run0,Run1,Run2,Run3,Run4,Run5,Run6,Run7,Run8,Run9,Run10,Run11,Run12,Run13,Run14,Run15,Run16,Run17,Run18,Run19,Run20,Run21,Run22,Run23,Run24,Run25,Run26,Run27,Run28,Run29,ABF,StdDev
0,12.0,10.0,12.0,9.0,10.0,9.0,11.0,12.0,8.0,11.0,9.0,6.0,10.0,11.0,10.0,10.0,10.0,11.0,12.0,11.0,10.0,8.0,12.0,11.0,10.0,10.0,10.0,9.0,10.0,12.0,10.2,1.376
1,8.0,8.0,9.0,10.0,10.0,8.0,10.0,8.0,8.0,10.0,9.0,8.0,9.0,9.0,10.0,9.0,8.0,9.0,11.0,8.0,10.0,8.0,11.0,9.0,10.0,7.0,8.0,9.0,10.0,10.0,9.033,1.016
2,9.0,8.0,9.0,8.0,9.0,9.0,6.0,7.0,8.0,10.0,9.0,9.0,9.0,9.0,10.0,10.0,8.0,10.0,11.0,9.0,7.0,7.0,9.0,9.0,7.0,7.0,9.0,10.0,9.0,9.0,8.667,1.135
3,7.0,9.0,8.0,8.0,7.0,10.0,9.0,7.0,4.0,8.0,9.0,9.0,8.0,9.0,10.0,10.0,8.0,10.0,11.0,9.0,8.0,7.0,8.0,9.0,9.0,8.0,9.0,9.0,8.0,9.0,8.467,1.284
4,10.0,10.0,7.0,8.0,9.0,8.0,9.0,9.0,4.0,6.0,9.0,8.0,9.0,9.0,9.0,9.0,8.0,10.0,9.0,8.0,8.0,5.0,8.0,7.0,9.0,8.0,8.0,9.0,8.0,7.0,8.167,1.344
5,8.0,9.0,7.0,7.0,5.0,6.0,7.0,8.0,4.0,7.0,7.0,7.0,9.0,9.0,9.0,8.0,6.0,8.0,8.0,6.0,7.0,9.0,8.0,7.0,5.0,7.0,7.0,8.0,8.0,8.0,7.3,1.242
6,8.0,6.0,5.0,7.0,7.0,6.0,7.0,8.0,6.0,6.0,5.0,8.0,7.0,9.0,4.0,6.0,6.0,7.0,8.0,7.0,5.0,9.0,8.0,8.0,6.0,7.0,6.0,5.0,8.0,8.0,6.767,1.257
7,6.0,7.0,5.0,5.0,4.0,6.0,7.0,7.0,5.0,5.0,6.0,6.0,8.0,7.0,6.0,6.0,4.0,5.0,8.0,7.0,5.0,8.0,8.0,8.0,4.0,8.0,5.0,6.0,7.0,7.0,6.2,1.275
8,6.0,7.0,5.0,5.0,4.0,6.0,7.0,9.0,4.0,4.0,8.0,5.0,6.0,8.0,5.0,6.0,4.0,5.0,8.0,8.0,5.0,6.0,7.0,7.0,4.0,7.0,4.0,7.0,7.0,4.0,5.933,1.482
9,5.0,7.0,5.0,5.0,4.0,6.0,5.0,7.0,4.0,3.0,6.0,4.0,6.0,8.0,5.0,4.0,2.0,4.0,8.0,5.0,4.0,6.0,6.0,5.0,4.0,7.0,4.0,5.0,7.0,6.0,5.233,1.407
