Generations,Run0,Run1,Run2,Run3,Run4,Run5,Run6,Run7,Run8,Run9,Run10,Run11,Run12,Run13,Run14,Run15,Run16,Run17,Run18,Run19,Run20,Run21,Run22,Run23,Run24,Run25,Run26,Run27,Run28,Run29,ABF,StdDev
0,10.0,10.0,9.0,11.0,8.0,8.0,10.0,8.0,11.0,10.0,11.0,11.0,9.0,10.0,8.0,10.0,7.0,9.0,10.0,7.0,10.0,10.0,10.0,7.0,11.0,9.0,10.0,9.0,11.0,9.0,9.433,1.23
1,8.0,9.0,10.0,10.0,9.0,10.0,10.0,8.0,10.0,12.0,10.0,9.0,7.0,10.0,7.0,10.0,7.0,8.0,7.0,7.0,7.0,9.0,10.0,7.0,10.0,11.0,9.0,10.0,9.0,9.0,8.967,1.354
2,8.0,9.0,9.0,6.0,10.0,8.0,6.0,8.0,11.0,12.0,8.0,10.0,9.0,7.0,7.0,10.0,8.0,8.0,9.0,7.0,7.0,8.0,9.0,7.0,8.0,6.0,7.0,10.0,8.0,9.0,8.3,1.441
3,8.0,9.0,8.0,7.0,9.0,8.0,6.0,8.0,7.0,10.0,8.0,10.0,9.0,9.0,8.0,8.0,8.0,6.0,8.0,7.0,8.0,8.0,5.0,7.0,8.0,9.0,9.0,7.0,9.0,8.0,7.967,1.11
4,8.0,6.0,9.0,9.0,9.0,6.0,10.0,7.0,11.0,8.0,6.0,8.0,7.0,10.0,7.0,10.0,9.0,10.0,6.0,7.0,8.0,9.0,8.0,7.0,9.0,9.0,9.0,8.0,11.0,9.0,8.333,1.422
5,7.0,10.0,9.0,7.0,9.0,6.0,9.0,8.0,9.0,6.0,6.0,10.0,8.0,6.0,8.0,8.0,9.0,10.0,8.0,8.0,7.0,9.0,8.0,7.0,7.0,9.0,7.0,7.0,9.0,6.0,7.9,1.248
6,7.0,6.0,8.0,8.0,9.0,8.0,9.0,7.0,9.0,7.0,9.0,9.0,8.0,9.0,5.0,9.0,10.0,9.0,7.0,7.0,7.0,10.0,7.0,7.0,9.0,6.0,4.0,8.0,9.0,9.0,7.867,1.408
7,7.0,8.0,8.0,8.0,7.0,10.0,9.0,8.0,10.0,7.0,7.0,8.0,9.0,8.0,8.0,7.0,8.0,9.0,7.0,6.0,5.0,10.0,7.0,10.0,7.0,10.0,9.0,7.0,7.0,7.0,7.933,1.263
8,7.0,9.0,7.0,8.0,6.0,9.0,8.0,10.0,9.0,9.0,7.0,6.0,9.0,10.0,9.0,7.0,10.0,10.0,5.0,6.0,5.0,9.0,8.0,10.0,10.0,8.0,7.0,8.0,6.0,6.0,7.933,1.569
9,7.0,8.0,9.0,8.0,9.0,10.0,6.0,10.0,8.0,9.0,6.0,7.0,9.0,8.0,8.0,9.0,8.0,8.0,6.0,11.0,8.0,10.0,9.0,7.0,8.0,9.0,8.0,10.0,7.0,6.0,8.2,1.301
